Li-7(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 3.25400
1.25000E-05 3.01286
1.50000E-05 2.83486
2.00000E-05 2.58501
2.75000E-05 2.34727
3.50000E-05 2.19081
4.25000E-05 2.07787
5.00000E-05 1.99140
6.25000E-05 1.88356
7.50000E-05 1.80396
0.000100000 1.69223
0.000125000 1.61597
0.000150000 1.55969
0.000200000 1.48068
0.000275000 1.40551
0.000350000 1.35603
0.000425000 1.32032
0.000500000 1.29298
0.000625000 1.25888
0.000750000 1.23371
0.00100000 1.19838
0.00125000 1.17426
0.00150000 1.15647
0.00200000 1.13148
0.00275000 1.10771
0.00350000 1.09207
0.00425000 1.08078
0.00500000 1.07213
0.00625000 1.06135
0.00750000 1.05339
0.0100000 1.04222
0.0125000 1.03459
0.0150000 1.02896
0.0200000 1.02106
0.0253000 1.01540
0.0314750 1.01071
0.0376500 1.00722
0.0500000 1.00230
0.0625000 0.998889
0.0750000 0.996372
0.100000 0.992840
0.125000 0.990706
0.150000 0.989204
0.200000 0.987260
0.275000 0.985716
0.350000 0.984985
0.500000 0.984657
0.750000 0.985561
1.00000 0.987221
1.50000 0.987007
2.00000 0.987329
2.75000 0.988244
3.50000 0.989416
5.00000 0.992119
7.50000 0.997082
10.0000 1.00228
15.0000 1.00353
20.0000 1.00495
27.5000 1.00721
35.0000 1.00955
50.0000 1.01435
75.0000 1.02250
100.000 1.03072
150.000 1.03224
200.000 1.03382
275.000 1.03624
350.000 1.03869
500.000 1.04363
750.000 1.05190
1000.00 1.06020
1500.00 1.06017
2000.00 1.06015
2750.00 1.06013
3500.00 1.06011
5000.00 1.06008
7500.00 1.06004
10000.0 1.06000
15000.0 1.05624
20000.0 1.05248
27500.0 1.04686
35000.0 1.04124
50000.0 1.03000
60000.0 1.01800
80000.0 0.998000
100000 0.983035
120000 0.980250
130000 0.983220
140000 0.985851
150000 0.997322
160000 1.02340
180000 1.08915
200000 1.39168
210000 1.68289
220000 2.02989
230000 3.17751
240000 5.05869
250000 8.94553
260000 11.7781
270000 9.35709
280000 6.22150
290000 4.43784
300000 3.20522
310000 2.64331
320000 2.18233
330000 1.85052
340000 1.67612
350000 1.58723
360000 1.49703
380000 1.33617
400000 1.24046
450000 1.11178
500000 1.03427
546277 1.02151
550000 1.02092
600000 1.02614
650000 1.04547
700000 1.07288
750000 1.12471
800000 1.19951
850000 1.28213
900000 1.36841
950000 1.46341
1.00000E+06 1.55453
1.05000E+06 1.62100
1.10000E+06 1.66529
1.15000E+06 1.69153
1.20000E+06 1.70387
1.25000E+06 1.70966
1.30000E+06 1.71335
1.40000E+06 1.71364
1.50000E+06 1.70050
1.60000E+06 1.67987
1.70000E+06 1.66523
1.80000E+06 1.67012
1.90000E+06 1.69406
2.00000E+06 1.72549
2.10000E+06 1.76132
2.20000E+06 1.79845
2.30000E+06 1.83805
2.40000E+06 1.88027
2.50000E+06 1.92045
2.60000E+06 1.95393
2.70000E+06 1.97892
2.80000E+06 1.99839
2.82131E+06 2.00206
2.90000E+06 2.01481
3.00000E+06 2.03066
3.10000E+06 2.04468
3.14540E+06 2.04986
3.20000E+06 2.05599
3.30000E+06 2.06764
3.40000E+06 2.08265
3.50000E+06 2.10685
3.60000E+06 2.14176
3.70000E+06 2.18393
3.71720E+06 2.19150
3.71724E+06 2.19151
3.80000E+06 2.22992
3.90000E+06 2.28721
4.00000E+06 2.35656
4.10000E+06 2.42450
4.20000E+06 2.47757
4.28910E+06 2.50677
4.28913E+06 2.50677
4.30000E+06 2.50933
4.40000E+06 2.52889
4.50000E+06 2.54164
4.60000E+06 2.54275
4.70000E+06 2.52719
4.80000E+06 2.49673
4.86100E+06 2.47247
4.86101E+06 2.47247
4.90000E+06 2.45608
5.00000E+06 2.40994
5.10000E+06 2.34606
5.20000E+06 2.26346
5.29564E+06 2.18692
5.30000E+06 2.18379
5.35000E+06 2.15182
5.40000E+06 2.12872
5.43290E+06 2.11897
5.45000E+06 2.11557
5.50000E+06 2.11062
5.55000E+06 2.11231
5.60000E+06 2.11910
5.70000E+06 2.14911
5.80000E+06 2.17508
5.90000E+06 2.18052
6.00000E+06 2.17068
6.00480E+06 2.16957
6.25000E+06 2.11204
6.50000E+06 2.05473
6.57670E+06 2.03902
6.75000E+06 2.00521
7.00000E+06 1.95660
7.14850E+06 1.92804
7.14854E+06 1.92803
7.25000E+06 1.90867
7.50000E+06 1.86771
7.72040E+06 1.85097
7.72042E+06 1.85097
7.75000E+06 1.84929
8.00000E+06 1.83701
8.25000E+06 1.81247
8.29230E+06 1.80819
8.29231E+06 1.80819
8.29288E+06 1.80813
8.50000E+06 1.78968
8.75000E+06 1.77495
8.86420E+06 1.76867
8.86786E+06 1.76846
9.00000E+06 1.75947
9.25000E+06 1.73949
9.43610E+06 1.72463
9.50000E+06 1.71956
9.75000E+06 1.69998
9.97823E+06 1.68217
1.00000E+07 1.68047
1.00080E+07 1.67984
1.02540E+07 1.66079
1.05000E+07 1.64189
1.05800E+07 1.63582
1.10000E+07 1.60713
1.11520E+07 1.59868
1.14123E+07 1.58721
1.15000E+07 1.58394
1.17240E+07 1.57551
1.20000E+07 1.56432
1.22950E+07 1.55007
1.22955E+07 1.55003
1.25000E+07 1.53958
1.25226E+07 1.53842
1.25227E+07 1.53841
1.28670E+07 1.52049
1.28674E+07 1.52046
1.30000E+07 1.51256
1.34390E+07 1.48088
1.34393E+07 1.48085
1.35000E+07 1.47648
1.40000E+07 1.44166
1.40110E+07 1.44099
1.40112E+07 1.44098
1.45000E+07 1.41624
1.45830E+07 1.41223
1.45830E+07 1.41223
1.50000E+07 1.39219
1.51550E+07 1.38485
1.55000E+07 1.36861
1.57270E+07 1.35804
1.60000E+07 1.34573
1.62990E+07 1.33275
1.65000E+07 1.32409
1.68710E+07 1.30820
1.70000E+07 1.30262
1.74420E+07 1.28288
1.74425E+07 1.28285
1.75000E+07 1.28028
1.80000E+07 1.25831
1.80140E+07 1.25773
1.80143E+07 1.25771
1.85000E+07 1.24256
1.85860E+07 1.24016
1.85862E+07 1.24016
1.90000E+07 1.22882
1.91580E+07 1.22365
1.91581E+07 1.22364
1.95000E+07 1.21165
1.97300E+07 1.20332
2.00000E+07 1.19329
