B-10(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 25.1500
1.25000E-05 22.4948
1.50000E-05 20.5349
2.00000E-05 17.7837
2.75000E-05 15.1660
3.50000E-05 13.4432
4.25000E-05 12.1995
5.00000E-05 11.2474
6.25000E-05 10.0600
7.50000E-05 9.18344
0.000100000 7.95309
0.000125000 7.11345
0.000150000 6.49366
0.000200000 5.62367
0.000275000 4.79588
0.000350000 4.25109
0.000425000 3.85780
0.000500000 3.55672
0.000625000 3.18122
0.000750000 2.90404
0.00100000 2.51497
0.00125000 2.24946
0.00150000 2.05347
0.00200000 1.77835
0.00275000 1.51658
0.00350000 1.34431
0.00425000 1.21994
0.00500000 1.12473
0.00625000 1.00599
0.00750000 0.918334
0.0100000 0.795300
0.0125000 0.711338
0.0150000 0.649359
0.0200000 0.562361
0.0253000 0.500000
0.0314750 0.448149
0.0376500 0.409656
0.0500000 0.355348
0.0625000 0.317739
0.0750000 0.289985
0.100000 0.251039
0.125000 0.224470
0.150000 0.204862
0.200000 0.177348
0.275000 0.151180
0.350000 0.133964
0.500000 0.112029
0.750000 0.0914223
1.00000 0.0791439
1.50000 0.0645861
2.00000 0.0559119
2.75000 0.0476618
3.50000 0.0422342
5.00000 0.0353190
7.20000 0.0294183
9.40000 0.0257375
10.0000 0.0249514
15.0000 0.0203618
20.0000 0.0176271
27.5000 0.0150261
35.0000 0.0133150
50.0000 0.0111349
75.0000 0.00908670
100.000 0.00786632
150.000 0.00641938
200.000 0.00555723
250.000 0.00496907
350.000 0.00419776
450.000 0.00370085
500.000 0.00351044
550.000 0.00334665
650.000 0.00307779
750.000 0.00286473
850.000 0.00269050
950.000 0.00254458
1000.00 0.00247998
1500.00 0.00202381
2000.00 0.00175201
2500.00 0.00156658
3500.00 0.00132341
4500.00 0.00116675
5000.00 0.00110672
5500.00 0.00105509
6500.00 0.000970323
7500.00 0.000903151
8500.00 0.000848222
9500.00 0.000802219
10000.0 0.000781854
15000.0 0.000638039
20000.0 0.000552347
24000.0 0.000504100
30000.0 0.000450748
45000.0 0.000367837
50000.0 0.000348912
51000.0 0.000345465
55000.0 0.000332632
65000.0 0.000305910
75000.0 0.000284733
85000.0 0.000267415
95000.0 0.000252912
100000 0.000246492
120000 0.000224961
150000 0.000201152
170000 0.000188918
180000 0.000183581
190000 0.000178672
200000 0.000174136
210000 0.000169929
220000 0.000166012
230000 0.000162353
235000 0.000160612
240000 0.000158926
245000 0.000157291
250000 0.000155706
260000 0.000152675
270000 0.000149813
280000 0.000147107
300000 0.000142105
320000 0.000137581
325000 0.000136516
340000 0.000133463
350000 0.000131537
360000 0.000129693
375000 0.000127065
380000 0.000126225
400000 0.000123020
420000 0.000120048
425000 0.000119337
440000 0.000117280
450000 0.000115966
460000 0.000114696
475000 0.000112865
480000 0.000112274
500000 0.000110000
520000 0.000105600
540000 0.000101200
560000 9.68000E-05
570000 9.46000E-05
580000 9.24000E-05
600000 8.80000E-05
650000 7.70000E-05
700000 6.60000E-05
750000 5.50000E-05
790714 4.60430E-05
790714 4.60429E-05
800000 4.40000E-05
820000 3.96000E-05
840000 3.52000E-05
850000 3.30000E-05
860000 3.08000E-05
880000 2.64000E-05
