C-12(n,tot) CENDL-3.1
Energy(eV) XS(b)
1.00000E-05 4.91020
1.19336E-05 4.90833
1.38672E-05 4.90960
1.38672E-05 4.90960
1.77344E-05 4.90900
2.00000E-05 4.90822
2.16016E-05 4.90840
2.54688E-05 4.90780
3.32032E-05 4.90660
4.09375E-05 4.90539
5.00000E-05 4.90327
5.64063E-05 4.90299
7.18750E-05 4.90058
8.73440E-05 4.89818
0.000100000 4.89613
0.000102813 4.89577
0.000133750 4.89096
0.000164688 4.88615
0.000195625 4.88134
0.000200000 4.88058
0.000257500 4.87173
0.000319375 4.86211
0.000381250 4.85249
0.000500000 4.83400
0.000505000 4.83325
0.000628750 4.81401
0.000752500 4.79479
0.00100000 4.75630
0.00137969 4.75609
0.00175938 4.75587
0.00200000 4.75570
0.00213907 4.75566
0.00251875 4.75544
0.00327813 4.75503
0.00403750 4.75459
0.00500000 4.75398
0.00555625 4.75373
0.00707500 4.75288
0.00859375 4.75202
0.0100000 4.75122
0.0101125 4.75116
0.0131500 4.74945
0.0161875 4.74774
0.0192250 4.74603
0.0200000 4.74558
0.0253000 4.74260
0.0346375 4.74239
0.0439750 4.74218
0.0500000 4.74203
0.0533125 4.74196
0.0626500 4.74175
0.0813250 4.74132
0.100000 4.74090
0.119336 4.74088
0.138672 4.74089
0.177344 4.74089
0.200000 4.74088
0.216016 4.74088
0.254688 4.74087
0.332032 4.74086
0.409375 4.74085
0.500000 4.74082
0.564063 4.74082
0.718750 4.74080
0.873440 4.74077
1.00000 4.74076
1.02813 4.74075
1.33750 4.74070
1.64688 4.74065
1.95625 4.74060
2.00000 4.74059
2.57500 4.74050
3.19375 4.74040
3.81250 4.74030
5.00000 4.74011
5.05000 4.74010
6.28750 4.73990
7.52500 4.73970
10.0000 4.73930
13.8672 4.73928
17.7344 4.73926
20.0000 4.73925
21.6016 4.73924
25.4688 4.73923
33.2032 4.73919
40.9375 4.73916
50.0000 4.73911
56.4063 4.73908
71.8750 4.73901
87.3440 4.73893
100.000 4.73888
102.813 4.73886
133.750 4.73871
164.688 4.73857
195.625 4.73842
200.000 4.73840
257.500 4.73812
319.375 4.73783
381.250 4.73754
500.000 4.73698
505.000 4.73695
628.750 4.73636
752.500 4.73577
1000.00 4.73460
1500.00 4.73229
2000.00 4.72997
2750.00 4.72651
3500.00 4.72304
5000.00 4.71610
7500.00 4.70760
10000.0 4.69910
15000.0 4.68210
20000.0 4.66530
21000.0 4.66196
21000.0 4.66196
25000.0 4.64860
30000.0 4.63190
35000.0 4.61540
40000.0 4.59890
40000.0 4.59890
45000.0 4.58250
50000.0 4.56620
60000.0 4.53420
60000.0 4.53420
75000.0 4.48620
97000.0 4.41774
97000.0 4.41774
100000 4.40840
125000 4.33010
130000 4.31480
135000 4.30120
140000 4.28910
142500 4.28480
145000 4.28380
147500 4.29240
148750 4.30700
150000 4.34000
151000 4.39370
152000 4.47650
152900 4.52060
154000 4.45450
155000 4.37310
156000 4.32100
158000 4.27100
160000 4.24840
161250 4.23930
162500 4.23200
165000 4.22040
170000 4.20210
175000 4.18610
180000 4.17120
200000 4.11590
200000 4.11590
225000 4.04840
250000 3.98280
275000 3.91820
300000 3.85510
325000 3.79370
350000 3.73380
375000 3.67530
400000 3.61820
425000 3.56260
450000 3.50820
475000 3.45510
500000 3.40330
525000 3.35270
550000 3.30320
575000 3.25490
600000 3.20760
625000 3.16150
650000 3.11630
675000 3.07220
700000 3.02900
725000 2.98680
750000 2.94540
775000 2.90500
800000 2.86540
825000 2.82670
850000 2.78880
875000 2.75170
900000 2.71540
925000 2.67980
950000 2.64500
975000 2.61080
1.00000E+06 2.57740
1.02500E+06 2.54460
1.05000E+06 2.51250
1.05300E+06 2.50870
1.07500E+06 2.48110
1.10000E+06 2.45030
1.12500E+06 2.42010
1.15000E+06 2.39050
1.17500E+06 2.36150
1.20000E+06 2.33310
1.22500E+06 2.30520
1.25000E+06 2.27790
1.27500E+06 2.25110
1.30000E+06 2.22490
1.32500E+06 2.19910
1.35000E+06 2.17390
1.37500E+06 2.14920
1.40000E+06 2.12500
1.42500E+06 2.10120
1.45000E+06 2.07800
1.47500E+06 2.05520
1.50000E+06 2.03280
1.52500E+06 2.01050
1.55000E+06 1.98880
1.55300E+06 1.98620
1.57500E+06 1.96740
1.60000E+06 1.94650
1.62500E+06 1.92590
1.65000E+06 1.90590
1.67500E+06 1.88580
1.68000E+06 1.88190
1.70000E+06 1.86550
1.71000E+06 1.85740
1.71500E+06 1.85370
1.72000E+06 1.85070
1.72500E+06 1.85010
1.73000E+06 1.85470
1.73200E+06 1.85830
1.73400E+06 1.86160
1.73600E+06 1.86250
1.73800E+06 1.85980
1.74000E+06 1.85440
1.74500E+06 1.84080
1.75000E+06 1.83270
1.75500E+06 1.82800
1.76000E+06 1.82440
1.77000E+06 1.81800
1.77500E+06 1.81471
1.78000E+06 1.81151
1.79000E+06 1.80481
1.80000E+06 1.79801
1.82000E+06 1.78441
1.82500E+06 1.78101
1.85000E+06 1.76441
1.87500E+06 1.74801
1.90000E+06 1.73190
1.92500E+06 1.71610
1.95000E+06 1.70060
1.97500E+06 1.68520
1.98300E+06 1.68070
1.99100E+06 1.67550
2.00000E+06 1.67040
2.02500E+06 1.65910
2.05000E+06 1.68490
2.05200E+06 1.69510
2.05300E+06 1.70200
2.05400E+06 1.70890
2.05600E+06 1.72780
2.05800E+06 1.75420
2.06000E+06 1.79180
2.06100E+06 1.81650
2.06200E+06 1.84670
2.06300E+06 1.88360
2.06400E+06 1.92940
2.06500E+06 1.98680
2.06600E+06 2.05950
2.06700E+06 2.15250
2.06800E+06 2.27360
2.06900E+06 2.43280
2.07000E+06 2.64490
2.07100E+06 2.92970
2.07200E+06 3.31220
2.07300E+06 3.81760
2.07400E+06 4.45110
2.07500E+06 5.15650
2.07600E+06 5.76640
2.07700E+06 6.04350
2.07800E+06 5.87190
2.07900E+06 5.37280
2.08000E+06 4.76540
2.08100E+06 4.19890
2.08200E+06 3.72820
2.08300E+06 3.35590
2.08400E+06 3.06580
2.08500E+06 2.83990
2.08600E+06 2.66260
2.08700E+06 2.52180
2.08800E+06 2.40850
2.08900E+06 2.31660
2.09000E+06 2.24070
2.09100E+06 2.17760
2.09200E+06 2.12450
2.09300E+06 2.07940
2.09400E+06 2.04070
2.09500E+06 2.00730
2.09600E+06 1.97830
2.09700E+06 1.95280
2.09800E+06 1.93030
2.09900E+06 1.91040
2.10000E+06 1.89260
2.10200E+06 1.86240
2.10400E+06 1.83760
2.10600E+06 1.81700
2.10800E+06 1.79960
2.11000E+06 1.78480
2.11200E+06 1.77210
2.11400E+06 1.76090
2.11600E+06 1.75110
2.11800E+06 1.74240
2.12000E+06 1.73470
2.14000E+06 1.68630
2.16000E+06 1.66110
2.18000E+06 1.64450
2.20000E+06 1.63200
2.22000E+06 1.62190
2.24000E+06 1.61360
2.26000E+06 1.60650
2.28000E+06 1.60040
2.30000E+06 1.59530
2.32000E+06 1.59110
2.34000E+06 1.58780
2.36000E+06 1.58530
2.38000E+06 1.58370
2.40000E+06 1.58290
2.42000E+06 1.58310
2.44000E+06 1.58430
2.46000E+06 1.58660
2.48000E+06 1.58990
2.50000E+06 1.59450
2.52000E+06 1.60040
2.54000E+06 1.60770
2.55300E+06 1.61340
2.56000E+06 1.61650
2.58000E+06 1.62700
2.60000E+06 1.63950
2.62000E+06 1.65400
2.64000E+06 1.67090
2.66000E+06 1.69050
2.68000E+06 1.71320
2.70000E+06 1.73960
2.72000E+06 1.77020
2.74000E+06 1.80590
2.76000E+06 1.84780
2.78000E+06 1.89790
2.78500E+06 1.91200
2.79000E+06 1.92700
2.79500E+06 1.94310
2.80000E+06 1.96110
2.80200E+06 1.96930
2.80400E+06 1.97860
2.80600E+06 1.99030
2.80800E+06 2.00700
2.81000E+06 2.03890
2.81100E+06 2.07180
2.81200E+06 2.14000
2.81300E+06 2.32800
2.81400E+06 3.16050
2.81500E+06 5.07090
2.81600E+06 2.77620
2.81700E+06 2.28950
2.81800E+06 2.15890
2.81900E+06 2.10900
2.82000E+06 2.08630
2.82200E+06 2.06970
2.82400E+06 2.06730
2.82600E+06 2.07020
2.82800E+06 2.07560
2.83000E+06 2.08250
2.83500E+06 2.10290
2.84000E+06 2.12650
2.84500E+06 2.15220
2.85000E+06 2.18010
2.85500E+06 2.21020
2.86000E+06 2.24250
2.86500E+06 2.27740
2.87000E+06 2.31490
2.87500E+06 2.35550
2.88000E+06 2.39940
2.88500E+06 2.44700
2.89000E+06 2.49870
2.89500E+06 2.55480
2.90000E+06 2.61570
2.90500E+06 2.68180
2.91000E+06 2.75320
2.91500E+06 2.82960
2.92000E+06 2.91030
2.92400E+06 2.97680
2.92800E+06 3.04320
2.93200E+06 3.10670
2.93600E+06 3.16330
2.94000E+06 3.20700
2.94400E+06 3.22970
2.94800E+06 3.22120
2.95200E+06 3.17070
2.95600E+06 3.06860
2.96000E+06 2.91060
2.96400E+06 2.70130
2.96800E+06 2.45570
2.97200E+06 2.19600
2.97600E+06 1.94580
2.98000E+06 1.72350
2.98400E+06 1.53950
2.98800E+06 1.39620
2.99200E+06 1.29080
2.99600E+06 1.21760
3.00000E+06 1.17040
3.01000E+06 1.12950
3.02000E+06 1.15030
3.03000E+06 1.19760
3.04000E+06 1.25470
3.05000E+06 1.31400
3.05300E+06 1.33160
3.06000E+06 1.37251
3.08000E+06 1.48251
3.10000E+06 1.58261
3.12000E+06 1.67441
3.14000E+06 1.75990
3.16000E+06 1.84040
3.18000E+06 1.91710
3.20000E+06 1.99040
3.22000E+06 2.06090
3.24000E+06 2.12850
3.26000E+06 2.19320
3.28000E+06 2.25490
3.30000E+06 2.31320
3.32000E+06 2.36780
3.34000E+06 2.41830
3.36000E+06 2.46440
3.38000E+06 2.50580
3.40000E+06 2.54200
3.42000E+06 2.57290
3.44000E+06 2.59840
3.46000E+06 2.61820
3.48000E+06 2.63240
3.50000E+06 2.64100
3.52000E+06 2.64420
3.54000E+06 2.64220
3.55300E+06 2.63770
3.56000E+06 2.63530
3.58000E+06 2.62380
3.60000E+06 2.60810
3.62000E+06 2.58850
3.64000E+06 2.56540
3.66000E+06 2.53930
3.68000E+06 2.51050
3.70000E+06 2.47950
3.72000E+06 2.44650
3.74000E+06 2.41200
3.76000E+06 2.37620
3.78000E+06 2.33940
3.80000E+06 2.30190
3.82000E+06 2.26390
3.84000E+06 2.22570
3.86000E+06 2.18740
3.88000E+06 2.14910
3.90000E+06 2.11120
3.92000E+06 2.07360
3.94000E+06 2.03670
3.96000E+06 2.00070
3.98000E+06 1.96570
4.00000E+06 1.93210
4.01000E+06 1.91600
4.02000E+06 1.90040
4.03000E+06 1.88550
4.04000E+06 1.87140
4.05000E+06 1.85810
4.05300E+06 1.85450
4.06000E+06 1.84590
4.07000E+06 1.83500
4.08000E+06 1.82550
4.09000E+06 1.81800
4.10000E+06 1.81260
4.11000E+06 1.80980
4.12000E+06 1.81030
4.13000E+06 1.81450
4.14000E+06 1.82330
4.15000E+06 1.83720
4.16000E+06 1.85720
4.17000E+06 1.88390
4.18000E+06 1.91750
4.19000E+06 1.95790
4.20000E+06 2.00430
4.21000E+06 2.05490
4.22000E+06 2.10660
4.23000E+06 2.15590
4.24000E+06 2.19880
4.25000E+06 2.23190
4.26000E+06 2.25280
4.27000E+06 2.26090
4.28000E+06 2.25680
4.29000E+06 2.24220
4.30000E+06 2.21950
4.31000E+06 2.19090
4.32000E+06 2.15850
4.33000E+06 2.12400
4.34000E+06 2.08860
4.35000E+06 2.05340
4.36000E+06 2.01890
4.37000E+06 1.98540
4.38000E+06 1.95330
4.39000E+06 1.92260
4.40000E+06 1.89330
4.42000E+06 1.83900
4.44000E+06 1.78990
4.46000E+06 1.74540
4.48000E+06 1.70490
4.50000E+06 1.66771
4.52000E+06 1.63331
4.54000E+06 1.60151
4.55300E+06 1.58221
4.56000E+06 1.57170
4.58000E+06 1.54380
4.60000E+06 1.51750
4.62000E+06 1.49250
4.64000E+06 1.46880
4.66000E+06 1.44620
4.68000E+06 1.42450
4.70000E+06 1.40360
4.72000E+06 1.38340
4.74000E+06 1.36390
4.76000E+06 1.34480
4.78000E+06 1.32620
4.80000E+06 1.30780
4.81000E+06 1.29860
4.81200E+06 1.29670
4.81202E+06 1.29668
4.82000E+06 1.28990
4.85000E+06 1.27050
4.89990E+06 1.25180
4.90000E+06 1.25180
4.91940E+06 1.27510
4.92000E+06 1.27950
4.93000E+06 1.35260
4.93450E+06 1.38521
4.93550E+06 1.76340
4.93670E+06 2.01160
4.93850E+06 1.98590
4.93950E+06 1.78280
4.94000E+06 1.73970
4.94320E+06 1.46390
4.94810E+06 1.32561
4.95000E+06 1.31240
4.95460E+06 1.28060
4.95840E+06 1.25930
4.98000E+06 1.22360
4.99000E+06 1.20341
5.00000E+06 1.18320
5.00100E+06 1.19540
5.03000E+06 1.17730
5.05300E+06 1.17250
5.10000E+06 1.15120
5.12000E+06 1.11250
5.15000E+06 1.13570
5.18000E+06 1.12470
5.20000E+06 1.10780
5.23000E+06 1.09820
5.28000E+06 1.06490
5.30000E+06 1.05810
5.33000E+06 1.04550
5.33500E+06 1.07960
5.34000E+06 1.02710
5.36000E+06 1.57830
5.36200E+06 1.82550
5.37000E+06 1.99230
5.37100E+06 1.97160
5.37800E+06 1.75770
5.38000E+06 1.67960
5.39000E+06 1.46270
5.40000E+06 1.32770
5.41000E+06 1.26110
5.42000E+06 1.22780
5.43000E+06 1.19900
5.44000E+06 1.19100
5.46000E+06 1.14570
5.50000E+06 1.11900
5.55000E+06 1.10120
5.55300E+06 1.11090
5.60000E+06 1.08880
5.65000E+06 1.07920
5.70000E+06 1.06820
5.80000E+06 1.07880
5.90000E+06 1.07970
6.00000E+06 1.09750
6.05000E+06 1.10410
6.05300E+06 1.10800
6.12500E+06 1.13320
6.16000E+06 1.16230
6.17400E+06 1.18940
6.18000E+06 1.19600
6.18075E+06 1.19719
6.18120E+06 1.19790
6.19000E+06 1.21190
6.20000E+06 1.22780
6.21000E+06 1.27450
6.22000E+06 1.29320
6.23000E+06 1.34510
6.24000E+06 1.42890
6.25000E+06 1.50320
6.28500E+06 2.41540
6.29500E+06 2.71070
6.30300E+06 2.59900
6.31000E+06 2.36040
6.32000E+06 1.93510
6.33000E+06 1.70310
6.34000E+06 1.52061
6.35000E+06 1.48190
6.36000E+06 1.60090
6.37000E+06 1.40640
6.39000E+06 1.17840
6.40000E+06 1.15490
6.41000E+06 1.11770
6.42000E+06 1.09000
6.43000E+06 1.10290
6.44000E+06 1.07960
6.45000E+06 1.07980
6.47000E+06 1.06020
6.49000E+06 1.05760
6.51000E+06 1.03730
6.54000E+06 0.972100
6.55300E+06 0.895670
6.56000E+06 0.849100
6.57000E+06 0.769460
6.58000E+06 0.732240
6.59000E+06 0.743230
6.60000E+06 0.737830
6.62000E+06 0.781860
6.64000E+06 0.763830
6.65800E+06 0.935850
6.66500E+06 0.863110
6.67000E+06 0.849040
6.68000E+06 0.842781
6.70000E+06 0.836570
6.75000E+06 0.815830
6.81000E+06 0.797910
6.92000E+06 0.769900
7.00000E+06 0.744980
7.05300E+06 0.749090
7.10000E+06 0.748810
7.14000E+06 0.768090
7.18000E+06 0.797630
7.20000E+06 0.844660
7.22000E+06 0.877610
7.22500E+06 0.887860
7.25000E+06 0.976720
7.27000E+06 1.06910
7.28000E+06 1.13870
7.34000E+06 1.64450
7.35000E+06 1.75620
7.36000E+06 1.75550
7.37000E+06 1.80860
7.40000E+06 1.78140
7.42000E+06 1.77080
7.47000E+06 1.75560
7.52900E+06 1.75400
7.54200E+06 1.73460
7.55300E+06 1.72530
7.59400E+06 1.70410
7.62000E+06 1.70100
7.65000E+06 1.72250
7.66700E+06 1.78240
