C-13(n,g) JEFF-3.2
Energy(eV) XS(b)
1.00000E-05 0.0687703
1.25000E-05 0.0615100
1.50000E-05 0.0561507
2.00000E-05 0.0486279
2.75000E-05 0.0414700
3.50000E-05 0.0367593
4.25000E-05 0.0333585
5.00000E-05 0.0307550
6.25000E-05 0.0275081
7.50000E-05 0.0251114
0.000100000 0.0217471
0.000125000 0.0194512
0.000150000 0.0177564
0.000200000 0.0153775
0.000275000 0.0131140
0.000350000 0.0116243
0.000425000 0.0105489
0.000500000 0.00972559
0.000625000 0.00869883
0.000750000 0.00794091
0.00100000 0.00687703
0.00125000 0.00615100
0.00150000 0.00561507
0.00200000 0.00486280
0.00275000 0.00414701
0.00350000 0.00367593
0.00425000 0.00333585
0.00500000 0.00307551
0.00625000 0.00275082
0.00750000 0.00251114
0.0100000 0.00217472
0.0125000 0.00194513
0.0150000 0.00177565
0.0200000 0.00153777
0.0253000 0.00136725
0.0314750 0.00122582
0.0376500 0.00112081
0.0500000 0.000972601
0.0625000 0.000869936
0.0750000 0.000794154
0.100000 0.000687703
0.150000 0.000561506
0.200000 0.000486280
0.275000 0.000414700
0.350000 0.000367592
0.500000 0.000307550
0.750000 0.000251114
1.00000 0.000217471
1.50000 0.000177565
2.00000 0.000153776
2.75000 0.000131141
3.50000 0.000116244
5.00000 9.72564E-05
7.50000 7.94099E-05
10.0000 6.87712E-05
15.0000 5.61518E-05
20.0000 4.86292E-05
27.5000 4.14715E-05
35.0000 3.67609E-05
50.0000 3.07570E-05
75.0000 2.51138E-05
100.000 2.17499E-05
150.000 1.77599E-05
200.000 1.53815E-05
275.000 1.31187E-05
350.000 1.16296E-05
500.000 9.73193E-06
750.000 7.94873E-06
1000.00 6.88613E-06
1500.00 5.62637E-06
2000.00 4.87603E-06
2750.00 4.16285E-06
3500.00 3.69418E-06
5000.00 3.09823E-06
7500.00 2.54093E-06
10000.0 2.21147E-06
15000.0 1.82690E-06
20000.0 1.60492E-06
27500.0 1.40624E-06
35000.0 1.29098E-06
50000.0 1.19505E-06
75000.0 1.32715E-06
87500.0 1.58565E-06
100000 2.12225E-06
106319 2.60056E-06
112638 3.34453E-06
118956 4.57369E-06
125275 6.79180E-06
128434 8.62772E-06
131594 1.13720E-05
134753 1.57260E-05
137913 2.32166E-05
141072 3.76939E-05
142652 5.05627E-05
144231 7.11896E-05
145811 0.000107062
147391 0.000176779
148181 0.000238246
148970 0.000334215
149760 0.000490226
150550 0.000746489
151475 0.00119323
152400 0.00147485
153325 0.00116694
154250 0.000728897
155019 0.000487001
155787 0.000337509
156556 0.000243996
157325 0.000183221
158862 0.000113127
160400 7.63998E-05
161937 5.49856E-05
163474 4.14760E-05
166549 2.60768E-05
169624 1.79804E-05
172698 1.32068E-05
178848 8.08900E-06
184997 5.54112E-06
191147 4.08640E-06
203445 2.56473E-06
215744 1.81900E-06
228043 1.39406E-06
252641 9.44928E-07
277238 7.18478E-07
301836 5.84573E-07
351031 4.34738E-07
449422 3.01623E-07
547813 2.41033E-07
744594 1.90596E-07
941375 1.84652E-07
1.13816E+06 2.18807E-07
1.23655E+06 2.61873E-07
1.33494E+06 3.42801E-07
1.43333E+06 5.13014E-07
1.48252E+06 6.77592E-07
1.53172E+06 9.67673E-07
1.58092E+06 1.55464E-06
1.60551E+06 2.10609E-06
1.63011E+06 3.04926E-06
1.65471E+06 4.87128E-06
1.66701E+06 6.50262E-06
1.67931E+06 9.15836E-06
1.69160E+06 1.39429E-05
1.69775E+06 1.79452E-05
1.70390E+06 2.40397E-05
1.71005E+06 3.40384E-05
1.71620E+06 5.22206E-05
1.71928E+06 6.74555E-05
1.72235E+06 9.03433E-05
1.72543E+06 0.000126134
1.72850E+06 0.000182816
1.73450E+06 0.000339914
1.73600E+06 0.000354182
1.73975E+06 0.000294446
1.74350E+06 0.000203306
1.74638E+06 0.000156890
1.74925E+06 0.000127765
1.75500E+06 9.48222E-05
1.76525E+06 5.89194E-05
1.77550E+06 3.53869E-05
1.78544E+06 2.24857E-05
1.79538E+06 1.52203E-05
1.80531E+06 1.09053E-05
1.81525E+06 8.18277E-06
1.83513E+06 5.10809E-06
1.85500E+06 3.51818E-06
1.87488E+06 2.59593E-06
1.89475E+06 2.01592E-06
1.93450E+06 1.35921E-06
1.97425E+06 1.02098E-06
2.01400E+06 8.30403E-07
2.09350E+06 6.57711E-07
2.17300E+06 6.37966E-07
2.25250E+06 7.90754E-07
2.29225E+06 1.03698E-06
2.31213E+06 1.28077E-06
2.33200E+06 1.71422E-06
2.35188E+06 2.59699E-06
2.36181E+06 3.43057E-06
2.37175E+06 4.86344E-06
2.38169E+06 7.65105E-06
2.38666E+06 1.01612E-05
2.39163E+06 1.42586E-05
2.39659E+06 2.16215E-05
2.39908E+06 2.77151E-05
2.40156E+06 3.68139E-05
2.40405E+06 5.11805E-05
2.40653E+06 7.54052E-05
2.40902E+06 0.000119340
2.41150E+06 0.000202345
2.41375E+06 0.000321060
2.41600E+06 0.000394478
2.41825E+06 0.000312730
2.42050E+06 0.000198891
2.42200E+06 0.000147086
2.42350E+06 0.000112607
2.42563E+06 8.31091E-05
2.42775E+06 6.68909E-05
2.43200E+06 5.08208E-05
2.43625E+06 3.87098E-05
2.44050E+06 3.34006E-05
2.44160E+06 3.48527E-05
2.44500E+06 4.58893E-05
2.44670E+06 3.98940E-05
2.44840E+06 2.88654E-05
2.45006E+06 2.12322E-05
2.45172E+06 1.65496E-05
2.45504E+06 1.15184E-05
2.45836E+06 8.90985E-06
2.46168E+06 7.30301E-06
2.46831E+06 5.43269E-06
2.47495E+06 4.45555E-06
2.48823E+06 4.37607E-06
2.49486E+06 7.23480E-06
2.49652E+06 9.44017E-06
2.49818E+06 1.35524E-05
2.49984E+06 2.20123E-05
2.50067E+06 2.95016E-05
2.50150E+06 4.04029E-05
2.50275E+06 6.16363E-05
2.50338E+06 6.86949E-05
2.50400E+06 6.80792E-05
2.50650E+06 3.06053E-05
2.50757E+06 2.08776E-05
2.50863E+06 1.50006E-05
2.50970E+06 1.13320E-05
2.51077E+06 8.93962E-06
2.51290E+06 6.14708E-06
2.51503E+06 4.65304E-06
2.51930E+06 3.18093E-06
2.52356E+06 2.48958E-06
2.53209E+06 1.84623E-06
2.54063E+06 1.54062E-06
2.55769E+06 1.23676E-06
2.57475E+06 1.08246E-06
2.64300E+06 8.72419E-07
2.77950E+06 9.20291E-07
2.91600E+06 1.17678E-06
3.05250E+06 1.63534E-06
3.14175E+06 2.10344E-06
3.23100E+06 2.81453E-06
3.24000E+06 2.90670E-06
3.26750E+06 3.21695E-06
3.29500E+06 3.56938E-06
3.35000E+06 4.37448E-06
3.39500E+06 5.27394E-06
3.41750E+06 6.01682E-06
3.44000E+06 7.37950E-06
3.45125E+06 9.21241E-06
3.45688E+06 1.21855E-05
3.45969E+06 1.61619E-05
3.46109E+06 1.98986E-05
3.46250E+06 2.57905E-05
3.46425E+06 3.63557E-05
3.46600E+06 4.25278E-05
3.46900E+06 2.75346E-05
3.46950E+06 2.50292E-05
3.47077E+06 2.01799E-05
3.47203E+06 1.70263E-05
3.47456E+06 1.36108E-05
3.47963E+06 1.12485E-05
3.48975E+06 1.05165E-05
3.51000E+06 1.07925E-05
3.54500E+06 9.60361E-06
3.58000E+06 7.42955E-06
3.61250E+06 6.11977E-06
3.64500E+06 5.56102E-06
3.67750E+06 5.82704E-06
3.69375E+06 6.57086E-06
3.71000E+06 8.42815E-06
3.71950E+06 1.07976E-05
3.72900E+06 1.56454E-05
3.73375E+06 2.00999E-05
3.73850E+06 2.73236E-05
3.74325E+06 3.96462E-05
3.74800E+06 6.10581E-05
3.75300E+06 9.52384E-05
3.75800E+06 0.000115951
3.76800E+06 5.82982E-05
3.77112E+06 4.37681E-05
