C-13(n,tot) JEFF-3.2
Energy(eV) XS(b)
1.00000E-05 4.26158
1.25000E-05 4.25432
1.50000E-05 4.24896
2.00000E-05 4.24144
2.75000E-05 4.23428
3.50000E-05 4.22957
4.25000E-05 4.22617
5.00000E-05 4.22356
6.25000E-05 4.22032
7.50000E-05 4.21792
0.000100000 4.21455
0.000125000 4.21226
0.000150000 4.21056
0.000200000 4.20819
0.000275000 4.20592
0.000350000 4.20443
0.000425000 4.20336
0.000500000 4.20253
0.000625000 4.20151
0.000750000 4.20075
0.00100000 4.19968
0.00125000 4.19896
0.00150000 4.19842
0.00200000 4.19767
0.00275000 4.19695
0.00350000 4.19648
0.00425000 4.19614
0.00500000 4.19588
0.00625000 4.19556
0.00750000 4.19532
0.0100000 4.19498
0.0125000 4.19475
0.0150000 4.19458
0.0200000 4.19435
0.0253000 4.19417
0.0314750 4.19403
0.0376500 4.19393
0.0500000 4.19378
0.0625000 4.19368
0.0750000 4.19360
0.100000 4.19350
0.150000 4.19337
0.200000 4.19329
0.275000 4.19322
0.350000 4.19317
0.500000 4.19311
0.750000 4.19306
1.00000 4.19302
1.50000 4.19298
2.00000 4.19296
2.75000 4.19293
3.50000 4.19291
5.00000 4.19289
7.50000 4.19286
10.0000 4.19284
15.0000 4.19281
20.0000 4.19279
27.5000 4.19276
35.0000 4.19273
50.0000 4.19267
75.0000 4.19259
100.000 4.19250
150.000 4.19233
200.000 4.19217
275.000 4.19192
350.000 4.19167
500.000 4.19118
750.000 4.19036
1000.00 4.18954
1500.00 4.18790
2000.00 4.18627
2750.00 4.18382
3500.00 4.18137
5000.00 4.17649
7500.00 4.16838
10000.0 4.16030
15000.0 4.14425
20000.0 4.12834
27500.0 4.10474
35000.0 4.08145
50000.0 4.03587
75000.0 3.96349
87500.0 3.92994
100000 3.90004
106319 3.88765
112638 3.87882
118956 3.87666
125275 3.88852
128434 3.90502
131594 3.93503
134753 3.98940
137913 4.09210
141072 4.30440
142652 4.50011
144231 4.82063
145811 5.38872
147391 6.51194
148181 7.51357
148970 9.09006
149760 11.6744
150550 15.9597
151475 23.5380
152400 28.5455
153325 23.6343
154250 16.3334
155019 12.2457
155787 9.69718
156556 8.09061
157325 7.03886
158862 5.81357
160400 5.16214
161937 4.77645
163474 4.52908
166549 4.23965
169624 4.08079
172698 3.98224
178848 3.86697
184997 3.80023
191147 3.75477
203445 3.69185
215744 3.64544
228043 3.60641
