O-17(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 0.190000
1.25000E-05 0.170008
1.50000E-05 0.155245
2.00000E-05 0.134515
2.75000E-05 0.114779
3.50000E-05 0.101784
4.25000E-05 0.0923992
5.00000E-05 0.0852123
6.25000E-05 0.0762462
7.50000E-05 0.0696253
0.000100000 0.0603279
0.000125000 0.0539802
0.000150000 0.0492928
0.000200000 0.0427105
0.000275000 0.0364441
0.000350000 0.0323180
0.000425000 0.0293382
0.000500000 0.0270562
0.000625000 0.0242093
0.000750000 0.0221071
0.00100000 0.0191550
0.00125000 0.0171395
0.00150000 0.0156512
0.00200000 0.0135612
0.00275000 0.0115716
0.00350000 0.0102615
0.00425000 0.00931531
0.00500000 0.00859076
0.00625000 0.00768683
0.00750000 0.00701934
0.0100000 0.00608202
0.0125000 0.00544206
0.0150000 0.00496950
0.0200000 0.00430590
0.0253000 0.00383000
0.0314750 0.00343304
0.0376500 0.00313834
0.0500000 0.00272252
0.0625000 0.00243454
0.0750000 0.00222201
0.100000 0.00192375
0.125000 0.00172026
0.150000 0.00157009
0.200000 0.00135933
0.275000 0.00115887
0.350000 0.00102697
0.500000 0.000858913
0.750000 0.000701009
1.00000 0.000606913
1.50000 0.000495337
2.00000 0.000428848
2.75000 0.000365604
3.50000 0.000323994
5.00000 0.000270974
7.50000 0.000221157
10.0000 0.000191472
15.0000 0.000156271
20.0000 0.000135295
27.5000 0.000115342
35.0000 0.000102215
50.0000 8.54879E-05
75.0000 6.97717E-05
100.000 6.04063E-05
150.000 4.93011E-05
200.000 4.26834E-05
275.000 3.63887E-05
350.000 3.22472E-05
500.000 2.69701E-05
750.000 2.20119E-05
1000.00 1.90572E-05
1500.00 1.55537E-05
2000.00 1.34659E-05
2750.00 1.14801E-05
3500.00 1.01735E-05
5000.00 8.50864E-06
7500.00 6.94439E-06
10000.0 6.01225E-06
15000.0 4.90695E-06
20000.0 4.24829E-06
27500.0 3.62178E-06
35000.0 3.20957E-06
40000.0 3.00187E-06
50000.0 2.68434E-06
60000.0 2.45000E-06
70000.0 2.28000E-06
75000.0 2.20122E-06
80000.0 2.13000E-06
90000.0 2.00000E-06
100000 1.90000E-06
112500 2.90254E-06
125000 4.24027E-06
150000 8.17058E-06
175000 1.42265E-05
200000 2.30000E-05
250000 4.00464E-05
300000 6.30000E-05
350000 7.93913E-05
400000 9.70000E-05
450000 0.000109006
475000 0.000115005
500000 0.000121000
600000 0.000139000
625000 0.000142082
700000 0.000151000
750000 0.000154577
800000 0.000158000
900000 0.000165000
922470 0.000166612
960000 0.000169253
1.00000E+06 0.000172000
1.20000E+06 0.000182398
1.40000E+06 0.000191678
1.60000E+06 0.000200097
1.80000E+06 0.000207830
2.00000E+06 0.000215000
2.20000E+06 0.000219000
2.40000E+06 0.000225000
2.60000E+06 0.000232000
2.80000E+06 0.000241000
2.99000E+06 0.000251833
3.00000E+06 0.000252396
3.10000E+06 0.000258000
3.20000E+06 0.000264000
3.23627E+06 0.000264923
3.40000E+06 0.000269000
3.60000E+06 0.000276000
3.79000E+06 0.000285504
3.80000E+06 0.000286000
3.90000E+06 0.000291000
4.00000E+06 0.000291000
4.06980E+06 0.000291239
4.30000E+06 0.000292000
4.40000E+06 0.000294000
4.60000E+06 0.000298000
4.80000E+06 0.000301000
4.82316E+06 0.000301235
5.00000E+06 0.000303000
5.10000E+06 0.000305000
5.20000E+06 0.000307000
5.30000E+06 0.000311000
5.37000E+06 0.000311702
5.38779E+06 0.000311879
5.40000E+06 0.000312000
5.50000E+06 0.000312000
5.52444E+06 0.000311259
5.60000E+06 0.000309000
5.69923E+06 0.000307015
5.70000E+06 0.000307000
5.80000E+06 0.000305000
5.90000E+06 0.000303000
6.00000E+06 0.000301000
6.03610E+06 0.000300273
6.07424E+06 0.000299511
6.10000E+06 0.000299000
6.17000E+06 0.000298298
6.20000E+06 0.000298000
6.21831E+06 0.000297816
6.29246E+06 0.000297075
6.30000E+06 0.000297000
6.40000E+06 0.000295000
6.50000E+06 0.000292000
6.60000E+06 0.000291000
6.70000E+06 0.000290000
6.73420E+06 0.000290343
6.80000E+06 0.000291000
6.90000E+06 0.000292000
6.96000E+06 0.000292601
7.00000E+06 0.000293000
7.10000E+06 0.000294000
7.20000E+06 0.000295000
7.30000E+06 0.000297000
7.40000E+06 0.000298000
7.50000E+06 0.000297000
7.60000E+06 0.000295000
7.76000E+06 0.000292591
7.80000E+06 0.000292000
8.00000E+06 0.000282000
8.36452E+06 0.000269846
9.00000E+06 0.000251000
9.34000E+06 0.000245248
1.00000E+07 0.000235000
1.01400E+07 0.000233210
1.09300E+07 0.000223784
1.10000E+07 0.000223000
1.17300E+07 0.000215571
1.20000E+07 0.000213000
1.22412E+07 0.000211746
1.30000E+07 0.000208000
1.33100E+07 0.000208000
1.40000E+07 0.000208000
1.41100E+07 0.000208783
1.45987E+07 0.000212221
1.49000E+07 0.000214311
1.50000E+07 0.000215000
1.57000E+07 0.000224108
1.60000E+07 0.000228000
1.70000E+07 0.000249000
1.72900E+07 0.000258070
1.80000E+07 0.000281000
1.80800E+07 0.000284800
1.87800E+07 0.000319527
1.90000E+07 0.000331000
1.96700E+07 0.000381870
2.00000E+07 0.000409000
