O-17(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 15.7503
1.25000E-05 14.4824
1.50000E-05 13.5465
2.00000E-05 12.2327
2.75000E-05 10.9827
3.50000E-05 10.1600
4.25000E-05 9.56609
5.00000E-05 9.11141
6.25000E-05 8.54437
7.50000E-05 8.12579
0.000100000 7.53823
0.000125000 7.13727
0.000150000 6.84128
0.000200000 6.42581
0.000275000 6.03049
0.000350000 5.77031
0.000425000 5.58249
0.000500000 5.43870
0.000625000 5.25937
0.000750000 5.12700
0.00100000 4.94118
0.00125000 4.81438
0.00150000 4.72077
0.00200000 4.58938
0.00275000 4.46436
0.00350000 4.38208
0.00425000 4.32268
0.00500000 4.27721
0.00625000 4.22050
0.00750000 4.17864
0.0100000 4.11987
0.0125000 4.07977
0.0150000 4.05017
0.0200000 4.00862
0.0253000 3.97883
0.0314750 3.95412
0.0376500 3.93578
0.0500000 3.90989
0.0625000 3.89195
0.0750000 3.87871
0.100000 3.86013
0.125000 3.84744
0.150000 3.83808
0.200000 3.82494
0.275000 3.81244
0.350000 3.80421
0.500000 3.79372
0.750000 3.78386
1.00000 3.77799
1.50000 3.77102
2.00000 3.76686
2.75000 3.76291
3.50000 3.76030
5.00000 3.75699
7.50000 3.75387
10.0000 3.75201
15.0000 3.74981
20.0000 3.74849
27.5000 3.74724
35.0000 3.74642
50.0000 3.74537
75.0000 3.74439
100.000 3.74380
150.000 3.74310
200.000 3.74269
275.000 3.74229
350.000 3.74203
500.000 3.74170
750.000 3.74139
1000.00 3.74120
1500.00 3.74098
2000.00 3.74085
2750.00 3.74072
3500.00 3.74064
5000.00 3.74054
7500.00 3.74044
10000.0 3.74038
15000.0 3.67979
20000.0 3.61919
27500.0 3.52834
35000.0 3.43749
40000.0 3.37692
50000.0 3.25583
60000.0 3.13473
70000.0 3.01364
75000.0 2.95320
80000.0 2.89276
90000.0 2.77188
100000 2.65100
112500 2.58269
125000 2.51438
150000 2.37776
175000 2.24151
200000 2.10527
250000 1.98654
300000 1.87081
350000 1.81108
400000 1.75085
450000 1.71411
475000 1.69512
500000 1.67612
600000 1.61634
625000 1.60539
700000 1.56685
750000 1.54716
800000 1.52666
900000 1.49467
922470 1.48871
960000 1.48593
1.00000E+06 1.47861
1.20000E+06 1.46620
1.40000E+06 1.45075
1.60000E+06 1.43288
1.80000E+06 1.41329
2.00000E+06 1.39207
2.20000E+06 1.39398
2.40000E+06 1.39282
2.60000E+06 1.39089
2.80000E+06 1.38838
2.99000E+06 1.38547
3.00000E+06 1.38522
3.10000E+06 1.38047
3.20000E+06 1.37487
3.23627E+06 1.37281
3.40000E+06 1.36948
3.60000E+06 1.36327
3.79000E+06 1.35705
3.80000E+06 1.35661
3.90000E+06 1.35003
4.00000E+06 1.34476
4.06980E+06 1.34093
4.30000E+06 1.36322
4.40000E+06 1.36639
4.60000E+06 1.36911
4.80000E+06 1.36944
4.82316E+06 1.36874
5.00000E+06 1.37439
5.10000E+06 1.37106
5.20000E+06 1.36712
5.30000E+06 1.36273
5.37000E+06 1.35890
5.38779E+06 1.35796
5.40000E+06 1.35909
5.50000E+06 1.35579
5.52444E+06 1.35450
5.60000E+06 1.36902
5.69923E+06 1.37560
5.70000E+06 1.37569
5.80000E+06 1.38035
5.90000E+06 1.38215
6.00000E+06 1.38310
6.03610E+06 1.38249
6.07424E+06 1.38853
6.10000E+06 1.39330
6.17000E+06 1.39670
6.20000E+06 1.39903
6.21831E+06 1.40102
6.29246E+06 1.41216
6.30000E+06 1.41366
6.40000E+06 1.42663
6.50000E+06 1.43302
6.60000E+06 1.43590
6.70000E+06 1.44148
6.73420E+06 1.44254
6.80000E+06 1.44541
6.90000E+06 1.45169
6.96000E+06 1.45172
7.00000E+06 1.45284
7.10000E+06 1.45775
7.20000E+06 1.46134
7.30000E+06 1.46372
7.40000E+06 1.46517
7.50000E+06 1.46624
7.60000E+06 1.46732
7.76000E+06 1.46530
7.80000E+06 1.46575
8.00000E+06 1.46818
8.36452E+06 1.47840
9.00000E+06 1.49636
9.34000E+06 1.51506
1.00000E+07 1.54336
1.01400E+07 1.54852
1.09300E+07 1.57093
1.10000E+07 1.57292
1.17300E+07 1.59933
1.20000E+07 1.60896
1.22412E+07 1.61689
1.30000E+07 1.64347
1.33100E+07 1.65354
1.40000E+07 1.67803
1.41100E+07 1.68249
1.45987E+07 1.69989
1.49000E+07 1.71061
1.50000E+07 1.71316
1.57000E+07 1.73246
1.60000E+07 1.73781
1.70000E+07 1.76481
1.72900E+07 1.77300
1.80000E+07 1.78997
1.80800E+07 1.79345
1.87800E+07 1.82319
1.90000E+07 1.83140
1.96700E+07 1.85965
2.00000E+07 1.86101
