O-18(n,g) JEFF-3.2
Energy(eV) XS(b)
1.00000E-05 0.00782292
1.25000E-05 0.00699703
1.50000E-05 0.00638739
2.00000E-05 0.00553164
2.75000E-05 0.00471740
3.50000E-05 0.00418153
4.25000E-05 0.00379467
5.00000E-05 0.00349852
6.25000E-05 0.00312917
7.50000E-05 0.00285653
0.000100000 0.00247382
0.000125000 0.00221266
0.000150000 0.00201987
0.000200000 0.00174926
0.000275000 0.00149177
0.000350000 0.00132232
0.000425000 0.00119998
0.000500000 0.00110633
0.000625000 0.000989530
0.000750000 0.000903314
0.00100000 0.000782293
0.00150000 0.000638740
0.00200000 0.000553166
0.00275000 0.000471743
0.00350000 0.000418156
0.00500000 0.000349857
0.00750000 0.000285660
0.0100000 0.000247392
0.0150000 0.000202002
0.0200000 0.000174945
0.0253000 0.000155553
0.0376500 0.000127530
0.0500000 0.000110681
0.0750000 9.04039E-05
0.100000 7.82276E-05
0.150000 6.38746E-05
0.200000 5.53171E-05
0.275000 4.71754E-05
0.350000 4.18150E-05
0.500000 3.49870E-05
0.750000 2.85671E-05
1.00000 2.47400E-05
1.50000 2.02008E-05
2.00000 1.74948E-05
2.75000 1.49203E-05
3.50000 1.32260E-05
5.00000 1.10667E-05
7.50000 9.03730E-06
10.0000 7.82781E-06
15.0000 6.39337E-06
20.0000 5.53852E-06
27.5000 4.72545E-06
35.0000 4.19062E-06
50.0000 3.50936E-06
75.0000 2.86982E-06
100.000 2.48916E-06
150.000 2.03866E-06
200.000 1.77096E-06
275.000 1.51723E-06
350.000 1.35103E-06
500.000 1.14067E-06
750.000 9.45398E-07
1000.00 8.30919E-07
1500.00 6.98369E-07
2000.00 6.22106E-07
2750.00 5.52736E-07
3500.00 5.09704E-07
5000.00 4.59696E-07
7500.00 4.21048E-07
10000.0 4.04734E-07
15000.0 3.97218E-07
20000.0 4.03329E-07
27500.0 4.22380E-07
35000.0 4.46726E-07
50000.0 5.02353E-07
75000.0 6.05675E-07
100000 7.19849E-07
131969 8.84590E-07
163938 1.07675E-06
227875 1.58325E-06
291813 2.36227E-06
355750 3.67202E-06
419688 6.14077E-06
451656 8.28205E-06
483625 1.16257E-05
515594 1.72165E-05
547563 2.74142E-05
563547 3.58100E-05
579531 4.80350E-05
595516 6.61383E-05
611500 9.26194E-05
635750 0.000147110
647875 0.000168650
660000 0.000172379
708500 7.99954E-05
709010 7.91688E-05
709010 3.41872E-06
750000 3.40345E-06
800000 3.38482E-06
850000 3.38461E-06
900000 3.38439E-06
950000 3.39902E-06
1.00000E+06 3.41365E-06
1.10000E+06 3.47865E-06
1.20000E+06 3.54364E-06
1.30000E+06 3.64785E-06
1.40000E+06 3.75206E-06
1.50000E+06 3.89025E-06
1.60000E+06 4.02843E-06
1.70000E+06 4.19849E-06
1.80000E+06 4.36855E-06
1.90000E+06 4.57022E-06
2.00000E+06 4.77189E-06
2.09314E+06 3.83569E-06
2.09315E+06 3.83564E-06
2.10000E+06 3.76674E-06
2.20000E+06 2.76159E-06
2.30000E+06 2.53141E-06
2.40000E+06 2.30123E-06
2.50000E+06 2.25575E-06
2.60000E+06 2.21026E-06
2.70000E+06 2.21289E-06
2.80000E+06 2.21551E-06
2.90000E+06 2.24448E-06
3.00000E+06 2.27344E-06
3.10000E+06 2.32178E-06
3.20000E+06 2.37011E-06
3.30000E+06 2.43547E-06
3.40000E+06 2.50082E-06
3.50000E+06 2.58279E-06
3.60000E+06 2.66475E-06
3.70000E+06 2.71437E-06
3.75405E+06 2.74118E-06
3.75405E+06 2.74118E-06
3.80000E+06 2.76398E-06
3.83739E+06 2.77044E-06
3.83740E+06 2.77044E-06
3.90000E+06 2.78125E-06
4.00000E+06 2.79851E-06
4.14014E+06 2.76135E-06
4.14014E+06 2.76135E-06
4.20000E+06 2.74548E-06
4.40000E+06 2.73822E-06
4.60000E+06 2.80279E-06
4.70523E+06 2.79941E-06
4.80000E+06 2.79636E-06
5.00000E+06 2.85375E-06
5.20000E+06 2.95453E-06
5.28892E+06 2.99759E-06
5.28892E+06 2.99759E-06
5.38346E+06 3.04336E-06
5.40000E+06 3.05137E-06
5.54928E+06 3.06852E-06
5.60000E+06 3.07434E-06
5.63545E+06 3.07436E-06
5.67917E+06 3.07438E-06
5.80000E+06 3.07444E-06
5.84015E+06 3.07159E-06
5.84015E+06 3.07159E-06
6.00000E+06 3.06026E-06
6.07038E+06 3.08191E-06
6.20000E+06 3.12177E-06
6.40000E+06 3.21787E-06
6.54557E+06 3.28482E-06
6.60000E+06 3.30985E-06
6.66861E+06 3.32729E-06
6.66862E+06 3.32729E-06
6.70722E+06 3.33711E-06
6.70723E+06 3.33711E-06
6.76330E+06 3.35136E-06
6.76330E+06 3.35136E-06
6.80000E+06 3.36069E-06
7.00000E+06 3.44470E-06
7.20000E+06 3.57035E-06
7.26603E+06 3.61549E-06
7.40000E+06 3.70708E-06
7.51573E+06 3.80050E-06
7.60000E+06 3.86853E-06
7.80000E+06 4.04751E-06
8.00000E+06 4.24820E-06
8.04269E+06 4.29223E-06
8.04269E+06 4.29223E-06
8.20656E+06 4.46122E-06
8.30469E+06 4.56242E-06
8.30470E+06 4.56243E-06
8.42403E+06 4.68549E-06
8.48823E+06 4.75170E-06
8.48824E+06 4.75171E-06
8.49482E+06 4.75850E-06
8.50000E+06 4.76384E-06
8.56581E+06 4.82971E-06
8.58032E+06 4.84423E-06
8.58032E+06 4.84423E-06
8.67325E+06 4.93724E-06
8.67325E+06 4.93724E-06
8.74612E+06 5.01017E-06
8.74612E+06 5.01017E-06
8.88129E+06 5.14545E-06
8.88129E+06 5.14545E-06
8.99851E+06 5.26277E-06
8.99851E+06 5.26277E-06
9.00000E+06 5.26426E-06
9.14530E+06 9.66922E-06
9.14530E+06 9.66934E-06
9.31110E+06 1.46957E-05
9.31110E+06 1.46957E-05
