O-18(n,tot) JEFF-3.2
Energy(eV) XS(b)
1.00000E-05 4.05816
1.25000E-05 4.05733
1.50000E-05 4.05672
2.00000E-05 4.05587
2.75000E-05 4.05505
3.50000E-05 4.05452
4.25000E-05 4.05413
5.00000E-05 4.05383
6.25000E-05 4.05346
7.50000E-05 4.05319
0.000100000 4.05281
0.000125000 4.05255
0.000150000 4.05235
0.000200000 4.05208
0.000275000 4.05183
0.000350000 4.05166
0.000425000 4.05153
0.000500000 4.05144
0.000625000 4.05132
0.000750000 4.05124
0.00100000 4.05112
0.00150000 4.05097
0.00200000 4.05089
0.00275000 4.05081
0.00350000 4.05075
0.00500000 4.05068
0.00750000 4.05062
0.0100000 4.05058
0.0150000 4.05054
0.0200000 4.05051
0.0253000 4.05049
0.0376500 4.05046
0.0500000 4.05044
0.0750000 4.05042
0.100000 4.05041
0.150000 4.05040
0.200000 4.05039
0.275000 4.05038
0.350000 4.05037
0.500000 4.05037
0.750000 4.05036
1.00000 4.05036
1.50000 4.05035
2.00000 4.05035
2.75000 4.05034
3.50000 4.05034
5.00000 4.05033
7.50000 4.05032
10.0000 4.05032
15.0000 4.05030
20.0000 4.05029
27.5000 4.05027
35.0000 4.05025
50.0000 4.05022
75.0000 4.05016
100.000 4.05010
150.000 4.04998
200.000 4.04986
275.000 4.04968
350.000 4.04949
500.000 4.04913
750.000 4.04853
1000.00 4.04794
1500.00 4.04674
2000.00 4.04554
2750.00 4.04374
3500.00 4.04195
5000.00 4.03836
7500.00 4.03239
10000.0 4.02644
15000.0 4.01458
20000.0 4.00277
27500.0 3.98516
35000.0 3.96768
50000.0 3.93309
75000.0 3.87652
100000 3.82128
131969 3.75261
163938 3.68616
227875 3.56047
291813 3.44665
355750 3.35169
419688 3.29620
451656 3.30060
483625 3.35028
515594 3.48993
547563 3.82707
563547 4.14547
579531 4.64750
595516 5.44693
611500 6.70355
635750 9.60084
647875 10.9918
660000 11.6025
708500 7.74470
709010 7.70268
709010 3.28852
750000 3.23220
800000 3.16710
850000 3.10760
900000 3.05100
950000 2.99870
