Na-23(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 26.5600
1.25000E-05 23.7560
1.50000E-05 21.6862
2.00000E-05 18.7808
2.75000E-05 16.0163
3.50000E-05 14.1969
4.25000E-05 12.8835
5.00000E-05 11.8780
6.25000E-05 10.6240
7.50000E-05 9.69834
0.000100000 8.39901
0.000125000 7.51230
0.000150000 6.85776
0.000200000 5.93900
0.000275000 5.06479
0.000350000 4.48946
0.000425000 4.07412
0.000500000 3.75615
0.000625000 3.35960
0.000750000 3.06689
0.00100000 2.65600
0.00125000 2.37557
0.00150000 2.16857
0.00200000 1.87801
0.00275000 1.60154
0.00350000 1.41960
0.00425000 1.28825
0.00500000 1.18770
0.00625000 1.06230
0.00750000 0.969732
0.0100000 0.839800
0.0125000 0.751148
0.0150000 0.685707
0.0200000 0.593847
0.0253000 0.528000
0.0326500 0.464775
0.0400000 0.419900
0.0500000 0.375581
0.0625000 0.335940
0.0750000 0.306677
0.100000 0.265600
0.125000 0.237557
0.150000 0.216856
0.200000 0.187800
0.275000 0.160168
0.350000 0.141982
0.500000 0.118800
0.750000 0.0969969
1.00000 0.0840000
1.50000 0.0686704
2.00000 0.0595225
2.75000 0.0508102
3.50000 0.0450715
5.00000 0.0377505
7.50000 0.0308612
10.0000 0.0267500
15.0000 0.0219947
20.0000 0.0191428
27.5000 0.0164150
35.0000 0.0146111
50.0000 0.0123000
75.0000 0.0102658
100.000 0.00903000
150.000 0.00765000
200.000 0.00688000
300.000 0.00607000
350.000 0.00586885
400.000 0.00570000
450.000 0.00562033
500.000 0.00555000
550.000 0.00553954
600.000 0.00553000
600.000 0.00559256
809.750 0.00586446
989.600 0.00639176
1000.00 0.00643088
1130.00 0.00700987
1249.20 0.00770972
1369.60 0.00862564
1510.20 0.0100533
1629.40 0.0116873
1730.70 0.0135116
1865.35 0.0168576
2000.00 0.0218788
2155.45 0.0315066
2233.18 0.0390741
2310.90 0.0498161
2388.63 0.0656432
2466.35 0.0899193
2544.08 0.128498
2621.80 0.190022
2715.90 0.296682
2810.00 0.354846
2904.10 0.271951
2998.20 0.166192
3053.51 0.123294
3108.82 0.0930025
3219.44 0.0563954
3330.06 0.0369593
3440.68 0.0257573
3551.29 0.0188226
3661.91 0.0142739
3883.15 0.00891717
4104.39 0.00603348
4325.63 0.00432023
4546.86 0.00322685
4768.10 0.00249025
5000.00 0.00195160
5006.50 0.00193900
5028.10 0.00189796
5049.70 0.00185815
5092.90 0.00178204
5179.30 0.00164265
5352.10 0.00140707
5912.20 0.000905567
6651.10 0.000562463
7104.00 0.000438859
7330.45 0.000392901
7443.68 0.000376101
7556.90 0.000405851
7586.80 0.000566721
7601.75 0.00121222
7609.22 0.00368371
7612.96 0.0126783
7614.83 0.0424890
7615.76 0.125214
7616.23 0.296173
7616.46 0.534696
7616.70 1.10380
7617.00 2.20804
7617.30 1.10384
7617.54 0.534732
7617.77 0.296868
7618.23 0.125807
7619.16 0.0427681
7621.03 0.0127751
7624.75 0.00371141
7632.19 0.00121647
7647.07 0.000559949
7676.84 0.000387759
7736.38 0.000336415
7855.45 0.000308949
8093.60 0.000276336
8569.90 0.000227414
9946.40 0.000141507
10000.0 0.000139209
10173.0 0.000132162
10346.0 0.000125644
10692.0 0.000113997
11384.0 9.51825E-05
13333.0 6.22851E-05
14999.8 4.68255E-05
16666.5 3.72212E-05
20000.0 2.68334E-05
20801.0 2.53583E-05
22624.4 2.29234E-05
24447.8 2.14759E-05
28094.6 2.08350E-05
31741.4 2.36810E-05
32653.2 2.58170E-05
33564.9 3.06085E-05
34476.6 5.22420E-05
34932.4 0.000134367
35160.3 0.000458066
35274.3 0.00172974
35331.3 0.00663862
35359.8 0.0249145
35366.9 0.0425436
35374.0 0.0882979
35377.6 0.144985
35381.1 0.279475
35382.9 0.428349
35384.7 0.730820
35386.5 1.47167
35387.4 2.27730
35388.3 3.73020
35389.1 5.98244
35390.0 7.46127
35390.9 5.95497
35391.8 3.73013
35392.3 2.70536
