Na-23(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 30.0100
1.25000E-05 27.2058
1.50000E-05 25.1358
2.00000E-05 22.2301
2.75000E-05 19.4650
3.50000E-05 17.6452
4.25000E-05 16.3312
5.00000E-05 15.3252
6.25000E-05 14.0703
7.50000E-05 13.1438
0.000100000 11.8427
0.000125000 10.9542
0.000150000 10.2979
0.000200000 9.37556
0.000275000 8.49606
0.000350000 7.91542
0.000425000 7.49478
0.000500000 7.17151
0.000625000 6.76612
0.000750000 6.46456
0.00100000 6.03600
0.00125000 5.75475
0.00150000 5.54694
0.00200000 5.25474
0.00275000 4.97583
0.00350000 4.79143
0.00425000 4.65764
0.00500000 4.55463
0.00625000 4.42515
0.00750000 4.32850
0.0100000 4.19040
0.0125000 4.09659
0.0150000 4.02598
0.0200000 3.92379
0.0253000 3.84700
0.0326500 3.77933
0.0400000 3.73000
0.0500000 3.68140
0.0625000 3.63640
0.0750000 3.60179
0.100000 3.55000
0.125000 3.51516
0.150000 3.48766
0.200000 3.44500
0.275000 3.41087
0.350000 3.38618
0.500000 3.35000
0.750000 3.30810
1.00000 3.27500
1.50000 3.25629
2.00000 3.24377
2.75000 3.22999
3.50000 3.21918
5.00000 3.20173
7.50000 3.17795
10.0000 3.15695
15.0000 3.15340
20.0000 3.15174
27.5000 3.15082
35.0000 3.15081
50.0000 3.15210
75.0000 3.15117
100.000 3.15103
150.000 3.16095
200.000 3.17088
300.000 3.19807
350.000 3.21407
400.000 3.22790
450.000 3.24782
500.000 3.26105
550.000 3.28034
600.000 3.30443
600.000 3.29915
809.750 3.47014
989.600 3.70072
1000.00 3.71719
1130.00 3.97088
1249.20 4.29144
1369.60 4.72463
1510.20 5.44228
1629.40 6.32038
1730.70 7.45460
1865.35 9.80227
2000.00 13.5537
2155.45 21.2606
2233.18 27.6415
2310.90 37.0400
2388.63 51.4185
2466.35 74.3506
2544.08 112.350
2621.80 175.934
2715.90 294.852
2810.00 379.023
2904.10 312.465
2998.20 205.505
3053.51 159.202
3108.82 125.402
3219.44 82.9051
3330.06 59.2063
3440.68 44.9268
3551.29 35.7114
3661.91 29.4222
3883.15 21.6077
4104.39 17.0857
4325.63 14.2093
4546.86 12.2502
4768.10 10.8457
5000.00 9.75435
5006.50 9.72797
5028.10 9.64343
5049.70 9.56102
5092.90 9.40226
5179.30 9.10721
5352.10 8.59424
5912.20 7.49757
6651.10 6.62310
7104.00 6.25639
7330.45 6.10840
7443.68 6.04150
7556.90 5.97886
7586.80 5.96218
7601.75 5.95452
7609.22 5.95291
7612.96 5.95999
7614.83 5.98917
7615.76 6.07235
7616.23 6.24490
7616.46 6.48576
7616.70 7.06036
7617.00 8.17421
7617.30 7.05828
7617.54 6.48366
7617.77 6.24353
7618.23 6.07076
7619.16 5.98657
7621.03 5.95538
7624.75 5.94425
7632.19 5.93769
7647.07 5.92895
7676.84 5.91278
7736.38 5.88144
7855.45 5.82162
8093.60 5.71207
8569.90 5.52669
9946.40 5.13742
10000.0 5.12545
10173.0 5.08821
10346.0 5.05295
10692.0 4.98780
11384.0 4.87562
13333.0 4.63881
14999.8 4.49719
16666.5 4.39059
20000.0 4.23899
20801.0 4.21060
22624.4 4.16924
24447.8 4.13654
28094.6 4.08950
31741.4 4.05956
32653.2 4.05415
33564.9 4.04949
34476.6 4.04559
34932.4 4.04403
35160.3 4.04381
35274.3 4.04569
35331.3 4.05438
35359.8 4.08762
35366.9 4.11986
35374.0 4.20372
35377.6 4.30778
35381.1 4.55488
35382.9 4.82860
35384.7 5.38499
35386.5 6.74847
35387.4 8.23176
35388.3 10.9076
35389.1 15.0577
35390.0 17.7866
35390.9 15.0167
35391.8 10.9195
35392.3 9.03159
35392.9 7.75330
35394.0 6.24521
35395.1 5.47347
35396.3 5.03860
35398.5 4.59976
35400.8 4.39711
35405.3 4.22139
35409.8 4.14990
35427.8 4.07215
35463.9 4.05014
35536.1 4.04405
35680.5 4.04209
35969.2 4.04091
36546.6 4.03949
37124.0 4.03849
37701.4 4.03785
40011.0 4.03955
42508.3 4.02407
43756.9 4.02431
45005.5 4.03435
46254.1 4.06185
47502.8 4.12395
48751.4 4.26514
49375.7 4.40124
50000.0 4.63037
50428.0 4.88680
50856.0 5.29419
51235.0 5.83429
51614.0 6.80191
51955.5 8.14862
52297.0 11.0868
52449.0 13.2322
52664.0 18.3659
52752.0 21.2281
52986.0 30.5918
53220.0 36.1194
53359.0 34.0287
53776.0 19.1780
54050.8 13.1532
54325.5 9.87538
54600.3 8.04376
54875.0 6.97231
55178.5 6.16071
55482.0 5.63901
56089.0 5.05047
56638.9 4.70221
57188.8 4.47901
58288.5 4.21600
59388.3 4.06859
60488.0 3.97428
62668.3 3.87548
64848.5 3.81892
67028.8 3.78105
69209.0 3.75288
72356.3 3.71846
75503.5 3.69026
81798.0 3.64348
89989.0 3.60507
99469.0 3.53902
100000 3.53633
101973 3.52644
103945 3.51668
107890 3.49754
112652 3.47344
115033 3.46203
116224 3.45767
116819 3.45967
116968 3.46350
117117 3.47465
117191 3.48951
117266 3.52818
117303 3.57629
117340 3.69208
117359 3.82328
117377 4.09957
117387 4.36648
117396 4.82746
117405 5.69336
117410 6.41706
117415 7.41342
117422 9.76628
117430 11.2738
117438 9.65431
117446 7.31446
117452 6.04816
117458 5.25454
117464 4.75328
117470 4.42988
117483 4.04824
117495 3.84945
117520 3.65991
117544 3.57702
117594 3.50876
117643 3.48223
117742 3.46203
117841 3.45455
118236 3.44615
119026 3.44101
120607 3.43315
123768 3.41781
130090 3.38746
136604 3.36673
139861 3.35675
141490 3.35216
142304 3.35066
142711 3.35186
142915 3.35779
143017 3.37581
143067 3.42486
143093 3.53504
143106 3.71411
143118 4.26779
143124 4.77977
143130 5.08687
143142 4.16515
143150 3.75726
143158 3.57657
143174 3.43912
143205 3.37205
143269 3.34973
143396 3.34440
143650 3.34332
144158 3.34227
145174 3.33962
147206 3.33384
151270 3.32224
159605 3.30426
167940 3.29162
173695 3.29910
179450 3.31984
182290 3.34508
185130 3.38320
187588 3.44243
188203 3.46153
188817 3.48304
189432 3.50771
189739 3.52274
189893 3.53578
189970 3.55893
190008 3.61315
190027 3.71698
190037 3.85247
190046 4.15341
190060 4.77041
190074 4.14908
190090 3.75343
190106 3.64013
190137 3.57673
190201 3.55380
190327 3.55185
190581 3.56287
191088 3.59159
191595 3.62480
192102 3.66287
194130 3.88831
195800 4.19391
196750 4.48146
197700 4.96031
198690 5.70743
199070 6.11198
199935 7.50075
200800 8.66546
201150 8.82698
201520 8.76017
202770 7.13288
203610 6.05662
203960 5.69817
204850 5.11234
206005 4.75351
207160 4.63150
207650 4.62674
208905 4.62267
210160 4.70771
213550 4.79762
214300 4.79547
215940 4.66388
219810 4.25241
221440 4.08237
223500 3.93769
226570 3.79000
229640 3.80618
231485 3.96286
233330 4.33960
234725 4.90768
235423 5.39684
235771 5.72041
235946 5.90765
236120 6.11631
236245 6.24993
236370 6.41124
236447 6.54108
236523 6.73940
236562 6.91055
236600 7.21985
236619 7.49644
236638 7.95048
236658 8.77462
236677 10.3461
236693 12.5668
236710 14.0525
236727 12.5854
236743 10.4031
236755 9.35487
236767 8.66355
236779 8.20905
236790 7.90655
236813 7.55071
236837 7.36983
236883 7.22432
236930 7.19488
237009 7.24804
237088 7.34475
237245 7.58556
237560 8.13557
238190 9.25752
239000 10.3122
239050 10.3375
239255 10.3844
239460 10.3415
239870 10.0188
240690 8.81219
241210 7.89120
241730 7.01097
241985 6.58800
242240 6.14955
242460 5.92925
242570 5.81000
242680 5.72950
242743 5.74839
242805 5.94513
242888 6.83886
242970 8.55551
243045 9.47671
243120 9.32317
243135 9.21628
243189 8.80075
243244 8.40864
243353 7.77670
243461 7.30823
243570 6.94363
243750 6.47492
243930 6.09937
244225 5.73811
244520 5.45166
245110 4.99914
245810 4.65710
246510 4.39025
248425 3.96731
250340 3.70886
253988 3.43620
257635 3.27863
264930 3.08898
271415 2.98061
277900 2.87195
285305 2.67997
289008 2.50385
290859 2.36277
292710 2.14684
294065 1.91601
294743 1.75371
295420 1.54904
296140 1.32405
296500 1.21830
296860 1.16714
297300 1.31926
297478 1.54883
297655 1.94113
298010 3.35646
298320 5.06018
298780 6.82227
298895 6.98909
299010 7.07839
299125 7.14302
299183 7.20493
299240 7.34908
299265 7.53319
299290 7.78605
299315 8.15260
299340 8.70062
299344 8.80159
299352 9.04812
299360 9.32073
299377 9.91301
299410 10.6819
299443 9.87465
299476 8.70432
299500 8.09887
299523 7.66773
299570 7.10647
299607 6.90093
299644 6.75634
299718 6.55502
299791 6.40707
299865 6.28362
300013 6.07164
300160 5.88555
300455 5.56225
300750 5.28900
301263 4.94702
301775 4.69041
302288 4.49384
302800 4.34021
303390 4.18643
303981 4.06292
304276 4.01028
304571 3.96377
304866 3.92931
305014 3.93784
305087 3.99441
305124 4.09393
305161 4.38511
305181 4.68766
305200 4.88628
305220 4.67570
305239 4.36648
305262 4.14735
305284 4.03439
305329 3.93461
305419 3.87043
305598 3.82763
305957 3.78029
306675 3.70683
307392 3.64537
308110 3.59242
309335 3.52540
310560 3.47207
313010 3.39282
317910 3.29625
329700 3.17384
343770 3.13726
354530 3.18498
362045 3.27736
369560 3.45528
375160 3.70338
380520 4.08932
380940 4.12275
382550 4.27330
388400 4.96270
389860 5.13086
391250 5.27511
392320 5.37874
393520 5.43418
395390 5.40667
397100 5.37073
399050 5.18304
402950 4.65955
403710 4.55107
406525 4.19435
409340 3.90277
414970 3.46468
419075 3.32175
423180 3.23781
425050 3.30224
426920 3.41389
427770 3.46704
428620 3.56901
428900 3.58053
429900 3.69474
430900 3.74129
430980 3.72852
431220 3.74030
431460 3.72943
431940 3.67031
432900 3.56538
433010 3.55983
433458 3.49632
433905 3.45174
434800 3.40268
436060 3.29321
437320 3.22212
439430 3.24400
441750 3.40588
443530 3.81277
445310 4.57879
446150 5.14512
447485 6.09585
448820 6.59356
449260 6.47180
450550 5.73654
451840 4.88208
452330 4.59266
453485 4.08180
454640 3.75037
456320 3.41613
458000 3.20525
459310 3.08791
