Mg-25(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 12.1702
1.25000E-05 11.1593
1.50000E-05 10.4130
2.00000E-05 9.36558
2.75000E-05 8.36893
3.50000E-05 7.71301
4.25000E-05 7.23949
5.00000E-05 6.87699
6.25000E-05 6.42490
7.50000E-05 6.09118
0.000100000 5.62274
0.000125000 5.30307
0.000150000 5.06709
0.000200000 4.73586
0.000275000 4.42069
0.000350000 4.21327
0.000425000 4.06353
0.000500000 3.94890
0.000625000 3.80593
0.000750000 3.70040
0.00100000 3.55227
0.00125000 3.45118
0.00150000 3.37656
0.00200000 3.27181
0.00275000 3.17215
0.00350000 3.10655
0.00425000 3.05920
0.00500000 3.02295
0.00625000 2.97774
0.00750000 2.94437
0.0100000 2.89753
0.0125000 2.86556
0.0150000 2.84196
0.0200000 2.80884
0.0253000 2.78509
0.0314750 2.76540
0.0376500 2.75078
0.0500000 2.73014
0.0625000 2.71584
0.0750000 2.70529
0.100000 2.69048
0.125000 2.68037
0.150000 2.67290
0.200000 2.66243
0.275000 2.65246
0.350000 2.64590
0.500000 2.63753
0.750000 2.62967
1.00000 2.62497
1.50000 2.61940
2.00000 2.61607
2.75000 2.61290
3.50000 2.61080
5.00000 2.60811
7.50000 2.60555
10.0000 2.60399
15.0000 2.60208
20.0000 2.60087
27.5000 2.59964
35.0000 2.59875
50.0000 2.59745
75.0000 2.59589
100.000 2.59465
150.000 2.59255
200.000 2.59068
275.000 2.58806
350.000 2.58557
500.000 2.58075
750.000 2.57302
1000.00 2.56551
1500.00 2.55100
2000.00 2.53709
2750.00 2.51738
3500.00 2.49914
5000.00 2.46800
7500.00 2.43973
10000.0 2.47127
12099.8 2.61553
13149.6 2.78321
14199.5 3.08859
15249.4 3.67542
16299.3 4.91781
16824.2 6.08193
17349.1 8.00069
17874.1 11.3772
18399.0 17.7623
19900.0 61.0895
20000.0 60.1566
20350.3 49.8559
20700.5 37.0218
21050.8 27.1413
21401.0 20.4482
21847.9 15.0251
22294.7 11.6642
22741.6 9.47305
23188.4 7.97429
24082.2 6.11647
24975.9 5.04748
26763.3 3.90919
28550.8 3.32793
32125.6 2.73877
35700.5 2.42415
42850.3 2.03477
50000.0 1.73179
53216.6 1.60281
56433.1 1.48440
59649.7 1.40424
61257.9 1.39724
62062.1 1.39577
62263.1 1.38888
62464.1 1.37062
62564.7 1.35200
62665.2 1.32171
62715.4 1.30353
62765.7 1.30238
62790.8 1.34069
62803.4 1.39361
62816.0 1.50061
62828.5 1.72758
62841.1 2.25464
62847.4 2.77899
62853.6 3.67467
62859.9 5.28026
62866.2 8.22972
62873.1 13.7417
62880.0 18.6406
62886.9 16.6745
62893.8 11.8977
62900.3 8.63839
62906.7 6.60769
62913.2 5.33300
62919.6 4.49846
62932.5 3.51380
62945.4 2.97759
62958.3 2.65052
62971.2 2.43471
62997.0 2.17259
63022.8 2.02271
63048.5 1.92745
63100.1 1.81568
63151.7 1.75410
63203.3 1.71641
63306.4 1.67541
63512.8 1.64874
63719.1 1.64994
64544.4 1.74571
66194.9 2.21819
67845.5 3.28429
69496.0 5.57056
70447.0 7.81578
71398.0 10.8529
73300.0 16.9867
75202.0 17.1978
77104.0 13.7539
77686.1 12.7671
78268.2 11.9712
78559.3 11.7229
78704.8 11.6816
78850.3 11.7482
78995.8 12.0216
79141.4 12.7495
79214.1 13.4713
79286.9 14.6608
79359.6 16.6743
79432.4 20.0942
79516.2 26.1520
79600.0 30.2299
79683.9 26.0824
79767.7 19.8958
79865.9 15.4241
79964.1 13.0982
80062.4 11.8015
80160.6 11.0042
80357.0 10.0809
80553.4 9.54211
80749.9 9.16252
80946.3 8.85685
81142.8 8.57579
81241.0 8.43975
81265.5 8.42709
81290.1 8.48337
81302.4 8.60224
81308.5 8.72273
81314.6 8.92514
81320.8 9.28134
81326.9 9.94590
81333.1 11.2785
81339.2 14.0842
81344.6 18.5407
81350.0 22.4199
81355.4 20.7080
81360.8 16.7891
81365.3 14.3702
81369.8 12.7897
81374.3 11.7543
81378.8 11.0532
81387.8 10.2006
81396.8 9.72066
81405.8 9.42089
81414.8 9.21844
81432.8 8.96425
81450.9 8.81060
81468.9 8.70628
81504.9 8.56891
81576.9 8.40699
81648.9 8.29859
81936.9 7.99853
82512.9 7.55514
83665.0 6.87282
85969.2 5.91484
88273.4 5.26468
90577.5 4.79396
95185.9 4.15181
97490.1 3.91718
