Mg-26(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 1.92690
1.25000E-05 1.72347
1.50000E-05 1.57331
2.00000E-05 1.36252
2.75000E-05 1.16196
3.50000E-05 1.02997
4.25000E-05 0.934683
5.00000E-05 0.861735
6.25000E-05 0.770759
7.50000E-05 0.703604
0.000100000 0.609339
0.000125000 0.545009
0.000150000 0.497523
0.000200000 0.430868
0.000275000 0.367445
0.000350000 0.325705
0.000425000 0.295573
0.000500000 0.272505
0.000625000 0.243736
0.000750000 0.222499
0.00100000 0.192690
0.00125000 0.172347
0.00150000 0.157331
0.00200000 0.136252
0.00275000 0.116196
0.00350000 0.102997
0.00425000 0.0934683
0.00500000 0.0861735
0.00625000 0.0770759
0.00750000 0.0703604
0.0100000 0.0609339
0.0125000 0.0545009
0.0150000 0.0497523
0.0200000 0.0430867
0.0253000 0.0383088
0.0314750 0.0343459
0.0376500 0.0314033
0.0500000 0.0272504
0.0625000 0.0243735
0.0750000 0.0222498
0.100000 0.0192689
0.125000 0.0172346
0.150000 0.0157330
0.200000 0.0136251
0.275000 0.0116195
0.350000 0.0102996
0.500000 0.00861717
0.750000 0.00703581
1.00000 0.00609313
1.50000 0.00497491
2.00000 0.00430831
2.75000 0.00367402
3.50000 0.00325656
5.00000 0.00272446
7.50000 0.00222427
10.0000 0.00192607
15.0000 0.00157229
20.0000 0.00136135
27.5000 0.00116059
35.0000 0.00102842
50.0000 0.000859884
75.0000 0.000701338
100.000 0.000606725
150.000 0.000494327
200.000 0.000427184
275.000 0.000363137
350.000 0.000320857
500.000 0.000266740
750.000 0.000215499
1000.00 0.000184675
1500.00 0.000147678
2000.00 0.000125290
2750.00 0.000103653
3500.00 8.91844E-05
5000.00 7.04242E-05
7500.00 5.24700E-05
10000.0 4.17024E-05
15000.0 2.91407E-05
20000.0 2.20307E-05
27500.0 1.58599E-05
35000.0 1.23330E-05
50000.0 8.82490E-06
59349.6 7.83755E-06
64024.3 7.57509E-06
66361.7 7.61235E-06
67530.4 8.15984E-06
68114.8 1.05172E-05
68406.9 2.00031E-05
68553.0 5.77703E-05
68626.1 0.000207003
68662.6 0.000789123
68680.9 0.00300275
68690.0 0.0110043
68694.6 0.0372511
68696.8 0.108454
68698.0 0.250822
68699.1 0.883071
68699.9 1.76502
68700.7 0.881955
68701.6 0.298816
68702.6 0.137739
68704.5 0.0498064
68708.3 0.0152007
68716.0 0.00421475
68731.3 0.00111492
68761.8 0.000291433
68823.0 7.93029E-05
68945.2 2.54461E-05
69189.7 1.18659E-05
69678.8 8.44183E-06
70656.9 7.55938E-06
72613.1 7.30120E-06
76525.5 7.19916E-06
84350.3 7.22655E-06
100000 7.77113E-06
129945 1.04725E-05
159889 1.64760E-05
179945 2.50862E-05
189972 3.35294E-05
194986 4.05254E-05
200000 5.18415E-05
204945 7.32968E-05
207417 9.33976E-05
209889 0.000128814
212361 0.000202228
213597 0.000273814
214834 0.000401980
215452 0.000508236
216070 0.000668088
216688 0.000924852
217306 0.00137616
217924 0.00228233
218233 0.00312336
218542 0.00453815
218851 0.00718893
219006 0.00947211
219160 0.0130185
219315 0.0189193
219469 0.0296518
219546 0.0385046
219624 0.0514404
219701 0.0708389
219778 0.0998439
219889 0.160000
220000 0.200052
220111 0.159712
220222 0.0996461
220290 0.0736009
220358 0.0553377
220494 0.0334952
220630 0.0220391
220766 0.0154813
220901 0.0114257
221037 0.00876435
221309 0.00561329
221581 0.00389919
221852 0.00286777
222396 0.00174427
222939 0.00117908
223483 0.000855785
224026 0.000653933
224569 0.000519640
225656 0.000357946
226743 0.000268334
228917 0.000178517
231090 0.000137684
233264 0.000116758
237611 9.96403E-05
246306 0.000100072
255000 0.000118084
277500 0.000208153
288750 0.000250397
300000 0.000253000
322500 0.000164561
345000 9.29188E-05
358750 6.91815E-05
372500 5.54368E-05
386250 5.00720E-05
400000 5.80476E-05
406528 7.47286E-05
409792 9.17242E-05
413057 0.000121731
416321 0.000181053
417953 0.000235096
419585 0.000324671
421217 0.000490724
422033 0.000633927
422849 0.000858897
423665 0.00124384
424481 0.00198597
424889 0.00264254
425297 0.00367938
425705 0.00540149
426113 0.00832456
426557 0.0131685
427000 0.0164126
427444 0.0132910
427887 0.00864317
428286 0.00597785
428685 0.00451165
429084 0.00378595
429483 0.00355374
429881 0.00373650
430280 0.00439068
430679 0.00572505
431078 0.00812309
431539 0.0124366
432000 0.0152826
432461 0.0122173
432922 0.00772340
433456 0.00452291
433989 0.00287042
434523 0.00196898
435057 0.00143546
435591 0.00109619
436124 0.000867517
437192 0.000587614
438259 0.000428556
439326 0.000329028
441461 0.000215226
443596 0.000154442
445731 0.000117872
450000 7.75035E-05
450000 0.000408984
500000 0.000391703
600000 0.000365846
700000 0.000347712
800000 0.000335073
900000 0.000326517
1.00000E+06 0.000365481
1.50000E+06 0.000386514
1.87892E+06 0.000420452
1.88030E+06 0.000417449
1.94015E+06 0.000307427
2.00000E+06 0.000228517
2.25000E+06 0.000198231
2.50000E+06 0.000174557
3.00000E+06 0.000176612
3.05247E+06 0.000178108
3.05247E+06 0.000178108
3.05410E+06 0.000177992
3.16557E+06 0.000170343
3.27705E+06 0.000163270
3.50000E+06 0.000150619
3.72729E+06 0.000151043
4.00000E+06 0.000150883
4.09347E+06 0.000152455
4.48563E+06 0.000147350
4.50000E+06 0.000143859
4.50017E+06 0.000143897
4.51887E+06 0.000140638
5.00000E+06 0.000121359
5.02166E+06 0.000121262
5.09022E+06 0.000118696
5.16502E+06 0.000116197
5.49640E+06 0.000111257
5.50000E+06 0.000110856
5.62693E+06 0.000109192
5.68650E+06 0.000108432
5.68651E+06 0.000108432
5.91089E+06 0.000107062
6.00000E+06 0.000105815
6.50000E+06 0.000107126
6.68341E+06 0.000109623
7.00000E+06 0.000113905
7.50000E+06 0.000124136
8.00000E+06 0.000137023
8.22843E+06 0.000143548
8.31057E+06 0.000145923
9.00000E+06 0.000141015
1.00000E+07 0.000103491
1.01073E+07 9.97250E-05
1.10000E+07 7.43258E-05
1.10252E+07 7.37254E-05
1.15243E+07 6.30182E-05
1.20000E+07 5.46014E-05
1.21321E+07 5.14114E-05
1.23493E+07 4.66321E-05
1.30000E+07 3.51609E-05
1.40000E+07 2.12390E-05
1.46958E+07 1.46719E-05
1.47888E+07 1.39827E-05
1.50000E+07 1.25495E-05
1.60000E+07 7.99338E-06
1.70000E+07 5.42161E-06
1.80000E+07 3.95222E-06
1.90000E+07 3.09857E-06
2.00000E+07 2.56451E-06
