Al-27(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 11.7428
1.25000E-05 10.5030
1.50000E-05 9.58792
2.00000E-05 8.30339
2.75000E-05 7.08115
3.50000E-05 6.27677
4.25000E-05 5.69608
5.00000E-05 5.25152
6.25000E-05 4.69710
7.50000E-05 4.28785
0.000100000 3.71339
0.000125000 3.32135
0.000150000 3.03197
0.000200000 2.62576
0.000275000 2.23926
0.000350000 1.98489
0.000425000 1.80126
0.000500000 1.66068
0.000625000 1.48535
0.000750000 1.35594
0.00100000 1.17428
0.00125000 1.05030
0.00150000 0.958792
0.00200000 0.830338
0.00275000 0.708115
0.00350000 0.627676
0.00425000 0.569607
0.00500000 0.525152
0.00625000 0.469710
0.00750000 0.428784
0.0100000 0.371338
0.0125000 0.332134
0.0150000 0.303196
0.0200000 0.262575
0.0253000 0.233457
0.0314750 0.209307
0.0376500 0.191375
0.0500000 0.166066
0.0625000 0.148533
0.0750000 0.135591
0.100000 0.117425
0.125000 0.105027
0.150000 0.0958759
0.200000 0.0830300
0.275000 0.0708070
0.350000 0.0627627
0.500000 0.0525092
0.750000 0.0428711
1.00000 0.0371254
1.50000 0.0303093
2.00000 0.0262456
2.75000 0.0223785
3.50000 0.0198330
5.00000 0.0165878
7.50000 0.0135362
10.0000 0.0117160
15.0000 0.00955522
20.0000 0.00826572
27.5000 0.00703716
35.0000 0.00622734
50.0000 0.00519291
75.0000 0.00421700
100.000 0.00363264
150.000 0.00293560
200.000 0.00251728
275.000 0.00211675
350.000 0.00185169
500.000 0.00151250
750.000 0.00119410
1000.00 0.00100675
1500.00 0.000792055
2000.00 0.000672763
2750.00 0.000573182
3500.00 0.000527724
4250.00 0.000538765
4625.00 0.000592565
5000.00 0.000755538
5224.01 0.00102189
5336.01 0.00129296
5448.02 0.00179227
5504.02 0.00221521
5560.02 0.00286288
5616.02 0.00392618
5672.02 0.00585135
5700.02 0.00745954
5728.03 0.00989261
5756.03 0.0138259
5784.03 0.0207967
5798.03 0.0264993
5812.03 0.0349535
5826.03 0.0482523
5840.03 0.0709099
5854.03 0.114177
5861.03 0.152214
5868.03 0.212551
5875.03 0.316017
5882.03 0.513029
