Al-27(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 13.1678
1.25000E-05 11.9281
1.50000E-05 11.0130
2.00000E-05 9.72844
2.75000E-05 8.50621
3.50000E-05 7.70183
4.25000E-05 7.12113
5.00000E-05 6.67658
6.25000E-05 6.12216
7.50000E-05 5.71291
0.000100000 5.13845
0.000125000 4.74641
0.000150000 4.45703
0.000200000 4.05082
0.000275000 3.66432
0.000350000 3.40995
0.000425000 3.22632
0.000500000 3.08574
0.000625000 2.91041
0.000750000 2.78100
0.00100000 2.59934
0.00125000 2.47536
0.00150000 2.38385
0.00200000 2.25540
0.00275000 2.13317
0.00350000 2.05273
0.00425000 1.99467
0.00500000 1.95021
0.00625000 1.89477
0.00750000 1.85384
0.0100000 1.79640
0.0125000 1.75719
0.0150000 1.72825
0.0200000 1.68763
0.0253000 1.65851
0.0314750 1.63436
0.0376500 1.61643
0.0500000 1.59112
0.0625000 1.57359
0.0750000 1.56064
0.100000 1.54248
0.125000 1.53008
0.150000 1.52092
0.200000 1.50808
0.275000 1.49585
0.350000 1.48780
0.500000 1.47753
0.750000 1.46788
1.00000 1.46211
1.50000 1.45526
2.00000 1.45117
2.75000 1.44725
3.50000 1.44465
5.00000 1.44130
7.50000 1.43808
10.0000 1.43608
15.0000 1.43358
20.0000 1.43194
27.5000 1.43020
35.0000 1.42888
50.0000 1.42682
75.0000 1.42415
100.000 1.42190
150.000 1.41790
200.000 1.41423
275.000 1.40908
350.000 1.40417
500.000 1.39489
750.000 1.38051
1000.00 1.36716
1500.00 1.34267
2000.00 1.32032
2750.00 1.28952
3500.00 1.26103
4250.00 1.23462
4625.00 1.22277
5000.00 1.21374
5224.01 1.21274
5336.01 1.21589
5448.02 1.22516
5504.02 1.23449
5560.02 1.24995
5616.02 1.27682
5672.02 1.32748
5700.02 1.37072
5728.03 1.43692
5756.03 1.54502
5784.03 1.73819
5798.03 1.89702
5812.03 2.13324
5826.03 2.50592
5840.03 3.14260
5854.03 4.36157
5861.03 5.43505
5868.03 7.13992
5875.03 10.0670
5882.03 15.6472
5885.53 20.4717
5889.03 27.8636
5892.53 39.5966
5896.03 58.3688
5900.36 92.7823
5904.68 115.646
5909.01 92.7372
5913.33 58.4770
5917.32 37.7888
5921.31 25.6628
5925.30 18.4139
5929.29 13.8636
5937.28 8.79439
5945.26 6.22515
