Si-28(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 8.50717
1.25000E-05 7.60904
1.50000E-05 6.94607
2.00000E-05 6.01548
2.75000E-05 5.13002
3.50000E-05 4.54727
4.25000E-05 4.12658
5.00000E-05 3.80452
6.25000E-05 3.40287
7.50000E-05 3.10638
0.000100000 2.69020
0.000125000 2.40619
0.000150000 2.19654
0.000200000 1.90226
0.000275000 1.62225
0.000350000 1.43797
0.000425000 1.30494
0.000500000 1.20310
0.000625000 1.07608
0.000750000 0.982323
0.00100000 0.850717
0.00125000 0.760904
0.00150000 0.694607
0.00200000 0.601548
0.00275000 0.513002
0.00350000 0.454727
0.00425000 0.412658
0.00500000 0.380452
0.00625000 0.340287
0.00750000 0.310638
0.0100000 0.269020
0.0125000 0.240619
0.0150000 0.219654
0.0200000 0.190226
0.0253000 0.169132
0.0314750 0.151636
0.0376500 0.138645
0.0500000 0.120310
0.0625000 0.107608
0.0750000 0.0982324
0.100000 0.0850718
0.125000 0.0760905
0.150000 0.0694608
0.200000 0.0601548
0.275000 0.0513002
0.350000 0.0454728
0.500000 0.0380453
0.750000 0.0310639
1.00000 0.0269022
1.50000 0.0219656
2.00000 0.0190228
2.75000 0.0162228
3.50000 0.0143800
5.00000 0.0120313
7.50000 0.00982361
10.0000 0.00850760
15.0000 0.00694661
20.0000 0.00601609
27.5000 0.00513074
35.0000 0.00454809
50.0000 0.00380550
75.0000 0.00310758
100.000 0.00269159
150.000 0.00219824
200.000 0.00190422
275.000 0.00162455
350.000 0.00144057
500.000 0.00120621
750.000 0.000986148
1000.00 0.000855149
1500.00 0.000700073
2000.00 0.000607902
2750.00 0.000520532
3500.00 0.000463313
5000.00 0.000390941
7500.00 0.000323980
10000.0 0.000285059
15000.0 0.000241124
20000.0 0.000217732
25869.8 0.000203637
28804.6 0.000200686
30272.1 0.000200502
31005.8 0.000201909
31372.6 0.000207661
31556.1 0.000230500
31647.8 0.000321348
31693.6 0.000680561
31716.6 0.00208216
31728.0 0.00740495
31733.8 0.0265919
31736.6 0.0892740
31738.1 0.257479
31738.8 0.592699
31739.1 1.03750
31739.5 2.00562
31740.0 4.01245
31740.5 2.00571
31741.1 0.749235
31741.6 0.359225
31742.7 0.134411
31745.0 0.0418334
31749.4 0.0118324
31758.3 0.00327686
31776.2 0.000992368
31811.8 0.000401489
31883.2 0.000251132
32025.8 0.000213209
32311.1 0.000203788
32881.7 0.000201779
34022.9 0.000202404
36305.4 0.000206707
40870.3 0.000228243
45435.1 0.000292548
47717.6 0.000375052
48858.8 0.000450536
50000.0 0.000575462
51337.5 0.000862846
52006.3 0.00113518
52675.0 0.00160445
53343.8 0.00251810
53510.9 0.00288299
53678.1 0.00333932
53761.7 0.00361156
53845.3 0.00392007
53928.9 0.00427156
54012.5 0.00467429
54096.1 0.00513866
54179.7 0.00567758
54263.3 0.00630774
54346.9 0.00705035
54430.5 0.00793338
54514.1 0.00899330
54597.7 0.0102792
54681.3 0.0118576
54764.9 0.0138200
54848.4 0.0162937
54932.0 0.0194595
55015.6 0.0235743
55099.2 0.0290081
55182.8 0.0362808
55266.4 0.0460908
55350.0 0.0592357
55513.5 0.0949501
55677.0 0.120849
55758.8 0.115076
55840.5 0.0986487
56004.0 0.0619998
56187.2 0.0360428
56370.5 0.0224674
56553.7 0.0150680
56736.9 0.0107259
56920.1 0.00799942
57103.4 0.00618947
57469.8 0.00402559
57836.3 0.00283796
58202.7 0.00211969
58935.6 0.00133444
59668.5 0.000938703
60401.4 0.000712510
61867.2 0.000478530
63333.0 0.000368659
64798.8 0.000315031
66264.6 0.000324632
66631.1 0.000366701
66997.5 0.000500534
67364.0 0.00124712
67547.2 0.00420711
67638.8 0.0156761
67661.7 0.0271824
67684.6 0.0586432
67696.1 0.100275
67707.5 0.209268
67713.3 0.345816
67719.0 0.673902
67721.8 1.04504
67724.7 1.81457
67726.1 2.54523
67727.6 3.78076
67729.0 6.02719
67730.4 10.2935
67731.7 16.4752
67733.0 20.6135
67734.3 16.5037
67735.6 10.3158
67737.1 5.89241
67738.6 3.63263
67740.1 2.41749
67741.6 1.71362
67744.6 0.978400
67747.6 0.628634
67753.5 0.320403
67759.5 0.193490
67771.5 0.0924357
67783.5 0.0539841
67807.4 0.0249973
67831.3 0.0144208
67927.1 0.00387977
68118.6 0.00115708
68501.6 0.000461207
68884.6 0.000328098
69267.5 0.000279186
70033.5 0.000241380
70416.5 0.000236116
70608.0 0.000250115
70703.7 0.000319178
70751.6 0.000598005
70775.6 0.00168904
70787.5 0.00584259
70793.5 0.0208465
70796.5 0.0698970
70798.0 0.203906
70798.7 0.473548
70799.5 1.65398
70800.0 3.30900
70800.5 1.65401
70801.5 0.353100
70802.5 0.137982
70804.4 0.0445128
70808.3 0.0128450
70816.1 0.00359106
70831.8 0.00109290
70863.0 0.000443448
70925.5 0.000277071
71050.4 0.000233512
71300.4 0.000219834
71800.2 0.000211993
72799.9 0.000203804
74799.2 0.000194497
78798.0 0.000186488
82796.7 0.000185877
84796.0 0.000191711
85795.7 0.000213959
86295.6 0.000301202
86545.5 0.000646834
86670.4 0.00200868
86732.9 0.00729492
86764.2 0.0272016
86779.8 0.0977711
86787.6 0.320124
86791.5 0.883676
86793.4 1.90384
86794.4 3.13790
86795.4 5.61351
86796.2 8.96684
86797.0 11.2338
86797.8 8.97651
86798.6 5.62110
86799.4 3.45813
86800.2 2.24389
86801.8 1.12372
86805.1 0.432936
86811.5 0.137356
86824.4 0.0389937
86850.2 0.0105148
86901.8 0.00285035
87004.9 0.000862694
87211.2 0.000356612
87623.7 0.000229130
88448.8 0.000197710
90099.0 0.000191352
93399.3 0.000193778
100000 0.000206089
116043 0.000262894
132085 0.000385302
136096 0.000435410
140106 0.000498283
142112 0.000535760
143114 0.000556282
144117 0.000578112
145120 0.000601355
146122 0.000626115
147125 0.000652516
148128 0.000680679
149130 0.000710747
150133 0.000742862
152138 0.000813870
154144 0.000895073
156149 0.000987964
158154 0.00109409
160159 0.00121491
164170 0.00150416
168533 0.00188242
172895 0.00226583
177258 0.00251086
181620 0.00247164
185983 0.00216321
190345 0.00174621
199070 0.00104858
205297 0.000738050
211523 0.000537693
217750 0.000406140
223976 0.000317041
236429 0.000209722
248882 0.000151119
261335 0.000116103
273788 9.37277E-05
286242 7.89399E-05
292468 7.46235E-05
295581 7.76933E-05
297138 9.81822E-05
297916 0.000182424
298305 0.000514717
298500 0.00180174
298597 0.00662634
298622 0.0112988
298646 0.0235294
298658 0.0389207
298670 0.0756505
298676 0.117362
298682 0.204420
298686 0.289182
298689 0.428469
298692 0.680735
298695 1.17098
298697 1.87864
298700 2.34193
298703 1.88030
298705 1.17231
298708 0.741506
298711 0.496327
298716 0.254328
298721 0.151573
298726 0.0998941
298736 0.0524256
298746 0.0322791
298766 0.0157080
298787 0.00926866
298868 0.00252837
299031 0.000706658
299356 0.000233879
300006 0.000118469
300657 0.000127338
300982 0.000248765
301144 0.000742947
301226 0.00265027
301266 0.00973075
301287 0.0339250
301297 0.105785
301302 0.269440
301307 1.17518
301309 1.86286
301310 2.15316
301313 0.947530
301320 0.173753
301326 0.0662829
301339 0.0210176
301365 0.00599732
301417 0.00165142
301521 0.000481155
301729 0.000176449
302145 9.72472E-05
302978 7.51722E-05
304642 6.73833E-05
307972 6.29880E-05
314630 5.85847E-05
327948 5.26662E-05
341265 4.86681E-05
347924 4.83318E-05
351253 5.32437E-05
352918 7.56546E-05
353750 0.000165821
354166 0.000519790
354374 0.00187662
354478 0.00684806
354504 0.0115585
354530 0.0235477
354543 0.0380237
354556 0.0711235
354563 0.106185
354569 0.173570
354576 0.323363
354579 0.472678
354582 0.714886
354586 1.13981
354590 1.43070
354594 1.14103
354598 0.715856
354601 0.503225
354603 0.361510
354609 0.207045
354614 0.131574
354620 0.0902783
354631 0.0496390
354642 0.0312223
354664 0.0155769
354686 0.00930367
354730 0.00440829
354774 0.00257287
354950 0.000705483
355302 0.000213817
356007 8.74728E-05
357415 5.51703E-05
360233 4.65328E-05
365868 4.34766E-05
377139 4.12620E-05
388409 3.98614E-05
394044 3.93566E-05
396862 3.92923E-05
398271 3.98865E-05
398975 4.26564E-05
399327 5.39013E-05
399503 9.87631E-05
399591 0.000276290
399635 0.000971181
399657 0.00363279
399668 0.0133977
399674 0.0463249
399677 0.144965
399679 1.68258
399680 3.45709
399681 1.77290
399683 0.226456
399685 0.0801088
399689 0.0236307
399697 0.00652379
399713 0.00173964
399746 0.000474385
399810 0.000149038
399940 6.65388E-05
400199 4.57508E-05
400718 4.05023E-05
401754 3.91241E-05
403828 3.86597E-05
407975 3.83350E-05
416270 3.79568E-05
432859 3.77628E-05
466036 4.01438E-05
499214 5.17327E-05
507509 5.94270E-05
515803 7.41852E-05
519950 8.89589E-05
524098 0.000121261
526171 0.000159185
527208 0.000194094
528245 0.000254111
529282 0.000373361
529800 0.000484292
530318 0.000672699
530837 0.00103286
531096 0.00135100
531355 0.00185943
531614 0.00274326
531874 0.00447126
532003 0.00601435
532133 0.00847373
532262 0.0126355
532392 0.0200487
532660 0.0488097
532727 0.0505895
532794 0.0460726
532928 0.0298165
533034 0.0198385
533140 0.0135507
533247 0.00964759
533353 0.00715352
533565 0.00434027
533777 0.00290618
533990 0.00208778
534202 0.00158015
534626 0.00101260
535051 0.000720785
535475 0.000552216
536325 0.000376705
538023 0.000249927
539721 0.000212063
543118 0.000208712
546514 0.000246948
549911 0.000323982
553307 0.000465591
556704 0.000739633
558402 0.000970308
560100 0.00130083
565580 0.00264835
568320 0.00219321
571060 0.00140373
573061 0.000998584
575062 0.000735352
577062 0.000568178
579063 0.000465716
581064 0.000415862
583065 0.000440505
585065 0.000777687
586066 0.00200570
586316 0.00311103
586566 0.00577307
586691 0.00878882
586816 0.0151180
586879 0.0212101
586941 0.0316942
587004 0.0513365
587035 0.0676165
587066 0.0906751
587170 0.193327
587196 0.187747
587222 0.163185
587274 0.103430
587317 0.0688199
587360 0.0473520
587403 0.0340170
587446 0.0254311
587532 0.0156547
587618 0.0106140
587790 0.00591522
587962 0.00390923
588650 0.00196268
588994 0.00213257
589166 0.00246107
589338 0.00305877
589510 0.00413576
589682 0.00618294
589854 0.0104307
589940 0.0141958
590026 0.0196658
590092 0.0249760
590158 0.0302618
590224 0.0333868
590290 0.0324683
590422 0.0225808
590554 0.0136735
590647 0.00978058
590740 0.00723424
590926 0.00436294
591111 0.00291941
591297 0.00210742
591483 0.00160828
591669 0.00128032
592040 0.000889308
592412 0.000672716
592783 0.000539393
593526 0.000388644
594269 0.000308352
595013 0.000259815
596499 0.000206498
597985 0.000183021
599471 0.000186721
600957 0.000301454
601700 0.000792101
602072 0.00261456
602165 0.00434919
602257 0.00878311
602304 0.0141720
602350 0.0265513
602374 0.0397575
602397 0.0653557
602420 0.123053
602432 0.180253
602443 0.274511
602457 0.439458
602470 0.548577
602484 0.438905
602497 0.275110
602511 0.168001
602524 0.108911
602551 0.0543235
602579 0.0318903
602606 0.0208764
602660 0.0108923
602715 0.00668591
602824 0.00328067
602933 0.00196997
603368 0.000605533
604240 0.000234610
605983 0.000131826
607726 0.000107667
609468 9.62052E-05
616440 7.62347E-05
630382 6.21907E-05
658268 5.73261E-05
686153 6.46628E-05
700096 7.26010E-05
707067 7.80993E-05
710553 8.16215E-05
712295 8.47795E-05
713167 9.14493E-05
713602 0.000114908
713820 0.000206262
713929 0.000563250
713984 0.00193526
714011 0.00697704
714025 0.0240441
714031 0.0734458
714038 0.826614
714040 1.71508
714042 0.885575
714049 0.0723000
714056 0.0232387
714070 0.00662770
714098 0.00183054
714154 0.000534950
714267 0.000199202
714492 0.000113942
714943 9.28605E-05
715843 8.84391E-05
717644 8.91632E-05
721247 9.33624E-05
728452 0.000104127
742862 0.000136162
757273 0.000194023
764478 0.000243280
768080 0.000282818
769882 0.000333244
770782 0.000467347
771233 0.000935483
771345 0.00138333
771458 0.00254664
771514 0.00399006
771570 0.00742454
771599 0.0112501
771627 0.0190345
771655 0.0382556
771669 0.0594711
771683 0.0979126
771697 0.157066
771710 0.197303
771724 0.158612
771737 0.0994861
771750 0.0632982
771762 0.0422071
771787 0.0218893
771813 0.0132076
771838 0.00882496
771888 0.00478731
771938 0.00305777
772038 0.00164664
772139 0.00109930
772540 0.000530555
773344 0.000385651
774950 0.000367601
778163 0.000409687
784589 0.000554431
791014 0.000791994
797440 0.00118021
804965 0.00185103
812490 0.00226859
820015 0.00180971
827540 0.00116014
836285 0.000712653
840658 0.000623647
841751 0.000641867
842844 0.000737750
843390 0.000880520
843937 0.00125287
844210 0.00169651
844347 0.00207976
844484 0.00267429
844620 0.00366175
844757 0.00544681
844893 0.00903518
844962 0.0121949
845030 0.0168844
845130 0.0267504
845230 0.0333719
845330 0.0268246
845430 0.0169416
845535 0.0103684
845640 0.00679223
845745 0.00477298
845850 0.00355854
846060 0.00225674
846270 0.00161988
846479 0.00126338
846689 0.00104416
847109 0.000798961
847949 0.000594192
848788 0.000508357
852146 0.000390040
858862 0.000310845
865577 0.000272470
868935 0.000266281
870614 0.000287322
871454 0.000386978
871874 0.000774629
872083 0.00218941
872188 0.00687915
872241 0.0199493
872267 0.0470393
872280 0.0849437
872293 0.177725
872302 0.284337
872310 0.359416
872318 0.289761
872327 0.181962
872336 0.109408
872344 0.0698481
872362 0.0343706
872397 0.0131544
872467 0.00429119
872607 0.00138414
872887 0.000548458
873448 0.000323560
874569 0.000263603
876811 0.000245746
881296 0.000239435
890265 0.000248898
899234 0.000302183
901476 0.000340090
903719 0.000416962
904840 0.000491071
905961 0.000621254
907082 0.000873577
907643 0.00108640
908203 0.00138478
909122 0.00198967
909581 0.00216782
910040 0.00211740
910959 0.00155864
911877 0.00105319
912630 0.000805270
913382 0.000655278
914888 0.000502472
917899 0.000404964
923920 0.000389183
943075 0.000537036
962230 0.000643789
981115 0.000518134
1.00000E+06 0.000336976
1.00050E+06 0.000333012
1.00158E+06 0.000324645
1.00266E+06 0.000316539
1.00482E+06 0.000301125
1.00913E+06 0.000273808
1.01345E+06 0.000255104
1.01560E+06 0.000268100
1.01668E+06 0.000355469
1.01722E+06 0.000692488
1.01736E+06 0.00101472
1.01749E+06 0.00183875
1.01756E+06 0.00284922
1.01763E+06 0.00514039
1.01766E+06 0.00762259
1.01769E+06 0.0122699
1.01773E+06 0.0230469
1.01775E+06 0.0338418
1.01776E+06 0.0505437
1.01780E+06 0.105567
1.01782E+06 0.0857065
1.01784E+06 0.0542172
1.01786E+06 0.0291972
1.01789E+06 0.0176549
1.01794E+06 0.00821644
1.01798E+06 0.00472343
1.01803E+06 0.00309120
1.01813E+06 0.00167309
1.01822E+06 0.00109393
1.01861E+06 0.000462139
1.01938E+06 0.000281509
1.02091E+06 0.000228046
1.02399E+06 0.000204406
1.03014E+06 0.000185119
1.03628E+06 0.000196805
1.03782E+06 0.000221819
1.03936E+06 0.000292008
1.04013E+06 0.000379414
1.04051E+06 0.000456916
1.04089E+06 0.000580405
1.04128E+06 0.000792864
1.04166E+06 0.00119856
1.04185E+06 0.00154984
1.04205E+06 0.00208919
1.04224E+06 0.00294871
1.04243E+06 0.00433508
1.04267E+06 0.00690010
1.04290E+06 0.00873007
1.04314E+06 0.00709415
1.04337E+06 0.00448607
1.04353E+06 0.00321438
1.04370E+06 0.00237004
1.04402E+06 0.00142092
1.04435E+06 0.000952589
1.04468E+06 0.000696058
1.04500E+06 0.000541323
1.04533E+06 0.000441862
1.04598E+06 0.000325734
1.04729E+06 0.000225450
1.04859E+06 0.000183680
1.05121E+06 0.000148163
1.05382E+06 0.000132110
1.06427E+06 0.000105214
1.07471E+06 9.24854E-05
1.07994E+06 9.18912E-05
1.08255E+06 0.000107553
1.08320E+06 0.000125292
1.08386E+06 0.000175864
1.08418E+06 0.000245351
1.08451E+06 0.000435390
1.08467E+06 0.000689258
1.08484E+06 0.00135224
1.08500E+06 0.00418523
1.08508E+06 0.0112213
1.08512E+06 0.0234464
1.08516E+06 0.0616396
1.08518E+06 0.0971790
1.08520E+06 0.115721
1.08522E+06 0.0886483
1.08524E+06 0.0549387
1.08530E+06 0.0142166
1.08536E+06 0.00606739
1.08548E+06 0.00209765
1.08573E+06 0.000671359
1.08598E+06 0.000357649
1.08622E+06 0.000240918
1.08671E+06 0.000153518
1.08720E+06 0.000121705
1.08819E+06 9.80816E-05
1.08917E+06 8.92636E-05
1.09310E+06 7.88795E-05
1.10095E+06 7.30242E-05
1.11667E+06 6.88425E-05
1.13238E+06 7.27076E-05
1.14024E+06 8.12734E-05
1.14417E+06 9.00151E-05
1.14613E+06 9.74547E-05
1.14712E+06 0.000105859
1.14761E+06 0.000125708
1.14785E+06 0.000196698
1.14798E+06 0.000471145
1.14804E+06 0.00150300
1.14807E+06 0.00534428
1.14808E+06 0.0175211
1.14809E+06 0.0547532
1.14810E+06 0.656897
1.14810E+06 1.33655
1.14810E+06 0.682072
1.14811E+06 0.0679854
1.14812E+06 0.0252767
1.14813E+06 0.00740970
1.14815E+06 0.00207423
1.14821E+06 0.000626294
1.14831E+06 0.000239834
1.14851E+06 0.000140895
1.14892E+06 0.000117819
1.14974E+06 0.000116807
1.15137E+06 0.000129233
1.15465E+06 0.000182681
1.15628E+06 0.000240678
1.15792E+06 0.000357881
1.15874E+06 0.000467007
1.15955E+06 0.000648767
1.16037E+06 0.000973578
1.16119E+06 0.00157906
1.16157E+06 0.00199589
1.16195E+06 0.00247426
1.16232E+06 0.00290574
1.16270E+06 0.00310028
1.16346E+06 0.00253177
1.16421E+06 0.00162880
