Si-29(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 8.61776
1.25000E-05 7.98077
1.50000E-05 7.51057
2.00000E-05 6.85055
2.75000E-05 6.22255
3.50000E-05 5.80924
4.25000E-05 5.51087
5.00000E-05 5.28245
6.25000E-05 4.99758
7.50000E-05 4.78730
0.000100000 4.49213
0.000125000 4.29070
0.000150000 4.14201
0.000200000 3.93329
0.000275000 3.73470
0.000350000 3.60400
0.000425000 3.50965
0.000500000 3.43742
0.000625000 3.34733
0.000750000 3.28084
0.00100000 3.18750
0.00125000 3.12380
0.00150000 3.07678
0.00200000 3.01078
0.00275000 2.94797
0.00350000 2.90664
0.00425000 2.87681
0.00500000 2.85397
0.00625000 2.82548
0.00750000 2.80445
0.0100000 2.77493
0.0125000 2.75479
0.0150000 2.73992
0.0200000 2.71905
0.0253000 2.70409
0.0314750 2.69168
0.0376500 2.68247
0.0500000 2.66946
0.0625000 2.66045
0.0750000 2.65380
0.100000 2.64447
0.125000 2.63810
0.150000 2.63340
0.200000 2.62680
0.275000 2.62052
0.350000 2.61638
0.500000 2.61111
0.750000 2.60616
1.00000 2.60321
1.50000 2.59971
2.00000 2.59762
2.75000 2.59563
3.50000 2.59432
5.00000 2.59265
7.50000 2.59107
10.0000 2.59013
15.0000 2.58900
20.0000 2.58832
27.5000 2.58766
35.0000 2.58722
50.0000 2.58663
75.0000 2.58603
100.000 2.58563
150.000 2.58508
200.000 2.58467
275.000 2.58417
350.000 2.58373
500.000 2.58296
750.000 2.58179
1000.00 2.58068
1500.00 2.57855
2000.00 2.57646
2750.00 2.57338
3500.00 2.57032
5000.00 2.56426
7500.00 2.55427
10000.0 2.54441
11319.1 2.53932
12638.1 2.53444
13297.6 2.53228
13627.4 2.53143
13957.2 2.53094
14286.9 2.53138
14451.8 2.53247
14616.7 2.53502
14699.1 2.53740
14781.6 2.54123
14864.0 2.54776
14946.4 2.55996
14987.7 2.57035
15028.9 2.58632
15070.1 2.61259
15111.3 2.66025
15131.9 2.70013
15152.5 2.76054
15173.2 2.85837
15193.8 3.03224
15204.1 3.17497
15214.4 3.38700
15224.7 3.72225
15235.0 4.29643
15245.3 5.40478
15250.4 6.38874
15255.6 7.96703
15260.8 10.7254
15265.9 16.1091
15268.5 20.9010
15271.1 28.4162
15273.6 40.8322
15276.2 61.4888
15279.1 96.6547
15282.0 120.027
15284.9 96.6950
15287.8 61.5270
15290.1 42.5090
15292.4 30.5389
15294.7 22.9177
15297.0 17.9021
15301.6 12.0504
15306.2 8.95385
15310.8 7.13591
15315.4 5.98876
15324.6 4.67908
15333.8 3.99004
15343.0 3.58508
15352.2 3.32706
15361.4 3.15270
15379.8 2.93899
15398.3 2.81810
15416.7 2.74313
15435.1 2.69348
15471.9 2.63379
15508.7 2.60063
15545.5 2.58030
15582.3 2.56691
15656.0 2.55089
15729.6 2.54196
15803.2 2.53642
15876.8 2.53270
16024.1 2.52807
16171.3 2.52528
16465.9 2.52191
16760.4 2.51974
17054.9 2.51803
17643.9 2.51518
18822.0 2.51023
20000.0 2.50556
23977.0 2.49025
27954.0 2.47531
29942.5 2.46805
31931.0 2.46116
33919.5 2.45543
34913.8 2.45397
35410.9 2.45417
35908.0 2.45565
36267.0 2.45816
36626.0 2.46288
36984.9 2.47179
37343.9 2.48960
37523.4 2.50531
37702.9 2.52988
37882.4 2.57085
38061.9 2.64576
38151.6 2.70853
38241.3 2.80339
38331.1 2.95610
38420.8 3.22405
38510.6 3.75770
38555.5 4.24713
38600.3 5.05813
38645.2 6.53967
38667.6 7.78220
38690.1 9.65718
38712.5 12.6543
38734.9 17.7840
38757.4 27.2794
38779.8 45.7229
38799.4 71.9116
38819.0 89.4700
38838.6 72.1618
38858.2 46.1002
38880.0 28.0484
38901.7 18.5409
38923.5 13.3064
38945.3 10.2070
38967.0 8.24570
38988.8 6.93602
39032.3 5.35826
39075.8 4.48416
39119.4 3.95145
39206.4 3.36322
39293.4 3.06275
39380.5 2.88872
39467.5 2.77880
39554.6 2.70485
39728.7 2.61433
39902.8 2.56285
40076.8 2.53058
40250.9 2.50888
40599.1 2.48208
40947.3 2.46643
41295.5 2.45621
41643.7 2.44897
42340.0 2.43915
43036.4 2.43248
44429.1 2.42308
45821.8 2.41588
47214.6 2.40960
50000.0 2.39826
56250.0 2.37490
62500.0 2.35255
75000.0 2.30908
100000 2.22499
129540 2.13123
136925 2.11137
144310 2.09940
148003 2.10355
149849 2.11304
151695 2.13407
153541 2.18188
154464 2.22855
155388 2.30892
156311 2.46216
156772 2.59579
157234 2.80545
157695 3.15936
158157 3.81731
158388 4.37272
158619 5.20509
158849 6.49178
159080 8.49333
159380 12.3448
159680 15.0922
159980 12.6328
160280 8.64789
160468 6.85654
160657 5.60987
161033 4.14222
161410 3.38716
161787 2.96112
162163 2.70070
162540 2.53108
163293 2.33188
164047 2.22397
164800 2.15885
166307 2.08663
167814 2.04838
169320 2.02456
172334 1.99503
175347 1.97528
178360 1.95923
179867 1.95192
181374 1.94545
182127 1.94355
182880 1.94635
183257 1.95487
183445 1.96486
183634 1.98430
183822 2.02670
183916 2.06802
184010 2.13960
184105 2.27750
184152 2.39837
184199 2.58763
184246 2.90590
184293 3.48855
184317 3.97125
184340 4.67475
184364 5.72686
184387 7.30084
184422 10.7379
184457 13.1468
184492 11.0303
184526 7.71953
184563 5.45095
184600 4.21137
184637 3.50919
184674 3.08508
184710 2.81109
184747 2.62527
184821 2.39754
184895 2.26830
184969 2.18800
185116 2.09691
185263 2.04861
185411 2.01960
185706 1.98733
186001 1.97012
186296 1.95946
186886 1.94670
187475 1.93893
188065 1.93333
189245 1.92501
191604 1.91260
193964 1.90202
203402 1.86349
222277 1.78666
260028 1.61061
297779 1.37247
316655 1.22109
321373 1.19027
326092 1.18713
328452 1.21995
330811 1.32873
331991 1.45832
333171 1.71958
333761 1.95378
334350 2.32374
334940 2.93619
335530 3.97550
336790 7.07406
337105 6.81841
337420 5.95647
338050 3.94950
338607 2.76288
339164 2.06808
339721 1.65562
340278 1.39821
341392 1.11064
342506 0.960177
344734 0.803399
346963 0.712181
351419 0.578744
355875 0.459811
360331 0.348184
364788 0.262477
367016 0.244518
369244 0.259069
371472 0.326394
373700 0.476473
375208 0.645310
376715 0.885593
379730 1.63465
385760 4.01732
388778 5.01044
391795 5.47869
397830 5.28829
401996 4.86892
406163 4.46128
414495 3.82950
422828 3.40785
431160 3.12096
447825 2.77559
464490 2.60432
481155 2.55323
497820 2.62974
514485 2.89762
522818 3.14380
531150 3.49477
536260 3.76927
541370 4.08800
543925 4.26303
545203 4.35563
546480 4.45465
547758 4.56875
548396 4.63925
549035 4.73026
549674 4.86559
550313 5.11069
550632 5.32887
550951 5.68483
551271 6.30946
551590 7.45585
551916 9.41560
552242 11.0915
552568 10.2968
552894 8.53939
553108 7.66607
553321 7.04853
553748 6.31336
554175 5.93387
554602 5.72280
555029 5.59857
555456 5.52306
556311 5.44883
557165 5.42565
558019 5.42628
559727 5.45706
563144 5.53769
566560 5.58322
575413 5.43532
584265 4.99061
601970 3.97077
607120 3.73176
610165 3.60612
613210 3.49159
614733 3.43930
616255 3.39603
617016 3.38692
617397 3.39223
617778 3.41310
618158 3.46866
618539 3.61353
618729 3.76676
618919 4.04128
619110 4.56334
619300 5.59539
619483 7.32792
619665 8.85577
619847 8.19009
620029 6.62455
620211 5.50530
620394 4.83730
620576 4.43207
620759 4.17273
621123 3.87281
621488 3.71068
621853 3.61109
622217 3.54404
622947 3.45916
623676 3.40684
624406 3.37073
625864 3.32362
628782 3.27981
631700 3.28047
637535 3.43765
640452 3.63917
643370 3.97457
645540 4.34201
646449 4.53831
647359 4.78900
647813 4.96646
648268 5.24149
648495 5.46026
648722 5.79001
648950 6.32242
649177 7.21753
649452 8.97915
649726 10.5490
650001 10.0259
650275 8.65005
650623 7.47824
650971 6.88201
651319 6.57181
651668 6.40060
652364 6.23851
653060 6.16542
655485 5.93532
657910 5.52418
662760 4.58308
665999 4.10246
669237 3.75326
675714 3.31511
682191 3.06713
688668 2.91322
