P-31(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 12.3994
1.09051E-05 12.0498
1.17640E-05 11.7561
1.25708E-05 11.5081
1.33221E-05 11.2976
1.47465E-05 10.9435
1.50000E-05 10.8883
1.59138E-05 10.6895
1.68495E-05 10.5051
1.83573E-05 10.2383
2.00000E-05 9.98251
2.18102E-05 9.73478
2.35280E-05 9.52660
2.51417E-05 9.35075
2.66442E-05 9.20157
2.75000E-05 9.12619
2.94929E-05 8.95063
3.18275E-05 8.77057
3.36990E-05 8.63991
3.50000E-05 8.55830
3.67146E-05 8.45075
4.00000E-05 8.26948
4.36203E-05 8.09389
4.70559E-05 7.94633
5.00000E-05 7.83264
5.02833E-05 7.82170
5.32883E-05 7.71596
5.89856E-05 7.53809
6.36549E-05 7.41046
6.73979E-05 7.31785
7.34291E-05 7.18378
7.50000E-05 7.15306
8.00000E-05 7.05529
8.72406E-05 6.93084
9.41117E-05 6.82625
0.000100000 6.74566
0.000100566 6.73792
0.000106576 6.66297
0.000117971 6.53690
0.000127310 6.44643
0.000134796 6.38079
0.000146858 6.28576
0.000150000 6.26399
0.000160000 6.19469
0.000174481 6.10648
0.000188223 6.03235
0.000200000 5.97522
0.000201133 5.96973
0.000213153 5.91661
0.000235942 5.82725
0.000254619 5.76313
0.000269591 5.71661
0.000275000 5.70150
0.000293716 5.64925
0.000320000 5.58470
0.000348962 5.52217
0.000350000 5.52019
0.000376447 5.46963
0.000402266 5.42525
0.000426306 5.38760
0.000471885 5.32426
0.000500000 5.29005
0.000509240 5.27881
0.000539184 5.24584
0.000587433 5.19809
0.000640000 5.15234
0.000697925 5.10803
0.000750000 5.07274
0.000752894 5.07078
0.000804532 5.03933
0.000852612 5.01264
0.000943770 4.96775
0.00100000 4.94350
0.00101848 4.93553
0.00107837 4.91216
0.00117487 4.87832
0.00128000 4.84589
0.00139585 4.81448
0.00150000 4.78947
0.00150579 4.78808
0.00160907 4.76579
0.00170523 4.74687
0.00188754 4.71505
0.00200000 4.69787
0.00203696 4.69222
0.00215674 4.67565
0.00234973 4.65167
0.00256000 4.62868
0.00275000 4.61042
