S-33(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 20.6214
1.25000E-05 18.7626
1.50000E-05 17.3905
2.00000E-05 15.4645
2.75000E-05 13.6319
3.50000E-05 12.4259
4.25000E-05 11.5552
5.00000E-05 10.8886
6.25000E-05 10.0574
7.50000E-05 9.44374
0.000100000 8.58241
0.000125000 7.99461
0.000150000 7.56071
0.000200000 6.95166
0.000275000 6.37214
0.000350000 5.99075
0.000425000 5.71542
0.000500000 5.50464
0.000625000 5.24177
0.000750000 5.04772
0.00100000 4.77534
0.00125000 4.58946
0.00150000 4.45225
0.00200000 4.25965
0.00275000 4.07640
0.00350000 3.95579
0.00425000 3.86872
0.00500000 3.80207
0.00625000 3.71894
0.00750000 3.65758
0.0100000 3.57144
0.0125000 3.51266
0.0150000 3.46927
0.0200000 3.40836
0.0253000 3.36470
0.0314750 3.32849
0.0376500 3.30160
0.0500000 3.26365
0.0625000 3.23736
0.0750000 3.21796
0.100000 3.19071
0.125000 3.17212
0.150000 3.15839
0.200000 3.13912
0.275000 3.12078
0.350000 3.10870
0.500000 3.09330
0.750000 3.07880
1.00000 3.07013
1.50000 3.05982
2.00000 3.05362
2.75000 3.04768
3.50000 3.04372
5.00000 3.03856
7.50000 3.03350
10.0000 3.03028
15.0000 3.02608
20.0000 3.02318
27.5000 3.01990
35.0000 3.01725
50.0000 3.01284
75.0000 3.00665
100.000 3.00108
150.000 2.99078
200.000 2.98104
275.000 2.96705
350.000 2.95358
500.000 2.92783
750.000 2.88776
1000.00 2.85068
1500.00 2.78399
2000.00 2.72555
2750.00 2.65011
3500.00 2.58613
5000.00 2.48281
6250.00 2.41416
7500.00 2.35600
8750.00 2.30452
10000.0 2.25578
10860.4 2.22037
11290.6 2.20030
11720.9 2.17659
12151.1 2.14533
12366.2 2.12404
12581.3 2.09537
12688.8 2.07643
12796.4 2.05253
12903.9 2.02106
13011.5 1.97712
13065.3 1.94773
13119.1 1.91080
13172.8 1.86304
13226.6 1.79937
13253.5 1.75936
13280.4 1.71272
13307.3 1.65964
13334.2 1.60497
13347.6 1.58292
13361.0 1.57386
13374.5 1.59680
13387.9 1.69936
13401.4 2.01758
13408.1 2.37295
13414.8 3.02265
13421.5 4.28653
13424.9 5.36639
13428.3 6.98631
13431.6 9.50285
13435.0 13.5670
13438.3 20.3744
13441.7 31.9229
13445.9 55.0233
13450.0 74.8299
13454.2 65.8040
13458.3 45.4504
13461.5 33.6624
13464.7 25.7137
13467.9 20.3494
13471.1 16.6602
13477.5 12.0924
13483.9 9.49737
13490.3 7.87866
13496.6 6.79503
13509.4 5.46566
