S-34(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 11.2466
1.25000E-05 10.0592
1.50000E-05 9.18277
2.00000E-05 7.95251
2.75000E-05 6.78192
3.50000E-05 6.01153
4.25000E-05 5.45538
5.00000E-05 5.02961
6.25000E-05 4.49862
7.50000E-05 4.10666
0.000100000 3.55647
0.000125000 3.18100
0.000150000 2.90385
0.000200000 2.51481
0.000275000 2.14463
0.000350000 1.90101
0.000425000 1.72514
0.000500000 1.59050
0.000625000 1.42259
0.000750000 1.29864
0.00100000 1.12466
0.00125000 1.00592
0.00150000 0.918277
0.00200000 0.795251
0.00275000 0.678192
0.00350000 0.601153
0.00425000 0.545537
0.00500000 0.502961
0.00625000 0.449861
0.00750000 0.410665
0.0100000 0.355646
0.0125000 0.318100
0.0150000 0.290384
0.0200000 0.251480
0.0253000 0.223592
0.0314750 0.200463
0.0376500 0.183288
0.0500000 0.159049
0.0625000 0.142257
0.0750000 0.129862
0.100000 0.112463
0.125000 0.100590
0.150000 0.0918250
0.200000 0.0795220
0.275000 0.0678155
0.350000 0.0601112
0.500000 0.0502911
0.750000 0.0410605
1.00000 0.0355577
1.50000 0.0290298
2.00000 0.0251381
2.75000 0.0214346
3.50000 0.0189970
5.00000 0.0158893
7.50000 0.0129671
10.0000 0.0112243
15.0000 0.00915552
20.0000 0.00792107
27.5000 0.00674509
35.0000 0.00597003
50.0000 0.00498011
75.0000 0.00404626
100.000 0.00348699
150.000 0.00281938
200.000 0.00241799
275.000 0.00203234
350.000 0.00177570
500.000 0.00144390
750.000 0.00112526
1000.00 0.000931148
1500.00 0.000696290
2000.00 0.000554376
2750.00 0.000419484
3500.00 0.000332257
5000.00 0.000226059
7500.00 0.000136664
10000.0 9.14643E-05
12500.0 6.53533E-05
15000.0 4.89452E-05
20000.0 3.03727E-05
23750.0 2.26701E-05
27500.0 1.76576E-05
35000.0 1.18374E-05
42500.0 8.81736E-06
50000.0 7.16003E-06
62500.0 5.99275E-06
75000.0 6.20266E-06
81250.0 6.93181E-06
87500.0 8.40578E-06
93750.0 1.13762E-05
96875.0 1.39961E-05
100000 1.81095E-05
102281 2.27683E-05
104562 2.99388E-05
106843 4.17774E-05
109125 6.33652E-05
110265 8.15201E-05
111406 0.000109161
112546 0.000154225
113687 0.000235047
114257 0.000301962
114827 0.000402327
115398 0.000562696
115968 0.000842110
116538 0.00139481
116823 0.00189946
117109 0.00273249
117394 0.00424923
117536 0.00551748
117679 0.00742646
117821 0.0104710
117964 0.0156650
118107 0.0252482
118249 0.0437837
118375 0.0702741
118500 0.0878677
118626 0.0700037
118751 0.0436012
118838 0.0309363
118925 0.0224814
119013 0.0168344
119100 0.0129728
119274 0.00828374
119449 0.00570380
119623 0.00415065
119797 0.00314988
120146 0.00198733
120495 0.00136560
120844 0.000995746
121192 0.000758226
121541 0.000596778
122238 0.000397733
122936 0.000284416
123633 0.000213819
124331 0.000166894
125726 0.000110324
127121 7.88181E-05
128516 5.94833E-05
129910 4.67677E-05
132700 3.16085E-05
135490 2.32626E-05
141070 1.48829E-05
146649 1.10045E-05
152229 8.94078E-06
163388 7.06153E-06
181694 6.43237E-06
200000 7.14977E-06
208026 7.81791E-06
230344 1.13453E-05
241504 1.47730E-05
252663 2.06579E-05
263822 3.20705E-05
269402 4.23739E-05
274981 5.93473E-05
280561 9.04695E-05
283351 0.000116892
286141 0.000157525
288931 0.000224503
290326 0.000275345
291023 0.000307411
291720 0.000345263
292418 0.000390290
292767 0.000416019
293115 0.000444236
293464 0.000475245
293813 0.000509363
294510 0.000588501
295208 0.000685215
295905 0.000803722
296603 0.000948740
297300 0.00112447
298300 0.00143209
299300 0.00178125
301300 0.00220618
302300 0.00207186
303300 0.00176373
305300 0.00112289
306744 0.000812463
308187 0.000618139
309631 0.000506111
311075 0.000458858
312518 0.000484175
313240 0.000540185
313962 0.000650342
314684 0.000864933
315405 0.00131562
315766 0.00173367
316127 0.00241481
316488 0.00358300
316849 0.00563215
317225 0.00893293
317600 0.0111173
317976 0.00888658
318351 0.00558610
318639 0.00386792
318927 0.00276662
319215 0.00205658
319503 0.00158416
320078 0.00102574
320654 0.000725481
321230 0.000546811
321806 0.000432071
322957 0.000298192
324109 0.000225472
325260 0.000181255
327563 0.000132121
329866 0.000107152
332169 9.37001E-05
336776 8.57259E-05
341382 9.85069E-05
343685 0.000116308
345988 0.000148692
348291 0.000210330
349442 0.000262700
350594 0.000342115
351746 0.000469297
352897 0.000687274
353185 0.000765225
353473 0.000856529
353761 0.000963952
354049 0.00109076
354336 0.00124094
354624 0.00141879
354912 0.00162880
355200 0.00187466
355450 0.00211867
355700 0.00238907
356200 0.00297513
357200 0.00369756
357700 0.00347515
358200 0.00295412
359200 0.00185481
360259 0.00112210
361319 0.000726060
362378 0.000504135
363438 0.000371466
365556 0.000231194
367675 0.000164788
369794 0.000130070
371913 0.000111563
376150 0.000101135
380388 0.000117278
382506 0.000138063
384625 0.000173059
386744 0.000232600
388863 0.000339153
390981 0.000544602
392041 0.000717052
393100 0.000962592
394850 0.00153467
396600 0.00190587
398350 0.00151053
400100 0.000943611
401200 0.000695082
402300 0.000522801
404500 0.000319802
406700 0.000214876
408900 0.000155586
411100 0.000119639
413300 9.68305E-05
417700 7.30792E-05
422099 6.83974E-05
424299 7.40711E-05
426499 8.96297E-05
428699 0.000127372
429799 0.000165611
430899 0.000234020
431999 0.000372634
432549 0.000501677
433099 0.000718797
433649 0.00112508
433924 0.00147449
434199 0.00201609
