Cl-35(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 2193.68
1.02190E-05 2170.08
1.04357E-05 2147.45
1.06500E-05 2125.74
1.09648E-05 2094.94
1.12775E-05 2065.75
1.15436E-05 2041.75
1.18800E-05 2012.67
1.23154E-05 1976.74
1.27013E-05 1946.47
1.30872E-05 1917.56
1.34731E-05 1889.90
1.38590E-05 1863.40
1.42449E-05 1837.99
1.46570E-05 1812.00
1.50167E-05 1790.13
1.54813E-05 1763.13
1.57885E-05 1745.83
1.61744E-05 1724.88
1.65603E-05 1704.66
1.69462E-05 1685.14
1.73321E-05 1666.28
1.78285E-05 1642.97
1.81039E-05 1630.37
1.84898E-05 1613.27
1.88757E-05 1596.69
1.93638E-05 1576.49
1.96475E-05 1565.02
2.00334E-05 1549.87
2.04380E-05 1534.46
2.08714E-05 1518.47
2.13000E-05 1503.12
2.17236E-05 1488.40
2.23488E-05 1467.39
2.29625E-05 1447.69
2.35065E-05 1430.80
2.38924E-05 1419.20
2.46642E-05 1396.82
2.54360E-05 1375.46
2.62078E-05 1355.06
2.69796E-05 1335.53
2.77514E-05 1316.83
2.85232E-05 1298.89
2.93140E-05 1281.26
3.00668E-05 1265.11
3.09624E-05 1246.72
3.16104E-05 1233.84
3.23822E-05 1219.04
3.31540E-05 1204.77
3.39258E-05 1190.99
3.46975E-05 1177.67
3.56569E-05 1161.76
3.62411E-05 1152.32
3.70129E-05 1140.24
3.77847E-05 1128.53
3.87276E-05 1114.74
3.93283E-05 1106.17
4.01001E-05 1095.47
4.08759E-05 1085.02
4.17427E-05 1073.71
4.25999E-05 1062.86
4.34471E-05 1052.46
4.47309E-05 1037.22
4.59248E-05 1023.67
4.70463E-05 1011.37
4.85899E-05 995.176
5.01335E-05 979.735
5.16771E-05 964.992
5.34991E-05 948.460
5.48616E-05 936.582
5.63079E-05 924.460
5.78515E-05 912.043
5.93950E-05 900.114
6.09386E-05 888.641
6.24822E-05 877.596
6.40258E-05 866.952
6.57559E-05 855.489
6.73875E-05 845.075
6.88483E-05 836.055
7.02002E-05 827.949
7.17438E-05 818.993
7.33927E-05 809.749
7.49915E-05 801.074
7.63746E-05 793.776
7.79182E-05 785.874
8.00000E-05 775.606
8.17518E-05 767.252
8.40925E-05 756.474
8.56361E-05 749.625
8.71797E-05 742.959
8.87233E-05 736.468
9.02669E-05 730.143
9.18500E-05 723.826
9.34569E-05 717.583
9.64413E-05 706.384
9.95287E-05 695.342
0.000102616 684.802
0.000105703 674.728
0.000108790 665.086
0.000112341 654.513
0.000114965 646.978
0.000118052 638.463
0.000121753 628.708
0.000124227 622.392
0.000127878 613.463
0.000130401 607.480
0.000133488 600.415
0.000136576 593.588
