Cl-35(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 2238.34
1.01930E-05 2217.32
1.02190E-05 2214.48
1.03859E-05 2196.86
1.04357E-05 2191.61
1.05789E-05 2176.94
1.06500E-05 2169.66
1.07718E-05 2157.61
1.09648E-05 2138.53
1.11577E-05 2120.32
1.12500E-05 2111.61
1.12775E-05 2109.02
1.13507E-05 2102.34
1.15436E-05 2084.75
1.17366E-05 2067.89
1.18800E-05 2055.36
1.19295E-05 2051.23
1.23154E-05 2019.03
1.25000E-05 2004.40
1.27013E-05 1988.44
1.30872E-05 1959.21
1.34731E-05 1931.25
1.37500E-05 1912.02
1.38590E-05 1904.46
1.42449E-05 1878.77
1.46308E-05 1854.16
1.46570E-05 1852.49
1.50000E-05 1831.41
1.50167E-05 1830.39
1.54026E-05 1807.71
1.54813E-05 1803.09
1.57885E-05 1785.60
1.61744E-05 1764.42
1.62500E-05 1760.42
1.65603E-05 1743.98
1.69462E-05 1724.25
1.73321E-05 1705.18
1.75000E-05 1697.21
1.77180E-05 1686.86
1.78285E-05 1681.62
1.81039E-05 1668.88
1.84898E-05 1651.59
1.88757E-05 1634.83
1.92616E-05 1618.68
1.93638E-05 1614.40
1.96475E-05 1602.81
2.00000E-05 1588.82
2.00334E-05 1587.50
2.04193E-05 1572.64
2.04380E-05 1571.92
2.08052E-05 1558.22
2.08714E-05 1555.75
2.11911E-05 1544.18
2.13000E-05 1540.24
2.15770E-05 1530.50
2.17236E-05 1525.35
2.18750E-05 1520.21
2.19629E-05 1517.22
2.23488E-05 1504.12
2.27347E-05 1491.59
2.29625E-05 1484.20
2.31206E-05 1479.23
2.35065E-05 1467.13
2.37500E-05 1459.73
2.38924E-05 1455.40
2.46642E-05 1432.77
2.54360E-05 1411.18
2.56250E-05 1406.13
2.62078E-05 1390.56
2.69796E-05 1370.82
2.75000E-05 1358.07
2.77514E-05 1351.91
2.85232E-05 1333.78
2.92950E-05 1316.38
2.93140E-05 1315.95
3.00668E-05 1299.63
3.08386E-05 1283.60
3.09624E-05 1281.03
3.12500E-05 1275.25
3.16104E-05 1268.01
3.23822E-05 1253.06
3.31540E-05 1238.63
3.39258E-05 1224.69
3.46975E-05 1211.23
3.50000E-05 1206.16
3.54693E-05 1198.29
3.56569E-05 1195.14
3.62411E-05 1185.60
3.70129E-05 1173.39
3.77847E-05 1161.56
3.85565E-05 1150.14
3.87276E-05 1147.61
3.87500E-05 1147.29
3.93283E-05 1138.94
4.01001E-05 1128.13
4.08719E-05 1117.63
4.08759E-05 1117.57
4.16437E-05 1107.44
4.17427E-05 1106.14
4.24155E-05 1097.53
4.25000E-05 1096.45
4.25999E-05 1095.17
4.31873E-05 1087.87
4.34471E-05 1084.65
4.39591E-05 1078.50
4.47309E-05 1069.24
4.55027E-05 1060.39
4.59248E-05 1055.55
4.62500E-05 1051.94
4.62745E-05 1051.67
4.70463E-05 1043.11
4.85899E-05 1026.74
5.00000E-05 1012.48
5.01335E-05 1011.13
5.16771E-05 996.227
5.32207E-05 982.068
5.34991E-05 979.515
5.47643E-05 968.364
5.48616E-05 967.507
5.62500E-05 955.743
5.63079E-05 955.252
5.78515E-05 942.700
5.93950E-05 930.641
6.09386E-05 919.042
6.24822E-05 907.876
6.25000E-05 907.752
6.40258E-05 897.116
6.55694E-05 886.777
6.57559E-05 885.528
6.71130E-05 876.770
6.73875E-05 875.000
6.86566E-05 867.077
6.87500E-05 866.494
6.88483E-05 865.881
7.02002E-05 857.686
7.17438E-05 848.633
7.32874E-05 839.885
7.33927E-05 839.288
7.48310E-05 831.398
7.49915E-05 830.518
7.50000E-05 830.473
7.63746E-05 823.141
7.79182E-05 815.152
7.94618E-05 807.455
8.00000E-05 804.772
8.10054E-05 799.924
8.12500E-05 798.745
8.17518E-05 796.327
8.25490E-05 792.615
8.40925E-05 785.430
8.56361E-05 778.507
8.71797E-05 771.768
8.75000E-05 770.406
8.87233E-05 765.205
9.02669E-05 758.812
9.18105E-05 752.585
9.18500E-05 752.425
9.33541E-05 746.518
9.34569E-05 746.115
9.64413E-05 734.793
9.95287E-05 723.630
