K-39(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 106.988
1.25000E-05 95.6928
1.50000E-05 87.3552
2.00000E-05 75.6518
2.75000E-05 64.5161
3.50000E-05 57.1874
4.25000E-05 51.8967
5.00000E-05 47.8464
6.25000E-05 42.7951
7.50000E-05 39.0664
0.000100000 33.8325
0.000125000 30.2607
0.000150000 27.6241
0.000200000 23.9232
0.000275000 20.4018
0.000350000 18.0842
0.000425000 16.4112
0.000500000 15.1303
0.000625000 13.5330
0.000750000 12.3538
0.00100000 10.6987
0.00125000 9.56922
0.00150000 8.73545
0.00200000 7.56510
0.00275000 6.45152
0.00350000 5.71864
0.00425000 5.18956
0.00500000 4.78452
0.00625000 4.27937
0.00750000 3.90649
0.0100000 3.38308
0.0125000 3.02587
0.0150000 2.76220
0.0200000 2.39207
0.0253000 2.12675
0.0314750 1.90669
0.0376500 1.74328
0.0500000 1.51264
0.0625000 1.35286
0.0750000 1.23490
0.100000 1.06932
0.125000 0.956299
0.150000 0.872863
0.200000 0.755723
0.275000 0.644229
0.350000 0.570823
0.500000 0.477209
0.750000 0.389130
1.00000 0.336557
1.50000 0.274083
2.00000 0.236748
2.75000 0.201120
3.50000 0.177590
5.00000 0.147455
7.50000 0.118902
10.0000 0.101721
15.0000 0.0811082
20.0000 0.0686608
27.5000 0.0566836
35.0000 0.0487312
50.0000 0.0385493
75.0000 0.0290451
100.000 0.0235236
150.000 0.0173085
200.000 0.0138961
275.000 0.0109436
350.000 0.00919039
500.000 0.00719743
625.000 0.00623494
750.000 0.00557891
875.000 0.00511862
937.500 0.00496501
1000.00 0.00493919
1027.85 0.00506982
1055.70 0.00558558
1069.62 0.00637211
1083.54 0.00867398
1090.51 0.0119034
1093.99 0.0151358
1097.47 0.0210410
1100.95 0.0336232
1102.69 0.0460806
1104.43 0.0685763
1105.30 0.0873684
1106.17 0.115751
1107.04 0.161604
1107.91 0.242832
1108.35 0.309274
1108.78 0.407793
1109.22 0.562808
1109.65 0.827122
1110.09 1.33254
1110.30 1.77891
1110.52 2.48508
1110.74 3.70558
1110.96 6.03009
1111.07 8.05760
1111.17 11.1824
1111.28 16.1815
1111.39 24.1628
1111.52 38.6849
1111.66 48.3782
1111.79 38.6889
1111.92 24.1681
1112.03 16.1289
1112.14 11.1871
1112.25 8.06175
1112.35 6.04892
1112.57 3.71606
1112.79 2.49591
1113.00 1.78612
1113.22 1.33935
1113.65 0.832646
1114.09 0.566748
1114.52 0.410779
1114.96 0.311638
1115.39 0.244892
1116.26 0.163055
1117.12 0.116887
1117.99 0.0882870
1118.86 0.0693546
1120.59 0.0466298
1122.33 0.0340440
1125.80 0.0212987
1129.27 0.0152979
1132.73 0.0120005
1139.67 0.00868275
1153.55 0.00626626
1167.43 0.00539291
1195.18 0.00472777
1222.93 0.00445813
1278.44 0.00419975
1333.94 0.00404879
1555.96 0.00366913
2000.00 0.00318997
2639.50 0.00276509
