K-39(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 109.086
1.25000E-05 97.7890
1.50000E-05 89.4495
2.00000E-05 77.7433
2.75000E-05 66.6047
3.50000E-05 59.2740
4.25000E-05 53.9818
5.00000E-05 49.9303
6.25000E-05 44.8775
7.50000E-05 41.1476
0.000100000 35.9119
0.000125000 32.3388
0.000150000 29.7012
0.000200000 25.9988
0.000275000 22.4759
0.000350000 20.1574
0.000425000 18.4835
0.000500000 17.2021
0.000625000 15.6039
0.000750000 14.4242
0.00100000 12.7681
0.00125000 11.6380
0.00150000 10.8037
0.00200000 9.63256
0.00275000 8.51820
0.00350000 7.78478
0.00425000 7.25529
0.00500000 6.84992
0.00625000 6.34435
0.00750000 5.97113
0.0100000 5.44723
0.0125000 5.08967
0.0150000 4.82571
0.0200000 4.45516
0.0253000 4.18951
0.0314750 3.96912
0.0376500 3.80544
0.0500000 3.57440
0.0625000 3.41430
0.0750000 3.29609
0.100000 3.13008
0.125000 3.01672
0.150000 2.93298
0.200000 2.81531
0.275000 2.70314
0.350000 2.62912
0.500000 2.53438
0.750000 2.44456
1.00000 2.39032
1.50000 2.32463
2.00000 2.28415
2.75000 2.24388
3.50000 2.21578
5.00000 2.17666
7.50000 2.13349
10.0000 2.10211
15.0000 2.05420
20.0000 2.01581
27.5000 1.96723
35.0000 1.92519
50.0000 1.85340
75.0000 1.75710
100.000 1.68008
150.000 1.56299
200.000 1.47746
275.000 1.38448
350.000 1.31739
500.000 1.22591
625.000 1.17396
750.000 1.13446
875.000 1.10299
937.500 1.08944
1000.00 1.07713
1027.85 1.07210
1055.70 1.06764
1069.62 1.06600
1083.54 1.06595
1090.51 1.06806
1093.99 1.07076
1097.47 1.07620
1100.95 1.08846
1102.69 1.10089
1104.43 1.12358
1105.30 1.14264
1106.17 1.17151
1107.04 1.21824
1107.91 1.30115
1108.35 1.36903
1108.78 1.46971
1109.22 1.62820
1109.65 1.89852
1110.09 2.41553
1110.30 2.87220
1110.52 3.59473
1110.74 4.84358
1110.96 7.22228
1111.07 9.29713
1111.17 12.4951
1111.28 17.6113
1111.39 25.7799
1111.52 40.6436
1111.66 50.5671
1111.79 40.6526
1111.92 25.7912
1112.03 17.5630
1112.14 12.5048
1112.25 9.30572
1112.35 7.24534
1112.57 4.85724
1112.79 3.60812
1113.00 2.88142
1113.22 2.42397
1113.65 1.90509
1114.09 1.63273
1114.52 1.47293
1114.96 1.37132
1115.39 1.30288
1116.26 1.21890
1117.12 1.17145
1117.99 1.14199
1118.86 1.12244
1120.59 1.09886
1122.33 1.08566
1125.80 1.07202
1129.27 1.06529
1132.73 1.06134
1139.67 1.05681
1153.55 1.05212
1167.43 1.04905
1195.18 1.04411
1222.93 1.03970
1278.44 1.03150
1333.94 1.02380
1555.96 0.996500
2000.00 0.952651
2639.50 0.903134
2799.38 0.892236
2959.25 0.881780
3119.13 0.871974
3159.09 0.869877
3199.06 0.868554
3219.05 0.868940
3239.03 0.872314
3249.02 0.878085
3254.02 0.884140
3259.02 0.895419
3264.01 0.919710
3266.51 0.943820
3269.01 0.987361
3270.26 1.02362
3271.51 1.07831
3272.75 1.16635
3274.00 1.32145
3274.63 1.44773
3275.25 1.63362
3275.88 1.92436
3276.50 2.41389
3277.13 3.33572
3277.44 4.13187
3277.75 5.37316
3278.06 7.45846
3278.38 11.2744
3278.53 14.4468
3278.69 19.1263
3278.84 26.2054
3279.00 36.9226
3279.22 58.6068
3279.43 72.9713
3279.65 58.4999
3279.87 36.9228
3280.08 23.4117
3280.29 15.6936
3280.50 11.1753
3280.71 8.38288
3280.92 6.56238
3281.13 5.31923
3281.55 3.78936
3281.97 2.92501
3282.39 2.39166
3283.23 1.79700
3284.07 1.49125
3284.91 1.31385
3285.75 1.20193
3286.59 1.12685
3288.27 1.03552
3289.95 0.984192
3293.31 0.931562
3296.67 0.906426
3300.03 0.892453
3306.75 0.878152
3320.19 0.867244
3333.62 0.862848
3360.50 0.858636
3387.38 0.856099
3441.13 0.852205
3494.89 0.848754
3709.90 0.835813
4139.94 0.810837
5000.00 0.760718
6090.33 0.688700
6635.49 0.643664
7180.65 0.586221
7725.81 0.505549
7998.39 0.449744
8270.98 0.376798
8407.27 0.331434
8543.56 0.278783
8679.85 0.218990
8816.14 0.157478
8884.28 0.132910
8952.43 0.123716
8986.50 0.131203
9020.57 0.153227
9054.65 0.198591
9088.72 0.282248
9122.79 0.430785
9156.87 0.694131
9190.94 1.17303
9207.97 1.55432
9225.01 2.09074
9242.05 2.86336
9259.08 4.00944
9276.12 5.77436
9293.16 8.62501
9310.19 13.5204
9327.23 22.6088
9335.75 30.1409
9344.26 41.1283
9352.78 57.4376
9361.30 81.5721
9374.87 138.467
9388.44 181.273
9402.01 151.668
9415.58 100.108
9424.71 74.7309
9433.84 57.0049
9442.98 44.6824
9452.11 35.9558
9470.37 24.8922
9488.63 18.4750
9506.90 14.4353
9525.16 11.7240
9561.69 8.40454
9598.21 6.50629
9634.74 5.30557
9671.26 4.48969
9707.79 3.90500
9780.84 3.13184
9853.90 2.64965
9926.95 2.32323
10000.0 2.08891
10174.8 1.73105
10262.2 1.61338
10306.0 1.56420
10327.8 1.54191
10338.7 1.53249
10344.2 1.53281
10346.9 1.55147
10348.3 1.62786
10349.0 1.88373
10349.3 2.60028
10349.5 4.10916
10349.6 6.47052
10349.7 12.7464
10349.7 19.5481
10349.8 23.9646
10349.8 19.5440
10349.9 12.7360
10349.9 7.90779
10350.0 5.42000
10350.1 3.43660
10350.3 2.24800
10350.8 1.74803
10351.6 1.58218
10353.4 1.53308
10356.9 1.51710
10364.0 1.50731
10378.1 1.49364
10406.3 1.46889
10462.7 1.42405
10575.6 1.34849
10801.3 1.23642
11252.8 1.09718
11704.3 1.01186
11930.0 0.978615
12042.9 0.961163
12071.1 0.955539
12099.3 0.947818
12127.5 0.932450
12141.6 0.912012
12148.7 0.894352
12152.2 0.934910
12153.1 1.00992
12154.0 1.25291
12154.4 1.59265
12154.8 2.46101
12155.1 3.46321
12155.3 5.54456
12155.4 7.48880
12155.5 10.6901
12155.6 16.2603
12155.7 26.3583
12155.8 43.9108
12156.0 56.0479
12156.1 47.5184
12156.2 30.6261
12156.3 20.0182
12156.4 13.8712
12156.5 9.94160
12156.6 7.71757
12156.9 5.12606
12157.1 3.81390
12157.6 2.58283
12158.0 2.04381
12158.9 1.56801
12159.8 1.36576
12161.7 1.19222
12163.5 1.11841
12167.1 1.05334
12170.8 1.02433
12178.1 0.997407
12185.3 0.984535
12199.9 0.971553
12214.5 0.964548
12243.7 0.956203
12272.8 0.950619
12331.2 0.942237
12389.5 0.935387
12506.1 0.924742
12535.3 0.923928
12564.5 0.927670
12579.0 0.936111
12593.6 0.964025
12600.9 1.00505
12604.6 1.04674
12608.2 1.12294
12611.8 1.28493
12613.7 1.44294
12615.5 1.72315
12616.4 1.95511
12617.3 2.29532
12618.2 2.82858
12619.1 3.73154
12620.0 5.43663
12620.5 6.93671
12621.0 9.23187
12621.4 13.1769
12621.9 20.2893
12622.1 26.3560
12622.3 35.3856
12622.6 49.1878
12622.8 69.1962
12623.1 111.401
12623.4 138.552
12623.7 110.225
12624.0 69.6061
12624.2 50.3820
12624.4 37.8252
12624.9 22.7934
12625.3 15.1297
12625.7 10.8188
12626.1 8.18661
12626.5 6.47201
12627.3 4.47514
12628.1 3.37859
12628.9 2.72143
12630.6 2.01017
12632.2 1.64947
12633.8 1.44370
12637.1 1.22738
12640.4 1.12189
12643.7 1.06238
12650.2 1.00073
12663.3 0.953586
12676.3 0.935369
12702.5 0.920114
12728.7 0.912982
12781.0 0.904836
12833.3 0.899169
12937.9 0.889987
13042.5 0.881940
13251.7 0.867455
13461.0 0.854361
13670.2 0.842306
13879.4 0.831133
14088.7 0.821007
14193.3 0.817662
14245.6 0.821879
14258.7 0.828101
14271.7 0.846667
14278.3 0.872667
14284.8 0.945200
14288.1 1.04305
14289.7 1.13848
14291.4 1.30627
14293.0 1.64861
14293.8 1.97033
14294.6 2.51004
14295.5 3.54964
14295.9 4.46329
14296.3 5.86726
14296.7 8.31467
14297.1 12.9541
14297.3 17.0616
14297.5 23.0193
14297.7 32.3014
14297.9 46.8532
14298.2 74.8275
14298.4 93.6373
14298.7 74.8442
14298.9 46.8602
14299.1 31.7298
14299.3 22.6520
14299.5 16.8189
14299.7 12.9476
14300.2 8.30812
14300.6 5.90594
14301.0 4.45777
14301.4 3.56264
14302.2 2.52355
14303.0 1.97664
14303.8 1.65454
14305.4 1.31189
14307.0 1.14118
14308.6 1.04510
14311.9 0.945569
14318.3 0.871371
14324.8 0.844401
14337.7 0.824383
14350.6 0.816905
14402.3 0.807854
14505.7 0.801555
14712.5 0.792209
14919.3 0.783576
15126.1 0.775329
15332.9 0.767419
15539.7 0.759911
15746.5 0.753679
15798.2 0.753176
15849.9 0.755176
15875.7 0.759599
15901.6 0.773744
15914.5 0.794029
15921.0 0.814326
15927.4 0.851217
15933.9 0.928909
15937.1 1.00473
15940.4 1.13947
15943.6 1.41437
15945.2 1.67498
15946.8 2.11892
15948.4 2.98057
15949.3 3.74770
15950.1 4.96144
15950.9 7.10160
15951.7 11.2950
15952.1 15.0847
15952.5 20.9171
15952.9 30.4779
15953.3 46.3769
15953.7 73.9615
15954.2 91.7864
15954.7 73.3500
15955.1 46.3984
15955.5 31.4269
15955.8 22.0701
15956.2 16.1757
15956.6 12.3283
15957.3 7.87657
15958.1 5.53965
15958.8 4.17709
15959.5 3.31812
15961.0 2.34555
15962.5 1.83159
15964.0 1.52998
15966.9 1.20955
15969.9 1.05093
15972.8 0.961582
15978.7 0.869412
15984.6 0.825175
15990.6 0.800580
16002.4 0.775512
16026.0 0.756718
16049.6 0.749506
16096.9 0.743248
16144.1 0.739975
16333.2 0.731828
16522.2 0.724883
16616.7 0.721441
16663.9 0.720910
16687.6 0.728246
16699.4 0.766976
16702.3 0.809011
16705.3 0.927854
16706.8 1.08943
16708.2 1.51587
16709.0 2.05788
16709.7 3.37422
16710.1 4.86625
16710.5 7.98119
16710.7 11.0486
16710.8 15.9629
16711.0 24.7384
16711.2 40.9987
16711.4 65.4210
16711.5 81.8058
16711.7 65.6906
16711.9 41.4241
16712.0 30.3634
16712.1 23.3176
16712.3 14.7101
16712.5 10.0767
16712.7 7.37142
16713.1 4.54977
16713.5 3.20117
16714.3 1.99725
16715.1 1.50420
16716.7 1.10483
16718.3 0.951198
16721.5 0.832195
16724.7 0.787302
16731.1 0.752868
16737.6 0.739700
16763.3 0.724835
16814.6 0.718651
16917.4 0.713683
17122.9 0.706378
17533.9 0.692937
18355.9 0.666670
20000.0 0.611463
21239.4 0.561767
22478.9 0.493989
23098.6 0.445333
23408.4 0.414109
23718.3 0.375798
24028.2 0.327228
24338.0 0.263580
24492.9 0.224319
24647.9 0.180274
24725.3 0.158145
24802.8 0.141167
24841.5 0.140863
24860.9 0.147062
24880.3 0.163489
24899.6 0.204692
24909.3 0.247384
24919.0 0.324768
24928.7 0.483507
24933.5 0.632299
24938.4 0.884346
24943.2 1.36031
24945.6 1.77363
24948.0 2.42081
