Ca-43(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 586.647
1.25000E-05 524.713
1.50000E-05 478.995
2.00000E-05 414.822
2.75000E-05 353.762
3.50000E-05 313.576
4.25000E-05 284.566
5.00000E-05 262.357
6.25000E-05 234.659
7.50000E-05 214.213
0.000100000 185.514
0.000125000 165.929
0.000150000 151.472
0.000200000 131.178
0.000275000 111.869
0.000350000 99.1614
0.000425000 89.9875
0.000500000 82.9644
0.000625000 74.2056
0.000750000 67.7401
0.00100000 58.6646
0.00125000 52.4712
0.00150000 47.8994
0.00200000 41.4821
0.00275000 35.3760
0.00350000 31.3574
0.00425000 28.4564
0.00500000 26.2354
0.00625000 23.4656
0.00750000 21.4210
0.0100000 18.5511
0.0125000 16.5925
0.0150000 15.1468
0.0200000 13.1174
0.0253000 11.6627
0.0314750 10.4561
0.0376500 9.56017
0.0500000 8.29571
0.0625000 7.41975
0.0750000 6.77312
0.100000 5.86544
0.125000 5.24598
0.150000 4.78869
0.200000 4.14677
0.275000 3.53591
0.350000 3.13384
0.500000 2.62127
0.750000 2.13932
1.00000 1.85190
1.50000 1.51075
2.00000 1.30721
2.75000 1.11333
3.50000 0.985576
5.00000 0.822443
7.50000 0.668615
10.0000 0.576539
15.0000 0.466706
20.0000 0.400734
27.5000 0.337419
35.0000 0.295336
50.0000 0.241012
75.0000 0.188964
100.000 0.157335
150.000 0.119173
200.000 0.0962029
260.000 0.0780491
275.000 0.0745092
312.500 0.0668926
350.000 0.0606716
500.000 0.0445553
625.000 0.0376193
750.000 0.0346299
875.000 0.0355988
1000.00 0.0426257
1075.00 0.0524626
1150.00 0.0713555
1187.50 0.0872629
1225.00 0.111047
1262.50 0.148440
1300.00 0.211443
1326.23 0.284575
1352.45 0.404423
1378.68 0.618251
1391.79 0.792159
1404.90 1.04535
1423.68 1.65152
1442.45 2.80170
1461.23 4.74743
1470.61 5.69554
1480.00 6.03611
1517.55 2.68334
1536.33 1.61332
1555.10 1.04287
1569.00 0.789105
1582.91 0.616246
1610.71 0.405017
1638.52 0.286909
1666.33 0.214630
1721.94 0.134626
1777.55 0.0936617
1833.16 0.0698596
1888.78 0.0547651
2000.00 0.0373148
2166.18 0.0247733
2332.35 0.0185408
2664.71 0.0128693
2997.06 0.0110501
3163.24 0.0118395
3204.78 0.0129334
3246.33 0.0160488
3267.10 0.0203472
3277.49 0.0246253
3287.87 0.0324246
3298.26 0.0490464
3303.45 0.0655341
3308.64 0.0954335
3311.24 0.120489
3313.84 0.158521
3316.43 0.220378
3319.03 0.330962
3320.33 0.422376
3321.63 0.559144
3322.92 0.777201
3324.22 1.15619
3325.52 1.90389
3326.17 2.58377
3326.82 3.70264
3327.47 5.72912
3327.79 7.41826
3328.12 9.94263
3328.44 13.9524
3328.77 20.7139
3329.09 33.0524
3329.42 56.4177
3329.71 90.3189
3330.00 112.811
3330.29 90.1822
3330.59 56.4035
3330.82 37.9284
3331.06 26.4173
3331.30 19.1239
3331.53 14.3779
3332.00 8.86528
3332.48 5.97222
3332.95 4.27950
3333.42 3.21193
3334.37 1.99787
3335.31 1.36075
3336.26 0.986922
3337.20 0.748831
3338.15 0.588306
3340.04 0.391776
3341.93 0.280745
3343.82 0.211981
3345.71 0.166495
3349.49 0.111916
3353.28 0.0816953
3357.06 0.0632383
3360.84 0.0511529
3368.40 0.0368141
3375.97 0.0289692
3391.09 0.0211436
3421.35 0.0156158
3451.60 0.0138005
3572.61 0.0129521
3693.63 0.0144999
3814.64 0.0178349
3935.66 0.0247934
3996.17 0.0313507
4056.67 0.0426040
4117.18 0.0645578
4147.43 0.0844621
4177.69 0.117258
4207.94 0.177029
4223.07 0.227203
4238.19 0.303192
4253.32 0.425370
4268.45 0.636827
4283.57 1.03498
4298.70 1.82815
4311.35 2.91464
4324.00 3.62897
4336.65 2.89328
4349.30 1.80813
4359.47 1.22225
4369.64 0.855415
4379.80 0.623783
4389.97 0.472336
4400.14 0.369408
4410.30 0.296929
4430.64 0.204962
4450.97 0.151571
