Ca-43(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 590.818
1.25000E-05 528.883
1.50000E-05 483.164
2.00000E-05 418.990
2.75000E-05 357.928
3.50000E-05 317.742
4.25000E-05 288.731
5.00000E-05 266.522
6.25000E-05 238.823
7.50000E-05 218.378
0.000100000 189.678
0.000125000 170.092
0.000150000 155.635
0.000200000 135.341
0.000275000 116.032
0.000350000 103.324
0.000425000 94.1496
0.000500000 87.1263
0.000625000 78.3674
0.000750000 71.9018
0.00100000 62.8262
0.00125000 56.6326
0.00150000 52.0608
0.00200000 45.6433
0.00275000 39.5371
0.00350000 35.5185
0.00425000 32.6174
0.00500000 30.3964
0.00625000 27.6265
0.00750000 25.5819
0.0100000 22.7119
0.0125000 20.7533
0.0150000 19.3075
0.0200000 17.2780
0.0253000 15.8233
0.0314750 14.6167
0.0376500 13.7207
0.0500000 12.4562
0.0625000 11.5801
0.0750000 10.9334
0.100000 10.0256
0.125000 9.40602
0.150000 8.94861
0.200000 8.30644
0.275000 7.69522
0.350000 7.29279
0.500000 6.77952
0.750000 6.29641
1.00000 6.00782
1.50000 5.66436
2.00000 5.45850
2.75000 5.26117
3.50000 5.12996
5.00000 4.95995
7.50000 4.79472
10.0000 4.69131
15.0000 4.55902
20.0000 4.47087
27.5000 4.37479
35.0000 4.30054
50.0000 4.18360
75.0000 4.03207
100.000 3.90671
150.000 3.69685
200.000 3.52120
260.000 3.34228
275.000 3.30211
312.500 3.20880
350.000 3.12506
500.000 2.87875
625.000 2.78750
750.000 2.83855
875.000 3.13798
1000.00 3.97708
1075.00 5.06616
1150.00 7.17320
1187.50 8.97980
1225.00 11.7269
1262.50 16.1273
1300.00 23.6911
1326.23 32.6216
1352.45 47.4752
1378.68 74.3813
1391.79 96.5062
1404.90 128.977
1423.68 207.544
1442.45 358.685
1461.23 619.273
1470.61 749.966
1480.00 802.335
1517.55 370.405
1536.33 226.940
1555.10 149.479
1569.00 114.683
1582.91 90.8037
1610.71 61.3311
1638.52 44.6309
1666.33 34.2818
1721.94 22.6346
1777.55 16.5372
1833.16 12.9212
1888.78 10.5843
2000.00 7.81569
2166.18 5.75016
2332.35 4.67909
2664.71 3.64278
2997.06 3.22916
3163.24 3.17754
3204.78 3.18935
3246.33 3.22616
3267.10 3.26731
3277.49 3.30155
3287.87 3.35473
3298.26 3.44829
3303.45 3.52770
3308.64 3.65453
3311.24 3.75079
3313.84 3.88626
3316.43 4.08939
3319.03 4.42184
