Ti-49(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 93.6805
1.25000E-05 83.7904
1.50000E-05 76.4898
2.00000E-05 66.2421
2.75000E-05 56.4915
3.50000E-05 50.0743
4.25000E-05 45.4417
5.00000E-05 41.8952
6.25000E-05 37.4722
7.50000E-05 34.2073
0.000100000 29.6244
0.000125000 26.4968
0.000150000 24.1882
0.000200000 20.9476
0.000275000 17.8642
0.000350000 15.8349
0.000425000 14.3699
0.000500000 13.2484
0.000625000 11.8497
0.000750000 10.8173
0.00100000 9.36801
0.00125000 8.37900
0.00150000 7.64894
0.00200000 6.62416
0.00275000 5.64909
0.00350000 5.00736
0.00425000 4.54410
0.00500000 4.18944
0.00625000 3.74713
0.00750000 3.42063
0.0100000 2.96232
0.0125000 2.64955
0.0150000 2.41868
0.0200000 2.09459
0.0253000 1.86228
0.0314750 1.66960
0.0376500 1.52652
0.0500000 1.32458
0.0625000 1.18468
0.0750000 1.08141
0.100000 0.936431
0.125000 0.837486
0.150000 0.764440
0.200000 0.661893
0.275000 0.564295
0.350000 0.500044
0.500000 0.418117
0.750000 0.341051
1.00000 0.295066
1.50000 0.240442
2.00000 0.207817
2.75000 0.176702
3.50000 0.156167
5.00000 0.129892
7.50000 0.105030
10.0000 0.0900871
15.0000 0.0721746
20.0000 0.0613551
27.5000 0.0509226
35.0000 0.0439654
50.0000 0.0349801
75.0000 0.0264365
100.000 0.0213492
150.000 0.0154544
200.000 0.0121291
275.000 0.00922412
350.000 0.00752374
500.000 0.00570419
750.000 0.00448554
1000.00 0.00409560
1250.00 0.00407885
1500.00 0.00431543
1750.00 0.00479834
2000.00 0.00559360
2212.28 0.00662903
2424.55 0.00819467
2636.83 0.0106709
2849.10 0.0148805
2955.24 0.0181786
3061.38 0.0228705
3167.51 0.0298611
3273.65 0.0409165
3379.79 0.0598369
3432.86 0.0747210
3485.93 0.0958660
3538.99 0.127049
3592.06 0.174932
3645.13 0.251168
3698.20 0.373341
3762.60 0.589854
3827.00 0.721139
3891.40 0.564672
3955.80 0.349118
4008.30 0.233088
4060.80 0.161211
4113.29 0.116169
4165.79 0.0868857
4270.79 0.0531662
4375.78 0.0355828
4480.78 0.0254030
4585.77 0.0190393
4690.77 0.0148551
4743.26 0.0134366
4769.51 0.0134336
4782.64 0.0158329
4789.20 0.0261286
4790.84 0.0364694
4792.48 0.0644273
4793.30 0.100883
4794.12 0.193819
4794.53 0.306333
4794.94 0.564502
4795.14 0.839050
4795.35 1.36912
4795.45 1.83652
4795.55 2.55573
4795.66 3.73059
4795.76 5.63372
4795.88 9.01079
4796.00 11.2329
4796.12 8.98123
4796.24 5.61072
4796.34 3.74535
4796.44 2.60055
4796.54 1.87632
4796.64 1.41046
4796.84 0.870427
4797.04 0.588066
4797.44 0.320484
4797.83 0.203088
4798.63 0.105637
4799.43 0.0672719
4801.02 0.0376801
4802.61 0.0266693
4808.98 0.0154464
4821.71 0.0122674
4847.18 0.0109946
4898.12 0.00985681
5000.00 0.00827397
5329.53 0.00531486
5659.05 0.00391333
5988.58 0.00323166
6318.11 0.00297896
6647.63 0.00308266
6977.16 0.00363819
7306.69 0.00507441
7471.45 0.00664715
7553.83 0.00852670
7574.43 0.00974032
7595.02 0.0126539
7605.32 0.0163949
