V-50(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 2246.97
1.25000E-05 2009.75
1.50000E-05 1834.64
2.00000E-05 1588.85
2.75000E-05 1354.98
3.50000E-05 1201.06
4.25000E-05 1089.94
5.00000E-05 1004.88
6.25000E-05 898.789
7.50000E-05 820.478
0.000100000 710.555
0.000125000 635.540
0.000150000 580.166
0.000200000 502.438
0.000275000 428.481
0.000350000 379.808
0.000425000 344.670
0.000500000 317.770
0.000625000 284.222
0.000750000 259.458
0.00100000 224.697
0.00125000 200.975
0.00150000 183.465
0.00200000 158.885
0.00275000 135.498
0.00350000 120.106
0.00425000 108.995
0.00500000 100.488
0.00625000 89.8793
0.00750000 82.0483
0.0100000 71.0561
0.0125000 63.5547
0.0150000 58.0173
0.0200000 50.2447
0.0253000 44.6732
0.0314750 40.0523
0.0376500 36.6210
0.0500000 31.7784
0.0625000 28.4238
0.0750000 25.9476
0.100000 22.4718
0.125000 20.0999
0.150000 18.3490
0.200000 15.8915
0.275000 13.5532
0.350000 12.0145
0.500000 10.0535
0.750000 8.21066
1.00000 7.11239
1.50000 5.81015
2.00000 5.03431
2.75000 4.29668
3.50000 3.81172
5.00000 3.19461
7.50000 2.61656
10.0000 2.27386
15.0000 1.87150
20.0000 1.63631
27.5000 1.42023
35.0000 1.28709
50.0000 1.14501
75.0000 1.11566
100.000 1.35970
116.313 1.86113
124.469 2.37677
132.625 3.31388
136.703 4.09377
140.781 5.26693
144.859 7.14807
148.938 10.4453
150.977 13.1156
153.016 17.0395
155.055 23.1430
157.094 33.3899
159.133 52.5492
160.152 69.0408
161.172 94.6504
162.192 137.278
163.211 214.883
163.721 278.940
164.231 372.769
164.740 513.525
165.250 724.403
165.975 1154.82
166.700 1435.76
166.700 1435.75
166.700 1435.75
166.701 1435.75
166.701 1435.74
166.702 1435.74
166.703 1435.72
166.706 1435.67
166.712 1435.54
166.723 1435.15
166.746 1433.84
166.791 1429.15
166.881 1411.71
167.063 1347.78
167.425 1143.41
168.150 713.186
168.648 508.200
169.145 370.441
169.643 277.939
170.141 214.445
171.136 137.051
172.131 94.3235
173.127 68.5855
174.122 51.9950
176.113 32.7270
178.103 22.4424
180.094 16.3366
182.084 12.4258
184.075 9.77474
188.056 6.51966
192.038 4.67654
196.019 3.53444
200.000 2.77892
207.278 1.93112
214.556 1.44158
229.113 0.926639
243.669 0.674120
258.225 0.530425
275.000 0.428980
312.500 0.308876
350.000 0.248072
400.000 0.201417
500.000 0.152298
600.000 0.126808
700.000 0.112981
750.000 0.109291
812.500 0.107528
875.000 0.109240
937.500 0.115325
1000.00 0.127656
1046.84 0.143159
1093.68 0.167247
1140.51 0.205575
1187.35 0.269669
1210.77 0.318507
1234.19 0.385823
1257.61 0.481707
1281.03 0.623911
1304.44 0.845523
1327.86 1.21177
1351.28 1.85559
1374.70 3.02155
1397.35 4.76456
1420.00 5.82813
1442.65 4.57154
1465.30 2.83438
1482.01 1.96999
1498.72 1.40925
1515.43 1.04361
1532.14 0.798328
1565.56 0.506462
1598.98 0.349078
1632.39 0.255704
1665.81 0.196116
1732.65 0.127456
1799.49 0.0909303
1866.33 0.0691581
2000.00 0.0453955
2187.50 0.0298503
2375.00 0.0219803
2750.00 0.0142452
3125.00 0.0105324
3500.00 0.00845673
4000.00 0.00699478
4500.00 0.00653759
5000.00 0.00723660
5289.90 0.00873769
5434.85 0.0102101
5579.80 0.0127452
5724.75 0.0176891
5797.23 0.0222029
5869.70 0.0297677
5942.18 0.0440707
5978.41 0.0566388
6014.65 0.0766820
6050.89 0.111493
6087.13 0.179448
6105.24 0.239870
6123.36 0.335254
6141.48 0.492904
6159.60 0.757788
6179.80 1.20455
6200.00 1.49744
6220.20 1.19500
6240.40 0.749102
6252.27 0.562574
6264.14 0.429668
6276.01 0.335542
6287.88 0.268026
6311.61 0.181780
6335.35 0.131945
6359.09 0.101075
6382.83 0.0808700
6406.56 0.0670659
6430.30 0.0573241
6454.04 0.0502824
6477.78 0.0451106
6525.25 0.0384470
6572.73 0.0349080
6620.20 0.0333711
6667.68 0.0333018
6715.15 0.0344738
6762.63 0.0368555
6810.10 0.0405732
6857.58 0.0459190
6905.05 0.0533990
6952.53 0.0638311
7000.00 0.0785110
7074.05 0.115019
7148.10 0.179460
7224.05 0.280855
7300.00 0.344839
7376.00 0.274043
7452.00 0.173501
7543.25 0.101684
7634.50 0.0671482
7725.75 0.0508558
7817.00 0.0447884
7908.25 0.0473138
7953.88 0.0528951
7999.50 0.0633094
8022.31 0.0713290
8045.13 0.0821644
8067.94 0.0969924
8090.75 0.117648
8113.56 0.147055
8136.38 0.189890
8159.19 0.253397
8182.00 0.347096
8199.00 0.440233
8216.00 0.546297
8250.00 0.676012
8267.00 0.634704
8284.00 0.539436
8318.00 0.339268
8344.28 0.234367
8370.56 0.167332
8396.84 0.124218
8423.13 0.0955826
8475.69 0.0617838
8528.25 0.0436210
8580.81 0.0328113
8633.38 0.0258629
8738.50 0.0177411
8843.63 0.0133202
8948.75 0.0106280
9159.00 0.00763373
9369.25 0.00610817
9579.50 0.00527546
10000.0 0.00471398
10060.7 0.00472483
10256.5 0.00491945
10452.3 0.00540809
10648.1 0.00633095
10843.9 0.00800289
10941.8 0.00932243
11039.6 0.0111765
11088.6 0.0123907
11137.5 0.0138664
11186.5 0.0156794
11235.4 0.0179341
11284.4 0.0207789
11333.3 0.0244239
11382.3 0.0291753
11431.2 0.0354837
11480.2 0.0440235
11529.1 0.0557808
11578.1 0.0721435
11627.0 0.0947183
11713.5 0.149750
11800.0 0.184975
11843.3 0.173287
11886.5 0.146935
11973.0 0.0919896
12065.9 0.0552032
12158.7 0.0355013
12251.5 0.0245233
12344.4 0.0179807
12530.1 0.0110637
12715.8 0.00776006
12901.4 0.00598680
13087.1 0.00497963
13458.5 0.00415389
13829.9 0.00438911
14015.6 0.00499076
14201.3 0.00618875
14386.9 0.00863687
14479.8 0.0108632
14572.6 0.0145119
14665.5 0.0211490
14711.9 0.0267641
14758.3 0.0354236
14804.7 0.0498716
14828.0 0.0610395
14851.2 0.0767227
14874.4 0.0996061
14897.6 0.134420
14920.8 0.189452
14944.0 0.277341
14972.0 0.433285
15000.0 0.536881
15028.5 0.435972
15057.0 0.286767
15076.8 0.217962
15096.5 0.175031
15136.0 0.137932
15175.5 0.141341
15195.3 0.155685
15215.0 0.178964
15257.5 0.256036
15300.0 0.307096
15342.5 0.244451
15385.0 0.155147
15418.5 0.107546
15452.0 0.0772165
