V-51(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 252.248
1.25000E-05 226.137
1.50000E-05 206.862
2.00000E-05 179.807
2.75000E-05 154.064
3.50000E-05 137.121
4.25000E-05 124.891
5.00000E-05 115.527
6.25000E-05 103.850
7.50000E-05 95.2300
0.000100000 83.1305
0.000125000 74.8734
0.000150000 68.7782
0.000200000 60.2226
0.000275000 52.0819
0.000350000 46.7243
0.000425000 42.8566
0.000500000 39.8957
0.000625000 36.2030
0.000750000 33.4771
0.00100000 29.6509
0.00125000 27.0398
0.00150000 25.1123
0.00200000 22.4068
0.00275000 19.8325
0.00350000 18.1383
0.00425000 16.9152
0.00500000 15.9789
0.00625000 14.8111
0.00750000 13.9491
0.0100000 12.7392
0.0125000 11.9135
0.0150000 11.3040
0.0200000 10.4484
0.0253000 9.83514
0.0314750 9.32649
0.0376500 8.94880
0.0500000 8.41576
0.0625000 8.04650
0.0750000 7.77393
0.100000 7.39134
0.125000 7.13025
0.150000 6.93753
0.200000 6.66703
0.275000 6.40967
0.350000 6.24032
0.500000 6.02451
0.750000 5.82177
1.00000 5.70100
1.50000 5.55792
2.00000 5.47279
2.75000 5.39204
3.50000 5.33911
5.00000 5.27210
7.50000 5.21005
10.0000 5.17391
15.0000 5.13275
20.0000 5.10993
27.5000 5.09055
35.0000 5.07999
50.0000 5.07122
75.0000 5.07256
100.000 5.08244
150.000 5.11313
200.000 5.15113
275.000 5.21582
350.000 5.28707
500.000 5.44564
750.000 5.75563
1000.00 6.12907
1500.00 7.13191
2000.00 8.69909
2477.00 11.3347
2954.00 17.1528
3192.50 23.5387
3431.00 36.7688
3550.25 49.2822
3669.50 70.1963
3788.75 107.201
3908.00 174.417
4037.50 293.835
4167.00 385.084
4275.70 346.726
4330.06 304.805
4357.23 283.402
4370.82 273.088
4374.22 270.637
4377.61 268.394
4379.31 267.518
4380.16 267.249
4381.01 267.230
4381.86 267.750
4382.29 268.431
4382.71 269.665
4383.14 271.948
4383.56 276.387
4383.77 280.201
4383.98 285.877
4384.20 294.540
4384.41 307.731
4384.70 334.491
4385.00 352.268
4385.30 334.081
4385.59 306.896
4385.91 288.528
4386.22 278.521
4386.54 272.819
4386.86 269.322
4387.49 265.370
4388.12 263.216
4388.75 261.813
4389.38 260.781
4390.64 259.232
4391.91 257.998
4393.17 256.903
4395.69 254.901
4400.75 251.178
4405.80 247.601
4426.00 234.001
4497.75 193.106
4569.50 162.506
4713.00 123.220
4856.50 101.459
5000.00 89.1965
5314.10 79.1435
5628.20 81.7103
5942.30 93.8747
6256.40 117.584
6547.70 152.295
6839.00 183.169
6934.35 181.311
6982.03 176.367
7005.87 172.835
7017.78 170.820
7023.74 169.788
7025.23 169.557
7026.72 169.398
7027.47 169.408
7028.21 169.637
7028.59 169.993
7028.96 170.836
7029.14 171.698
7029.33 173.238
7029.52 176.234
7029.61 178.773
7029.70 182.418
7029.85 190.679
7030.00 196.181
7030.15 190.630
7030.30 182.313
7030.39 178.533
7030.49 175.920
7030.68 172.863
7030.87 171.275
7031.06 170.361
7031.45 169.401
7031.83 168.916
7032.59 168.411
7033.36 168.118
7034.89 167.704
7036.41 167.358
7042.53 166.078
7054.76 163.470
7079.21 157.815
7128.12 144.943
7225.95 115.641
7421.60 62.0208
7539.13 40.0263
7656.65 25.4589
7774.18 16.4492
7891.70 11.2798
8009.23 8.69121
8126.75 7.83527
8244.28 8.16023
8361.80 9.31107
8596.85 13.2590
8831.90 18.6633
9302.00 32.3631
10000.0 57.6714
10064.7 60.1952
10097.1 61.4654
10105.2 61.7876
10113.3 62.1207
10117.3 62.3021
10121.4 62.5228
10123.4 62.6852
10125.4 62.9778
10126.4 63.2798
10126.9 63.5376
10127.4 63.9338
10128.0 64.6315
10128.5 65.9715
10128.7 67.2284
10129.0 69.1709
10129.2 72.4312
10129.5 78.0266
10129.7 87.3309
10130.0 93.5906
10130.3 87.3827
10130.5 78.1072
10130.7 73.4187
10130.9 70.4991
10131.1 68.5596
10131.3 67.2391
10131.7 65.6450
10132.1 64.7757
10132.5 64.2591
10132.8 63.9316
10133.6 63.5636
10135.1 63.2829
10136.6 63.2065
10139.7 63.2190
10142.7 63.2977
10148.8 63.5055
10154.9 63.7325
10179.3 64.6735
10228.0 66.5710
10325.5 70.3463
10520.4 77.6894
10910.3 90.6036
11690.0 102.951
11724.8 102.997
11742.2 103.011
11751.0 103.042
11753.1 103.073
11755.3 103.157
11756.4 103.266
11757.5 103.544
11758.0 103.882
11758.6 104.633
11758.8 105.414
11759.1 106.882
11759.3 108.189
11759.4 110.022
11759.5 113.110
11759.7 117.779
11759.8 126.794
11760.0 132.527
11760.2 126.802
11760.3 117.744
11760.6 111.388
11760.8 108.191
11761.0 106.400
11761.2 105.415
11761.6 104.367
11762.0 103.872
11762.8 103.439
11763.6 103.261
11765.3 103.120
11766.9 103.065
11770.2 103.022
11773.4 103.004
11786.5 102.973
11812.7 102.920
11865.0 102.751
11917.3 102.495
11943.5 102.338
11956.6 102.260
11963.1 102.253
11964.8 102.279
11966.4 102.368
11967.2 102.489
11968.0 102.794
11968.4 103.147
11968.8 103.901
11969.1 104.659
11969.3 105.911
11969.5 108.239
11969.6 110.142
11969.7 113.028
11969.8 119.628
11970.0 123.938
11970.2 119.655
11970.3 113.061
11970.5 109.737
11970.6 107.529
11970.9 105.148
11971.1 104.022
11971.4 103.435
11971.9 102.839
11972.4 102.575
11973.4 102.345
11974.5 102.249
11976.5 102.165
11978.6 102.124
11986.8 102.034
12003.3 101.894
12036.2 101.604
12102.1 100.937
12233.8 99.2708
12497.3 94.8443
13024.2 83.3703
14078.0 59.2801
14882.7 43.8173
15285.0 37.0973
15486.2 34.1794
15586.8 33.0507
15611.9 32.8579
15637.1 32.7722
15649.6 32.8410
15655.9 32.9515
15662.2 33.1767
15668.5 33.6638
15671.6 34.1249
15674.8 34.9002
15677.9 36.3386
15679.5 37.5509
15681.1 39.3919
15682.6 42.3546
15684.2 47.4785
15685.8 57.0982
15687.4 76.1705
15688.7 102.649
15690.0 120.190
15691.3 102.562
15692.7 76.2842
15694.1 58.2973
15695.5 48.7034
15697.0 43.3758
15698.4 40.2035
15699.9 38.1892
15701.3 36.8397
15704.2 35.2097
15707.1 34.3045
15709.9 33.7518
15715.7 33.1419
15721.4 32.8314
15727.2 32.6554
15738.7 32.4837
15761.7 32.4261
15784.7 32.5439
15876.8 34.4799
15968.9 40.5207
16061.0 56.0455
16145.5 84.8924
16230.0 112.877
16314.5 104.741
16399.0 79.5271
16453.5 65.5632
16508.0 54.3918
16617.0 37.5466
16671.5 30.5690
16726.0 24.2392
16780.5 19.7299
16807.8 19.6290
16835.0 22.9302
16866.3 33.7970
16897.5 52.8114
16928.8 72.2034
16960.0 82.3839
17022.5 79.6927
17085.0 70.0587
17145.8 62.3012
17206.6 56.4734
17328.3 48.5371
17449.9 43.3418
17571.5 39.5855
17814.7 34.3030
17936.4 32.3107
17966.8 31.8671
17997.2 31.4636
18012.4 31.3010
18020.0 31.2469
18027.6 31.2354
18035.2 31.3249
18039.0 31.4581
18042.8 31.7266
18046.6 32.2993
18048.5 32.8338
18050.4 33.7154
18052.3 35.2924
18054.2 38.4605
18055.1 41.3409
18056.1 45.9768
18057.0 53.8248
18058.0 67.3947
18059.0 89.5880
18060.0 104.443
18061.0 89.7671
18062.0 67.6319
18063.0 54.0353
18063.9 46.1355
18064.9 41.4447
18065.8 38.5371
18067.7 35.2639
18069.6 33.6083
18071.5 32.6499
18073.4 32.0488
18077.2 31.3515
18081.0 30.9653
18084.7 30.7198
18092.3 30.4125
18099.9 30.2116
18107.5 30.0560
18122.6 29.8029
18152.9 29.3796
18183.2 28.9948
18304.3 27.5921
18546.5 25.1400
19031.0 21.0376
19515.5 17.4271
20000.0 13.8176
20374.4 10.6808
20561.5 8.88133
20655.1 7.91042
