Cr-50(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 774.602
1.25000E-05 692.825
1.50000E-05 632.460
2.00000E-05 547.727
2.75000E-05 467.103
3.50000E-05 414.042
4.25000E-05 375.737
5.00000E-05 346.413
6.25000E-05 309.841
7.50000E-05 282.845
0.000100000 244.951
0.000125000 219.091
0.000150000 200.001
0.000200000 173.206
0.000275000 147.711
0.000350000 130.932
0.000425000 118.819
0.000500000 109.545
0.000625000 97.9802
0.000750000 89.4433
0.00100000 77.4601
0.00125000 69.2824
0.00150000 63.2459
0.00200000 54.7725
0.00275000 46.7101
0.00350000 41.4040
0.00425000 37.5735
0.00500000 34.6410
0.00625000 30.9838
0.00750000 28.2842
0.0100000 24.4948
0.0125000 21.9087
0.0150000 19.9998
0.0200000 17.3202
0.0253000 15.3994
0.0314750 13.8063
0.0376500 12.6234
0.0500000 10.9538
0.0625000 9.79722
0.0750000 8.94345
0.100000 7.74500
0.125000 6.92711
0.150000 6.32335
0.200000 5.47582
0.275000 4.66934
0.350000 4.13852
0.500000 3.46185
0.750000 2.82566
1.00000 2.44630
1.50000 1.99609
2.00000 1.72754
2.75000 1.47182
3.50000 1.30336
5.00000 1.08837
7.50000 0.885832
10.0000 0.764751
15.0000 0.620591
20.0000 0.534241
27.5000 0.451665
35.0000 0.397035
50.0000 0.327012
75.0000 0.260814
100.000 0.221308
150.000 0.174833
200.000 0.147772
275.000 0.123056
350.000 0.107756
500.000 0.0901287
750.000 0.0767891
999.999 0.0714948
1000.00 0.0714947
1000.01 0.0714946
1000.02 0.0714945
1000.03 0.0714944
1000.06 0.0714940
1000.12 0.0714932
1000.25 0.0714918
1000.49 0.0714888
1000.98 0.0714829
1001.96 0.0714711
1003.91 0.0714477
1007.81 0.0714015
1015.63 0.0713117
1031.25 0.0711422
1062.50 0.0708421
1125.00 0.0703858
1250.00 0.0699773
1500.00 0.0707941
2000.00 0.0776619
2709.85 0.100121
3064.78 0.119602
3419.70 0.148272
3774.63 0.191724
4129.55 0.260252
4484.48 0.372688
4839.40 0.558320
5000.00 0.671932
5230.99 0.851602
5346.49 0.930822
5404.24 0.962248
5433.11 0.975189
5447.55 0.981053
5454.77 0.984521
5458.37 0.989166
5460.18 1.00321
5461.08 1.05603
5461.53 1.25719
5461.65 1.45711
5461.76 1.99746
5461.82 2.71090
5461.84 3.37334
5461.87 4.50267
5461.90 6.66172
5461.91 8.56282
5461.93 11.5839
5461.94 16.7788
5461.96 26.7158
5461.96 35.3418
5461.97 48.6167
5461.98 69.8162
5461.98 103.993
5461.99 169.651
5462.00 207.013
5462.01 161.918
5462.02 104.006
5462.03 59.4783
5462.04 36.8995
5462.05 24.8227
5462.06 18.3710
5462.07 13.8048
5462.08 10.8035
5462.10 7.37881
5462.12 5.39196
5462.13 4.24946
5462.17 2.95638
5462.25 1.92675
5462.33 1.53796
5462.48 1.23990
5462.64 1.13180
5463.26 1.02378
5464.50 0.996201
5466.99 0.989884
5471.95 0.989637
5481.89 0.992071
5501.76 0.996858
5541.51 1.00302
5621.00 1.00030
5816.40 0.913883
6011.80 0.758280
6402.60 0.458288
6765.07 0.284945
7127.53 0.185906
7490.00 0.127828
7852.46 0.0919851
8214.93 0.0687204
8577.39 0.0529411
8939.86 0.0418517
9121.09 0.0376128
9211.71 0.0360999
9257.02 0.0368073
9279.67 0.0423182
9285.34 0.0478600
9291.00 0.0621554
9293.83 0.0795282
9296.66 0.119422
9298.08 0.161827
9299.49 0.243608
9300.91 0.426290
9301.62 0.605637
9302.33 0.897986
9303.16 1.41691
9304.00 1.76236
9304.84 1.41634
9305.68 0.898074
9306.35 0.614776
9307.03 0.437919
9308.39 0.253522
9309.74 0.169113
9311.10 0.124741
9313.81 0.0824925
9316.52 0.0638640
9321.95 0.0483026
9327.37 0.0421058
9349.07 0.0352494
9392.47 0.0326966
9479.26 0.0307410
9652.84 0.0279197
10000.0 0.0234178
11078.8 0.0146001
12157.5 0.00987602
13236.3 0.00708981
14315.1 0.00533077
16472.6 0.00337459
17551.4 0.00289510
18090.8 0.00302593
18225.6 0.00333070
18360.4 0.00427451
18427.9 0.00561497
18461.6 0.00695784
18495.3 0.00940883
18529.0 0.0146195
18545.9 0.0197658
18562.7 0.0290335
18571.1 0.0367496
18579.6 0.0483870
18588.0 0.0671281
18596.4 0.100123
18600.6 0.127046
18604.9 0.166691
18609.1 0.228837
18613.3 0.333609
18617.5 0.531714
18619.6 0.703781
18621.7 0.971681
18623.8 1.42430
18625.9 2.25638
18627.0 2.96030
18628.0 3.99700
18629.1 5.57771
18630.1 7.99276
18631.6 12.8126
18633.0 16.0022
18634.4 12.7830
18635.9 7.99800
18637.0 5.41770
18638.1 3.80147
18639.3 2.77107
18640.4 2.09207
18642.7 1.29620
18644.9 0.876744
18647.2 0.629679
18649.5 0.474025
18654.0 0.296096
18658.5 0.202294
18663.0 0.147103
18667.6 0.111948
18672.1 0.0882424
18681.2 0.0591364
18690.2 0.0426925
18699.3 0.0324977
18708.3 0.0257461
18726.4 0.0176418
18744.5 0.0131571
18780.7 0.00863298
18816.9 0.00653130
18853.1 0.00541302
18925.6 0.00443465
18998.0 0.00434485
19070.4 0.00539143
19106.6 0.00717412
19124.7 0.00901266
19142.8 0.0123984
19160.9 0.0196285
19170.0 0.0267622
19179.0 0.0395904
19183.6 0.0502512
19188.1 0.0662901
19192.6 0.0920285
19197.2 0.137041
19201.7 0.227133
19203.9 0.310082
19206.2 0.448601
19208.5 0.706691
19209.6 0.925858
19210.7 1.26234
19211.9 1.81308
19213.0 2.79047
19214.1 4.70004
19214.7 6.35282
19215.3 8.70664
19216.1 13.9504
19217.0 17.3943
19217.9 13.8974
19218.8 8.71509
19219.5 5.67461
19220.3 3.86662
19221.1 2.74662
19221.8 2.04154
19223.3 1.23757
19224.9 0.826525
19226.4 0.588193
19227.9 0.440200
19231.0 0.272506
19234.0 0.185095
19237.1 0.134218
19240.1 0.101955
19243.2 0.0802300
19249.3 0.0536766
19255.4 0.0387360
19261.5 0.0294922
19267.6 0.0233778
19279.8 0.0160409
19292.0 0.0119756
19316.4 0.00785589
19340.8 0.00590692
19365.2 0.00482902
19414.1 0.00372912
19511.7 0.00289620
19609.4 0.00257053
20000.0 0.00215226
21021.0 0.00185076
22042.0 0.00171144
23062.9 0.00165081
23573.4 0.00165186
23828.7 0.00166642
23956.3 0.00169538
24020.1 0.00178585
24052.0 0.00213091
24067.9 0.00349158
24075.9 0.00885218
24079.9 0.0296714
24081.9 0.107661
24082.9 0.385205
24083.4 1.26157
24083.7 3.48645
24083.8 7.22409
24083.8 11.4631
24083.9 19.6345
24084.0 32.3453
24084.0 39.0903
