Cr-50(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 777.000
1.25000E-05 695.223
1.50000E-05 634.858
2.00000E-05 550.124
2.75000E-05 469.500
3.50000E-05 416.440
4.25000E-05 378.135
5.00000E-05 348.810
6.25000E-05 312.238
7.50000E-05 285.242
0.000100000 247.348
0.000125000 221.488
0.000150000 202.399
0.000200000 175.604
0.000275000 150.108
0.000350000 133.329
0.000425000 121.216
0.000500000 111.943
0.000625000 100.378
0.000750000 91.8407
0.00100000 79.8576
0.00125000 71.6799
0.00150000 65.6433
0.00200000 57.1699
0.00275000 49.1075
0.00350000 43.8015
0.00425000 39.9710
0.00500000 37.0385
0.00625000 33.3813
0.00750000 30.6817
0.0100000 26.8922
0.0125000 24.3062
0.0150000 22.3972
0.0200000 19.7177
0.0253000 17.7970
0.0314750 16.2039
0.0376500 15.0210
0.0500000 13.3515
0.0625000 12.1949
0.0750000 11.3412
0.100000 10.1429
0.125000 9.32512
0.150000 8.72147
0.200000 7.87418
0.275000 7.06805
0.350000 6.53758
0.500000 5.86162
0.750000 5.22660
1.00000 4.84841
1.50000 4.40054
2.00000 4.13433
2.75000 3.88212
3.50000 3.71718
5.00000 3.50919
7.50000 3.31830
10.0000 3.20883
15.0000 3.08778
20.0000 3.02440
27.5000 2.97602
35.0000 2.95529
50.0000 2.95222
75.0000 2.99528
100.000 3.06248
150.000 3.22304
200.000 3.39637
275.000 3.66376
350.000 3.93464
500.000 4.48587
750.000 5.45671
999.999 6.53873
1000.00 6.53874
1000.01 6.53877
1000.02 6.53881
1000.03 6.53888
1000.06 6.53902
1000.12 6.53930
1000.25 6.53987
1000.49 6.54100
1000.98 6.54325
1001.96 6.54777
1003.91 6.55680
1007.81 6.57491
1015.63 6.61124
1031.25 6.68438
1062.50 6.83268
1125.00 7.13764
1250.00 7.78411
1500.00 9.24968
2000.00 13.1359
2709.85 22.4738
3064.78 30.2405
3419.70 41.7876
3774.63 59.7210
4129.55 88.9725
4484.48 139.005
4839.40 226.026
5000.00 281.868
5230.99 375.415
5346.49 420.380
5404.24 439.785
5433.11 448.327
5447.55 452.260
5454.77 454.139
5458.37 455.065
5460.18 455.561
5461.08 455.963
5461.53 456.756
5461.65 457.461
5461.76 459.323
5461.82 461.760
5461.84 464.017
5461.87 467.860
5461.90 475.203
5461.91 481.667
5461.93 491.937
5461.94 509.597
5461.96 543.377
5461.96 572.701
5461.97 617.830
5461.98 689.903
5461.98 806.102
5461.99 1029.36
5462.00 1156.45
5462.01 1003.18
5462.02 806.297
5462.03 654.899
5462.04 578.123
5462.05 537.056
5462.06 515.117
5462.07 499.589
5462.08 489.383
5462.10 477.738
5462.12 470.983
5462.13 467.101
5462.17 462.710
5462.25 459.224
5462.33 457.919
5462.48 456.941
5462.64 456.610
5463.26 456.393
5464.50 456.601
5466.99 457.178
5471.95 458.352
5481.89 460.619
5501.76 464.768
5541.51 471.430
5621.00 477.718
5816.40 453.564
6011.80 390.701
6402.60 253.774
6765.07 168.160
7127.53 116.597
7490.00 84.9796
7852.46 64.6599
8214.93 50.9584
8577.39 41.3187
8939.86 34.2870
9121.09 31.4641
9211.71 30.1910
9257.02 29.5868
9279.67 29.2973
9285.34 29.2298
9291.00 29.1714
9293.83 29.1526
9296.66 29.1565
9298.08 29.1811
9299.49 29.2453
9300.91 29.4110
9301.62 29.5824
9302.33 29.8675
9303.16 30.3789
9304.00 30.7160
9304.84 30.3576
9305.68 29.8256
9306.35 29.5320
9307.03 29.3454
9308.39 29.1427
9309.74 29.0406
9311.10 28.9788
9313.81 28.9020
9316.52 28.8491
9321.95 28.7653
9327.37 28.6912
