Mn-55(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 667.637
1.25000E-05 597.153
1.50000E-05 545.124
2.00000E-05 472.091
2.75000E-05 402.601
3.50000E-05 356.867
4.25000E-05 323.852
5.00000E-05 298.577
6.25000E-05 267.055
7.50000E-05 243.787
0.000100000 211.126
0.000125000 188.837
0.000150000 172.383
0.000200000 149.288
0.000275000 127.314
0.000350000 112.851
0.000425000 102.411
0.000500000 94.4183
0.000625000 84.4504
0.000750000 77.0923
0.00100000 66.7640
0.00125000 59.7156
0.00150000 54.5126
0.00200000 47.2094
0.00275000 40.2604
0.00350000 35.6871
0.00425000 32.3856
0.00500000 29.8582
0.00625000 26.7061
0.00750000 24.3793
0.0100000 21.1133
0.0125000 18.8844
0.0150000 17.2392
0.0200000 14.9299
0.0253000 13.2745
0.0314750 11.9016
0.0376500 10.8821
0.0500000 9.44344
0.0625000 8.44683
0.0750000 7.71120
0.100000 6.67866
0.125000 5.97409
0.150000 5.45404
0.200000 4.72415
0.275000 4.02981
0.350000 3.57297
0.500000 2.99090
0.750000 2.44417
1.00000 2.11854
1.50000 1.73390
2.00000 1.50548
2.75000 1.28925
3.50000 1.14793
5.00000 0.969786
7.50000 0.801507
10.0000 0.702700
15.0000 0.589580
20.0000 0.525353
27.5000 0.468542
30.0000 0.455556
35.0000 0.432641
50.0000 0.391475
60.0000 0.377313
75.0000 0.367392
100.000 0.371041
125.000 0.392854
150.000 0.435582
175.000 0.506872
200.000 0.624355
216.093 0.739931
232.185 0.910635
248.278 1.17587
264.370 1.61850
280.463 2.43724
288.509 3.13449
296.555 4.20629
304.601 5.96648
312.648 9.11201
316.671 11.6619
320.694 15.3355
324.717 20.7313
328.740 28.6189
334.765 45.1923
340.790 55.2783
346.810 43.3232
352.830 26.8025
358.726 16.5682
364.623 10.8077
370.519 7.46942
376.415 5.42232
382.311 4.09636
388.208 3.19614
400.000 2.09648
412.500 1.45346
425.000 1.07016
437.500 0.824575
450.000 0.658388
475.000 0.455288
500.000 0.341331
531.250 0.258390
562.500 0.209126
625.000 0.157305
687.500 0.134016
750.000 0.124566
800.000 0.124047
850.000 0.130498
900.000 0.147802
950.000 0.189539
975.000 0.232535
1000.00 0.311970
1022.65 0.459734
1033.98 0.596064
1045.30 0.824075
1056.63 1.24800
1062.29 1.61103
1067.95 2.17203
1073.61 3.10081
1079.28 4.78218
1082.11 6.16695
1084.94 8.19759
1087.77 11.2660
1090.60 15.9664
1098.40 35.3812
1100.38 35.1361
1102.35 30.9768
1106.30 19.6847
1108.46 14.9255
1110.61 11.4321
1112.77 8.91350
1114.92 7.08694
1119.23 4.73227
1123.54 3.36066
1127.85 2.50485
1132.16 1.93982
1136.47 1.54910
1140.78 1.26857
1145.09 1.06068
1149.40 0.902611
1158.02 0.682445
1166.64 0.540142
1175.26 0.443096
1183.88 0.374065
1192.50 0.323303
1209.73 0.255286
1244.21 0.185641
1278.69 0.153318
1313.17 0.136504
1382.12 0.122575
1520.03 0.123995
1588.99 0.132217
1623.47 0.138743
1640.71 0.145808
1649.32 0.162541
1651.48 0.178034
1653.63 0.219577
1654.71 0.274083
1655.25 0.325987
1655.79 0.415696
1656.33 0.591928
1656.60 0.751135
1656.87 1.01155
1657.14 1.48133
1657.27 1.86943
1657.41 2.44182
1657.54 3.34418
1657.67 4.83361
1657.81 7.49837
1657.94 12.3642
1658.07 19.7169
1658.20 24.6274
1658.33 19.7180
1658.46 12.3658
1658.54 8.98399
1658.62 6.69213
1658.79 4.01293
1658.96 2.64984
1659.12 1.88467
1659.29 1.41835
1659.46 1.11516
1659.79 0.760607
1660.12 0.568844
1660.46 0.454492
1661.12 0.330407
1661.79 0.268343
1662.46 0.232994
1663.79 0.196426
1666.46 0.169370
1669.13 0.159917
1679.80 0.152370
1701.15 0.155037
1743.84 0.166546
1829.23 0.199222
1914.61 0.248514
2000.00 0.324766
2096.35 0.467065
2192.70 0.711352
2293.70 1.08897
2394.70 1.29333
2495.70 0.995554
2596.70 0.615134
2665.86 0.439749
2735.03 0.322857
2804.19 0.244655
2873.35 0.191053
3011.68 0.125715
3150.00 0.0894990
3298.63 0.0672258
3474.11 0.0514856
3649.59 0.0417937
3825.07 0.0354647
3912.81 0.0331139
3956.68 0.0321010
3978.61 0.0316659
3989.58 0.0316037
3995.07 0.0321363
3997.81 0.0344365
3999.18 0.0422466
3999.86 0.0641174
4000.21 0.109887
4000.55 0.329971
4000.77 0.627947
4000.99 0.329978
4001.28 0.122050
4001.58 0.0714576
4002.17 0.0452089
4003.36 0.0353051
4005.73 0.0321996
4010.47 0.0312525
4019.96 0.0308397
4038.93 0.0304167
4076.86 0.0297118
4152.74 0.0284737
4228.62 0.0274164
4266.56 0.0269804
4285.53 0.0269200
4295.02 0.0274613
4299.76 0.0299203
4302.13 0.0392431
4303.32 0.0716183
4303.91 0.169243
4304.20 0.398571
4304.35 0.772886
4304.43 1.17777
4304.50 1.90418
4304.57 3.04140
4304.65 3.78690
4304.72 3.02505
4304.79 1.90424
4304.87 1.14937
4304.95 0.741430
4305.11 0.375474
4305.42 0.158380
4306.04 0.0678362
4307.28 0.0380719
4309.77 0.0295054
4314.75 0.0271610
4324.71 0.0264593
4344.62 0.0260968
4384.45 0.0256597
4464.10 0.0249427
4623.41 0.0238570
4782.72 0.0233145
4862.38 0.0240002
4882.29 0.0249383
4902.20 0.0277161
4912.16 0.0316261
4922.12 0.0427103
4927.10 0.0580074
4929.58 0.0731750
4932.07 0.100645
4934.56 0.158437
4935.81 0.214913
4937.05 0.315397
4937.67 0.398164
4938.30 0.521347
4938.92 0.716517
4939.54 1.05265
4940.16 1.70704
4940.47 2.29258
4940.79 3.24022
4941.10 4.91409
4941.41 8.25484
4941.56 11.3009
4941.72 16.1788
4941.87 24.5221
4942.03 38.9330
4942.19 62.2598
4942.36 77.8009
4942.52 62.2573
4942.68 38.9320
4942.79 27.7686
4942.91 20.2601
4943.02 15.2163
4943.13 11.7526
4943.35 7.52928
4943.58 5.19584
4943.80 3.78887
4944.03 2.88096
4944.47 1.82474
4944.92 1.25956
4945.37 0.923122
4946.26 0.560498
4947.16 0.379427
4948.06 0.276497
4948.95 0.212349
4949.85 0.169785
4951.64 0.118484
4953.43 0.0899775
4957.01 0.0610393
4960.59 0.0473832
4964.18 0.0398767
4971.34 0.0323269
4985.67 0.0268545
5000.00 0.0249067
5041.61 0.0231959
5083.22 0.0227345
5166.44 0.0224654
5332.87 0.0225648
5665.74 0.0241482
5998.61 0.0284795
6165.04 0.0327741
6248.26 0.0363244
6289.87 0.0404391
6300.27 0.0433056
6310.67 0.0505076
6315.87 0.0599642
6321.07 0.0857249
6323.68 0.120198
6324.98 0.153597
6326.28 0.212619
6327.58 0.332260
6328.23 0.444330
6328.88 0.634892
6329.53 0.997774
6329.85 1.31598
6330.18 1.81944
6330.50 2.67973
6330.83 4.30926
6330.99 5.71470
6331.15 7.84252
6331.31 11.2175
6331.48 16.5416
6331.68 26.4567
6331.88 33.0725
6332.09 26.4574
6332.29 16.5426
6332.45 11.4550
6332.60 8.17799
6332.75 6.04328
6332.90 4.61268
6333.21 2.91207
6333.51 1.99556
6333.81 1.45054
6334.12 1.10422
6334.73 0.705672
6335.34 0.494324
6335.94 0.369606
6337.16 0.235892
6338.38 0.169568
6339.59 0.132023
6342.03 0.0932968
6346.89 0.0646122
6351.76 0.0544167
6361.49 0.0473382
6371.22 0.0451989
6410.16 0.0450658
6488.02 0.0506503
6565.88 0.0590005
6643.75 0.0707464
6721.61 0.0876274
6799.47 0.112622
6877.34 0.150608
6955.20 0.209897
6959.89 0.218493
6962.24 0.236456
6963.41 0.289935
6964.00 0.435913
6964.29 0.737018
6964.44 1.15827
6964.58 2.16924
6964.68 3.33697
6964.77 4.12220
6964.87 3.33719
6964.96 2.16965
6965.16 0.971982
6965.36 0.588131
6965.75 0.358655
6966.54 0.263017
6968.12 0.232748
6971.29 0.226640
6977.61 0.230365
6990.25 0.242554
7015.55 0.269732
7066.13 0.327693
7167.30 0.397344
7273.40 0.320458
7379.50 0.206050
7461.00 0.146699
7542.50 0.109179
7624.00 0.0855740
7705.50 0.0705131
7868.50 0.0548344
8031.50 0.0502486
8194.50 0.0540682
8357.50 0.0694763
8439.00 0.0851177
8520.50 0.110703
8602.00 0.153454
8683.50 0.224647
8777.20 0.344562
8870.90 0.411003
8964.55 0.319814
9058.20 0.201977
9144.68 0.132657
9231.15 0.0921065
9317.63 0.0677488
9404.10 0.0523455
9577.05 0.0349608
9750.00 0.0260209
9771.21 0.0254783
9781.81 0.0260349
9787.11 0.0294143
9789.77 0.0424318
9791.09 0.0867721
9791.75 0.215313
9792.08 0.498339
9792.25 0.925558
9792.42 2.06050
