Mn-55(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 669.734
1.25000E-05 599.250
1.50000E-05 547.221
2.00000E-05 474.188
2.75000E-05 404.697
3.50000E-05 358.964
4.25000E-05 325.949
5.00000E-05 300.673
6.25000E-05 269.152
7.50000E-05 245.884
0.000100000 213.222
0.000125000 190.933
0.000150000 174.480
0.000200000 151.385
0.000275000 129.410
0.000350000 114.948
0.000425000 104.508
0.000500000 96.5151
0.000625000 86.5471
0.000750000 79.1891
0.00100000 68.8607
0.00125000 61.8123
0.00150000 56.6094
0.00200000 49.3062
0.00275000 42.3572
0.00350000 37.7839
0.00425000 34.4825
0.00500000 31.9550
0.00625000 28.8029
0.00750000 26.4761
0.0100000 23.2101
0.0125000 20.9813
0.0150000 19.3361
0.0200000 17.0268
0.0253000 15.3715
0.0314750 13.9987
0.0376500 12.9793
0.0500000 11.5408
0.0625000 10.5443
0.0750000 9.80882
0.100000 8.77658
0.125000 8.07230
0.150000 7.55254
0.200000 6.82323
0.275000 6.12976
0.350000 5.67379
0.500000 5.09348
0.750000 4.54967
1.00000 4.22697
1.50000 3.84823
2.00000 3.62574
2.75000 3.41848
3.50000 3.28621
5.00000 3.12641
7.50000 2.98947
10.0000 2.92298
15.0000 2.87755
20.0000 2.88531
27.5000 2.94516
30.0000 2.97353
35.0000 3.03731
50.0000 3.29148
60.0000 3.50813
75.0000 3.90652
100.000 4.80750
125.000 6.12141
150.000 8.08821
175.000 11.1540
200.000 16.2137
216.093 21.3650
232.185 29.1626
248.278 41.6477
264.370 63.2007
280.463 104.555
288.509 140.734
296.555 197.454
304.601 292.518
312.648 466.041
316.671 608.944
320.694 817.290
324.717 1127.31
328.740 1587.37
334.765 2580.61
340.790 3247.44
346.810 2616.44
352.830 1662.84
358.726 1054.61
364.623 705.303
370.519 499.395
376.415 371.148
382.311 286.848
388.208 228.801
400.000 156.514
412.500 113.092
425.000 86.5147
437.500 69.0520
450.000 56.9490
475.000 41.6810
500.000 32.7632
531.250 26.0296
562.500 21.9059
625.000 17.5080
687.500 15.6726
750.000 15.2460
800.000 15.6966
850.000 16.9182
900.000 19.2641
950.000 23.7860
975.000 27.7702
1000.00 34.2826
1022.65 44.9446
1033.98 53.8994
