Fe-54(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 113.239
1.25000E-05 101.284
1.50000E-05 92.4590
2.00000E-05 80.0718
2.75000E-05 68.2855
3.50000E-05 60.5286
4.25000E-05 54.9288
5.00000E-05 50.6419
6.25000E-05 45.2955
7.50000E-05 41.3489
0.000100000 35.8092
0.000125000 32.0287
0.000150000 29.2381
0.000200000 25.3209
0.000275000 21.5938
0.000350000 19.1408
0.000425000 17.3700
0.000500000 16.0144
0.000625000 14.3237
0.000750000 13.0757
0.00100000 11.3239
0.00125000 10.1284
0.00150000 9.24590
0.00200000 8.00718
0.00275000 6.82855
0.00350000 6.05286
0.00425000 5.49289
0.00500000 5.06419
0.00625000 4.52955
0.00750000 4.13490
0.0100000 3.58093
0.0125000 3.20288
0.0150000 2.92382
0.0200000 2.53210
0.0253000 2.25131
0.0314750 2.01843
0.0376500 1.84550
0.0500000 1.60145
0.0625000 1.43238
0.0750000 1.30758
0.100000 1.13240
0.125000 1.01286
0.150000 0.924609
0.200000 0.800741
0.275000 0.682881
0.350000 0.605316
0.414000 0.556570
0.414000 0.556570
0.414001 0.556570
0.414002 0.556569
0.414003 0.556568
0.414005 0.556567
0.414011 0.556563
0.414021 0.556556
0.414042 0.556542
0.414084 0.556514
0.414168 0.556457
0.414336 0.556345
0.414672 0.556119
0.415344 0.555669
0.416688 0.554773
0.419375 0.552992
0.424750 0.549483
0.435500 0.542660
0.457000 0.529742
0.500000 0.506455
0.625000 0.452995
0.750000 0.413533
1.00000 0.358143
1.50000 0.292443
2.00000 0.253281
2.75000 0.216022
3.50000 0.191503
5.00000 0.160258
7.50000 0.130896
10.0000 0.113400
15.0000 0.0926566
20.0000 0.0803003
27.5000 0.0685539
35.0000 0.0608319
50.0000 0.0510056
75.0000 0.0417970
100.000 0.0363296
150.000 0.0298827
200.000 0.0260738
275.000 0.0224920
350.000 0.0201719
500.000 0.0172910
750.000 0.0147360
999.999 0.0133636
1000.00 0.0133636
1000.01 0.0133636
1000.01 0.0133636
1000.03 0.0133635
1000.05 0.0133634
1000.10 0.0133632
1000.20 0.0133628
1000.39 0.0133620
1000.78 0.0133604
1001.56 0.0133572
1003.13 0.0133508
1006.25 0.0133380
1012.50 0.0133127
1025.00 0.0132631
1050.00 0.0131677
1100.00 0.0129911
1200.00 0.0126887
1400.00 0.0122470
1400.00 0.0122470
1400.01 0.0122470
1400.01 0.0122470
1400.03 0.0122470
1400.05 0.0122469
1400.10 0.0122468
1400.20 0.0122467
1400.39 0.0122463
1400.78 0.0122457
1401.56 0.0122443
1403.13 0.0122416
1406.25 0.0122362
1412.50 0.0122255
1425.00 0.0122045
1450.00 0.0121645
1500.00 0.0120917
1625.00 0.0119478
1750.00 0.0118526
2000.00 0.0117880
2000.00 0.0117880
2000.01 0.0117880
2000.01 0.0117880
2000.02 0.0117880
2000.05 0.0117880
2000.09 0.0117880
2000.19 0.0117880
2000.37 0.0117880
2000.73 0.0117880
2001.47 0.0117881
2002.93 0.0117881
2005.86 0.0117883
2011.72 0.0117887
2023.44 0.0117897
2046.88 0.0117927
2093.75 0.0118024
2187.50 0.0118365
2375.00 0.0119610
2750.00 0.0124311
3000.00 0.0129136
3000.00 0.0129136
3000.01 0.0129136
3000.02 0.0129136
3000.03 0.0129137
3000.06 0.0129137
3000.12 0.0129139
3000.25 0.0129142
3000.49 0.0129147
3000.98 0.0129158
3001.96 0.0129179
3003.91 0.0129223
3007.81 0.0129310
3015.63 0.0129485
3031.25 0.0129841
3062.50 0.0130569
3125.00 0.0132097
3250.00 0.0135454
3312.50 0.0137289
3343.75 0.0138247
3375.00 0.0139234
3406.25 0.0140249
3437.50 0.0141293
3468.75 0.0142368
3500.00 0.0143473
3531.25 0.0144609
3562.50 0.0145776
3593.75 0.0146977
3625.00 0.0148211
3687.50 0.0150782
3750.00 0.0153498
3875.00 0.0159390
4000.00 0.0165955
4125.00 0.0173273
4250.00 0.0181438
4500.00 0.0200773
4500.00 0.0200773
4500.01 0.0200774
4500.02 0.0200774
4500.03 0.0200776
4500.06 0.0200778
4500.12 0.0200784
4500.25 0.0200794
4500.49 0.0200815
4500.98 0.0200858
4501.96 0.0200942
4503.91 0.0201111
4507.81 0.0201451
4515.63 0.0202134
4531.25 0.0203514
4562.50 0.0206336
4625.00 0.0212232
4750.00 0.0225125
5000.00 0.0256171
5000.00 0.0256172
5000.01 0.0256172
5000.01 0.0256173
5000.02 0.0256175
5000.05 0.0256178
5000.09 0.0256184
5000.19 0.0256197
5000.37 0.0256223
5000.73 0.0256275
5001.47 0.0256378
5002.93 0.0256584
5005.86 0.0256997
5011.72 0.0257828
5023.44 0.0259505
5046.88 0.0262921
5093.75 0.0270009
5187.50 0.0285289
5375.00 0.0321003
5562.50 0.0365348
5750.00 0.0421192
5937.50 0.0492660
6125.00 0.0585803
6312.50 0.0709686
6500.00 0.0878106
6500.00 0.0878108
6500.01 0.0878115
6500.01 0.0878120
6500.02 0.0878130
6500.04 0.0878152
6500.08 0.0878196
6500.17 0.0878283
6500.33 0.0878457
6500.67 0.0878806
6501.33 0.0879505
6502.66 0.0880905
6505.31 0.0883714
6510.62 0.0889371
6521.25 0.0900847
6542.49 0.0924455
6584.98 0.0974443
6669.95 0.108675
6839.90 0.137236
7009.85 0.176613
7179.80 0.230095
7483.90 0.355349
7635.95 0.405371
7788.00 0.414569
8092.10 0.310988
8396.20 0.189166
8698.10 0.115723
9000.00 0.0751636
9000.00 0.0751634
9000.01 0.0751626
9000.02 0.0751619
9000.03 0.0751604
9000.06 0.0751575
9000.12 0.0751517
9000.24 0.0751401
9000.47 0.0751169
9000.94 0.0750706
9001.87 0.0749781
9003.75 0.0747936
9007.49 0.0744265
9014.98 0.0737002
9029.96 0.0722779
9059.91 0.0695521
9119.82 0.0645499
9239.63 0.0562568
9359.45 0.0514624
9419.36 0.0576921
9434.33 0.0665078
9441.82 0.0756522
9449.31 0.0925824
9456.80 0.128860
9460.54 0.164733
9464.29 0.229297
9468.03 0.363560
9469.91 0.492848
9471.78 0.719345
9473.65 1.17114
9474.59 1.58746
9475.52 2.28210
9476.46 3.56674
9476.93 4.65891
9477.39 6.33234
9477.86 9.06357
9478.33 13.8906
