Fe-58(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 61.7027
1.25000E-05 55.4921
1.50000E-05 50.9096
2.00000E-05 44.4805
2.37500E-05 41.0604
2.75000E-05 38.3671
3.50000E-05 34.3461
4.25000E-05 31.4447
5.00000E-05 29.2242
6.25000E-05 26.4562
7.50000E-05 24.4137
0.000100000 21.5481
0.000125000 19.5935
0.000150000 18.1513
0.000200000 16.1278
0.000237500 15.0513
0.000275000 14.2036
0.000350000 12.9379
0.000425000 12.0246
0.000500000 11.3256
0.000625000 10.4542
0.000750000 9.81119
0.00100000 8.90903
0.00125000 8.29366
0.00150000 7.83958
0.00200000 7.20246
0.00237500 6.86351
0.00275000 6.59658
0.00350000 6.19803
0.00425000 5.91042
0.00500000 5.69031
0.00625000 5.41590
0.00750000 5.21340
0.0100000 4.92928
0.0125000 4.73546
0.0150000 4.59245
0.0200000 4.39177
0.0253000 4.24799
0.0314750 4.12943
0.0376500 4.04137
0.0500000 3.91705
0.0625000 3.83089
0.0750000 3.76728
0.100000 3.67796
0.125000 3.61697
0.150000 3.57194
0.200000 3.50870
0.275000 3.44849
0.350000 3.40884
0.414000 3.38390
0.414000 3.38390
0.414001 3.38390
0.414002 3.38390
0.414003 3.38390
0.414005 3.38390
0.414011 3.38390
0.414021 3.38389
0.414042 3.38389
0.414084 3.38387
0.414168 3.38384
0.414336 3.38379
0.414672 3.38367
0.415344 3.38344
0.416688 3.38298
0.419375 3.38207
0.424750 3.38027
0.435500 3.37678
0.457000 3.37017
0.500000 3.35825
0.625000 3.33085
0.750000 3.31061
1.00000 3.28215
1.50000 3.24827
2.00000 3.22796
2.75000 3.20849
3.50000 3.19554
5.00000 3.17877
7.50000 3.16249
10.0000 3.15233
15.0000 3.13940
20.0000 3.13088
27.5000 3.12176
35.0000 3.11488
50.0000 3.10444
75.0000 3.09165
100.000 3.08156
133.000 3.07036
166.000 3.06073
200.000 3.05344
207.450 3.05347
214.900 3.05715
218.625 3.06397
220.488 3.07122
222.350 3.08481
224.213 3.11409
225.144 3.14311
226.075 3.19531
226.541 3.23860
227.006 3.30359
227.472 3.40753
227.938 3.58885
228.403 3.94813
228.636 4.27659
228.869 4.81996
229.102 5.81169
229.218 6.64327
229.334 7.89958
229.451 9.90996
229.567 13.3620
229.684 19.7792
229.800 32.3293
229.900 49.8400
230.000 61.4923
230.101 49.7652
230.201 32.2067
230.264 24.4559
230.327 19.0523
230.452 12.6548
230.578 9.33218
230.703 7.44157
230.829 6.27863
230.955 5.51745
231.206 4.61976
231.457 4.13267
231.708 3.84022
232.210 3.52203
232.713 3.36207
233.215 3.27055
233.717 3.21334
234.220 3.17519
235.224 3.12903
236.229 3.10318
238.238 3.07663
240.248 3.06381
242.257 3.05653
246.275 3.04874
254.312 3.04193
262.350 3.03840
278.424 3.03390
294.498 3.03093
310.572 3.02988
318.609 3.03096
326.647 3.03465
334.684 3.04493
338.702 3.05624
342.721 3.07779
344.730 3.09637
346.739 3.12512
348.749 3.17276
350.758 3.25987
351.763 3.33324
352.767 3.44504
353.772 3.62751
354.777 3.95524
355.279 4.22702
355.781 4.63522
356.284 5.28889
356.786 6.43186
357.288 8.70499
357.539 10.7933
357.790 14.2638
358.042 20.6492
358.167 26.0468
358.293 34.2601
358.418 47.5615
358.544 70.7796
358.670 115.008
358.732 151.964
358.795 204.382
358.898 324.787
359.000 404.900
359.103 324.258
359.206 203.531
359.275 147.214
359.344 108.996
359.481 65.0931
359.619 43.0067
359.756 30.6975
359.894 23.2317
360.031 18.3938
360.306 12.7421
360.581 9.70570
360.856 7.89325
361.131 6.72700
361.406 5.93317
361.956 4.95331
362.506 4.39474
363.056 4.04656
363.606 3.81504
364.706 3.53581
365.806 3.38023
366.906 3.28469
368.006 3.22180
370.206 3.14664
372.406 3.10503
374.605 3.07948
376.805 3.06260
381.205 3.04217
385.605 3.03051
394.405 3.01779
403.204 3.01077
412.004 3.00603
