Co-59(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 1869.12
1.25000E-05 1671.79
1.50000E-05 1526.13
2.00000E-05 1321.67
2.75000E-05 1127.12
3.50000E-05 999.088
4.25000E-05 906.658
5.00000E-05 835.897
6.25000E-05 747.649
7.50000E-05 682.507
0.000100000 591.069
0.000125000 528.668
0.000150000 482.606
0.000200000 417.949
0.000275000 356.429
0.000350000 315.941
0.000425000 286.712
0.000500000 264.335
0.000625000 236.429
0.000750000 215.830
0.00100000 186.914
0.00125000 167.182
0.00150000 152.616
0.00200000 132.170
0.00275000 112.716
0.00350000 99.9128
0.00425000 90.6702
0.00500000 83.5945
0.00625000 74.7703
0.00750000 68.2566
0.0100000 59.1137
0.0125000 52.8744
0.0150000 48.2690
0.0200000 41.8046
0.0253000 37.1711
0.0314750 33.3284
0.0376500 30.4752
0.0500000 26.4488
0.0625000 23.6600
0.0750000 21.6017
0.100000 18.7131
0.125000 16.7424
0.150000 15.2881
0.200000 13.2476
0.275000 11.3075
0.350000 10.0319
0.500000 8.40807
0.750000 6.88540
1.00000 5.98055
1.50000 4.91215
2.00000 4.27950
2.75000 3.68263
3.50000 3.29414
5.00000 2.80738
7.50000 2.36555
10.0000 2.11620
15.0000 1.84932
20.0000 1.72147
27.5000 1.65041
35.0000 1.66403
50.0000 1.87908
62.5000 2.28004
75.0000 3.02705
81.2500 3.63346
87.5000 4.51358
93.7500 5.85315
100.000 8.03168
103.641 9.99533
107.283 12.8594
110.924 17.2728
114.565 24.5913
118.206 38.0381
120.027 49.4151
121.848 66.7851
123.668 95.0305
125.489 144.741
127.309 240.769
128.220 322.135
129.130 439.007
130.565 697.603
132.000 863.056
133.435 683.509
134.870 424.471
135.888 298.448
136.905 215.096
137.923 159.892
138.941 122.418
140.976 77.2890
143.011 52.6859
145.047 38.0001
147.082 28.6006
151.153 17.7701
155.223 12.0415
159.294 8.66599
163.364 6.51832
167.435 5.07141
175.576 3.30914
183.718 2.32194
191.859 1.71640
200.000 1.31971
218.750 0.802431
237.500 0.542026
256.250 0.393643
275.000 0.301478
312.500 0.198019
350.000 0.144370
387.500 0.112923
425.000 0.0928101
500.000 0.0692052
625.000 0.0502389
750.000 0.0406844
1000.00 0.0310359
1192.78 0.0270646
1289.16 0.0257012
1337.36 0.0253442
1361.45 0.0260703
1373.50 0.0298858
1376.51 0.0338539
1379.53 0.0448976
1381.03 0.0597644
1381.79 0.0741796
1382.54 0.0996274
1383.29 0.151012
1383.67 0.199074
1384.04 0.280232
1384.42 0.434168
1384.61 0.567846
1384.80 0.777615
1384.99 1.13429
1385.17 1.79536
1385.27 2.35301
1385.36 3.18723
1385.46 4.47159
1385.55 6.45512
1385.68 10.3041
1385.80 12.8664
1385.93 10.3050
1386.05 6.45622
1386.20 3.64053
1386.35 2.22966
1386.50 1.48163
1386.65 1.05021
1386.80 0.782394
1386.95 0.605958
1387.25 0.396507
1387.55 0.282238
1387.85 0.213349
1388.45 0.138260
1389.05 0.100332
1389.65 0.0786342
1390.85 0.0559872
1393.25 0.0389205
1395.64 0.0326806
1400.44 0.0280703
1405.24 0.0263905
1424.42 0.0245950
1462.79 0.0238169
1539.54 0.0230570
1693.03 0.0220122
2000.00 0.0209344
2138.47 0.0208543
2207.71 0.0210535
2242.33 0.0217984
2259.64 0.0246337
2263.97 0.0275112
2268.29 0.0355416
2270.46 0.0464645
2272.62 0.0762805
2273.70 0.115682
2274.24 0.153299
2274.79 0.218580
2275.33 0.346915
2275.60 0.463607
