Co-59(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 1875.10
1.25000E-05 1677.78
1.50000E-05 1532.11
2.00000E-05 1327.65
2.75000E-05 1133.10
3.50000E-05 1005.07
4.25000E-05 912.639
5.00000E-05 841.878
6.25000E-05 753.630
7.50000E-05 688.488
0.000100000 597.050
0.000125000 534.649
0.000150000 488.587
0.000200000 423.930
0.000275000 362.410
0.000350000 321.921
0.000425000 292.692
0.000500000 270.316
0.000625000 242.410
0.000750000 221.810
0.00100000 192.895
0.00125000 173.163
0.00150000 158.597
0.00200000 138.151
0.00275000 118.697
0.00350000 105.894
0.00425000 96.6510
0.00500000 89.5753
0.00625000 80.7511
0.00750000 74.2374
0.0100000 65.0945
0.0125000 58.8552
0.0150000 54.2497
0.0200000 47.7853
0.0253000 43.1518
0.0314750 39.3090
0.0376500 36.4558
0.0500000 32.4294
0.0625000 29.6405
0.0750000 27.5821
0.100000 24.6934
0.125000 22.7225
0.150000 21.2682
0.200000 19.2274
0.275000 17.2870
0.350000 16.0110
0.500000 14.3865
0.750000 12.8628
1.00000 11.9569
1.50000 10.8868
2.00000 10.2527
2.75000 9.65442
3.50000 9.26524
5.00000 8.77950
7.50000 8.34667
10.0000 8.11599
15.0000 7.91823
20.0000 7.90751
27.5000 8.12137
35.0000 8.58747
50.0000 10.4796
62.5000 13.6750
75.0000 19.9030
81.2500 25.2152
87.5000 33.2271
93.7500 45.9128
100.000 67.3855
103.641 87.3379
107.283 117.124
110.924 164.104
114.565 243.843
118.206 393.825
120.027 522.842
121.848 722.173
123.668 1050.25
125.489 1634.92
127.309 2779.63
128.220 3759.80
129.130 5180.09
130.565 8374.15
132.000 10539.8
133.435 8491.50
134.870 5364.45
135.888 3817.78
136.905 2785.03
137.923 2095.43
138.941 1623.78
140.976 1050.13
143.011 733.187
145.047 541.560
147.082 417.370
151.153 271.775
155.223 192.883
159.294 145.282
163.364 114.282
167.435 92.9110
175.576 66.0286
183.718 50.2795
191.859 40.1869
200.000 33.2857
218.750 23.6896
237.500 18.3862
256.250 15.0841
275.000 12.8527
312.500 10.0513
350.000 8.37061
387.500 7.24852
425.000 6.44249
500.000 5.35085
625.000 4.27267
750.000 3.60620
1000.00 2.77702
1192.78 2.35115
1289.16 2.17698
1337.36 2.09742
1361.45 2.06015
1373.50 2.04540
1376.51 2.04481
1379.53 2.05141
1381.03 2.06421
1381.79 2.07770
1382.54 2.10238
1383.29 2.15341
1383.67 2.20164
1384.04 2.28348
1384.42 2.43921
1384.61 2.57467
1384.80 2.78740
1384.99 3.14932
1385.17 3.82036
1385.27 4.38653
1385.36 5.23357
1385.46 6.53776
1385.55 8.55202
1385.68 12.4608
1385.80 15.0630
1385.93 12.4618
1386.05 8.55300
1386.20 5.69320
1386.35 4.26009
1386.50 3.50015
1386.65 3.06175
1386.80 2.78951
1386.95 2.61009
1387.25 2.39689
1387.55 2.28038
1387.85 2.20995
1388.45 2.13277
1389.05 2.09333
1389.65 2.07039
1390.85 2.04557
1393.25 2.02462
1395.64 2.01468
1400.44 2.00282
1405.24 1.99398
1424.42 1.96398
1462.79 1.90855
1539.54 1.80486
1693.03 1.62082
2000.00 1.33518
2138.47 1.24209
2207.71 1.20484
2242.33 1.18932
2259.64 1.18471
2263.97 1.18585
2268.29 1.19230
2270.46 1.20263
2272.62 1.23239
2273.70 1.27245
2274.24 1.31091
2274.79 1.37782
2275.33 1.50959
2275.60 1.62951
2275.87 1.82559
2276.14 2.18055
2276.27 2.47346
2276.41 2.91009
2276.54 3.59606
2276.68 4.74356
2276.81 6.79733
2276.95 10.6155
2277.07 16.2763
2277.20 20.0491
2277.33 16.2796
2277.45 10.6196
2277.60 6.64071
2277.74 4.57493
2277.88 3.45083
2278.02 2.79454
2278.17 2.37856
2278.31 2.10374
2278.59 1.77286
2278.88 1.59057
2279.16 1.47994
2279.73 1.35841
2280.30 1.29671
2280.87 1.26115
2282.01 1.22376
2284.29 1.19497
2286.57 1.18389
2291.13 1.17467
2295.69 1.17030
2313.94 1.16124
2350.42 1.14935
2423.38 1.13351
2569.31 1.13301
2715.25 1.18353
2788.21 1.23394
2824.69 1.27174
2833.81 1.28698
2838.37 1.29803
2842.93 1.31464
2847.50 1.34503
2849.78 1.37293
2852.06 1.42155
2854.34 1.52113
2855.48 1.61710
2856.62 1.78664
2857.19 1.92531
2857.76 2.13115
2858.33 2.45578
2858.90 3.01151
2859.47 4.08136
2859.75 5.03059
2860.04 6.55133
2860.32 9.19772
2860.61 14.3555
2860.75 18.9418
2860.89 26.0916
2861.03 37.9008
2861.18 57.4154
2861.34 91.2667
2861.50 113.683
2861.66 91.0722
2861.83 57.4522
2861.96 38.3630
2862.10 26.7700
2862.24 19.5387
2862.38 14.9141
2862.65 9.60803
2862.93 6.85633
2863.20 5.26428
2863.48 4.26594
2864.03 3.13596
2864.58 2.54686
2865.13 2.20216
2865.68 1.98351
2866.23 1.83634
2867.33 1.65697
2868.43 1.55627
2870.62 1.45390
2872.82 1.40628
2875.02 1.38101
2879.42 1.35795
2883.82 1.34984
2888.22 1.34778
2897.02 1.35114
2932.21 1.39029
3002.60 1.49988
3143.38 1.81366
3284.16 2.29149
3424.94 3.00871
3565.71 4.09226
3706.49 5.77628
3847.27 8.56871
3917.66 10.7493
3952.85 12.1800
3970.45 13.0200
3979.25 13.4988
3981.45 13.6429
3983.65 13.8365
3984.75 13.9980
3985.30 14.1271
3985.85 14.3333
3986.40 14.7230
3986.67 15.0779
3986.95 15.6760
3987.22 16.8168
3987.36 17.8306
3987.50 19.4431
3987.64 22.2768
3987.77 27.7866
3987.84 32.7280
3987.91 40.4056
3987.98 53.2624
3988.05 74.4994
3988.12 110.924
3988.20 135.254
3988.28 110.980
3988.35 74.5767
3988.42 53.1055
3988.49 40.3469
3988.56 32.6367
3988.63 27.7595
3988.77 22.2894
3988.91 19.5030
3989.04 17.9110
3989.18 16.9225
3989.46 15.8178
3989.73 15.2528
3990.01 14.9297
3990.56 14.6028
3991.11 14.4582
3991.67 14.3906
3992.77 14.3524
3994.98 14.4058
3997.18 14.5094
4006.01 15.0270
4023.66 16.2217
4058.97 19.2044
4129.58 29.4675
4164.88 39.2871
4200.19 56.7696
4235.50 92.0938
4253.15 123.753
4270.80 171.907
4296.95 281.440
4323.10 376.042
4349.25 333.721
4375.40 237.639
4394.18 186.488
4412.96 152.145
4450.53 114.864
4488.09 99.1112
4525.65 93.6196
4600.78 97.9617
4675.90 114.538
4837.95 178.685
5000.00 237.614
5016.00 239.425
5058.51 239.337
5101.03 232.579
5186.05 205.174
5356.10 139.730
5485.18 103.066
5614.25 78.1529
5743.33 61.2465
5872.40 49.4631
6130.55 34.6306
6259.63 29.6678
6324.17 27.3772
6340.30 26.7301
6356.43 25.9457
6364.50 25.4344
6368.54 25.1222
6372.57 24.7563
6376.60 24.3356
6378.62 24.1274
6380.64 23.9842
6382.65 24.1048
6383.66 24.4568
6384.67 25.3053
6385.68 27.3101
6386.18 29.2347
6386.69 32.3733
6387.19 37.7099
6387.69 47.2764
6388.20 65.4630
6388.70 101.308
6389.20 163.951
6389.70 220.807
6390.20 199.960
6390.70 145.916
6391.10 112.776
6391.50 90.6067
6391.91 75.8502
6392.31 65.7447
6393.12 53.3242
6393.92 46.2817
6394.73 41.8787
6395.53 38.9175
6397.15 35.2498
6398.76 33.1006
6400.37 31.7009
6403.59 29.9921
6406.82 28.9820
6410.04 28.3052
6416.49 27.4295
6422.94 26.8586
6429.38 26.4345
6442.28 25.8005
6468.07 24.8863
6493.86 24.1573
6597.02 21.8426
6803.34 18.3548
7215.99 13.4520
7422.31 11.4389
7628.64 9.29685
7731.80 7.95047
7783.38 7.11284
7834.96 6.08584
7886.54 4.76925
7912.33 3.96870
7938.12 3.08519
7963.91 2.25526
7976.81 2.02342
7989.70 2.18483
7996.15 2.56821
8002.60 3.31458
8009.04 4.64414
8015.49 6.92721
8021.94 10.8034
8028.39 17.3844
8034.83 28.5750
8041.28 47.2876
8051.59 98.1494
8056.75 126.601
8061.90 144.231
8072.21 132.957
8082.52 100.222
8093.05 74.8405
8103.57 58.5519
8114.10 47.9761
8124.62 40.7948
8145.68 31.9158
8166.73 26.7585
8187.78 23.4294
8208.83 21.1128
8250.94 18.1004
8293.04 16.2154
8335.14 14.9099
8419.35 13.1812
8587.77 11.2010
8671.97 10.4925
8693.02 10.3100
8714.08 10.0965
8724.60 9.95660
8729.87 9.86739
8735.13 9.75408
8740.39 9.59721
8743.02 9.49029
8745.65 9.35231
8748.29 9.16931
8750.92 8.94432
8752.23 8.87411
8752.89 8.91165
8753.55 9.09885
8754.21 9.68941
