Ni-59(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 4060.09
1.25000E-05 3631.45
1.50000E-05 3315.05
2.00000E-05 2870.91
2.75000E-05 2448.32
3.50000E-05 2170.21
4.25000E-05 1969.43
5.00000E-05 1815.73
6.25000E-05 1624.04
7.50000E-05 1482.53
0.000100000 1283.91
0.000125000 1148.37
0.000150000 1048.31
0.000200000 907.864
0.000275000 774.230
0.000350000 686.282
0.000425000 622.791
0.000500000 574.185
0.000625000 513.568
0.000750000 468.821
0.00100000 406.012
0.00125000 363.149
0.00150000 331.509
0.00200000 287.097
0.00225000 270.678
0.00250000 256.788
0.00275000 244.839
0.00300000 234.416
0.00350000 217.028
0.00400000 203.012
0.00450000 191.402
0.00500000 181.581
0.00550000 173.132
0.00600000 165.762
0.00650000 159.259
0.00700000 153.467
0.00750000 148.264
0.00800000 143.557
0.00850000 139.271
0.00900000 135.348
0.00950000 131.738
0.0100000 128.403
0.0112500 121.061
0.0125000 114.850
0.0150000 104.846
0.0200000 90.8037
0.0250000 81.2212
0.0253000 80.7384
0.0264750 78.9274
0.0276500 77.2330
0.0300000 74.1481
0.0350000 68.6511
0.0376500 66.1927
0.0400000 64.2203
0.0450000 60.5504
0.0500000 57.4460
0.0550000 54.7752
0.0600000 52.4459
0.0650000 50.3908
0.0700000 48.5601
0.0750000 46.9158
0.0800000 45.4283
0.0849990 44.0743
0.0899990 42.8346
0.0949990 41.6941
0.0999990 40.6404
0.100000 40.6402
0.100003 40.6395
0.100006 40.6389
0.100012 40.6377
0.100025 40.6352
0.100049 40.6303
0.100098 40.6204
0.100195 40.6006
0.100391 40.5612
0.100781 40.4826
0.101563 40.3270
0.103125 40.0209
0.106250 39.4292
0.112500 38.3206
0.125000 36.3585
0.150000 33.1987
0.200000 28.7649
0.250000 25.7407
0.275000 24.5487
0.300000 23.5093
0.350000 21.7760
0.400000 20.3795
0.450000 19.2234
0.500000 18.2458
0.550000 17.4052
0.600000 16.6723
0.649990 16.0262
0.699990 15.4508
0.749990 14.9342
0.750000 14.9341
0.750025 14.9338
0.750049 14.9336
0.750098 14.9331
0.750195 14.9322
0.750391 14.9302
