Ni-60(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 121.828
1.25000E-05 109.081
1.50000E-05 99.6721
2.00000E-05 86.4647
2.75000E-05 73.8978
3.50000E-05 65.6272
4.25000E-05 59.6566
5.00000E-05 55.0858
6.25000E-05 49.3853
7.50000E-05 45.1774
0.000100000 39.2708
0.000125000 35.2400
0.000150000 32.2645
0.000200000 28.0880
0.000275000 24.1140
0.000350000 21.4986
0.000425000 19.6105
0.000500000 18.1651
0.000625000 16.3624
0.000750000 15.0318
0.00100000 13.1639
0.00125000 11.8893
0.00150000 10.9484
0.00200000 9.62760
0.00275000 8.37091
0.00350000 7.54384
0.00425000 6.94677
0.00500000 6.48968
0.00625000 5.91962
0.00750000 5.49882
0.0100000 4.90814
0.0125000 4.50504
0.0150000 4.20748
0.0200000 3.78979
0.0253000 3.49038
0.0260719 3.45458
0.0268438 3.42033
0.0283875 3.35608
0.0314750 3.24205
0.0345625 3.14367
0.0376500 3.05765
0.0438250 2.91374
0.0500000 2.79739
0.0625000 2.61710
0.0750000 2.48400
0.100000 2.29716
0.125000 2.16965
0.150000 2.07552
0.200000 1.94338
0.275000 1.81762
0.350000 1.73484
0.500000 1.62931
0.750000 1.53008
1.00000 1.47091
1.50000 1.40069
2.00000 1.35882
2.75000 1.31885
3.50000 1.29244
5.00000 1.25854
7.50000 1.22623
10.0000 1.20659
15.0000 1.18269
20.0000 1.16778
27.5000 1.15270
30.0000 1.14879
35.0000 1.14200
40.0000 1.13625
50.0000 1.12672
60.0000 1.11895
75.0000 1.10921
80.0000 1.10633
100.000 1.09589
150.000 1.07439
200.000 1.05596
275.000 1.03085
300.000 1.02288
350.000 1.00728
400.000 0.992049
500.000 0.962295
600.000 0.933157
700.000 0.904428
750.000 0.890182
800.000 0.875997
999.999 0.819770
1000.00 0.819770
1000.01 0.819768
1000.01 0.819767
1000.02 0.819765
1000.04 0.819760
1000.07 0.819750
1000.14 0.819730
1000.28 0.819691
1000.57 0.819612
1001.13 0.819454
1002.26 0.819138
1004.53 0.818507
1009.05 0.817245
1018.10 0.814722
1036.19 0.809679
1072.37 0.799610
1144.75 0.779533
1217.12 0.759542
1253.31 0.749608
1271.40 0.744770
1280.45 0.742830
1284.97 0.743635
1287.23 0.750203
1288.36 0.772114
1288.93 0.826456
1289.21 0.920827
1289.35 1.02851
1289.49 1.23301
1289.62 1.52824
1289.75 1.72475
1289.87 1.52824
1290.00 1.23295
1290.17 0.996709
1290.35 0.889138
1290.69 0.805497
1291.39 0.762228
1292.77 0.745621
1295.55 0.739841
1301.09 0.736920
1312.19 0.733505
1334.38 0.727326
1378.75 0.715156
1467.50 0.690949
1645.00 0.642930
2000.00 0.548718
2126.45 0.516237
2189.68 0.501776
2205.49 0.499644
2213.39 0.499554
2221.29 0.501086
2229.20 0.506705
2233.15 0.513327
2237.10 0.526242
2241.05 0.554894
2243.03 0.583746
2245.00 0.636256
2245.99 0.680260
2246.98 0.746932
2247.97 0.854850
2248.95 1.04635
2249.45 1.20318
2249.94 1.43596
2250.44 1.80263
2250.93 2.42879
2251.42 3.62875
2251.67 4.68795
2251.92 6.37537
2252.17 9.28754
2252.41 14.8890
2252.54 19.8035
2252.66 27.3476
2252.78 39.4590
2252.91 59.1082
2253.05 94.4375
2253.20 117.790
2253.35 94.1896
2253.50 59.1178
2253.66 34.3398
2253.83 21.5139
2254.00 14.5492
2254.17 10.4853
2254.33 7.91534
2254.50 6.20883
2254.84 4.17147
2255.17 3.04735
2255.51 2.36805
2256.18 1.62242
2256.85 1.24413
2257.52 1.02700
2258.19 0.890655
2258.86 0.799720
2260.20 0.689456
2261.54 0.627688
2262.88 0.589581
2264.22 0.564377
2266.91 0.534022
2269.59 0.516993
2274.95 0.499160
2280.32 0.490077
2285.68 0.484486
2296.41 0.477522
2317.87 0.469016
2339.32 0.462497
2425.15 0.439812
2596.81 0.396975
2940.12 0.315044
3000.00 0.301279
3156.69 0.266105
3313.37 0.232260
3626.75 0.169228
4000.00 0.104135
4250.00 0.0681510
4500.00 0.0396905
4625.00 0.0287366
4750.00 0.0202450
4812.50 0.0169947
4875.00 0.0144496
4937.50 0.0126424
5000.00 0.0116077
5066.30 0.0113951
5132.59 0.0121386
5198.89 0.0138871
5265.19 0.0166944
5331.48 0.0206239
5397.78 0.0257745
5464.07 0.0325581
5497.22 0.0381941
5505.51 0.0412255
5513.80 0.0480507
5517.94 0.0565832
5522.08 0.0793559
5524.16 0.109592
5526.23 0.190412
5527.26 0.294737
5527.78 0.392402
5528.30 0.558290
5528.82 0.873687
5529.08 1.14979
5529.34 1.58588
5529.59 2.32912
5529.85 3.73125
5529.98 4.93648
5530.11 6.75035
5530.24 9.58766
5530.37 14.0519
5530.54 22.4656
5530.70 28.0776
5530.87 22.4676
5531.03 14.0545
5531.15 9.98400
5531.26 7.28258
5531.37 5.45886
5531.49 4.22130
5531.72 2.70939
5531.95 1.87673
5532.18 1.37575
5532.40 1.05296
5532.86 0.677998
5533.32 0.477647
5533.78 0.358507
5534.69 0.230147
5536.53 0.129948
5538.36 0.0924737
5542.02 0.0647564
5545.69 0.0550059
5553.01 0.0484863
5560.34 0.0467908
5589.65 0.0482224
5648.27 0.0564677
5765.52 0.0776145
6000.00 0.135732
6220.69 0.212368
6441.38 0.314288
6882.76 0.614192
7324.14 1.08775
7765.52 1.81389
8000.00 2.34183
8500.00 3.94332
9000.00 6.52644
9500.00 10.7753
10000.0 17.9733
10338.5 25.7050
10677.0 37.2079
11015.5 54.5058
11354.0 80.3381
11785.2 128.838
12000.9 157.827
12108.7 172.070
12162.6 178.822
12189.5 182.068
12203.0 183.671
12209.7 184.540
12211.4 184.825
12213.1 185.264
12214.0 185.686
12214.8 186.637
12215.2 187.755
12215.4 188.754
12215.6 190.384
12215.8 193.321
12216.0 195.904
12216.1 199.425
12216.2 205.599
12216.3 215.138
12216.4 234.557
12216.5 272.560
12216.6 325.590
12216.7 359.932
12216.8 325.651
12216.8 272.644
12216.9 242.744
12217.0 224.200
12217.1 212.910
12217.2 205.734
12217.3 197.651
12217.5 193.714
12217.6 191.275
12217.8 189.843
12218.1 188.166
12218.4 187.306
12218.7 186.816
12219.3 186.327
12220.6 186.036
12221.8 186.017
12224.3 186.180
12226.8 186.416
12236.7 187.481
12256.6 189.632
12296.4 193.721
12375.9 200.848
12535.0 210.063
13076.9 190.540
13347.9 165.042
13483.4 152.043
13551.1 145.754
13585.0 142.711
13593.5 141.985
13602.0 141.326
13606.2 141.082
13608.3 141.024
13610.4 141.068
13612.5 141.351
13613.6 141.700
13614.7 142.354
13615.7 143.700
13616.2 144.921
13616.8 146.889
13617.3 150.307
13617.8 156.882
13618.1 162.733
13618.4 171.396
13618.6 185.075
13618.9 206.823
13619.2 247.672
13619.5 273.776
13619.9 246.348
13620.2 206.766
13620.6 177.830
13620.9 163.342
13621.3 155.277
13621.7 150.678
13622.1 147.705
13622.4 145.775
13623.2 143.405
13623.9 142.074
13624.7 141.243
13626.2 140.277
13627.7 139.719
13629.2 139.342
13632.2 138.825
13638.2 138.107
13644.1 137.512
13668.1 135.366
13716.0 131.284
13912.4 115.930
14108.8 102.696
14501.5 81.8356
14894.3 66.7627
15287.0 55.7124
16072.5 41.0777
16858.0 32.1090
17643.5 26.1686
18429.0 21.9771
20000.0 16.4362
20634.1 14.8219
