Cu-65(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 108.069
1.25000E-05 96.6595
1.50000E-05 88.2376
2.00000E-05 76.4160
2.75000E-05 65.1678
3.50000E-05 57.7651
4.25000E-05 52.4210
5.00000E-05 48.3297
6.25000E-05 43.2274
7.50000E-05 39.4611
0.000100000 34.1743
0.000125000 30.5664
0.000150000 27.9032
0.000200000 24.1649
0.000275000 20.6079
0.000350000 18.2669
0.000425000 16.5770
0.000500000 15.2832
0.000625000 13.6697
0.000750000 12.4787
0.00100000 10.8068
0.00125000 9.66593
0.00150000 8.82375
0.00200000 7.64158
0.00275000 6.51676
0.00350000 5.77648
0.00425000 5.24207
0.00500000 4.83294
0.00625000 4.32271
0.00750000 3.94607
0.0100000 3.41738
0.0125000 3.05659
0.0150000 2.79026
0.0200000 2.41642
0.0253000 2.14845
0.0253000 2.14845
0.0253001 2.14844
0.0253001 2.14844
0.0253002 2.14844
0.0253004 2.14843
0.0253008 2.14841
0.0253015 2.14838
0.0253030 2.14832
0.0253061 2.14819
0.0253121 2.14793
0.0253241 2.14742
0.0253483 2.14640
0.0253965 2.14436
0.0254930 2.14030
0.0256860 2.13224
0.0260719 2.11640
0.0268438 2.08575
0.0283875 2.02824
0.0314750 1.92619
0.0376500 1.76115
0.0500000 1.52822
0.0625000 1.36686
0.0750000 1.24774
0.100000 1.08054
0.125000 0.966433
0.150000 0.882199
0.200000 0.763955
0.275000 0.651438
0.350000 0.577380
0.500000 0.482974
0.750000 0.394214
1.00000 0.341285
1.50000 0.278472
2.00000 0.241003
2.75000 0.205323
3.50000 0.181818
5.00000 0.151817
7.50000 0.123550
10.0000 0.106647
15.0000 0.0865134
20.0000 0.0744446
27.5000 0.0628904
35.0000 0.0552347
50.0000 0.0453994
75.0000 0.0360741
100.000 0.0305297
150.000 0.0245210
175.000 0.0237179
187.500 0.0246117
200.000 0.0283284
207.467 0.0348462
211.201 0.0415902
214.935 0.0540993
218.668 0.0810888
220.535 0.108057
222.402 0.157254
223.335 0.198693
224.269 0.261941
225.202 0.365494
226.135 0.552610
226.602 0.708795
227.069 0.945089
227.536 1.32734
228.002 2.00599
228.236 2.56260
228.469 3.38965
228.702 4.69620
228.936 6.93475
229.169 11.2533
229.286 15.0916
229.402 21.2452
229.519 31.9885
229.636 53.0115
229.694 71.7230
229.752 101.172
229.811 149.698
229.840 185.298
229.869 230.886
229.902 295.365
229.935 368.640
230.000 459.819
230.033 432.599
230.066 367.924
230.131 230.276
230.197 141.464
230.263 91.8240
230.329 63.2627
230.395 45.8317
230.461 34.5712
230.526 26.9344
230.658 17.6071
230.790 12.3688
230.922 9.15198
231.185 5.58263
231.449 3.75463
231.712 2.69755
231.976 2.03186
232.239 1.58624
232.767 1.04526
233.294 0.742100
233.821 0.555397
234.348 0.432356
235.402 0.285437
236.456 0.204427
237.510 0.155087
238.565 0.122832
240.673 0.0846141
242.781 0.0636920
246.998 0.0427098
251.215 0.0328765
255.431 0.0274520
263.865 0.0218911
280.732 0.0175184
297.598 0.0156137
365.066 0.0123506
500.000 0.00934912
750.000 0.00658511
999.999 0.00521324
1000.00 0.00521324
1000.01 0.00521321
1000.01 0.00521319
1000.02 0.00521315
1000.05 0.00521306
1000.09 0.00521289
1000.18 0.00521255
1000.36 0.00521187
1000.71 0.00521051
1001.42 0.00520780
1002.83 0.00520238
1005.65 0.00519162
1011.31 0.00517034
1022.61 0.00512885
1045.23 0.00505002
1090.45 0.00490894
1180.90 0.00470108
1271.34 0.00471996
1316.57 0.00543839
1327.87 0.00623103
1339.18 0.00850201
1344.83 0.0116598
1347.66 0.0148110
1350.48 0.0205550
1353.31 0.0327788
1354.72 0.0448621
1356.14 0.0666812
1357.55 0.112384
1358.26 0.156859
1358.96 0.235537
1359.32 0.300101
1359.67 0.395616
1360.02 0.545924
1360.38 0.802281
1360.73 1.29471
1360.91 1.72950
1361.08 2.41738
1361.26 3.60959
1361.44 5.88369
1361.52 7.88846
1361.61 10.9523
1361.70 15.8591
1361.79 23.7959
1361.89 38.0489
1362.00 47.5605
1362.11 38.0832
1362.21 23.8214
1362.29 16.5991
1362.37 11.8787
1362.45 8.78757
1362.52 6.70788
1362.68 4.22607
1362.84 2.89015
1362.99 2.08961
