Cu-65(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 121.854
1.25000E-05 110.445
1.50000E-05 102.023
2.00000E-05 90.2015
2.75000E-05 78.9533
3.50000E-05 71.5505
4.25000E-05 66.2064
5.00000E-05 62.1152
6.25000E-05 57.0129
7.50000E-05 53.2465
0.000100000 47.9597
0.000125000 44.3519
0.000150000 41.6886
0.000200000 37.9503
0.000275000 34.3933
0.000350000 32.0524
0.000425000 30.3624
0.000500000 29.0686
0.000625000 27.4551
0.000750000 26.2641
0.00100000 24.5923
0.00125000 23.4514
0.00150000 22.6092
0.00200000 21.4270
0.00275000 20.3022
0.00350000 19.5619
0.00425000 19.0275
0.00500000 18.6184
0.00625000 18.1081
0.00750000 17.7315
0.0100000 17.2028
0.0125000 16.8420
0.0150000 16.5756
0.0200000 16.2017
0.0253000 15.9337
0.0253000 15.9337
0.0253001 15.9337
0.0253001 15.9337
0.0253002 15.9337
0.0253004 15.9337
0.0253008 15.9337
0.0253015 15.9336
0.0253030 15.9336
0.0253061 15.9335
0.0253121 15.9332
0.0253241 15.9327
0.0253483 15.9317
0.0253965 15.9296
0.0254930 15.9256
0.0256860 15.9175
0.0260719 15.9017
0.0268438 15.8710
0.0283875 15.8135
0.0314750 15.7114
0.0376500 15.5463
0.0500000 15.3133
0.0625000 15.1518
0.0750000 15.0326
0.100000 14.8653
0.125000 14.7510
0.150000 14.6665
0.200000 14.5479
0.275000 14.4349
0.350000 14.3602
0.500000 14.2647
0.750000 14.1741
1.00000 14.1193
1.50000 14.0528
2.00000 14.0116
2.75000 13.9704
3.50000 13.9414
5.00000 13.9003
7.50000 13.8537
10.0000 13.8185
15.0000 13.7619
20.0000 13.7137
27.5000 13.6483
35.0000 13.5874
50.0000 13.4725
75.0000 13.2919
100.000 13.1190
150.000 12.7826
175.000 12.6080
187.500 12.5116
200.000 12.3979
207.467 12.3101
211.201 12.2543
214.935 12.1838
218.668 12.0872
220.535 12.0223
222.402 11.9403
223.335 11.8912
224.269 11.8366
225.202 11.7797
226.135 11.7339
226.602 11.7286
227.069 11.7551
227.536 11.8537
228.002 12.1270
228.236 12.4079
228.469 12.8847
228.702 13.7318
228.936 15.3444
229.169 18.7687
229.286 22.0088
229.402 27.4291
229.519 37.2931
229.636 57.4042
229.694 75.8283
229.752 105.446
229.811 155.360
229.840 192.635
229.869 241.044
229.902 310.760
229.935 392.071
230.000 504.191
230.033 483.654
230.066 420.469
230.131 276.908
230.197 180.517
230.263 125.171
230.329 92.6032
230.395 72.3203
230.461 58.9663
230.526 49.7440
230.658 38.1991
230.790 31.4958
230.922 27.2461
231.185 22.3247
231.449 19.6539
231.712 18.0230
231.976 16.9416
232.239 16.1812
232.767 15.1951
233.294 14.5921
233.821 14.1894
234.348 13.9032
235.402 13.5256
236.456 13.2884
237.510 13.1258
238.565 13.0071
240.673 12.8443
242.781 12.7365
246.998 12.5984
251.215 12.5094
255.431 12.4438
263.865 12.3465
280.732 12.2072
297.598 12.0955
365.066 11.7262
500.000 11.1016
750.000 10.1220
999.999 9.27915
1000.00 9.27914
1000.01 9.27912
1000.01 9.27910
1000.02 9.27907
1000.05 9.27900
1000.09 9.27886
1000.18 9.27858
1000.36 9.27801
1000.71 9.27689
1001.42 9.27463
1002.83 9.27013
1005.65 9.26114
1011.31 9.24317
1022.61 9.20735
1045.23 9.13611
1090.45 8.99511
1180.90 8.71759
1271.34 8.44159
1316.57 8.29741
1327.87 8.25768
1339.18 8.21257
1344.83 8.18527
1347.66 8.16919
1350.48 8.15046
1353.31 8.12795
1354.72 8.11518
1356.14 8.10250
1357.55 8.09527
1358.26 8.10017
1358.96 8.12312
1359.32 8.14997
1359.67 8.19787
1360.02 8.28596
1360.38 8.45770
1360.73 8.82888
1360.91 9.18220
1361.08 9.77003
1361.26 10.8396
1361.44 12.9793
1361.52 14.9299
1361.61 17.9847
1361.70 23.0053
1361.79 31.3672
1361.89 47.0714
