Zn-67(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 375.714
1.30872E-05 328.424
1.50000E-05 306.769
1.61743E-05 295.423
2.00000E-05 265.670
2.23486E-05 251.323
2.75000E-05 226.564
2.85230E-05 222.464
3.16102E-05 211.322
3.46973E-05 201.702
3.50000E-05 200.828
3.57529E-05 198.702
3.65057E-05 196.642
3.80115E-05 192.708
4.10230E-05 185.500
4.70459E-05 173.220
5.00000E-05 168.025
5.93945E-05 154.165
7.17432E-05 140.271
7.50000E-05 137.191
8.40918E-05 129.563
0.000100000 118.811
0.000108789 113.911
0.000133486 102.835
0.000150000 97.0090
0.000158184 94.4662
0.000179092 88.7809
0.000200000 84.0122
0.000207578 82.4645
0.000232276 77.9571
0.000256973 74.1163
0.000275000 71.6459
0.000306367 67.8792
0.000350000 63.5073
0.000405156 59.0264
0.000500000 53.1340
0.000503945 52.9256
0.000516294 52.2888
0.000528642 51.6745
0.000553340 50.5082
0.000602734 48.3943
0.000750000 43.3837
0.000800313 41.9979
0.000997891 37.6111
0.00100000 37.5714
0.00100611 37.4571
0.00101222 37.3440
0.00102443 37.1206
0.00104887 36.6857
0.00109774 35.8598
0.00119547 34.3627
0.00150000 30.6769
0.00159063 29.7901
0.00178821 28.0962
0.00198578 26.6619
0.00200000 26.5670
0.00204762 26.2562
0.00209524 25.9562
0.00219047 25.3856
0.00238094 24.3491
0.00275000 22.6564
0.00317125 21.0980
0.00350000 20.0827
0.00396156 18.8766
0.00475188 17.2355
0.00500000 16.8024
0.00566625 15.7836
0.00633250 14.9303
0.00750000 13.7190
0.00791313 13.3561
0.00949375 12.1937
0.0100000 11.8810
0.0113275 11.1631
0.0126550 10.5614
0.0150000 9.70074
0.0158163 9.44708
0.0189775 8.62441
0.0200000 8.40104
0.0226500 7.89429
0.0253000 7.46939
0.0320978 6.63139
0.0376500 6.12290
0.0388956 6.02406
0.0416717 5.81992
0.0444478 5.63523
0.0500000 5.31311
0.0524913 5.18548
0.0592892 4.87913
0.0660870 4.62135
0.0750000 4.33802
0.0796826 4.20861
0.0898413 3.96349
0.100000 3.75673
0.106874 3.63389
0.134065 3.24442
0.150000 3.06720
0.161256 2.95818
0.188448 2.73636
0.200000 2.65613
0.242830 2.41042
0.275000 2.26497
0.297213 2.17864
0.350000 2.00752
0.351596 2.00296
0.354995 1.99334
0.358394 1.98386
0.365192 1.96529
0.378787 1.92967
0.405979 1.86388
0.460361 1.75023
0.500000 1.67935
0.569126 1.57395
0.677891 1.44200
0.750000 1.37082
0.895421 1.25439
1.00000 1.18686
1.11295 1.12490
1.33048 1.02861
1.50000 0.968587
1.76554 0.892552
2.00000 0.838417
2.20060 0.799140
2.63566 0.729921
2.75000 0.714512
3.12500 0.670051
3.50000 0.632937
3.50578 0.632412
3.51938 0.631182
3.53297 0.629959
3.56016 0.627534
3.61455 0.622768
3.72331 0.613549
3.94084 0.596269
4.37590 0.565658
5.00000 0.528930
5.24602 0.516286
6.11615 0.477868
6.98627 0.446878
7.50000 0.431175
8.72651 0.399476
10.0000 0.372971
10.4667 0.364499
12.2070 0.337350
13.9472 0.315512
15.0000 0.304216
17.4277 0.282268
20.0000 0.263644
20.9082 0.257935
24.2041 0.240119
27.5000 0.225803
27.8692 0.224373
28.7393 0.221120
29.6094 0.218027
31.3497 0.212271
34.8301 0.202241
35.0000 0.201795
35.4245 0.200699
35.8489 0.199625
36.6978 0.197543
38.3956 0.193627
41.7911 0.186670
50.0000 0.173640
55.7131 0.166964
69.6350 0.156437
75.0000 0.154075
78.8930 0.152857
78.8930 0.152857
78.8931 0.152857
78.8931 0.152857
78.8932 0.152857
78.8933 0.152857
78.8937 0.152857
78.8943 0.152857
78.8956 0.152857
78.8982 0.152856
78.9033 0.152855
78.9136 0.152852
78.9342 0.152847
78.9755 0.152836
79.0579 0.152815
79.2228 0.152772
79.5526 0.152690
80.2122 0.152534
81.5314 0.152255
84.1698 0.151828
89.4465 0.151480
100.000 0.152788
101.300 0.153136
101.300 0.153136
101.301 0.153136
101.301 0.153137
101.302 0.153137
101.304 0.153137
101.307 0.153138
101.314 0.153140
