Zn-70(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 8.91819
1.25000E-05 8.43121
1.50000E-05 8.07173
2.00000E-05 7.56714
2.75000E-05 7.08702
3.50000E-05 6.77105
4.25000E-05 6.54294
5.00000E-05 6.36831
6.25000E-05 6.15053
7.50000E-05 5.98976
0.000100000 5.76410
0.000125000 5.61010
0.000150000 5.49643
0.000200000 5.33686
0.000275000 5.18504
0.000350000 5.08512
0.000425000 5.01298
0.000500000 4.95776
0.000625000 4.88889
0.000750000 4.83805
0.00100000 4.76669
0.00125000 4.71799
0.00150000 4.68204
0.00200000 4.63159
0.00275000 4.58357
0.00350000 4.55198
0.00425000 4.52916
0.00500000 4.51170
0.00625000 4.48992
0.00750000 4.47385
0.0100000 4.45128
0.0125000 4.43588
0.0150000 4.42451
0.0200000 4.40855
0.0253000 4.39711
0.0314750 4.38762
0.0376500 4.38057
0.0500000 4.37062
0.0625000 4.36373
0.0750000 4.35864
0.100000 4.35149
0.125000 4.34661
0.150000 4.34301
0.200000 4.33794
0.275000 4.33310
0.350000 4.32991
0.500000 4.32582
0.750000 4.32192
1.00000 4.31955
1.50000 4.31665
2.00000 4.31484
2.75000 4.31299
3.50000 4.31166
5.00000 4.30973
7.50000 4.30744
10.0000 4.30563
15.0000 4.30261
20.0000 4.29995
27.5000 4.29625
35.0000 4.29273
50.0000 4.28600
75.0000 4.27526
100.000 4.26491
150.000 4.24503
200.000 4.22607
275.000 4.19914
350.000 4.17380
500.000 4.12728
750.000 4.05987
1000.00 4.00234
1500.00 3.90837
2000.00 3.83360
2750.00 3.74379
3500.00 3.67041
5000.00 3.54878
6250.00 3.45780
7500.00 3.36614
8750.00 3.26471
9375.00 3.20600
9687.50 3.17328
10000.0 3.13740
10199.9 3.11234
10399.7 3.08534
10599.6 3.05757
10649.6 3.05208
10699.5 3.05117
10724.5 3.05722
10737.0 3.06535
10749.5 3.08195
10762.0 3.11981
10768.2 3.15853
10774.5 3.22966
10777.6 3.28995
10780.7 3.38173
10783.8 3.53176
10787.0 3.80176
10788.5 4.02780
10790.1 4.36640
10791.6 4.91056
10793.2 5.86724
10794.0 6.64390
10794.8 7.78719
10795.5 9.56860
10796.3 12.5641
10797.1 18.1713
10797.5 22.9997
10797.9 30.4965
10798.3 42.9641
10798.7 65.6249
10798.9 84.8654
10799.1 111.582
10799.3 153.703
10799.4 213.494
10799.7 339.776
10800.0 423.918
10800.3 339.612
10800.6 213.306
10800.9 124.201
10801.2 79.2228
10801.5 54.4224
10801.8 39.7205
10802.1 30.4146
10802.4 24.1960
10803.1 16.7076
10803.7 12.5653
