Ga-71(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 237.880
1.25000E-05 212.766
1.50000E-05 194.228
2.00000E-05 168.206
2.75000E-05 143.447
3.50000E-05 127.152
4.25000E-05 115.389
5.00000E-05 106.383
6.25000E-05 95.1518
7.50000E-05 86.8614
0.000100000 75.2242
0.000125000 67.2825
0.000150000 61.4203
0.000200000 53.1915
0.000275000 45.3619
0.000350000 40.2091
0.000425000 36.4891
0.000500000 33.6413
0.000625000 30.0898
0.000750000 27.4681
0.00100000 23.7881
0.00125000 21.2768
0.00150000 19.4230
0.00200000 16.8208
0.00275000 14.3449
0.00350000 12.7155
0.00425000 11.5392
0.00500000 10.6386
0.00625000 9.51555
0.00750000 8.68653
0.0100000 7.52287
0.0125000 6.72877
0.0150000 6.14259
0.0200000 5.31980
0.0253000 4.73003
0.0314750 4.24090
0.0376500 3.87771
0.0500000 3.36516
0.0625000 3.01012
0.0750000 2.74806
0.100000 2.38026
0.125000 2.12929
0.150000 1.94407
0.200000 1.68413
0.275000 1.43690
0.350000 1.27426
0.500000 1.06711
0.750000 0.872646
1.00000 0.756910
1.50000 0.619951
2.00000 0.538588
2.75000 0.461506
3.50000 0.411060
5.00000 0.347311
7.50000 0.288405
10.0000 0.254192
15.0000 0.215456
20.0000 0.194374
27.5000 0.177656
35.0000 0.170892
50.0000 0.178850
61.3867 0.211939
67.0801 0.248056
72.7734 0.315068
78.4668 0.458298
81.3134 0.600295
84.1601 0.858039
85.5834 1.07454
87.0068 1.40459
88.4301 1.94477
89.8535 2.92192
90.5651 3.73925
91.2768 4.97915
91.9885 6.99351
92.7001 10.5947
93.0560 13.5696
93.4118 18.0253
93.7676 25.1366
94.1235 37.5181
94.4793 61.9994
94.6572 84.3561
94.8351 121.304
95.0131 188.679
95.1020 245.132
95.1910 330.363
95.2799 466.685
95.3689 700.622
95.4579 1135.23
95.5468 1984.75
95.6234 3174.08
95.7000 3965.10
95.7766 3170.13
