Ga-71(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 243.119
1.25000E-05 218.005
1.50000E-05 199.467
2.00000E-05 173.446
2.75000E-05 148.686
3.50000E-05 132.391
4.25000E-05 120.628
5.00000E-05 111.622
6.25000E-05 100.391
7.50000E-05 92.1007
0.000100000 80.4635
0.000125000 72.5218
0.000150000 66.6596
0.000200000 58.4308
0.000275000 50.6012
0.000350000 45.4484
0.000425000 41.7284
0.000500000 38.8806
0.000625000 35.3291
0.000750000 32.7074
0.00100000 29.0274
0.00125000 26.5160
0.00150000 24.6622
0.00200000 22.0601
0.00275000 19.5842
0.00350000 17.9547
0.00425000 16.7784
0.00500000 15.8779
0.00625000 14.7548
0.00750000 13.9257
0.0100000 12.7620
0.0125000 11.9679
0.0150000 11.3817
0.0200000 10.5588
0.0253000 9.96900
0.0314750 9.47979
0.0376500 9.11651
0.0500000 8.60380
0.0625000 8.24860
0.0750000 7.98638
0.100000 7.61824
0.125000 7.36695
0.150000 7.18140
0.200000 6.92080
0.275000 6.67258
0.350000 6.50896
0.500000 6.29984
0.750000 6.10208
1.00000 5.98306
1.50000 5.83951
2.00000 5.75154
2.75000 5.66454
3.50000 5.60415
5.00000 5.52045
7.50000 5.42807
10.0000 5.36011
15.0000 5.25299
20.0000 5.16228
27.5000 5.03848
35.0000 4.92098
50.0000 4.69323
61.3867 4.52900
67.0801 4.45757
72.7734 4.40937
78.4668 4.43137
81.3134 4.51596
84.1601 4.73283
85.5834 4.94684
87.0068 5.30319
88.4301 5.93139
89.8535 7.14242
90.5651 8.19669
91.2768 9.83826
91.9885 12.5718
92.7001 17.5751
93.0560 21.7750
93.4118 28.1351
93.7676 38.3962
94.1235 56.4538
94.4793 92.5386
94.6572 125.735
94.8351 180.884
95.0131 281.977
95.1020 367.003
95.1910 495.714
95.2799 702.144
95.3689 1057.41
95.4579 1719.43
95.5468 3018.13
95.6234 4844.96
95.7000 6077.17
95.7766 4880.16
95.8532 3063.14
95.9180 2033.26
95.9828 1401.30
96.0476 1008.99
96.1124 755.731
96.2420 465.616
96.3716 314.615
96.5011 226.937
96.6307 171.769
96.8899 109.030
97.1491 76.0979
97.4083 56.6938
97.6674 44.2967
97.9266 35.8899
98.4450 25.5267
98.9633 19.6055
99.4817 15.8944
100.000 13.4081
100.781 10.9580
101.563 9.38824
103.125 7.54863
104.688 6.53792
106.250 5.91325
109.375 5.19400
112.500 4.79366
115.625 4.53528
118.750 4.35058
125.000 4.09305
137.500 3.76690
150.000 3.54845
175.000 3.35401
200.000 3.83262
210.448 4.53950
220.895 5.92523
231.343 8.65561
236.566 10.9546
241.790 14.3330
247.014 19.4502
252.238 27.5228
257.461 40.9821
262.685 65.2200
265.297 85.0269
267.909 114.063
270.521 158.655
273.133 231.372
275.744 359.815
278.356 612.707
279.662 837.232
280.968 1189.03
282.274 1762.46
283.580 2708.60
285.140 4433.26
286.700 5649.22
288.260 4603.70
289.820 2939.33
291.132 1985.67
292.444 1391.94
293.755 1018.65
295.067 774.836
297.690 491.433
300.314 341.104
