Ge-76(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 7.77580
1.25000E-05 6.95489
1.50000E-05 6.34892
2.00000E-05 5.49832
2.75000E-05 4.68899
3.50000E-05 4.15634
4.25000E-05 3.77182
5.00000E-05 3.47745
6.25000E-05 3.11032
7.50000E-05 2.83932
0.000100000 2.45893
0.000125000 2.19933
0.000150000 2.00770
0.000200000 1.73872
0.000275000 1.48279
0.000350000 1.31435
0.000425000 1.19275
0.000500000 1.09967
0.000625000 0.983570
0.000750000 0.897873
0.00100000 0.777581
0.00125000 0.695489
0.00150000 0.634892
0.00200000 0.549833
0.00275000 0.468899
0.00350000 0.415634
0.00425000 0.377182
0.00500000 0.347745
0.00625000 0.311033
0.00750000 0.283933
0.0100000 0.245893
0.0125000 0.219933
0.0150000 0.200771
0.0200000 0.173873
0.0253000 0.154592
0.0314750 0.138601
0.0376500 0.126726
0.0500000 0.109968
0.0625000 0.0983581
0.0750000 0.0897885
0.100000 0.0777595
0.125000 0.0695505
0.150000 0.0634909
0.200000 0.0549853
0.275000 0.0468922
0.350000 0.0415661
0.500000 0.0347776
0.750000 0.0283971
1.00000 0.0245938
1.50000 0.0200826
2.00000 0.0173937
2.75000 0.0148355
3.50000 0.0131522
5.00000 0.0110072
7.50000 0.00899189
10.0000 0.00779134
15.0000 0.00636878
20.0000 0.00552224
27.5000 0.00471882
35.0000 0.00419208
50.0000 0.00352542
75.0000 0.00290996
100.000 0.00255616
150.000 0.00217470
200.000 0.00200853
275.000 0.00202415
350.000 0.00247689
387.500 0.00307739
425.000 0.00434804
443.750 0.00555212
462.500 0.00760366
481.250 0.0115165
490.625 0.0149624
500.000 0.0204631
506.346 0.0262935
512.692 0.0352345
519.038 0.0499789
525.384 0.0769251
528.557 0.0996885
531.730 0.134552
534.903 0.191925
538.076 0.296423
539.663 0.384367
541.249 0.518524
542.836 0.738054
544.422 1.13446
545.215 1.46514
546.009 1.96503
546.207 2.13024
546.405 2.31711
546.604 2.52973
546.802 2.77304
547.000 3.05324
547.198 3.37817
547.397 3.75788
547.595 4.20540
547.793 4.73814
547.992 5.37849
548.190 6.15784
548.388 7.11942
548.587 8.32463
548.785 9.86297
548.983 11.8689
549.182 14.5519
549.380 18.2545
549.578 23.5554
549.777 31.5164
549.975 44.2258
550.173 66.2291
550.272 83.7231
550.371 108.766
550.471 146.127
550.570 204.209
550.669 298.417
550.768 452.743
550.884 723.354
551.000 903.206
551.117 721.775
551.233 450.466
551.343 284.672
551.452 188.743
551.562 131.991
551.671 96.6708
551.890 57.6020
552.110 37.9540
552.329 26.8007
552.548 19.9021
552.986 12.1896
553.424 8.21399
553.863 5.90475
554.301 4.44638
554.739 3.46782
555.616 2.27725
556.492 1.60851
557.369 1.19601
558.245 0.923842
559.998 0.598464
561.751 0.418849
563.504 0.309378
565.257 0.237785
568.763 0.152970
572.269 0.106581
575.775 0.0784930
579.281 0.0602148
586.293 0.0386753
593.305 0.0269610
600.317 0.0198980
607.329 0.0153172
621.353 0.00993903
635.377 0.00702570
649.401 0.00527398
663.425 0.00413986
691.473 0.00280942
719.521 0.00208749
775.617 0.00136623
831.712 0.00102580
887.808 0.000834285
1000.00 0.000629412
1250.00 0.000438474
1500.00 0.000349342
2000.00 0.000255319
2695.99 0.000193140
3391.97 0.000175297
3739.96 0.000191037
3913.96 0.000214211
4087.96 0.000261414
4261.95 0.000367890
4348.95 0.000476046
4435.95 0.000675029
4479.45 0.000843667
4522.95 0.00110245
4566.45 0.00152924
4609.94 0.00230878
4631.69 0.00296673
4653.44 0.00397332
4675.19 0.00562730
4696.94 0.00863226
4707.82 0.0111548
4718.69 0.0149931
4729.57 0.0212512
4740.44 0.0324899
4745.88 0.0418151
4751.32 0.0558355
4756.75 0.0783309
4762.19 0.117775
4763.55 0.132323
4764.91 0.149724
4766.27 0.170808
4767.63 0.196645
4768.99 0.228823
4769.67 0.247945
4770.35 0.269522
4771.03 0.294065
4771.71 0.322054
4773.07 0.391448
4774.43 0.485765
4775.79 0.618117
4777.14 0.811755
4778.50 1.11001
4779.86 1.60092
4780.54 1.97175
4781.22 2.47773
4781.90 3.18839
4782.58 4.20950
4783.26 5.70987
4783.94 7.90155
4784.97 12.6405
4786.00 15.7963
4787.03 12.6336
4788.06 7.89485
4788.89 5.32420
4789.72 3.71127
4790.54 2.69140
4791.37 2.02372
4793.03 1.24881
4794.68 0.840797
4796.34 0.602440
4798.00 0.451980
4801.31 0.280645
4804.62 0.190751
4807.93 0.137949
4811.24 0.104337
4814.55 0.0816558
4821.18 0.0538964
4827.80 0.0382128
4834.42 0.0284997
4841.05 0.0220721
4854.29 0.0143645
4867.54 0.0100975
4880.78 0.00749143
4894.03 0.00578456
4920.52 0.00375935
4947.02 0.00265018
4973.51 0.00197803
5000.00 0.00154052
5036.74 0.00114880
5073.48 0.000898427
5146.96 0.000609668
5220.44 0.000457528
5293.92 0.000369771
5440.88 0.000286053
5587.85 0.000268483
5734.81 0.000312173
5808.29 0.000375464
5881.77 0.000502195
5918.51 0.000613089
5955.25 0.000785646
5991.99 0.00107304
6028.73 0.00160181
6047.10 0.00205005
6065.47 0.00273781
6083.84 0.00387147
6102.21 0.00593918
6111.40 0.00768102
6120.58 0.0103400
6129.77 0.0146943
6138.95 0.0225637
6143.54 0.0291335
6148.14 0.0390708
6152.73 0.0551478
6157.32 0.0836765
6161.91 0.141819
6164.21 0.196652
6165.36 0.236793
6165.93 0.261618
6166.51 0.290542
6167.08 0.324580
6167.65 0.364853
6168.23 0.413057
6168.80 0.471398
6169.38 0.542901
6169.95 0.631790
6170.52 0.744103
6171.10 0.888693
6171.67 1.07892
6172.25 1.33561
6172.82 1.69246
6173.39 2.20621
6173.97 2.97663
6174.54 4.18555
6175.12 6.16640
6175.69 9.45984
6176.35 15.1346
6177.00 18.9157
6177.66 15.1305
6178.31 9.45592
6178.78 6.65876
6179.24 4.80667
6179.71 3.57970
6180.18 2.74793
6181.11 1.74386
6182.04 1.19526
6182.98 0.866917
6183.91 0.656142
6185.78 0.412170
6187.64 0.282247
6189.51 0.205151
6191.37 0.155751
6193.24 0.122234
6196.97 0.0810045
6200.70 0.0575867
6204.44 0.0430297
6208.17 0.0333703
6215.63 0.0217533
6223.10 0.0153031
6230.56 0.0113550
6238.02 0.00876462
6252.95 0.00568477
6267.88 0.00399388
6282.81 0.00296683
6297.74 0.00229678
6327.60 0.00150452
6357.45 0.00107178
6387.31 0.000809745
6417.17 0.000639062
6476.88 0.000437367
6536.59 0.000327008
6656.02 0.000215952
6775.45 0.000163417
6894.88 0.000134106
7133.73 0.000103651
7611.44 7.97876E-05
8089.16 7.05321E-05
9044.58 6.50611E-05
10000.0 6.83057E-05
11041.9 8.26562E-05
11562.8 9.74591E-05
12083.7 0.000122878
12604.6 0.000171373
12865.1 0.000214626
13125.6 0.000286069
13386.0 0.000421719
13516.3 0.000545003
13646.5 0.000754833
13776.7 0.00117190
13841.8 0.00156636
13906.9 0.00225760
13972.1 0.00366448
14004.6 0.00500432
14037.2 0.00733700
14053.5 0.00921835
14061.6 0.0104567
14069.7 0.0119733
14077.9 0.0138578
14086.0 0.0162397
14090.1 0.0176734
14094.2 0.0193096
14098.2 0.0211880
14102.3 0.0233586
14110.4 0.0288475
14118.6 0.0365392
14126.7 0.0477652
14134.9 0.0650026
14143.0 0.0932278
14147.1 0.114458
14151.1 0.143364
14155.2 0.183724
14159.3 0.241489
14163.3 0.325694
14167.4 0.447685
14173.7 0.717128
14180.0 0.896909
14186.3 0.716317
14192.6 0.446921
14199.6 0.261218
14206.6 0.163881
14213.6 0.110375
14220.6 0.0788227
14227.6 0.0588823
14234.6 0.0456094
14248.6 0.0296582
14262.6 0.0208651
14276.5 0.0155328
14304.5 0.00969571
14332.5 0.00676173
14360.5 0.00510010
14416.4 0.00343245
14472.4 0.00272093
14528.3 0.00243748
14640.3 0.00256905
14752.2 0.00358359
14808.1 0.00466309
14836.1 0.00546428
14850.1 0.00595979
14864.1 0.00653535
14878.1 0.00720909
14892.1 0.00800291
14899.1 0.00845392
14906.1 0.00894582
14913.1 0.00948510
14920.0 0.0100761
14927.0 0.0107275
14934.0 0.0114452
14948.0 0.0131228
14962.0 0.0152060
14976.0 0.0178296
14990.0 0.0211953
15004.0 0.0255945
15018.0 0.0314713
15032.0 0.0395155
15045.9 0.0508198
15059.9 0.0671257
15073.9 0.0911174
15087.9 0.126293
15109.0 0.201855
15130.0 0.251903
15140.5 0.236816
15151.1 0.201115
15172.1 0.125567
15191.0 0.0810869
15209.8 0.0546655
15228.7 0.0386989
15247.5 0.0285977
15285.3 0.0172628
15323.0 0.0114819
15360.7 0.00817186
15398.4 0.00611048
15473.9 0.00379150
15549.3 0.00258803
15624.7 0.00188519
15700.2 0.00143934
15775.6 0.00113892
15926.5 0.000771560
16077.3 0.000564027
16228.2 0.000435516
16379.1 0.000350610
16680.8 0.000249546
16982.6 0.000195004
17586.1 0.000145165
18189.5 0.000131390
18793.0 0.000139493
19396.5 0.000174790
19698.3 0.000212466
20000.0 0.000281556
20262.4 0.000404221
20393.5 0.000518800
20524.7 0.000717911
20655.9 0.00112112
20721.5 0.00150537
20787.1 0.00217773
20852.6 0.00352896
20885.4 0.00479034
20901.8 0.00570798
20918.2 0.00692963
20926.4 0.00769893
20934.6 0.00860763
20942.8 0.00969132
20951.0 0.0109976
20959.2 0.0125911
20967.4 0.0145616
20975.6 0.0170360
20983.8 0.0201938
20992.0 0.0243162
21000.2 0.0298191
21008.4 0.0373665
21016.6 0.0480318
21024.8 0.0636862
21033.0 0.0875340
21041.2 0.125122
21049.4 0.184709
21059.7 0.295611
21070.0 0.369498
21080.3 0.295243
21090.6 0.184361
21102.6 0.105374
21114.5 0.0650868
21126.5 0.0434082
21138.5 0.0307975
21150.4 0.0229117
21162.4 0.0176975
21186.3 0.0114791
21210.3 0.00807570
21234.2 0.00602203
21282.0 0.00378556
21329.9 0.00266765
21377.7 0.00203829
21473.5 0.00141350
21569.2 0.00115547
21664.9 0.00106323
21856.3 0.00115784
22047.7 0.00162142
22143.4 0.00209390
22191.3 0.00243845
22215.2 0.00264950
22239.2 0.00289297
22263.1 0.00317571
22287.0 0.00350605
22299.0 0.00369242
22310.9 0.00389480
22322.9 0.00411540
22334.9 0.00435598
22346.8 0.00461939
22358.8 0.00490802
22382.7 0.00557549
22406.7 0.00639154
22430.6 0.00740125
22454.5 0.00866898
22478.4 0.0102845
22502.4 0.0123776
22526.3 0.0151367
22550.2 0.0188427
22574.2 0.0238994
22598.1 0.0308651
22622.0 0.0403833
22666.0 0.0646434
22710.0 0.0807310
22732.0 0.0758371
22754.0 0.0643146
22798.0 0.0400630
22848.2 0.0230958
22898.4 0.0143540
22948.5 0.00961820
22998.7 0.00684603
23048.9 0.00510693
23099.0 0.00395288
23199.4 0.00257273
23299.7 0.00181451
23400.1 0.00135557
23600.8 0.000853518
23801.4 0.000600901
24002.1 0.000457484
24403.5 0.000312806
24804.9 0.000250453
25206.3 0.000225079
26009.0 0.000234565
26811.8 0.000318163
27213.1 0.000406067
27614.5 0.000555395
27815.2 0.000669883
28015.9 0.000828250
28116.2 0.000930870
28166.4 0.000989788
28216.6 0.00105467
28266.7 0.00112630
28316.9 0.00120563
28367.1 0.00129374
28417.3 0.00139193
28467.4 0.00150174
28517.6 0.00162492
28567.8 0.00176365
28617.9 0.00192049
28718.3 0.00230148
28818.6 0.00280070
28919.0 0.00346590
29019.3 0.00436494
29119.7 0.00558946
29220.0 0.00724211
29315.0 0.00924602
29410.0 0.0115211
29600.0 0.0142750
29695.0 0.0133744
29790.0 0.0113291
29980.0 0.00705577
30000.0 0.00669303
30000.0 0.0261717
35000.0 0.0236155
40000.0 0.0216742
50000.0 0.0189074
60000.0 0.0171138
72000.0 0.0155279
85000.0 0.0142194
100000 0.0130376
125000 0.0115552
150000 0.0104618
170000 0.00974794
200000 0.00890169
250000 0.00789803
300000 0.00717097
350000 0.00666317
400000 0.00626361
450000 0.00598044
550000 0.00558552
570379 0.00552859
570400 0.00552853
570400 0.00552956
600000 0.00440888
700000 0.00297878
800000 0.00258542
900000 0.00242376
1.00000E+06 0.00235786
1.12313E+06 0.00219739
1.20000E+06 0.00209720
1.40000E+06 0.00195071
1.42883E+06 0.00192543
1.42884E+06 0.00192543
1.55995E+06 0.00181046
1.55995E+06 0.00181045
1.60000E+06 0.00177534
1.80000E+06 0.00172320
1.93649E+06 0.00174515
1.93649E+06 0.00174515
2.00000E+06 0.00175536
2.04674E+06 0.00176901
2.18464E+06 0.00180928
2.18465E+06 0.00180928
2.20000E+06 0.00181376
2.23419E+06 0.00181062
2.23420E+06 0.00181062
2.31455E+06 0.00180323
2.40000E+06 0.00179537
2.48863E+06 0.00176420
2.48863E+06 0.00176420
2.51112E+06 0.00175629
2.51113E+06 0.00175629
2.53686E+06 0.00174724
2.53686E+06 0.00174724
2.58793E+06 0.00172928
2.58793E+06 0.00172927
2.60000E+06 0.00172503
2.62552E+06 0.00170003
2.62553E+06 0.00170002
2.65886E+06 0.00166736
2.65886E+06 0.00166736
2.68977E+06 0.00163708
2.72817E+06 0.00159946
2.72817E+06 0.00159945
2.76972E+06 0.00155875
2.78431E+06 0.00154445
