Ge-76(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 16.1367
1.25000E-05 15.3158
1.50000E-05 14.7099
2.00000E-05 13.8593
2.75000E-05 13.0499
3.50000E-05 12.5173
4.25000E-05 12.1328
5.00000E-05 11.8384
6.25000E-05 11.4713
7.50000E-05 11.2003
0.000100000 10.8199
0.000125000 10.5603
0.000150000 10.3686
0.000200000 10.0997
0.000275000 9.84372
0.000350000 9.67528
0.000425000 9.55368
0.000500000 9.46059
0.000625000 9.34450
0.000750000 9.25880
0.00100000 9.13851
0.00125000 9.05642
0.00150000 8.99582
0.00200000 8.91076
0.00275000 8.82982
0.00350000 8.77656
0.00425000 8.73810
0.00500000 8.70867
0.00625000 8.67195
0.00750000 8.64485
0.0100000 8.60681
0.0125000 8.58084
0.0150000 8.56168
0.0200000 8.53477
0.0253000 8.51548
0.0314750 8.49948
0.0376500 8.48760
0.0500000 8.47082
0.0625000 8.45919
0.0750000 8.45060
0.100000 8.43854
0.125000 8.43029
0.150000 8.42419
0.200000 8.41561
0.275000 8.40740
0.350000 8.40196
0.500000 8.39495
0.750000 8.38819
1.00000 8.38400
1.50000 8.37873
2.00000 8.37528
2.75000 8.37158
3.50000 8.36876
5.00000 8.36433
7.50000 8.35851
10.0000 8.35351
15.0000 8.34447
20.0000 8.33601
27.5000 8.32376
35.0000 8.31178
50.0000 8.28815
75.0000 8.24903
100.000 8.20978
150.000 8.12984
200.000 8.04632
275.000 7.90779
350.000 7.73425
387.500 7.61816
425.000 7.45894
443.750 7.34918
462.500 7.20275
481.250 6.99126
490.625 6.84315
500.000 6.64732
506.346 6.47361
512.692 6.24926
519.038 5.94750
525.384 5.51920
528.557 5.23004
531.730 4.86534
534.903 4.39359
538.076 3.76854
539.663 3.38125
541.249 2.93981
542.836 2.46235
544.422 2.04383
545.215 1.95600
546.009 2.10203
546.207 2.20451
546.405 2.34642
546.604 2.53743
546.802 2.78985
547.000 3.11953
547.198 3.54709
547.397 4.09960
547.595 4.81316
547.793 5.73693
547.992 6.93669
548.190 8.50577
548.388 10.5763
548.587 13.3401
548.785 17.0838
548.983 22.2476
549.182 29.5326
549.380 40.1104
549.578 56.0085
549.777 81.0253
549.975 122.806
550.173 198.383
550.272 260.341
550.371 350.962
550.471 489.127
550.570 708.776
550.669 1073.63
550.768 1687.68
550.884 2809.38
551.000 3652.87
551.117 3038.63
551.233 1973.02
551.343 1293.52
551.452 889.308
551.562 644.578
551.671 489.057
551.890 312.308
552.110 220.143
552.329 166.016
552.548 131.436
552.986 91.0597
553.424 68.9904
553.863 55.4476
554.301 46.4397
554.739 40.0908
555.616 31.8403
556.492 26.7882
557.369 23.4146
558.245 21.0191
559.998 17.8676
561.751 15.9022
563.504 14.5668
565.257 13.6034
568.763 12.3103
572.269 11.4844
575.775 10.9122
579.281 10.4924
586.293 9.91761
593.305 9.54193
600.317 9.27647
607.329 9.07834
621.353 8.80076
635.377 8.61376
649.401 8.47763
663.425 8.37293
691.473 8.21953
719.521 8.10939
775.617 7.95370
831.712 7.84126
887.808 7.75083
1000.00 7.60432
1250.00 7.35139
1500.00 7.14421
2000.00 6.79649
2695.99 6.39326
3391.97 6.02880
3739.96 5.83674
3913.96 5.72810
4087.96 5.60044
4261.95 5.43334
4348.95 5.32009
4435.95 5.16767
4479.45 5.06666
4522.95 4.93863
4566.45 4.76830
4609.94 4.52638
4631.69 4.36110
4653.44 4.14867
4675.19 3.86452
4696.94 3.46396
4707.82 3.19517
4718.69 2.85795
4729.57 2.42459
4740.44 1.85505
4745.88 1.50440
4751.32 1.10620
4756.75 0.674500
4762.19 0.281865
4763.55 0.214124
4764.91 0.173068
4766.27 0.171811
4767.63 0.229768
4768.99 0.376178
4769.67 0.495675
4770.35 0.655445
4771.03 0.865582
4771.71 1.13766
4773.07 1.93609
4774.43 3.24184
4775.79 5.38579
4777.14 8.98269
4778.50 15.2420
4779.86 26.7552
4780.54 36.1235
4781.22 49.5657
4781.90 69.4091
4782.58 99.3854
4783.26 145.780
4783.94 217.515
4784.97 388.147
4786.00 538.098
4787.03 475.060
4788.06 326.223
4788.89 236.609
4789.72 176.937
4790.54 137.334
4791.37 110.283
4793.03 77.1501
4794.68 58.4585
4796.34 46.8338
4798.00 39.0588
4801.31 29.5116
4804.62 23.9879
4807.93 20.4436
4811.24 17.9976
4814.55 16.2191
4821.18 13.8202
4827.80 12.2871
4834.42 11.2276
4841.05 10.4536
4854.29 9.40085
4867.54 8.71954
4880.78 8.24280
4894.03 7.89041
4920.52 7.40350
4947.02 7.08185
4973.51 6.85232
5000.00 6.67937
5036.74 6.49841
5073.48 6.36130
5146.96 6.16347
5220.44 6.02296
5293.92 5.91373
5440.88 5.74281
5587.85 5.59727
5734.81 5.44602
5808.29 5.35572
5881.77 5.24194
5918.51 5.16933
5955.25 5.07908
5991.99 4.96073
6028.73 4.79393
6047.10 4.68002
6065.47 4.53310
6083.84 4.33498
