As-75(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 226.261
1.25000E-05 202.374
1.50000E-05 184.741
2.00000E-05 159.991
2.75000E-05 136.440
3.50000E-05 120.942
4.25000E-05 109.753
5.00000E-05 101.187
6.25000E-05 90.5043
7.50000E-05 82.6188
0.000100000 71.5500
0.000125000 63.9963
0.000150000 58.4204
0.000200000 50.5936
0.000275000 43.1464
0.000350000 38.2452
0.000425000 34.7070
0.000500000 31.9983
0.000625000 28.6202
0.000750000 26.1266
0.00100000 22.6264
0.00125000 20.2377
0.00150000 18.4745
0.00200000 15.9995
0.00275000 13.6446
0.00350000 12.0948
0.00425000 10.9759
0.00500000 10.1194
0.00625000 9.05126
0.00750000 8.26278
0.0100000 7.15604
0.0125000 6.40079
0.0150000 5.84331
0.0200000 5.06083
0.0253000 4.49997
0.0314750 4.03484
0.0376500 3.68949
0.0500000 3.20216
0.0625000 2.86462
0.0750000 2.61551
0.100000 2.26594
0.125000 2.02746
0.150000 1.85149
0.200000 1.60463
0.275000 1.36996
0.350000 1.21569
0.500000 1.01941
0.750000 0.835506
1.00000 0.726351
1.50000 0.597723
2.00000 0.521819
2.75000 0.450587
3.50000 0.404614
5.00000 0.347975
7.50000 0.299035
10.0000 0.274639
15.0000 0.259485
20.0000 0.273755
26.7136 0.350241
30.0704 0.436799
33.4272 0.599200
36.7840 0.948074
38.4624 1.29391
40.1408 1.91991
40.9800 2.44377
41.8192 3.23910
42.6584 4.53321
43.4976 6.85390
43.9172 8.77808
44.3368 11.6720
44.7564 16.3184
45.1760 24.4842
45.3858 31.1149
45.5956 40.8814
45.8054 56.1163
46.0152 81.7862
46.1201 101.765
46.2250 130.008
46.3299 171.702
46.4348 236.724
46.5397 345.564
46.5922 429.210
46.6446 545.374
46.6971 711.649
46.7495 957.179
46.8020 1329.11
46.8544 1893.07
46.9272 3026.40
47.0000 3779.48
47.0728 3020.81
47.1456 1886.51
47.1902 1393.44
47.2348 1046.95
47.3240 632.806
47.4132 415.644
47.5024 291.327
47.5916 214.559
47.6808 164.182
47.8592 104.619
48.0376 72.2606
48.2160 52.8133
48.5728 31.6629
48.9296 21.0441
49.2864 14.9800
49.6432 11.1985
50.0000 8.68460
50.6604 5.82452
51.3207 4.17614
