As-75(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 231.691
1.25000E-05 207.804
1.50000E-05 190.172
2.00000E-05 165.421
2.75000E-05 141.871
3.50000E-05 126.372
4.25000E-05 115.183
5.00000E-05 106.617
6.25000E-05 95.9347
7.50000E-05 88.0492
0.000100000 76.9804
0.000125000 69.4267
0.000150000 63.8508
0.000200000 56.0239
0.000275000 48.5768
0.000350000 43.6756
0.000425000 40.1374
0.000500000 37.4287
0.000625000 34.0506
0.000750000 31.5570
0.00100000 28.0568
0.00125000 25.6681
0.00150000 23.9049
0.00200000 21.4299
0.00275000 19.0749
0.00350000 17.5251
0.00425000 16.4063
0.00500000 15.5497
0.00625000 14.4815
0.00750000 13.6930
0.0100000 12.5863
0.0125000 11.8310
0.0150000 11.2735
0.0200000 10.4909
0.0253000 9.92997
0.0314750 9.46475
0.0376500 9.11931
0.0500000 8.63179
0.0625000 8.29407
0.0750000 8.04477
0.100000 7.69482
0.125000 7.45598
0.150000 7.27963
0.200000 7.03202
0.275000 6.79623
0.350000 6.64084
0.500000 6.44232
0.750000 6.25466
1.00000 6.14174
1.50000 6.00555
2.00000 5.92203
2.75000 5.83928
3.50000 5.78167
5.00000 5.70137
7.50000 5.61170
10.0000 5.54465
15.0000 5.43657
20.0000 5.34311
26.7136 5.23322
30.0704 5.19374
33.4272 5.18849
36.7840 5.29235
38.4624 5.46278
40.1408 5.85117
40.9800 6.22121
41.8192 6.82976
42.6584 7.89483
43.4976 9.93749
43.9172 11.7082
44.3368 14.4525
44.7564 18.9893
45.1760 27.1920
45.3858 33.9850
45.5956 44.1277
45.8054 60.1645
46.0152 87.5500
46.1201 109.067
46.2250 139.688
46.3299 185.193
46.4348 256.636
46.5397 377.041
46.5922 470.033
46.6446 599.634
46.6971 785.826
46.7495 1061.83
46.8020 1481.69
46.8544 2121.39
46.9272 3417.67
47.0000 4303.54
47.0728 3470.09
47.1456 2187.39
47.1902 1625.36
47.2348 1228.74
47.3240 752.301
47.4132 500.885
47.5024 356.113
47.5916 266.211
47.6808 206.893
47.8592 136.229
48.0376 97.4337
48.2160 73.8770
48.5728 47.8900
48.9296 34.5784
49.2864 26.8253
49.6432 21.8959
50.0000 18.5555
50.6604 14.6561
51.3207 12.3293
51.9811 10.8181
52.6414 9.77425
53.9621 8.45031
55.2828 7.66116
56.6035 7.14434
57.9242 6.78206
60.5656 6.30894
63.2070 6.01171
65.8484 5.80415
71.1312 5.52147
76.4139 5.32174
79.0553 5.23749
81.6967 5.16244
84.3381 5.10792
85.6588 5.10376
86.9795 5.14583
87.6399 5.20619
88.3002 5.32201
88.9606 5.54693
89.6209 6.01113
89.9511 6.42947
90.2813 7.09202
90.6114 8.20636
90.9416 10.2458
91.2718 14.4782
91.4369 18.4750
91.6020 25.2436
91.7671 37.9091
91.8496 48.7322
91.9321 65.3292
92.0147 92.3473
92.0972 139.693
92.1385 177.201
92.1798 230.026
92.2210 305.498
92.2623 412.797
92.3312 667.531
92.4000 845.742
92.4689 687.579
92.5377 437.880
92.5960 294.647
92.6543 206.171
92.7126 150.954
92.7709 115.121
92.8875 73.7956
93.0041 52.0826
93.1207 39.3612
93.2373 31.2854
93.4705 21.9883
93.7037 17.0241
93.9369 14.0502
94.1701 12.1193
94.4033 10.7889
94.8697 9.11224
95.3361 8.12457
95.8025 7.48689
96.2689 7.04704
97.2016 6.48760
98.1344 6.15096
99.0672 5.92747
100.000 5.76827
101.563 5.58319
103.125 5.45590
106.250 5.28673
109.375 5.17334
112.500 5.08724
118.750 4.95536
125.000 4.85017
150.000 4.51671
175.000 4.21510
200.000 3.89418
213.136 3.70302
226.271 3.48168
232.839 3.35354
236.123 3.28458
239.407 3.21504
242.690 3.15780
244.332 3.14942
245.974 3.18522
246.795 3.24154
247.616 3.35253
248.437 3.57162
249.258 4.02868
249.669 4.44307
250.079 5.10198
250.490 6.21471
250.900 8.26066
251.311 12.5368
251.516 16.6048
251.721 23.5443
251.926 36.6872
252.029 48.0502
252.132 65.6893
252.234 94.8947
252.337 147.374
252.388 189.985
252.439 251.366
252.491 341.464
252.542 473.368
252.621 765.796
252.700 969.437
252.779 787.030
252.858 499.947
252.922 341.125
252.986 240.990
253.050 177.231
253.113 135.342
253.241 86.3240
253.369 60.2611
253.496 44.8611
253.624 35.0451
253.879 23.6928
254.135 17.6132
254.390 13.9667
254.645 11.5983
254.901 9.96682
255.411 7.91226
255.922 6.70350
256.432 5.92395
256.943 5.38663
257.964 4.70310
258.985 4.29062
261.028 3.81659
263.070 3.54477
265.113 3.35971
269.197 3.10103
277.367 2.72739
285.537 2.38698
293.706 2.04562
297.791 1.90332
301.876 1.85963
305.961 2.16559
308.003 2.70652
309.024 3.19950
310.045 3.95501
311.067 5.14087
312.088 7.07324
313.109 10.4012
313.620 12.9929
314.130 16.6206
314.641 21.8705
315.151 29.7965
315.662 42.4411
316.173 64.1682
316.428 81.2767
316.683 105.615
316.939 141.698
317.194 198.031
317.449 291.972
317.704 462.378
317.832 602.026
317.960 804.598
318.087 1104.96
318.215 1548.90
318.408 2519.99
318.600 3203.53
318.793 2608.27
318.985 1660.19
319.212 961.776
319.440 603.246
319.667 409.514
319.894 296.085
320.122 224.810
320.349 177.400
320.803 120.638
321.258 89.6620
321.712 71.4657
322.622 54.4994
323.531 53.9251
323.985 60.5457
324.440 75.1773
324.894 105.415
325.122 131.847
325.349 172.221
325.576 236.763
325.804 345.799
326.031 541.496
326.258 904.318
326.479 1474.65
326.700 1886.91
326.922 1550.95
327.143 998.911
327.393 601.025
327.644 389.571
327.894 272.084
328.144 201.764
328.395 156.717
328.645 126.230
329.146 88.7405
329.646 67.3187
330.147 53.8316
331.148 38.2135
332.150 29.6679
333.151 24.3692
335.153 18.2314
337.156 14.8172
339.159 12.6530
343.164 10.0686
347.169 8.57603
351.174 7.59918
359.185 6.38360
367.195 5.63906
375.205 5.11936
391.226 4.39853
407.247 3.86934
423.268 3.41089
431.278 3.18563
439.288 2.94800
443.294 2.81763
447.299 2.67665
449.301 2.61243
450.303 2.59512
451.304 2.61246
452.305 2.73576
452.806 2.90695
453.307 3.26815
453.807 4.10715
454.058 4.95489
454.308 6.45858
454.558 9.40886
454.683 12.0241
454.808 16.1497
454.871 19.1464
454.934 23.1043
454.996 28.4458
455.059 35.8165
455.121 46.2878
455.184 61.5322
455.247 84.1706
455.309 117.679
455.357 152.328
455.405 192.688
455.500 247.792
455.548 237.059
455.596 205.140
455.691 133.260
455.773 90.6867
455.855 64.2886
455.938 47.7650
456.020 37.0157
456.184 24.5335
456.348 17.9104
456.513 13.9890
456.677 11.4726
457.006 8.53048
457.334 6.92459
457.663 5.94198
458.320 4.83179
458.977 4.23641
459.635 3.87081
460.949 3.44753
462.264 3.20802
463.578 3.05083
466.207 2.84935
468.836 2.71942
471.465 2.63217
472.780 2.61348
474.094 2.66055
474.751 2.77988
475.080 2.91564
475.409 3.17494
475.737 3.72589
475.902 4.24752
476.066 5.12289
476.230 6.72189
476.394 10.0110
476.477 13.0554
476.559 18.0102
476.641 26.5156
476.682 32.9547
476.723 41.4210
476.767 53.1679
476.812 66.8756
476.900 85.6779
476.989 71.2745
477.077 46.9204
477.140 34.6006
477.202 26.2773
477.265 20.6507
477.327 16.7724
477.452 11.9959
477.577 9.31717
477.703 7.67526
477.828 6.59749
478.078 5.31303
478.328 4.60165
478.578 4.16450
479.078 3.67423
479.579 3.41923
480.079 3.27166
481.080 3.12658
483.081 3.09240
485.083 3.26327
487.084 3.73247
488.085 4.20594
489.085 5.04571
490.086 6.74658
490.586 8.34872
491.087 11.1042
491.587 16.4888
491.837 21.3675
492.087 29.3861
492.338 43.9487
492.463 56.1231
492.588 74.4711
492.713 103.832
492.838 154.283
492.963 248.321
493.088 432.917
493.194 686.814
493.300 852.568
493.406 678.795
493.512 422.921
493.613 265.061
493.715 174.764
493.816 121.867
493.918 89.2102
494.019 67.9167
494.120 53.3992
494.323 35.5914
494.526 25.5731
494.729 19.4281
495.134 12.6344
495.540 9.19135
495.945 7.22733
496.756 5.21865
497.567 4.29628
498.378 3.82632
500.000 3.46002
501.994 3.45402
503.989 3.69169
507.978 4.75107
511.966 6.90802
513.961 8.70055
515.955 11.3000
517.949 15.1811
519.944 21.2075
521.938 31.0730
523.933 48.4362
524.930 62.3327
525.927 82.3221
526.924 112.283
527.921 159.578
528.919 239.348
529.916 385.834
530.414 506.981
530.913 684.199
531.412 949.005
531.910 1344.35
532.655 2210.65
533.400 2837.65
534.145 2330.98
534.890 1496.90
535.397 1091.06
535.903 813.017
536.409 623.152
536.916 490.898
537.929 326.657
538.942 233.803
539.954 176.627
540.967 139.004
542.993 94.0811
545.019 69.1827
547.045 53.8593
549.070 43.6978
551.096 36.5733
555.147 27.4078
559.199 21.8765
563.250 18.2316
567.302 15.6712
575.405 12.3354
583.508 10.2608
591.611 8.83390
599.714 7.77467
615.919 6.23735
632.125 5.04615
640.228 4.48033
644.280 4.19144
648.331 3.89957
652.383 3.63182
654.408 3.54543
656.434 3.57021
658.460 3.93635
659.473 4.47342
660.486 5.62718
661.499 8.33912
662.005 11.1005
662.511 16.0308
662.765 20.0183
663.018 25.7948
663.271 34.5237
663.524 48.4328
663.777 72.1682
664.031 116.444
664.157 153.607
664.284 208.706
664.410 292.394
664.537 419.673
664.719 689.859
664.900 887.239
665.082 731.737
665.263 472.118
665.394 338.606
665.526 249.263
665.657 189.558
665.789 148.668
666.051 98.7861
666.314 71.0608
666.577 54.1585
666.840 43.1123
667.365 29.9858
667.891 22.7318
668.416 18.2660
669.467 13.2089
670.518 10.5016
671.569 8.84567
673.671 6.94053
675.773 5.86865
677.875 5.16455
682.079 4.24479
686.283 3.61039
690.487 3.09673
698.896 2.21850
707.304 1.48599
711.508 1.27176
713.610 1.26543
714.661 1.30571
715.712 1.38656
716.763 1.52041
717.814 1.72409
718.865 2.02078
719.916 2.44292
720.967 3.03685
722.018 3.87039
723.069 5.04560
724.120 6.72156
725.171 9.15724
726.222 12.7964
727.273 18.4577
728.324 27.7990
729.375 44.6556
729.901 58.6709
730.426 79.8145
730.952 113.933
731.477 174.160
731.740 222.874
732.003 293.330
732.265 398.030
732.528 554.353
732.914 893.886
733.300 1158.38
733.686 1007.03
734.072 732.040
734.347 604.378
734.622 535.714
735.172 527.427
735.722 666.646
736.272 996.345
736.836 1578.37
737.400 2017.95
737.964 1677.89
738.528 1098.62
739.059 728.023
739.590 506.537
740.121 371.619
740.652 285.273
741.714 186.237
742.776 133.864
743.837 102.686
744.899 82.4931
747.023 58.5120
749.147 45.1205
751.271 36.7466
755.518 27.0370
759.766 21.6775
764.013 18.3186
768.261 16.0279
772.508 14.3684
781.003 12.1225
789.498 10.6633
797.993 9.62673
806.488 8.84038
823.478 7.68714
840.468 6.81745
857.458 6.03831
865.953 5.62245
868.077 5.50840
870.200 5.38932
871.262 5.33156
871.793 5.30715
872.324 5.29260
872.855 5.30656
873.120 5.34157
873.386 5.42280
873.651 5.61380
873.784 5.80185
873.917 6.12222
874.050 6.71131
874.182 7.91585
874.249 9.01745
874.315 10.7820
874.381 13.7432
874.448 18.7828
874.524 27.8848
874.600 34.7454
874.676 29.7779
874.752 21.1419
874.833 15.1427
874.913 11.7780
874.993 9.83180
875.073 8.63264
875.153 7.84793
875.233 7.30750
875.393 6.63051
875.553 6.23478
875.714 5.98060
876.034 5.67773
876.354 5.50375
876.675 5.38914
877.315 5.24072
878.596 5.06124
879.878 4.92908
882.440 4.69160
885.003 4.44399
887.566 4.17044
888.847 4.03173
890.128 3.92158
891.409 3.94552
892.050 4.12086
892.691 4.60595
893.331 5.91478
893.652 7.33422
893.972 9.95443
894.292 15.2729
894.453 20.0831
894.613 27.7714
894.773 40.8829
894.933 65.1082
895.013 85.1940
895.093 114.563
895.173 158.363
895.253 223.544
895.377 372.858
895.500 487.197
895.623 408.478
895.747 268.227
895.874 171.282
896.002 116.199
896.130 84.0314
896.257 64.0812
896.385 50.9703
896.512 41.9182
896.768 30.5639
897.023 23.9516
897.278 19.7371
897.788 14.8110
898.299 12.0998
898.809 10.4164
899.830 8.46545
900.851 7.37370
901.871 6.67004
903.913 5.78897
905.954 5.22358
907.996 4.79860
912.079 4.14611
914.121 3.89418
916.162 3.72345
918.204 3.72928
920.245 4.18054
921.266 4.78786
922.287 5.92823
923.307 8.09522
924.328 12.4240
924.838 16.1901
925.349 21.9364
925.859 31.1007
926.370 46.5962
926.880 74.9809
927.135 98.4492
927.390 133.048
927.646 186.148
927.901 271.399
928.156 414.347
928.411 658.052
928.706 1101.89
929.000 1441.78
929.295 1207.55
929.590 790.098
929.865 523.613
930.140 363.630
930.415 265.999
930.690 203.563
931.240 132.178
931.790 94.6862
932.341 72.5468
932.891 58.3231
933.991 41.6120
935.091 32.4049
936.191 26.7123
937.291 22.9001
938.391 20.1947
940.592 16.6463
942.792 14.4448
944.992 12.9552
947.193 11.8832
951.593 10.4439
955.994 9.51910
960.394 8.87044
964.795 8.38649
973.596 7.70257
982.398 7.23123
1000.00 6.59513
1027.44 5.95633
1054.87 5.47975
1068.59 5.25677
1082.31 5.01455
1089.17 4.86867
1092.60 4.78201
1096.03 4.68022
1097.74 4.62159
1099.46 4.55693
1101.17 4.48712
1102.89 4.41927
1103.74 4.39405
1104.60 4.38743
1105.46 4.42565
1106.32 4.57696
1106.75 4.74821
1107.17 5.05096
1107.60 5.60385
1108.03 6.67389
1108.46 8.97616
1108.67 11.1567
1108.89 14.8026
1109.10 21.4377
1109.21 26.8499
1109.32 34.7612
1109.42 46.7797
1109.53 65.8326
1109.64 97.2788
1109.75 149.928
1109.87 248.343
1110.00 322.392
1110.13 269.500
1110.26 177.376
1110.35 129.339
1110.44 97.2156
1110.53 75.3134
1110.62 60.3632
1110.80 41.8351
1110.99 31.4622
1111.17 25.0386
1111.35 20.8243
1111.72 15.7453
1112.08 12.8950
1112.45 11.1265
1112.81 9.94001
1113.18 9.09862
1113.91 7.99809
1114.64 7.32145
1115.37 6.86677
1116.10 6.54261
1117.56 6.11158
1119.02 5.83782
