Se-78(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 21.6276
1.25000E-05 19.3443
1.50000E-05 17.6589
2.00000E-05 15.2930
2.75000E-05 13.0419
3.50000E-05 11.5604
4.25000E-05 10.4909
5.00000E-05 9.67216
6.25000E-05 8.65104
7.50000E-05 7.89728
0.000100000 6.83925
0.000125000 6.11721
0.000150000 5.58422
0.000200000 4.83608
0.000275000 4.12422
0.000350000 3.65573
0.000425000 3.31752
0.000500000 3.05861
0.000625000 2.73570
0.000750000 2.49734
0.00100000 2.16276
0.00125000 1.93443
0.00150000 1.76589
0.00200000 1.52930
0.00275000 1.30420
0.00350000 1.15605
0.00425000 1.04910
0.00500000 0.967219
0.00625000 0.865107
0.00750000 0.789732
0.0100000 0.683929
0.0125000 0.611726
0.0150000 0.558427
0.0200000 0.483614
0.0253000 0.429986
0.0314750 0.385508
0.0376500 0.352481
0.0500000 0.305870
0.0625000 0.273580
0.0750000 0.249745
0.100000 0.216289
0.125000 0.193458
0.150000 0.176605
0.200000 0.152949
0.275000 0.130441
0.350000 0.115629
0.500000 0.0967508
0.750000 0.0790088
1.00000 0.0684341
1.50000 0.0558934
2.00000 0.0484201
2.75000 0.0413122
3.50000 0.0366368
5.00000 0.0306823
7.50000 0.0250939
10.0000 0.0217697
15.0000 0.0178406
20.0000 0.0155119
27.5000 0.0133152
35.0000 0.0118884
50.0000 0.0101152
75.0000 0.00856133
100.000 0.00777839
150.000 0.00734400
200.000 0.00813750
245.683 0.0107054
268.525 0.0135126
291.367 0.0187777
302.787 0.0232677
314.208 0.0301704
325.629 0.0415631
337.050 0.0623818
342.760 0.0799646
348.471 0.106894
354.181 0.151233
359.891 0.232099
362.747 0.300286
365.602 0.404541
368.457 0.575740
371.312 0.886616
372.740 1.14749
374.167 1.54433
375.595 2.19126
377.023 3.35311
377.380 3.78941
377.736 4.31702
377.915 4.62332
378.093 4.96329
378.272 5.34248
378.450 5.76666
378.629 6.24379
378.807 6.78245
378.986 7.39437
379.164 8.09264
379.343 8.89522
379.521 9.82285
379.699 10.9041
379.878 12.1734
380.235 15.4797
380.592 20.3374
380.949 27.8869
381.127 33.3361
381.305 40.5352
381.484 50.3250
381.662 64.0775
381.841 84.2369
382.019 115.327
382.198 166.612
382.376 258.551
382.465 333.368
382.555 441.281
382.644 600.228
382.733 833.721
382.867 1332.17
383.000 1663.39
383.134 1329.26
383.268 829.678
383.382 546.916
383.496 374.493
383.610 268.031
383.724 199.584
383.952 121.559
384.180 81.1741
384.408 57.8392
384.636 43.2198
385.092 26.6872
385.548 18.0748
386.004 13.0367
386.460 9.84072
386.916 7.68871
387.828 5.06107
388.740 3.58018
389.652 2.66465
390.564 2.05970
392.388 1.33528
394.212 0.934846
396.036 0.690588
397.860 0.530765
401.507 0.341355
405.155 0.237749
408.803 0.175027
412.451 0.134224
419.747 0.0861685
427.043 0.0600600
434.338 0.0443349
441.634 0.0341472
456.226 0.0222038
470.817 0.0157465
485.409 0.0118703
500.000 0.00936429
521.867 0.00699365
543.735 0.00552881
587.469 0.00388680
631.204 0.00303908
674.938 0.00256129
718.673 0.00231469
762.407 0.00234915
784.275 0.00264003
806.142 0.00366264
817.076 0.00517384
822.543 0.00671267
828.009 0.00955719
833.476 0.0157046
836.210 0.0218714
838.943 0.0331751
840.310 0.0427401
841.676 0.0574016
843.043 0.0815398
844.410 0.125490
845.093 0.162450
845.776 0.218751
846.460 0.310703
847.143 0.476141
847.485 0.613637
847.827 0.820710
848.168 1.15354
848.510 1.73854
848.681 2.21376
848.852 2.91288
849.022 4.00276
849.193 5.83392
849.364 9.26187
849.450 12.2102
849.535 16.7839
849.620 24.3804
849.706 38.1593
849.748 49.4848
849.791 66.0114
849.834 90.6792
849.877 127.467
849.938 204.060
850.000 255.031
850.062 203.936
850.124 127.480
850.197 72.0825
850.270 44.1359
850.343 29.2427
850.416 20.6226
850.490 15.2584
850.563 11.7181
850.709 7.50989
850.855 5.20816
851.002 3.81903
851.295 2.30206
851.587 1.53651
851.880 1.09784
852.173 0.823388
852.465 0.640399
853.051 0.419229
853.636 0.295814
854.222 0.219992
854.807 0.170119
855.978 0.110648
857.149 0.0778951
858.320 0.0579562
859.491 0.0449231
861.833 0.0294823
864.175 0.0210305
868.858 0.0125634
873.542 0.00861193
878.225 0.00645055
887.593 0.00428093
906.327 0.00269648
925.062 0.00211583
962.531 0.00166146
1000.00 0.00147158
1087.47 0.00128009
1174.94 0.00122514
1218.67 0.00126026
1262.41 0.00143659
1284.27 0.00171299
1306.14 0.00252835
1317.08 0.00368013
1328.01 0.00697245
1333.48 0.0115667
1336.21 0.0161694
1338.94 0.0245962
1341.68 0.0426524
1343.04 0.0606386
1344.41 0.0933521
1345.09 0.120895
1345.78 0.162795
1346.46 0.231188
1347.14 0.354190
1347.48 0.456528
1347.83 0.610675
1348.17 0.858486
1348.51 1.29264
1348.68 1.64587
1348.85 2.16582
1349.02 2.97587
1349.19 4.32705
1349.36 6.86344
1349.45 9.05922
1349.53 12.4217
1349.62 18.0653
1349.71 28.1513
1349.75 36.5070
1349.79 48.3446
1349.83 66.3068
1349.88 92.2312
1349.94 147.705
1350.00 183.770
1350.06 146.772
1350.13 91.5049
1350.17 66.8231
1350.21 49.7336
1350.29 29.8408
1350.37 19.4254
1350.44 13.5942
1350.52 9.96865
1350.60 7.62950
1350.76 4.86609
1350.92 3.35804
1351.08 2.45394
1351.40 1.47451
1351.71 0.981237
1352.03 0.700287
1352.35 0.524784
1352.67 0.407901
1353.30 0.266649
1353.94 0.187962
1354.57 0.139691
1355.20 0.108006
1356.47 0.0701976
1357.74 0.0494108
1360.28 0.0284992
1362.82 0.0187116
1365.36 0.0133603
1370.44 0.00800407
1380.59 0.00414735
1390.74 0.00278681
1411.05 0.00180652
1431.36 0.00145900
1512.60 0.00111790
1675.06 0.00107412
1837.53 0.00130877
1878.15 0.00151205
1918.77 0.00197161
1939.08 0.00246596
1959.38 0.00346213
1979.69 0.00599265
1989.85 0.00906793
2000.00 0.0162381
2006.70 0.0279370
2010.06 0.0396349
2013.41 0.0610183
2015.08 0.0790820
2016.76 0.106725
2018.44 0.152142
2020.11 0.234533
2020.95 0.303645
2021.79 0.408653
2022.62 0.579488
2023.46 0.885241
2023.88 1.13794
2024.30 1.51649
2024.72 2.12049
2025.14 3.17133
2025.56 5.24526
2025.77 7.14033
2025.98 10.2485
2026.19 15.9183
2026.29 20.6520
2026.40 27.6879
2026.50 38.9561
2026.60 57.8711
2026.71 92.7213
2026.81 158.497
2026.91 253.826
2027.00 316.342
2027.09 252.735
2027.19 157.650
2027.28 98.3398
2027.37 64.8565
2027.46 45.1949
2027.55 33.0121
2027.64 24.9811
2027.73 19.5591
2027.91 12.8714
2028.09 9.06782
2028.27 6.73268
2028.63 4.11884
2028.99 2.77437
2029.35 1.99413
2029.72 1.50185
2030.08 1.17160
2030.80 0.769999
2031.52 0.544472
2032.24 0.405357
2032.96 0.313557
2034.41 0.203773
2035.85 0.143132
2037.30 0.106146
2038.74 0.0819390
2041.63 0.0532279
2044.52 0.0374983
2050.29 0.0217413
2056.07 0.0143960
2061.84 0.0103904
2073.39 0.00639564
2096.50 0.00354543
2119.60 0.00256595
2142.70 0.00213505
2165.80 0.00192646
2212.01 0.00180412
2258.21 0.00192384
2304.42 0.00244019
2327.52 0.00317299
2350.62 0.00523869
2362.17 0.00810311
2367.95 0.0109694
2373.72 0.0162211
2379.50 0.0274959
2382.39 0.0387595
2385.27 0.0593292
2386.72 0.0766921
2388.16 0.103243
2389.61 0.146820
2391.05 0.225825
2391.77 0.291978
2392.49 0.392357
2393.22 0.555367
2393.94 0.846345
2394.30 1.08620
2394.66 1.44457
2395.02 2.01435
2395.38 3.00058
2395.74 4.93133
2395.92 6.68110
2396.10 9.52190
2396.28 14.6355
2396.37 18.8160
2396.46 24.9992
2396.55 34.6112
2396.64 50.4546
2396.73 78.2261
2396.82 128.478
2396.91 205.617
2397.00 257.060
2397.09 205.611
2397.18 128.477
2397.28 73.8900
2397.38 45.7720
2397.48 30.5582
2397.58 21.7304
2397.68 16.1303
2397.78 12.4475
2397.98 8.01283
2398.18 5.57415
2398.38 4.09618
2398.79 2.47555
2399.19 1.65512
2399.59 1.18379
2399.99 0.888473
2400.39 0.691372
2401.20 0.452713
2402.00 0.319585
2402.81 0.237747
2403.61 0.183878
2405.22 0.119591
2406.83 0.0841985
2410.04 0.0485554
2413.26 0.0318707
2416.48 0.0227445
2422.91 0.0136178
2429.35 0.00937507
2435.78 0.00706813
2448.65 0.00478217
2474.38 0.00318912
2500.12 0.00268475
2551.59 0.00246077
2603.06 0.00256511
2706.01 0.00321709
2808.95 0.00457050
2860.42 0.00573141
2911.89 0.00750933
2963.36 0.0104232
3014.83 0.0156898
3040.57 0.0200881
3066.31 0.0267483
3092.04 0.0375409
3117.78 0.0567621
3130.65 0.0725809
3143.51 0.0961873
3149.95 0.112613
3153.16 0.122463
3156.38 0.133673
3159.60 0.146504
3162.82 0.161284
3164.42 0.169534
3166.03 0.178429
3167.64 0.188051
3169.25 0.198468
3172.47 0.222090
3175.68 0.250198
3178.90 0.283998
3182.12 0.325128
3185.33 0.375853
3188.55 0.439380
3191.77 0.520358
3194.99 0.625722
3198.20 0.766158
3201.42 0.958768
3204.64 1.23214
3207.85 1.63649
3211.07 2.26518
3214.29 3.30177
3217.50 5.11958
3219.11 6.52590
3220.72 8.40875
3223.86 13.4446
3227.00 16.7846
3230.14 13.4110
3233.28 8.37642
3235.70 5.74062
3238.11 4.05331
3240.53 2.96787
3242.94 2.24792
3247.78 1.40054
3252.61 0.948619
3257.44 0.682342
3262.27 0.513338
3271.93 0.319803
3281.60 0.217817
3291.26 0.157723
3300.92 0.119415
3310.58 0.0935262
3329.91 0.0618194
3349.24 0.0438974
3368.56 0.0328001
3387.89 0.0254616
3426.54 0.0166763
3465.19 0.0118307
3503.84 0.00889045
3542.49 0.00698668
