Se-82(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 7.22995
1.25000E-05 6.99411
1.50000E-05 6.82002
2.00000E-05 6.57566
2.75000E-05 6.34314
3.50000E-05 6.19012
4.25000E-05 6.07965
5.00000E-05 5.99508
6.25000E-05 5.88961
7.50000E-05 5.81175
0.000100000 5.70247
0.000125000 5.62789
0.000150000 5.57284
0.000200000 5.49556
0.000275000 5.42203
0.000350000 5.37364
0.000425000 5.33871
0.000500000 5.31197
0.000625000 5.27861
0.000750000 5.25399
0.00100000 5.21944
0.00125000 5.19585
0.00150000 5.17844
0.00200000 5.15401
0.00275000 5.13075
0.00350000 5.11545
0.00425000 5.10440
0.00500000 5.09595
0.00625000 5.08540
0.00750000 5.07761
0.0100000 5.06669
0.0125000 5.05923
0.0150000 5.05372
0.0200000 5.04599
0.0253000 5.04045
0.0314750 5.03586
0.0376500 5.03244
0.0500000 5.02763
0.0625000 5.02429
0.0750000 5.02182
0.100000 5.01836
0.125000 5.01600
0.150000 5.01425
0.200000 5.01180
0.275000 5.00946
0.350000 5.00791
0.500000 5.00593
0.750000 5.00405
1.00000 5.00291
1.50000 5.00151
2.00000 5.00064
2.75000 4.99976
3.50000 4.99913
5.00000 4.99822
7.50000 4.99716
10.0000 4.99633
15.0000 4.99495
20.0000 4.99376
27.5000 4.99211
35.0000 4.99055
50.0000 4.98759
75.0000 4.98290
100.000 4.97842
150.000 4.96988
200.000 4.96178
275.000 4.95028
350.000 4.93939
500.000 4.91895
750.000 4.88727
1000.00 4.85696
1500.00 4.79620
2000.00 4.73089
2407.29 4.67139
2814.58 4.60357
3018.22 4.56559
3120.04 4.54539
3221.86 4.52432
3323.69 4.50238
3425.51 4.47983
3476.42 4.46882
3501.87 4.46375
3527.33 4.45954
3552.79 4.45762
3565.51 4.45886
3578.24 4.46377
3584.60 4.46903
3590.97 4.47793
3597.33 4.49360
3603.70 4.52333
3606.88 4.54878
3610.06 4.58780
3613.24 4.65160
3616.42 4.76589
3618.01 4.86014
3619.61 5.00080
3621.20 5.22387
3622.79 5.60813
3624.38 6.35408
3625.17 7.02189
3625.97 8.09939
3626.77 9.99975
3627.56 13.7696
3627.96 17.1791
3628.36 22.6280
3628.75 31.8342
3629.15 47.6380
3629.58 73.5907
3630.00 90.9109
3630.43 73.6285
3630.85 47.6861
3631.19 33.8247
3631.52 25.0660
3631.85 19.4629
3632.19 15.7813
3632.86 11.4713
3633.53 9.18925
3634.19 7.84769
3634.86 6.99923
3636.20 6.02859
3637.54 5.51765
3638.87 5.21659
3640.21 5.02453
3641.55 4.89458
3644.22 4.73500
3646.90 4.64434
3649.57 4.58782
3652.24 4.55012
3657.59 4.50423
3662.94 4.47812
3668.29 4.46158
3673.64 4.45022
3684.33 4.43552
3695.03 4.42612
3716.42 4.41373
3737.82 4.40475
3759.21 4.39709
3801.99 4.38324
3887.57 4.35675
3973.14 4.32973
4058.71 4.30147
4144.28 4.27169
4315.43 4.20671
4657.71 4.04841
5000.00 3.83341
5389.48 3.46450
5584.21 3.19041
5778.95 2.80837
5876.32 2.55469
5973.69 2.23946
6071.06 1.83962
6168.43 1.32461
6217.11 1.01519
6265.79 0.673715
6314.48 0.323234
6338.82 0.166679
6350.99 0.101703
6363.16 0.0515788
6369.25 0.0340948
6375.34 0.0230428
6381.42 0.0197042
6387.51 0.0256069
6393.59 0.0425860
6399.68 0.0728398
6405.76 0.119040
6411.85 0.184398
6417.93 0.272868
6424.02 0.389237
6436.19 0.730879
6448.36 1.27630
6460.53 2.13148
6472.70 3.46971
6484.87 5.58568
6497.05 9.00426
6509.22 14.7135
6521.39 24.6981
6533.56 43.2415
6539.64 58.4198
6545.73 80.1815
6551.82 111.760
6557.90 157.414
6568.95 284.255
6580.00 397.800
6591.05 353.853
6602.10 244.756
6613.45 164.343
6624.80 116.421
6636.14 87.3785
6647.49 68.7980
6658.84 56.2519
6670.19 47.3777
6692.88 35.9014
6715.58 28.9615
6738.28 24.3930
6783.67 18.8441
6829.06 15.6527
6874.45 13.6039
6919.84 12.1864
6965.23 11.1514
7056.02 9.74636
7146.80 8.83965
7237.58 8.20684
7328.36 7.73993
7509.93 7.09552
7691.49 6.66923
7873.06 6.36358
8054.63 6.13130
8417.76 5.79462
8780.89 5.55306
8962.45 5.45287
9144.02 5.36181
9234.80 5.31897
9325.59 5.27768
9416.37 5.23838
9461.76 5.22255
9473.11 5.22168
9484.46 5.22813
9490.13 5.24111
9495.80 5.28051
9498.64 5.33388
9500.06 5.38474
9501.48 5.47206
9502.90 5.64022
9503.61 5.78886
9504.31 6.02584
9505.02 6.43491
9505.73 7.22135
9506.09 7.90849
9506.44 8.96778
9506.80 10.6743
9507.15 13.4363
9507.58 18.3921
9508.00 21.7066
9508.43 18.4171
9508.85 13.4673
9509.33 9.99883
9509.81 8.19195
9510.29 7.20606
9510.77 6.62704
9511.25 6.26161
9511.73 6.01838
9512.69 5.72673
9513.65 5.56561
9514.61 5.46772
9516.53 5.35974
9520.36 5.27232
9524.20 5.23783
9531.87 5.20962
9539.55 5.19717
9554.90 5.18385
9570.24 5.17491
9631.64 5.14677
9754.43 5.09569
9877.21 5.04603
10000.0 4.99703
10275.6 4.88771
10551.3 4.77685
11102.5 4.53856
11653.8 4.25473
12205.0 3.88312
12756.3 3.34214
13031.9 2.95689
13307.5 2.44101
13583.1 1.72066
13720.9 1.25388
13858.8 0.713285
13996.6 0.175360
14031.0 0.0761797
14048.3 0.0398905
14065.5 0.0160550
14082.7 0.00823671
14099.9 0.0210236
14117.2 0.0603131
14125.8 0.0921699
14134.4 0.133655
14151.6 0.251033
14168.8 0.425411
14186.1 0.674007
14203.3 1.01963
14220.5 1.49382
14237.7 2.13864
14255.0 3.01398
14272.2 4.20188
14289.4 5.82236
14306.7 8.04671
14323.9 11.1276
14341.1 15.4379
14358.3 21.5461
14375.6 30.2849
14392.8 42.8801
14410.0 60.9155
14445.0 119.124
14480.0 178.429
14497.5 182.773
14515.0 168.578
14550.0 123.022
14571.3 99.5761
14592.6 81.6497
14635.2 58.1204
14677.7 44.3783
14720.3 35.7670
14762.9 30.0089
14805.5 25.9485
14890.6 20.6846
14975.8 17.4709
15060.9 15.3290
15231.3 12.6774
15401.6 11.1127
15571.9 10.0843
15912.5 8.81600
16253.1 8.06064
16593.8 7.55468
17275.0 6.90475
17956.3 6.48396
18637.5 6.16407
19318.8 5.88365
20000.0 5.59808
20332.9 5.44099
20665.8 5.25955
20998.6 5.03688
21331.5 4.74193
21497.9 4.54928
21664.4 4.30869
21830.8 3.99565
21997.3 3.56645
22080.5 3.28443
22163.7 2.93608
22246.9 2.49602
22330.1 1.92839
22413.4 1.19469
22455.0 0.770377
22496.6 0.357379
22517.4 0.198997
22527.8 0.149331
22538.2 0.131660
22548.6 0.160188
22559.0 0.255174
22564.2 0.336333
22569.4 0.446118
22574.6 0.590437
22579.8 0.776522
22590.2 1.31226
22600.6 2.15201
22611.0 3.45129
22621.4 5.45615
22631.8 8.56320
22642.2 13.4159
22652.6 21.0408
22663.0 32.9528
22672.3 48.5520
22681.5 69.2276
22700.0 109.997
22709.3 115.569
22718.5 109.051
22737.0 82.7765
22751.8 64.5821
22766.5 51.5611
22781.3 42.4489
22796.0 35.9579
22825.6 27.6032
22855.1 22.6209
22884.6 19.3784
22914.1 17.1272
22973.1 14.2361
23032.1 12.4754
23091.2 11.2971
23150.2 10.4550
23209.2 9.82337
23327.3 8.93728
23445.3 8.34240
23563.4 7.91174
23681.4 7.58218
23917.5 7.10057
24153.6 6.75073
24389.8 6.46825
24625.9 6.21826
24862.0 5.97696
25098.1 5.72299
25334.2 5.43035
25570.3 5.05779
25688.3 4.81898
25806.4 4.52363
25924.4 4.14297
26042.5 3.62725
26101.5 3.29267
26160.6 2.88488
26219.6 2.37987
26278.6 1.74936
26337.6 0.982819
26367.1 0.579349
26381.9 0.395498
26396.7 0.246875
26404.0 0.195411
26411.4 0.167042
26418.8 0.170130
26426.2 0.215920
26433.6 0.319657
26440.9 0.502189
26448.3 0.792285
26455.7 1.22934
26463.1 1.87097
26470.4 2.79707
26477.8 4.12315
26485.2 6.01329
26492.6 8.71458
26500.0 12.5732
26507.3 18.0756
26514.7 25.8418
26523.5 39.0780
26532.4 56.9717
26550.0 93.9532
26558.8 100.259
26567.7 95.9281
26585.3 74.5670
26598.6 59.8161
26612.0 48.8594
26625.3 40.9590
26638.7 35.1968
26665.3 27.6060
26692.0 22.9718
26718.7 19.9078
26745.4 17.7555
26798.7 14.9611
26852.1 13.2415
26905.4 12.0836
