Br-79(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 556.642
1.25000E-05 498.221
1.50000E-05 455.096
2.00000E-05 394.563
2.75000E-05 336.966
3.50000E-05 299.060
4.25000E-05 271.695
5.00000E-05 250.745
6.25000E-05 224.618
7.50000E-05 205.333
0.000100000 178.261
0.000125000 159.787
0.000150000 146.150
0.000200000 127.007
0.000275000 108.793
0.000350000 96.8063
0.000425000 88.1527
0.000500000 81.5279
0.000625000 73.2659
0.000750000 67.1671
0.00100000 58.6063
0.00125000 52.7642
0.00150000 48.4517
0.00200000 42.3982
0.00275000 36.6384
0.00350000 32.8477
0.00425000 30.1111
0.00500000 28.0161
0.00625000 25.4033
0.00750000 23.4746
0.0100000 20.7672
0.0125000 18.9196
0.0150000 17.5557
0.0200000 15.6411
0.0253000 14.2686
0.0314750 13.1302
0.0376500 12.2847
0.0500000 11.0914
0.0625000 10.2646
0.0750000 9.65414
0.100000 8.79696
0.125000 8.21170
0.150000 7.77946
0.200000 7.17223
0.275000 6.59361
0.350000 6.21205
0.500000 5.72423
0.750000 5.26293
1.00000 4.98558
1.50000 4.65231
2.00000 4.44983
2.75000 4.25262
3.50000 4.11913
5.00000 3.94252
7.50000 3.76723
10.0000 3.65876
15.0000 3.54339
20.0000 3.55588
23.9100 3.76534
25.8650 4.04947
27.8200 4.64492
28.7975 5.18688
29.7750 6.05395
30.7525 7.53493
31.7300 10.3148
32.2188 12.6922
32.7075 16.3455
33.1963 22.3387
33.6850 33.1047
33.9294 41.9884
34.1738 55.2291
34.4181 76.1484
34.6625 111.896
34.7847 140.037
34.9069 180.186
35.0291 240.089
35.1513 334.707
35.2734 495.734
35.3956 798.163
35.4567 1055.43
35.5178 1443.10
35.5789 2045.40
35.6400 2985.49
35.7200 4798.67
35.8000 6026.32
35.8800 4844.77
35.9600 3044.17
36.0149 2180.34
36.0697 1597.49
36.1245 1204.71
36.1794 934.305
36.2891 603.414
36.3988 419.791
36.5084 308.609
36.6181 236.585
36.8375 152.360
37.0569 106.963
37.2763 79.7522
37.4956 62.1570
37.7150 50.1191
38.1538 35.1449
38.5925 26.5131
39.0313 21.0722
39.4700 17.4137
40.3475 12.9360
41.2250 10.3933
42.1025 8.80964
42.9800 7.76139
44.7350 6.54296
46.4900 6.01476
48.2450 6.10133
49.1225 6.53074
50.0000 7.53116
50.8775 9.90480
51.3163 12.3248
51.7550 16.6869
52.1938 25.5683
52.4131 33.8277
52.6325 47.6415
52.8519 73.1142
52.9616 94.6178
53.0713 127.245
53.1809 179.673
53.2906 270.030
53.3455 340.541
53.4003 438.532
53.4552 576.406
53.5100 769.187
53.6050 1238.70
53.7000 1560.43
53.7950 1259.73
53.8900 795.599
53.9801 507.118
54.0701 339.662
54.1602 240.333
54.2502 178.294
54.4304 109.419
54.6105 74.5457
54.7906 54.6102
54.9707 42.1781
55.3309 28.1237
55.6912 20.7594
56.0514 16.4072
56.4117 13.6106
56.7719 11.6995
57.4924 9.31202
58.2128 7.91764
58.9333 7.02185
59.6538 6.40541
61.0947 5.62121
62.5356 5.14724
65.4175 4.60295
68.2994 4.29547
71.1813 4.09372
76.9450 3.83615
82.7088 3.67009
88.4725 3.54762
100.000 3.36484
114.437 3.18518
128.873 3.02004
143.310 2.84619
150.528 2.75126
154.137 2.71245
155.039 2.71459
155.942 2.74621
156.393 2.80054
156.618 2.85553
156.844 2.95245
157.069 3.14145
157.182 3.30860
157.295 3.57292
157.408 4.02232
157.521 4.86052
157.577 5.56681
157.633 6.62035
157.690 8.23475
157.746 10.7088
157.823 15.6684
157.900 19.0802
157.977 15.9322
158.054 11.0369
158.115 8.37689
158.176 6.68539
158.237 5.60362
158.298 4.88855
158.421 4.04883
158.543 3.60035
158.665 3.33437
158.787 3.16419
159.031 2.96602
159.276 2.85836
159.520 2.79242
160.009 2.71680
160.986 2.64591
161.963 2.60751
165.872 2.51109
169.781 2.42504
173.690 2.33414
177.598 2.24363
179.553 2.21078
181.507 2.21418
183.462 2.33992
184.439 2.53714
185.416 2.98029
185.905 3.39830
186.393 4.07923
186.882 5.25494
187.371 7.46358
187.615 9.33745
187.859 12.1793
188.104 16.7376
188.226 20.1043
188.348 24.6233
188.470 30.8729
188.592 39.8028
188.714 53.1388
188.836 74.1174
188.959 109.535
189.020 136.865
189.081 174.807
189.142 229.206
189.203 309.423
189.264 430.571
189.325 613.294
189.413 996.977
189.500 1267.06
189.588 1031.38
189.675 656.397
189.759 420.044
189.842 282.653
189.925 200.943
190.009 149.770
190.176 92.7310
190.342 63.6941
190.509 47.0241
190.676 36.6065
191.010 24.9013
191.343 19.1017
191.677 16.6621
191.844 16.8463
192.010 18.9368
192.094 21.4852
192.177 26.1405
192.261 34.9115
192.344 51.7276
192.422 77.2537
192.500 94.7217
192.578 77.8357
192.656 52.0158
192.713 38.8363
192.771 30.1450
192.886 20.4609
193.000 15.6420
193.115 12.9133
193.345 10.0223
193.574 8.52131
194.033 6.93477
194.492 6.05901
195.410 5.05618
196.328 4.47168
198.164 3.79942
200.000 3.41767
202.862 3.06380
205.723 2.85166
208.585 2.74598
209.300 2.75968
210.015 2.84782
210.373 2.98143
210.731 3.32699
210.910 3.73045
211.088 4.58974
211.178 5.42224
211.267 6.85658
211.357 9.53000
211.446 14.7700
211.523 22.1280
211.600 27.0946
211.677 22.3093
211.754 14.9942
211.806 11.5076
211.858 9.14034
211.963 6.42865
212.067 5.06615
212.172 4.30621
212.380 3.54376
212.589 3.19034
213.007 2.88146
213.424 2.75213
215.095 2.60397
218.436 2.61835
221.776 2.84976
225.117 3.50651
226.787 4.17675
228.458 5.31287
230.128 7.34289
231.799 11.2846
232.634 14.7138
233.469 20.0222
234.304 28.7496
235.139 44.3402
235.557 57.0648
235.975 75.7688
236.392 104.687
236.810 152.458
237.227 238.787
237.436 310.091
237.645 415.881
237.854 580.594
238.063 851.915
238.271 1325.74
238.480 2177.36
238.690 3531.38
238.900 4473.67
239.110 3627.61
239.320 2299.15
239.527 1443.74
239.734 956.330
239.942 671.104
240.149 494.734
240.356 379.407
240.563 300.417
240.977 202.599
241.391 146.767
241.806 111.950
242.634 72.5027
243.463 51.7425
244.291 39.4156
245.120 31.4567
245.948 25.9936
247.605 19.1312
249.262 15.0990
250.919 12.4977
252.576 10.7027
255.890 8.41433
259.204 7.02810
262.519 6.09679
265.833 5.42078
272.461 4.47312
279.089 3.78734
282.403 3.49284
285.717 3.23544
287.374 3.14868
289.031 3.16811
289.860 3.29289
290.688 3.63597
291.102 3.99729
291.517 4.66493
291.724 5.25020
291.931 6.24041
292.138 8.36997
292.242 10.7068
292.345 15.3714
292.500 25.2199
292.655 17.4013
292.746 14.3618
292.837 13.3953
293.019 14.4394
293.201 18.0269
293.383 24.7373
293.474 29.9915
293.564 37.2894
293.655 47.7444
293.746 63.2473
293.837 87.3452
293.928 126.734
294.019 194.724
294.110 315.104
294.205 513.702
294.300 655.629
294.395 536.562
294.490 343.674
294.583 219.588
294.675 147.923
294.768 105.566
294.860 79.1387
294.953 61.7440
295.045 49.7505
295.230 34.7847
295.415 26.1615
295.600 20.7351
295.970 14.5162
296.340 11.1916
296.710 9.18710
297.450 6.95863
298.190 5.78609
298.930 5.07893
300.410 4.28886
303.370 3.68504
306.330 3.76648
307.810 4.13690
309.290 4.92026
310.770 6.49251
311.510 7.81951
312.250 9.76866
312.990 12.7181
313.730 17.3668
314.470 25.1137
315.210 39.0692
315.580 50.4838
315.950 67.2375
316.320 93.0140
316.690 135.168
317.060 209.948
317.245 270.429
317.430 358.227
317.615 490.874
317.800 700.373
317.985 1045.53
318.170 1622.71
318.385 2654.56
318.600 3392.29
318.815 2774.80
319.030 1773.88
319.177 1285.87
319.325 953.535
319.472 727.722
319.619 571.037
319.913 377.417
320.208 268.556
320.502 201.823
320.797 158.105
321.385 106.163
321.974 77.5546
322.563 60.0517
323.152 48.5071
323.741 40.4546
324.918 30.1681
326.096 24.0221
327.274 20.0123
328.451 17.2254
330.807 13.6551
333.162 11.4958
335.517 10.0626
337.873 9.04612
342.583 7.70153
347.294 6.84764
352.004 6.24952
356.715 5.79874
366.136 5.13257
370.847 4.85928
375.558 4.59876
380.268 4.33265
382.624 4.19343
384.979 4.05530
386.157 3.99464
387.334 3.95345
388.512 3.96172
389.689 4.10095
390.278 4.28522
390.867 4.63255
391.456 5.30067
392.045 6.66634
392.339 7.88503
392.634 9.79266
392.928 12.9459
393.222 18.5623
393.370 23.1046
393.517 29.6993
393.664 39.6989
393.811 55.7243
393.958 83.3233
394.032 104.995
394.106 135.581
394.179 180.138
394.253 247.225
394.326 351.120
394.400 512.674
394.500 840.421
394.600 1077.99
394.700 886.365
394.800 570.152
394.868 416.777
394.935 311.655
395.003 239.762
395.071 189.608
395.206 127.217
395.341 91.9361
395.476 70.1879
395.612 55.8859
395.882 38.8026
396.153 29.3391
396.423 23.5189
396.694 19.6626
396.964 16.9616
397.505 13.4927
398.046 11.4051
398.587 10.0342
399.128 9.07557
400.210 7.83666
401.292 7.07863
402.374 6.56952
403.456 6.20422
405.620 5.71269
407.784 5.39316
412.111 4.98978
416.439 4.73161
420.767 4.54100
429.423 4.25390
438.078 4.02034
446.734 3.79818
451.062 3.68205
455.389 3.56034
457.553 3.50160
459.717 3.45882
460.799 3.45826
461.881 3.50283
462.422 3.57192
462.963 3.74234
463.234 3.93924
463.504 4.37970
463.639 4.84643
463.775 5.75534
463.842 6.56326
463.910 7.83846
463.977 9.94520
464.045 13.4899
464.123 19.7745
464.200 24.3250
464.278 20.6637
464.355 14.6431
464.412 11.5509
464.468 9.50564
464.581 7.24939
464.694 6.17477
464.808 5.61700
465.034 5.15853
465.260 5.08633
465.713 5.50110
466.165 6.64021
466.618 9.18246
466.844 11.6054
467.070 15.6790
467.296 23.1626
467.409 29.4091
467.523 38.7498
467.636 53.4326
467.749 77.8335
467.862 120.933
467.975 199.530
468.088 324.783
468.200 414.579
468.313 339.660
468.425 218.115
468.535 139.653
468.645 94.5043
468.755 67.8658
468.865 51.2648
468.975 40.3374
469.085 32.8143
469.305 23.4291
469.525 18.0196
469.745 14.6164
470.185 10.7131
470.625 8.62236
471.065 7.35892
471.946 5.94658
472.826 5.19446
473.706 4.73260
475.466 4.19914
477.226 3.93573
478.106 3.90498
478.987 4.01193
479.867 4.47179
480.307 5.04020
480.747 6.17046
481.187 8.66500
481.407 11.0996
481.627 15.3011
481.847 23.2814
481.957 30.1455
482.067 40.6936
482.177 57.8434
482.287 87.7221
482.342 111.202
482.397 143.990
482.452 190.344
482.507 255.530
482.604 419.188
482.700 538.794
482.797 444.144
482.893 286.716
482.954 214.905
483.014 164.174
483.135 103.223
483.257 70.9129
483.378 52.2062
483.499 40.4862
483.620 32.6899
483.862 23.2719
484.104 17.9924
484.347 14.7209
484.831 11.0043
485.316 9.02041
485.800 7.81820
486.285 7.02374
486.769 6.46517
487.738 5.74170
488.707 5.31564
489.192 5.19003
489.676 5.16778
489.919 5.25741
490.161 5.55909
490.282 5.91888
490.403 6.63830
490.464 7.27388
490.524 8.25393
490.585 9.81775
490.645 12.3193
490.723 17.1557
490.800 20.6255
490.877 17.7348
490.955 13.0290
491.025 10.1303
491.096 8.39138
491.167 7.32955
491.237 6.64979
491.379 5.86754
491.520 5.45137
491.662 5.19974
491.803 5.03282
492.085 4.82383
492.651 4.60347
493.216 4.47518
494.347 4.30767
495.477 4.18859
497.739 4.01258
500.000 3.87927
505.023 3.65544
507.534 3.56909
508.162 3.55513
508.790 3.55718
509.104 3.57823
509.418 3.64726
509.575 3.73352
509.732 3.91926
509.810 4.09705
509.889 4.39560
509.967 4.92781
510.046 5.90541
510.123 7.45018
510.200 8.55623
510.277 7.63070
510.354 6.12731
510.428 5.17160
510.502 4.61330
510.575 4.27936
510.649 4.06877
510.796 3.83092
510.943 3.70691
511.238 3.58501
511.532 3.52572
512.121 3.46427
512.710 3.42793
515.066 3.33384
519.777 3.18261
529.199 2.88095
533.911 2.71561
538.622 2.53540
543.333 2.34510
545.689 2.27770
546.278 2.29071
546.866 2.37445
547.161 2.50523
547.455 2.84657
547.603 3.24084
547.750 4.05416
547.823 4.80842
547.897 6.04114
547.971 8.16401
548.044 11.9099
548.122 18.1801
548.200 22.7231
548.278 19.0454
548.356 12.9881
548.419 9.59269
548.482 7.43477
548.545 6.05516
548.608 5.14350
548.734 4.06732
548.860 3.48852
549.113 2.91892
549.365 2.65565
549.869 2.42119
550.374 2.32005
552.392 2.22889
554.410 2.36337
556.428 2.86027
557.437 3.40112
558.446 4.34302
559.455 6.05424
559.960 7.43091
560.464 9.39730
560.969 12.2959
561.473 16.7454
561.978 23.9478
562.482 36.4739
562.734 46.4054
562.987 60.5739
563.239 81.6225
563.491 114.454
563.743 169.019
563.996 267.081
564.122 346.615
564.248 460.744
564.374 627.513
564.500 870.523
564.700 1429.32
564.900 1833.59
565.100 1505.66
565.300 966.178
565.450 682.530
565.599 495.884
565.749 372.868
565.898 289.546
566.197 189.091
566.496 133.906
566.795 100.555
567.094 78.9010
567.692 53.3605
568.290 39.3613
568.888 30.8061
569.486 25.1574
570.084 21.2099
571.281 16.1450
572.477 13.0950
573.673 11.0870
574.869 9.67676
577.261 7.83864
579.653 6.69443
582.045 5.90820
584.438 5.32884
589.222 4.53417
591.614 4.28501
594.006 4.19128
596.399 4.48143
597.595 5.00414
598.791 6.17681
599.987 8.98817
600.585 11.8738
601.183 17.0458
601.482 21.2389
601.781 27.3241
602.080 36.5362
602.379 51.2458
602.678 76.4114
602.977 123.518
603.127 163.186
603.276 222.183
603.426 312.129
603.575 449.523
603.788 739.507
604.000 951.732
604.213 784.946
604.425 506.418
604.555 382.014
604.685 293.198
604.945 185.034
605.204 126.984
605.464 93.0586
605.724 71.6836
605.984 57.3904
606.503 40.0533
607.023 30.2938
607.542 24.2250
608.581 17.3059
609.620 13.5937
610.659 11.3307
611.699 9.82393
612.738 8.75408
614.816 7.33542
616.894 6.42729
621.050 5.28165
625.206 4.50859
627.284 4.17763
629.363 3.86452
631.441 3.57745
632.480 3.46621
633.519 3.42645
634.558 3.60416
635.077 3.91744
635.597 4.61920
636.117 6.29184
636.376 7.99116
636.636 10.9943
636.766 13.3931
636.896 16.8246
637.026 21.9174
637.156 29.8212
637.285 42.8267
637.350 52.5887
637.415 65.7712
637.480 84.0000
637.545 109.619
637.610 146.149
637.675 198.000
637.788 328.077
637.900 426.051
638.013 354.950
638.125 231.597
638.246 144.405
638.368 96.3075
638.489 68.8121
638.610 52.0500
638.731 41.1622
638.853 33.7279
639.095 24.5162
