Br-81(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 118.879
1.25000E-05 106.329
1.50000E-05 97.0642
2.00000E-05 84.0601
2.75000E-05 71.6867
3.50000E-05 63.5435
4.25000E-05 57.6648
5.00000E-05 53.1643
6.25000E-05 47.5516
7.50000E-05 43.4085
0.000100000 37.5929
0.000125000 33.6241
0.000150000 30.6945
0.000200000 26.5822
0.000275000 22.6694
0.000350000 20.0943
0.000425000 18.2353
0.000500000 16.8121
0.000625000 15.0372
0.000750000 13.7271
0.00100000 11.8881
0.00125000 10.6330
0.00150000 9.70661
0.00200000 8.40623
0.00275000 7.16893
0.00350000 6.35464
0.00425000 5.76680
0.00500000 5.31678
0.00625000 4.75555
0.00750000 4.34128
0.0100000 3.75978
0.0125000 3.36296
0.0150000 3.07005
0.0200000 2.65892
0.0253000 2.36424
0.0314750 2.11984
0.0376500 1.93838
0.0500000 1.68232
0.0625000 1.50496
0.0750000 1.37407
0.100000 1.19037
0.125000 1.06506
0.150000 0.972584
0.200000 0.842845
0.275000 0.719501
0.350000 0.638409
0.500000 0.535205
0.750000 0.438461
1.00000 0.380999
1.50000 0.313196
2.00000 0.273088
2.75000 0.235300
3.50000 0.210751
5.00000 0.180086
7.50000 0.152445
10.0000 0.137043
15.0000 0.121048
20.0000 0.114064
27.5000 0.111786
35.0000 0.115905
50.0000 0.142547
62.5000 0.196635
68.7500 0.247970
75.0000 0.336029
81.2500 0.509444
84.3750 0.670410
87.5000 0.946001
90.6250 1.48673
92.1875 1.98278
93.7500 2.81423
95.3125 4.37808
96.0938 5.74170
96.8750 7.90021
97.2656 9.48723
97.6563 11.6224
98.0469 14.5916
98.4375 18.8941
98.8281 25.4676
99.0234 30.1406
99.2188 36.2426
99.4141 44.4207
99.6094 55.7306
99.8047 71.9927
100.000 96.5570
100.126 119.784
100.253 152.433
100.379 200.270
100.506 274.033
100.632 395.763
100.758 614.300
100.822 792.100
100.885 1049.09
100.948 1428.24
101.011 1985.41
101.106 3179.64
101.200 3975.49
101.295 3174.76
101.389 1980.21
101.455 1401.41
101.521 1016.35
101.587 759.693
101.654 584.511
101.786 372.268
101.918 255.739
102.050 185.734
102.182 140.740
102.447 88.5553
102.711 60.7112
102.976 44.1824
103.240 33.5875
103.505 26.3987
104.033 17.5578
104.562 12.5423
105.091 9.43038
105.620 7.37088
106.678 4.90598
107.736 3.55143
108.793 2.73556
109.851 2.21341
111.967 1.62966
114.082 1.36293
118.313 1.29470
120.429 1.43929
122.544 1.73599
124.660 2.27987
126.775 3.30813
127.833 4.17725
128.891 5.49465
129.948 7.62130
131.006 11.3720
131.535 14.4239
132.064 18.9247
132.593 25.9543
133.122 37.8125
133.650 60.1318
133.915 79.4678
134.179 109.663
134.444 160.346
134.708 253.681
134.840 331.615
134.973 447.065
135.105 622.636
135.237 889.983
135.419 1421.94
135.600 1774.41
135.782 1418.21
135.963 886.178
136.088 631.105
136.213 459.801
136.338 344.880
136.463 266.097
136.714 170.062
136.964 117.090
137.214 85.1674
137.464 64.5932
137.964 40.6758
138.465 27.8928
138.965 20.2914
139.465 15.4145
139.965 12.1029
140.966 8.02661
141.967 5.71039
142.967 4.27041
143.968 3.31496
145.969 2.16581
147.970 1.52754
149.971 1.13664
151.972 0.879975
155.975 0.574367
159.977 0.406184
163.979 0.303874
167.982 0.237160
175.986 0.159210
183.991 0.120170
191.995 0.110244
195.998 0.130215
197.999 0.163079
199.000 0.194919
200.000 0.249001
201.218 0.383362
201.827 0.516253
202.436 0.754992
202.740 0.952850
203.044 1.24966
203.349 1.72435
203.653 2.55213
203.958 4.19305
204.110 5.69410
204.262 8.17964
204.414 12.7237
204.491 16.5412
204.567 22.3201
204.643 31.5946
204.719 47.5885
204.795 77.5147
204.833 102.142
204.871 136.585
204.903 174.800
204.936 218.297
205.000 272.669
205.065 218.222
205.129 136.494
205.178 93.9107
205.227 66.5190
205.277 48.8286
205.326 37.0754
205.424 23.1733
205.522 15.7422
205.621 11.3508
205.719 8.56169
205.916 5.36107
206.113 3.67159
206.309 2.67476
206.506 2.03856
206.703 1.60833
207.096 1.08030
207.489 0.781225
207.883 0.595517
208.276 0.472380
209.063 0.324202
209.849 0.241695
211.423 0.157418
212.996 0.116999
214.570 0.0942067
217.716 0.0701181
224.010 0.0501477
230.304 0.0411888
242.891 0.0341821
246.038 0.0353114
249.184 0.0416000
250.758 0.0515436
251.545 0.0617097
252.331 0.0803289
253.118 0.119663
253.511 0.158035
253.905 0.226057
254.298 0.364214
254.495 0.493935
254.691 0.714687
254.888 1.13598
254.986 1.50627
255.085 2.09251
