Rb-85(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 24.8182
1.25000E-05 22.1981
1.50000E-05 20.2640
2.00000E-05 17.5491
2.75000E-05 14.9659
3.50000E-05 13.2659
4.25000E-05 12.0386
5.00000E-05 11.0990
6.25000E-05 9.92727
7.50000E-05 9.06232
0.000100000 7.84820
0.000125000 7.01964
0.000150000 6.40803
0.000200000 5.54952
0.000275000 4.73264
0.000350000 4.19504
0.000425000 3.80694
0.000500000 3.50982
0.000625000 3.13928
0.000750000 2.86576
0.00100000 2.48182
0.00125000 2.21981
0.00150000 2.02640
0.00200000 1.75491
0.00275000 1.49660
0.00350000 1.32659
0.00425000 1.20386
0.00500000 1.10991
0.00625000 0.992734
0.00750000 0.906239
0.0100000 0.784828
0.0125000 0.701973
0.0150000 0.640813
0.0200000 0.554963
0.0253000 0.493425
0.0314750 0.442386
0.0376500 0.404487
0.0500000 0.351000
0.0625000 0.313948
0.0750000 0.286598
0.100000 0.248207
0.125000 0.222009
0.150000 0.202671
0.200000 0.175527
0.275000 0.149702
0.350000 0.132706
0.500000 0.111047
0.750000 0.0906931
1.00000 0.0785629
1.50000 0.0641796
2.00000 0.0556101
2.75000 0.0474618
3.50000 0.0421037
5.00000 0.0352829
7.50000 0.0288869
10.0000 0.0250865
15.0000 0.0206015
20.0000 0.0179495
27.5000 0.0154550
35.0000 0.0138410
50.0000 0.0118475
75.0000 0.0101295
100.000 0.00931574
137.735 0.00922825
156.602 0.0106174
161.319 0.0119445
166.035 0.0155286
168.394 0.0203734
169.573 0.0251534
170.752 0.0338041
171.931 0.0520453
172.521 0.0699331
173.111 0.101948
173.405 0.128411
173.700 0.168061
173.995 0.231340
174.290 0.341468
174.585 0.558909
174.732 0.757085
174.879 1.08382
175.027 1.67720
175.101 2.17224
175.174 2.91637
175.248 4.09905
175.322 6.11041
175.395 9.79848
175.469 16.8862
175.535 27.0816
175.600 33.9097
175.666 27.0915
175.731 16.8987
175.779 11.8215
175.826 8.49584
175.873 6.30743
175.921 4.82894
176.016 3.05649
176.110 2.09327
176.205 1.51876
176.300 1.15082
176.490 0.725834
176.679 0.499950
176.869 0.366062
177.248 0.222193
177.627 0.150704
178.006 0.110113
178.386 0.0848878
178.765 0.0681541
179.523 0.0480443
180.282 0.0368952
181.798 0.0256470
183.315 0.0204206
184.832 0.0176250
187.866 0.0150217
193.933 0.0138865
200.000 0.0147600
205.768 0.0171286
211.535 0.0224291
214.419 0.0278596
217.303 0.0390959
218.744 0.0513020
219.465 0.0620361
220.186 0.0799937
220.907 0.115184
221.268 0.148059
221.628 0.204808
221.989 0.317217
222.169 0.420780
222.349 0.594286
222.529 0.918338
222.620 1.19676
222.710 1.62847
222.800 2.34527
222.890 3.64522
222.935 4.71499
222.980 6.27230
223.025 8.60115
223.070 12.0635
223.135 19.2363
223.200 24.0046
223.265 19.2427
223.330 12.0723
223.375 8.60401
223.420 6.27734
223.465 4.71861
223.510 3.65263
223.600 2.35403
223.691 1.63831
223.781 1.20764
223.871 0.930276
224.051 0.608570
224.231 0.437365
224.411 0.336245
224.772 0.229073
225.132 0.177924
225.493 0.151078
226.213 0.129460
227.655 0.137456
229.097 0.187396
229.817 0.234308
230.538 0.307603
231.259 0.428624
231.980 0.647261
232.340 0.829012
232.701 1.10252
233.061 1.54145
233.421 2.31128
233.782 3.85002
233.962 5.27137
234.142 7.64960
234.322 12.0673
234.413 15.8411
234.503 21.6518
234.593 31.2026
234.683 48.2603
234.773 81.9235
234.818 111.085
234.863 153.643
234.897 196.842
234.932 246.125
235.000 307.888
235.069 246.048
235.137 153.549
235.184 109.526
235.231 79.9659
235.278 60.0523
235.324 46.3970
235.418 29.7125
235.512 20.4938
235.605 14.9249
235.699 11.3301
235.886 7.14849
236.074 4.90889
236.261 3.57622
236.448 2.72024
236.636 2.13844
237.010 1.42134
237.385 1.01338
237.760 0.759502
238.134 0.590946
238.884 0.388026
239.633 0.275261
240.383 0.206189
241.132 0.160855
242.631 0.106928
244.129 0.0773039
245.628 0.0593084
247.127 0.0475697
250.124 0.0337045
253.121 0.0261566
259.116 0.0186851
265.111 0.0153008
271.105 0.0135458
283.095 0.0120281
307.074 0.0117312
331.053 0.0128235
355.031 0.0149626
379.010 0.0186054
402.989 0.0255021
414.979 0.0337836
417.976 0.0388565
420.973 0.0505590
422.472 0.0652238
423.221 0.0792751
423.971 0.104215
424.720 0.155711
425.095 0.205285
425.469 0.292349
425.844 0.467213
426.031 0.629621
426.219 0.903144
426.406 1.41680
426.500 1.86045
426.593 2.55045
426.687 3.70378
426.781 5.81005
426.828 7.55916
426.874 10.1260
426.921 13.9925
426.968 19.8182
427.034 31.6872
427.100 39.6008
427.166 31.6919
427.232 19.8242
427.298 12.2407
427.363 7.98235
427.429 5.52283
427.495 4.01751
427.561 3.04303
427.626 2.38108
427.758 1.57081
427.889 1.11544
428.020 0.835470
428.283 0.524410
428.546 0.365060
428.809 0.272871
429.334 0.176083
429.860 0.129117
430.386 0.102967
431.437 0.0766731
433.539 0.0585620
435.641 0.0535220
444.050 0.0582448
452.459 0.0817258
454.562 0.0953194
456.664 0.122738
457.715 0.153340
458.241 0.180985
458.766 0.228137
459.292 0.321752
459.555 0.409272
459.817 0.559108
460.080 0.849881
460.212 1.11089
460.343 1.53497
460.474 2.28934
460.540 2.90579
460.606 3.81376
460.672 5.21755
460.737 7.51423
460.803 11.4984
460.869 18.5973
460.934 29.7047
461.000 37.0996
461.066 29.6919
461.132 18.6050
461.181 12.8733
461.231 9.18023
461.281 6.78206
461.330 5.18501
461.429 3.29298
461.529 2.27822
461.628 1.67850
461.727 1.29709
461.926 0.860105
462.125 0.630300
462.323 0.495674
462.720 0.354210
463.117 0.287360
463.515 0.252654
464.309 0.225393
465.898 0.237520
467.486 0.303139
469.075 0.456935
469.869 0.609910
470.664 0.884408
471.061 1.11170
471.458 1.45284
471.855 1.99877
472.252 2.95290
472.650 4.85195
472.848 6.59823
473.047 9.50425
473.245 14.8650
473.345 19.4092
473.444 26.3517
473.543 37.6372
473.593 46.0752
473.643 57.4662
473.692 73.2747
473.742 95.6267
473.791 127.800
473.841 173.897
473.921 278.360
474.000 348.062
