Rb-85(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 31.0711
1.25000E-05 28.4510
1.50000E-05 26.5169
2.00000E-05 23.8020
2.75000E-05 21.2189
3.50000E-05 19.5188
4.25000E-05 18.2915
5.00000E-05 17.3520
6.25000E-05 16.1802
7.50000E-05 15.3153
0.000100000 14.1011
0.000125000 13.2726
0.000150000 12.6610
0.000200000 11.8024
0.000275000 10.9856
0.000350000 10.4480
0.000425000 10.0599
0.000500000 9.76275
0.000625000 9.39221
0.000750000 9.11869
0.00100000 8.73475
0.00125000 8.47273
0.00150000 8.27933
0.00200000 8.00784
0.00275000 7.74952
0.00350000 7.57951
0.00425000 7.45678
0.00500000 7.36283
0.00625000 7.24565
0.00750000 7.15915
0.0100000 7.03774
0.0125000 6.95488
0.0150000 6.89371
0.0200000 6.80785
0.0253000 6.74630
0.0314750 6.69525
0.0376500 6.65734
0.0500000 6.60383
0.0625000 6.56675
0.0750000 6.53937
0.100000 6.50093
0.125000 6.47468
0.150000 6.45529
0.200000 6.42804
0.275000 6.40206
0.350000 6.38491
0.500000 6.36294
0.750000 6.34208
1.00000 6.32943
1.50000 6.31401
2.00000 6.30441
2.75000 6.29471
3.50000 6.28781
5.00000 6.27788
7.50000 6.26630
10.0000 6.25731
15.0000 6.24241
20.0000 6.22929
27.5000 6.21100
35.0000 6.19347
50.0000 6.15922
75.0000 6.10228
100.000 6.04390
137.735 5.95045
156.602 5.90069
161.319 5.88853
166.035 5.87830
168.394 5.87610
169.573 5.87733
170.752 5.88241
171.931 5.89710
172.521 5.91323
173.111 5.94354
173.405 5.96919
173.700 6.00808
173.995 6.07069
174.290 6.18032
174.585 6.39770
174.732 6.59619
174.879 6.92374
175.027 7.51897
175.101 8.01570
175.174 8.76250
175.248 9.94953
175.322 11.9685
175.395 15.6706
175.469 22.7854
175.535 33.0199
175.600 39.8738
175.666 33.0288
175.731 22.7964
175.779 17.6996
175.826 14.3609
175.873 12.1639
175.921 10.6796
176.016 8.90007
176.110 7.93286
176.205 7.35586
176.300 6.98621
176.490 6.55901
176.679 6.33167
176.869 6.19667
177.248 6.05104
177.627 5.97806
178.006 5.93609
178.386 5.90954
178.765 5.89151
179.523 5.86884
180.282 5.85515
181.798 5.83880
183.315 5.82842
184.832 5.82039
187.866 5.80707
193.933 5.78316
200.000 5.75882
205.768 5.73373
211.535 5.70582
214.419 5.69105
217.303 5.67821
