Sr-87(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 795.859
1.25000E-05 711.839
1.50000E-05 649.818
2.00000E-05 562.760
2.75000E-05 479.925
3.50000E-05 425.409
4.25000E-05 386.054
5.00000E-05 355.925
6.25000E-05 318.351
7.50000E-05 290.615
0.000100000 251.683
0.000125000 225.114
0.000150000 205.503
0.000200000 177.974
0.000275000 151.782
0.000350000 134.545
0.000425000 122.101
0.000500000 112.576
0.000625000 100.696
0.000750000 91.9277
0.00100000 79.6204
0.00125000 71.2224
0.00150000 65.0240
0.00200000 56.3248
0.00275000 48.0497
0.00350000 42.6055
0.00425000 38.6766
0.00500000 35.6698
0.00625000 31.9215
0.00750000 29.1562
0.0100000 25.2777
0.0125000 22.6339
0.0150000 20.6846
0.0200000 17.9529
0.0253000 15.9995
0.0314750 14.3837
0.0376500 13.1875
0.0500000 11.5067
0.0625000 10.3497
0.0750000 9.50127
0.100000 8.32230
0.125000 7.52962
0.150000 6.95379
0.200000 6.16591
0.275000 5.45306
0.350000 5.01879
0.500000 4.54457
0.750000 4.28749
1.00000 4.36929
1.50000 5.29643
2.00000 7.78205
2.35680 11.9254
2.53520 15.8237
2.71360 22.4512
2.89200 35.0817
2.98120 46.1911
3.07040 63.8621
3.15960 94.3619
3.24880 153.223
3.29340 204.902
3.33800 285.447
3.38260 416.343
3.42720 631.853
3.45290 805.664
3.47860 1003.25
3.53000 1244.75
3.58140 988.681
3.63280 613.657
3.67553 406.278
3.71825 278.809
3.76098 199.606
3.80370 148.476
3.88915 90.0295
3.97460 59.7601
4.06005 42.3006
4.14550 31.3953
4.31640 19.1307
4.48730 12.7989
4.65820 9.13025
4.82910 6.82549
5.00000 5.28825
5.31250 3.55386
5.62500 2.55143
5.93750 1.92283
6.25000 1.50408
6.87500 1.00003
7.50000 0.720665
8.12500 0.550098
8.75000 0.438298
10.0000 0.304968
11.2500 0.230768
12.5000 0.184605
15.0000 0.131189
17.5000 0.101457
20.0000 0.0825005
23.8037 0.0639514
27.6073 0.0522389
31.4110 0.0465735
32.3619 0.0479079
33.3128 0.0550349
33.7882 0.0662629
34.0260 0.0776833
34.2637 0.0984390
34.5014 0.141678
34.6203 0.183172
34.7392 0.255358
34.8580 0.397530
34.9175 0.526603
34.9769 0.738424
35.0363 1.12028
35.0660 1.43644
35.0957 1.90776
35.1255 2.64889
35.1552 3.88914
35.1849 6.11202
35.2146 10.2494
35.2423 16.3860
35.2700 20.4834
35.2977 16.3987
35.3254 10.2652
35.3541 6.23207
35.3827 4.01833
35.4114 2.76154
35.4401 2.00163
35.4687 1.51380
35.4974 1.18466
35.5547 0.784271
35.6120 0.560543
35.6694 0.423513
35.7840 0.271686
35.8986 0.194011
36.0133 0.149044
36.2426 0.101632
36.4719 0.0783751
36.7012 0.0651912
37.1597 0.0514005
38.0769 0.0404851
38.9941 0.0358644
42.6627 0.0284974
50.0000 0.0217854
62.5000 0.0152691
75.0000 0.0113736
100.000 0.00708068
125.000 0.00490097
150.000 0.00366104
200.000 0.00242301
260.621 0.00192600
275.776 0.00196880
290.932 0.00225223
298.509 0.00270303
302.298 0.00316633
306.087 0.00402387
309.876 0.00587588
311.770 0.00773234
313.664 0.0111346
314.612 0.0140146
315.559 0.0184324
316.506 0.0257159
317.453 0.0390118
317.927 0.0502244
318.400 0.0673612
318.874 0.0954714
319.348 0.146402
319.584 0.189026
319.821 0.253677
320.058 0.358615
320.295 0.545829
320.413 0.700075
320.532 0.930436
320.650 1.29649
320.768 1.92965
320.887 3.16791
320.946 4.28507
321.005 6.10701
321.064 9.36240
321.094 12.0333
321.124 15.9818
321.153 22.1163
321.183 32.2192
321.212 49.9066
321.242 81.8564
321.257 104.761
321.271 130.929
321.300 163.624
321.329 130.916
321.358 81.8410
321.380 56.4923
321.402 40.1786
321.424 29.5840
321.445 22.5018
321.489 14.1051
321.533 9.59192
321.576 6.91492
321.620 5.21398
321.707 3.25901
321.794 2.22396
321.882 1.61326
321.969 1.22310
322.056 0.958953
322.230 0.634595
322.405 0.450897
322.579 0.336820
322.754 0.261253
323.103 0.170456
323.452 0.120091
323.800 0.0892890
324.149 0.0690911
324.847 0.0450910
325.545 0.0319249
326.243 0.0239328
326.941 0.0187210
328.336 0.0125634
329.732 0.00920468
332.523 0.00585419
335.315 0.00430027
338.106 0.00345611
343.688 0.00261897
354.853 0.00203129
366.019 0.00184156
410.679 0.00181122
455.340 0.00216448
500.000 0.00303670
521.472 0.00405901
526.840 0.00461625
532.207 0.00579483
534.891 0.00720802
536.233 0.00855110
537.575 0.0109466
538.917 0.0159857
539.588 0.0209635
540.259 0.0299903
540.930 0.0491063
541.266 0.0679454
541.601 0.101864
541.937 0.172613
542.105 0.241119
542.272 0.361817
542.356 0.460131
542.440 0.605259
542.524 0.832245
542.608 1.21536
542.692 1.93885
542.734 2.56611
542.775 3.54772
542.817 5.20386
542.859 8.26088
542.880 10.8307
542.901 14.6331
542.922 20.4710
542.943 29.3663
542.972 47.0077
543.000 58.7097
543.029 46.9392
543.057 29.3631
543.083 18.9332
543.108 12.7447
543.134 9.00965
543.159 6.64914
543.211 4.00325
543.262 2.65539
543.313 1.88435
543.364 1.40458
543.467 0.865466
543.569 0.586277
543.671 0.423562
543.774 0.320599
543.876 0.251438
544.081 0.167066
544.286 0.119597
544.695 0.0709350
545.105 0.0477762
545.514 0.0349915
546.333 0.0221136
547.152 0.0161049
547.972 0.0128439
549.610 0.00964825
552.886 0.00754259
556.162 0.00702154
569.268 0.00789969
582.373 0.0104898
595.479 0.0153489
602.031 0.0194269
608.584 0.0256250
615.137 0.0357439
621.689 0.0540366
624.966 0.0693630
628.242 0.0926857
631.518 0.130792
634.795 0.199587
636.433 0.257035
638.071 0.344050
639.709 0.485121
641.347 0.736519
642.167 0.943535
642.986 1.25260
643.805 1.74362
644.624 2.59265
645.033 3.27088
645.443 4.25330
645.852 5.75203
646.262 8.19634
646.672 12.5671
646.876 16.1552
647.081 21.4602
647.286 29.7123
647.491 43.3112
647.695 67.1696
647.900 110.340
648.100 176.554
648.300 220.652
648.500 176.425
648.700 110.214
648.912 65.9747
649.124 42.0349
649.336 28.5953
