Sr-89(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 26.8300
1.25000E-05 24.5991
1.50000E-05 22.9524
2.00000E-05 20.6409
2.75000E-05 18.4415
3.50000E-05 16.9941
4.25000E-05 15.9492
5.00000E-05 15.1492
6.25000E-05 14.1516
7.50000E-05 13.4152
0.000100000 12.3815
0.000125000 11.6761
0.000150000 11.1554
0.000200000 10.4244
0.000275000 9.72898
0.000350000 9.27129
0.000425000 8.94087
0.000500000 8.68792
0.000625000 8.37247
0.000750000 8.13960
0.00100000 7.81274
0.00125000 7.58968
0.00150000 7.42503
0.00200000 7.19391
0.00275000 6.97400
0.00350000 6.82927
0.00425000 6.72479
0.00500000 6.64481
0.00625000 6.54506
0.00750000 6.47142
0.0100000 6.36807
0.0125000 6.29753
0.0150000 6.24547
0.0200000 6.17239
0.0253000 6.12000
0.0314750 6.07655
0.0376500 6.04429
0.0500000 5.99876
0.0625000 5.96722
0.0750000 5.94393
0.100000 5.91125
0.125000 5.88895
0.150000 5.87248
0.200000 5.84937
0.275000 5.82739
0.350000 5.81292
0.500000 5.79447
0.750000 5.77713
1.00000 5.76680
1.50000 5.75454
2.00000 5.74723
2.75000 5.74028
3.50000 5.73571
5.00000 5.72987
7.50000 5.72439
10.0000 5.72112
15.0000 5.71725
20.0000 5.71494
27.5000 5.71274
35.0000 5.71129
50.0000 5.70945
75.0000 5.70771
100.000 5.70668
150.000 5.70545
200.000 5.70472
275.000 5.70403
350.000 5.70357
500.000 5.70299
750.000 5.70244
1000.00 5.70211
1400.00 5.70179
1400.00 10.7629
1500.00 10.6360
1700.00 10.4190
2000.00 10.1614
2500.00 9.84935
3000.00 9.62755
3500.00 9.46172
4000.00 9.33328
5000.00 9.14849
6000.00 9.02363
7000.00 8.93536
8000.00 8.87117
10000.0 8.78829
12500.0 8.73427
15000.0 8.71052
17000.0 8.70438
20000.0 8.70826
25000.0 8.73438
30000.0 8.77253
35000.0 8.81575
40000.0 8.86076
50000.0 8.95016
60000.0 9.03453
70000.0 9.11238
80000.0 9.18348
99999.9 9.30690
100000 9.30685
110000 9.35314
120000 9.39352
125000 9.41147
150000 9.47972
175000 9.51442
200000 9.51982
225000 9.50038
250000 9.46018
275000 9.40309
300000 9.33246
350000 9.16106
400000 8.96313
450000 8.75114
500000 8.53368
600000 8.10235
700000 7.69287
800000 7.31474
900000 6.97005
1.00000E+06 6.65808
1.04370E+06 6.53155
1.04371E+06 6.53152
1.10000E+06 6.37683
1.20000E+06 6.12315
1.30000E+06 5.89417
1.40000E+06 5.68706
1.49010E+06 5.51686
1.49012E+06 5.51680
1.60000E+06 5.32825
1.70000E+06 5.17239
1.80000E+06 5.03012
1.90000E+06 4.90000
1.96220E+06 4.82477
1.96221E+06 4.82474
2.03040E+06 4.74712
2.08070E+06 4.69259
2.08074E+06 4.69253
2.08480E+06 4.68830
2.10240E+06 4.66989
2.20000E+06 4.57278
2.30610E+06 4.47642
2.38000E+06 4.41420
2.47940E+06 4.33652
2.47942E+06 4.33650
2.59930E+06 4.25103
2.70530E+06 4.18197
2.70535E+06 4.18192
2.73780E+06 4.16211
2.73781E+06 4.16209
2.83680E+06 4.10423
2.83682E+06 4.10421
2.94910E+06 4.04378
2.96380E+06 4.03630
2.96385E+06 4.03626
2.99530E+06 4.02050
2.99530E+06 4.02049
3.10790E+06 3.96711
3.25000E+06 3.90645
3.50000E+06 3.81695
3.76170E+06 3.74532
4.00000E+06 3.69908
4.25000E+06 3.66903
4.50000E+06 3.65642
4.75000E+06 3.65959
5.00000E+06 3.67650
5.25000E+06 3.70496
5.50000E+06 3.74267
5.75000E+06 3.78745
6.00000E+06 3.83694
6.20000E+06 3.87851
6.43920E+06 3.92929
6.43924E+06 3.92929
6.70000E+06 3.98417
7.00000E+06 4.04511
7.24090E+06 4.09105
7.50000E+06 4.13640
7.75000E+06 4.17570
8.00000E+06 4.21030
8.30000E+06 4.24520
8.59300E+06 4.27187
8.77340E+06 4.28466
9.00000E+06 4.29680
9.25000E+06 4.30487
9.50000E+06 4.30771
9.75000E+06 4.30506
1.00000E+07 4.29725
1.02500E+07 4.28409
1.05000E+07 4.26612
1.07500E+07 4.24325
1.10230E+07 4.21303
1.12500E+07 4.18392
1.15000E+07 4.14810
1.17500E+07 4.10861
1.20000E+07 4.06572
1.22500E+07 4.01977
1.25050E+07 3.97023
1.27500E+07 3.92030
1.30000E+07 3.86741
1.32500E+07 3.81302
1.35000E+07 3.75727
1.37500E+07 3.70072
1.40000E+07 3.64364
1.42500E+07 3.58619
1.45000E+07 3.52887
1.47500E+07 3.47186
1.50000E+07 3.41548
1.55000E+07 3.30579
1.60000E+07 3.20148
1.64000E+07 3.12316
1.68000E+07 3.05016
1.72500E+07 2.97534
1.76780E+07 2.91181
1.76783E+07 2.91177
1.80000E+07 2.86922
1.85000E+07 2.81263
1.90000E+07 2.76791
1.95000E+07 2.73553
2.00000E+07 2.71547
