Y-90(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 175.574
1.25000E-05 158.047
1.50000E-05 145.109
2.00000E-05 126.948
2.75000E-05 109.669
3.50000E-05 98.2965
4.25000E-05 90.0868
5.00000E-05 83.8018
6.25000E-05 75.9635
7.50000E-05 70.1776
0.000100000 62.0559
0.000125000 56.5135
0.000150000 52.4222
0.000200000 46.6793
0.000275000 41.2149
0.000350000 37.6187
0.000425000 35.0226
0.000500000 33.0351
0.000625000 30.5564
0.000750000 28.7267
0.00100000 26.1583
0.00125000 24.4056
0.00150000 23.1118
0.00200000 21.2957
0.00275000 19.5676
0.00350000 18.4303
0.00425000 17.6093
0.00500000 16.9807
0.00625000 16.1968
0.00750000 15.6181
0.0100000 14.8058
0.0125000 14.2513
0.0150000 13.8420
0.0200000 13.2674
0.0253000 12.8555
0.0314750 12.5137
0.0376500 12.2598
0.0500000 11.9013
0.0625000 11.6528
0.0750000 11.4692
0.100000 11.2111
0.125000 11.0347
0.150000 10.9041
0.200000 10.7202
0.275000 10.5440
0.350000 10.4270
0.500000 10.2756
0.750000 10.1289
1.00000 10.0374
1.50000 9.92096
2.00000 9.84380
2.75000 9.76012
3.50000 9.69566
5.00000 9.59419
7.50000 9.46180
10.0000 9.35054
15.0000 9.15872
20.0000 8.99074
27.5000 8.76744
35.0000 8.56948
50.0000 8.22965
75.0000 7.78119
100.000 7.43315
100.000 7.43315
100.001 7.43314
100.001 7.43314
100.002 7.43313
100.003 7.43311
100.006 7.43307
100.012 7.43300
100.025 7.43285
100.049 7.43254
100.098 7.43194
100.196 7.43073
100.391 7.42832
100.781 7.42350
101.563 7.41392
103.125 7.39495
106.250 7.35777
112.500 7.28628
125.000 7.15374
150.000 6.92352
200.000 6.56372
257.466 6.25647
314.932 6.01815
372.397 5.82297
401.130 5.73700
408.313 5.71691
415.497 5.69830
419.088 5.69067
420.884 5.68809
422.680 5.68750
424.476 5.69181
425.374 5.69844
426.271 5.71235
426.720 5.72472
427.169 5.74401
427.618 5.77583
428.067 5.83296
428.292 5.87999
428.516 5.94991
428.741 6.06009
428.965 6.24794
429.190 6.60708
429.302 6.92323
429.414 7.42473
429.526 8.28679
429.639 9.93115
429.695 11.3556
429.751 13.5434
429.807 17.0286
429.863 22.6310
429.932 32.8029
430.000 39.5690
430.069 32.7577
430.137 22.5743
430.205 16.0696
430.274 12.4282
430.342 10.3242
430.410 9.03954
430.478 8.20721
430.547 7.64297
430.683 6.95250
430.819 6.56435
430.956 6.32592
431.229 6.06085
431.502 5.92486
431.775 5.84594
432.047 5.79603
432.320 5.76240
432.866 5.72106
433.412 5.69730
433.958 5.68213
434.504 5.67165
435.595 5.65799
436.687 5.64916
438.870 5.63740
441.053 5.62880
443.236 5.62147
447.603 5.60837
456.336 5.58428
465.069 5.56117
500.000 5.47231
589.966 5.25417
679.931 5.02846
700.000 4.97331
739.966 4.85297
779.931 4.70987
819.897 4.52431
829.888 4.46706
839.879 4.40396
844.875 4.37041
849.871 4.33715
852.369 4.32298
853.618 4.31821
854.867 4.31742
856.115 4.32657
856.740 4.34023
857.364 4.36844
857.989 4.43155
858.301 4.49386
858.613 4.60363
858.926 4.82180
859.082 5.02092
859.238 5.34918
859.394 5.94491
859.472 6.44194
859.550 7.18769
859.628 8.37390
859.706 10.3879
859.784 14.0846
859.862 21.1736
859.931 31.2695
860.000 37.9284
860.069 31.1083
860.138 20.9908
860.186 16.0672
860.235 12.7936
860.283 10.6166
860.332 9.13648
860.429 7.34340
860.526 6.36259
860.623 5.77427
860.720 5.39675
860.914 4.95921
861.107 4.72589
861.301 4.58711
861.689 4.43686
862.077 4.36082
862.465 4.31635
863.240 4.26726
864.016 4.24013
864.791 4.22187
866.342 4.19595
869.444 4.15682
872.547 4.12093
878.751 4.04650
884.955 3.96375
897.364 3.76083
909.772 3.48116
915.976 3.29629
922.181 3.06676
928.385 2.77531
934.589 2.39885
937.691 2.17216
940.793 1.92234
943.895 1.66939
946.998 1.49179
948.549 1.50605
950.100 1.69846
951.651 2.28147
952.426 2.86090
953.202 3.78581
953.977 5.28059
954.753 7.76067
955.528 12.0560
956.304 19.9889
956.692 26.5313
957.080 36.1211
957.467 50.7428
957.855 74.1696
958.243 114.204
958.631 188.429
958.824 250.114
959.018 340.506
959.212 475.656
959.406 677.507
959.703 1137.75
960.000 1491.67
960.297 1251.38
960.594 819.839
960.902 520.495
961.210 350.359
961.518 250.987
961.826 189.362
962.133 148.840
962.441 120.867
963.057 85.7661
963.673 65.3232
964.288 52.3020
965.520 37.1052
966.751 28.7740
967.983 23.6345
969.214 20.1970
970.446 17.7592
972.908 14.5654
975.371 12.5883
977.834 11.2551
980.297 10.3000
985.223 9.02885
990.149 8.22465
995.074 7.67108
1000.00 7.26683
1009.06 6.75076
1018.11 6.40380
1036.22 5.96192
1054.34 5.68654
1072.45 5.49350
1108.67 5.22916
1144.89 5.04438
1181.11 4.89821
1217.34 4.77415
1235.45 4.71909
1244.50 4.69414
1253.56 4.67253
1258.09 4.66407
1262.62 4.65854
1267.14 4.65838
1271.67 4.66937
1273.93 4.68330
1276.20 4.70816
1278.46 4.75326
1280.73 4.84054
1281.86 4.91599
1282.99 5.03241
1284.12 5.22412
1285.25 5.57069
1285.82 5.85900
1286.39 6.29303
1286.95 6.98960
1287.52 8.21092
1288.08 10.6498
1288.37 12.8998
1288.65 16.6592
1288.93 23.6271
1289.08 29.5906
1289.22 38.6856
1289.36 53.6916
1289.50 80.1569
1289.64 131.805
1289.71 176.368
1289.78 240.012
1289.89 381.822
1290.00 475.080
1290.11 380.187
1290.22 239.713
1290.32 152.017
1290.43 101.739
1290.53 72.2210
1290.64 53.9409
1290.74 42.0059
1290.85 33.8473
1291.06 23.8315
1291.27 18.1335
1291.48 14.6168
1291.90 10.7018
1292.32 8.68266
1292.74 7.51363
1293.16 6.77408
1293.58 6.27896
1294.41 5.67546
1295.25 5.33584
1296.09 5.12562
1296.93 4.98636
1298.61 4.81788
1300.29 4.72289
1301.96 4.66314
1303.64 4.62246
1307.00 4.57037
1310.35 4.53759
1313.71 4.51397
1317.06 4.49528
1323.77 4.46543
1330.48 4.44053
1343.90 4.39676
1357.32 4.35628
1370.75 4.31720
1397.59 4.24100
1451.27 4.09337
1504.95 3.95601
1558.64 3.84620
1612.32 3.81064
1639.16 3.85564
1652.59 3.90713
1666.01 3.98862
1679.43 4.11679
1686.14 4.20966
1692.85 4.33665
1699.56 4.53033
1702.91 4.67971
1706.27 4.90663
1707.95 5.07535
1709.62 5.31222
1711.30 5.67098
1712.98 6.27262
1713.82 6.75052
1714.66 7.44902
1715.50 8.54009
1716.33 10.4037
1716.75 11.8916
1717.17 14.0476
1717.59 17.3698
1718.01 22.8643
1718.43 33.0165
1718.64 41.6581
1718.85 54.8702
1719.06 76.6741
1719.27 115.477
1719.38 147.116
1719.48 192.824
1719.59 260.237
1719.69 358.277
1719.85 567.156
1720.00 701.500
1720.16 556.245
1720.31 346.517
1720.49 200.614
1720.66 125.692
1720.84 85.0256
1721.01 61.2259
1721.19 46.3220
1721.36 36.4547
1721.71 24.7097
1722.06 18.2944
1722.41 14.4578
1723.11 10.3131
1723.81 8.26188
1724.51 7.11676
1725.21 6.42078
1725.91 5.97223
1727.32 5.46107
1728.72 5.20598
1730.12 5.07276
1731.52 5.00464
1734.32 4.96755
1737.12 4.99605
1742.72 5.13824
1748.33 5.33957
1753.93 5.58276
1765.13 6.19344
1787.55 8.09431
1809.96 11.6191
1832.37 18.7286
1843.57 25.0737
1854.78 35.0431
1865.98 51.5641
1877.19 80.7737
1888.40 136.303
1894.00 182.197
1899.60 246.841
1909.80 418.608
1920.00 554.054
1930.20 470.601
1940.40 313.640
1947.85 229.807
1955.30 172.886
1962.75 134.377
1970.20 107.707
1985.10 74.6846
2000.00 55.9599
2018.73 42.0624
2037.46 33.6004
2056.19 28.0309
2074.92 24.1455
2112.38 19.1707
2121.75 18.2921
2131.11 17.5206
2135.80 17.1764
2138.14 17.0182
2140.48 16.8744
2142.82 16.7576
2143.99 16.7203
2145.16 16.7144
2145.75 16.7337
2146.33 16.7805
2146.92 16.8758
2147.50 17.0671
2147.79 17.2320
2148.09 17.4819
2148.38 17.8805
2148.67 18.5627
2148.97 19.8785
2149.11 21.0394
2149.26 22.8955
2149.40 26.1538
2149.55 32.5005
2149.62 38.1634
2149.70 47.1424
2149.77 62.0831
2149.84 87.3997
2149.92 128.734
2150.00 155.143
2150.08 126.041
2150.16 84.0251
2150.21 64.5220
2150.26 51.5608
2150.37 36.5727
2150.47 29.0801
2150.58 24.9324
2150.68 22.4339
2150.79 20.8257
2151.00 18.9636
2151.21 17.9742
2151.42 17.3886
2151.84 16.7599
2152.26 16.4429
2152.68 16.2578
2153.10 16.1364
2153.52 16.0499
2154.35 15.9299
2155.19 15.8443
2156.87 15.7137
2158.55 15.6042
2160.23 15.5033
2163.58 15.3131
2166.94 15.1319
2170.30 14.9573
2177.01 14.6250
2190.44 14.0201
2203.86 13.4842
2257.57 11.8435
2311.27 10.7234
2364.97 9.90631
2418.68 9.27639
2472.38 8.76572
2499.23 8.54097
2526.08 8.33177
2539.51 8.23326
2552.93 8.14263
