Y-91(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 70.4200
1.25000E-05 62.9855
1.50000E-05 57.4976
2.00000E-05 49.7944
2.75000E-05 42.4648
3.50000E-05 37.6410
4.25000E-05 34.1586
5.00000E-05 31.4927
6.25000E-05 28.1679
7.50000E-05 25.7136
0.000100000 22.2686
0.000125000 19.9177
0.000150000 18.1823
0.000200000 15.7463
0.000275000 13.4285
0.000350000 11.9031
0.000425000 10.8018
0.000500000 9.95880
0.000625000 8.90742
0.000750000 8.13132
0.00100000 7.04193
0.00125000 6.29849
0.00150000 5.74970
0.00200000 4.97939
0.00275000 4.24643
0.00350000 3.76406
0.00425000 3.41583
0.00500000 3.14923
0.00625000 2.81676
0.00750000 2.57134
0.0100000 2.22684
0.0125000 1.99175
0.0150000 1.81821
0.0200000 1.57461
0.0253000 1.40000
0.0314750 1.25517
0.0376500 1.14763
0.0500000 0.995850
0.0625000 0.890709
0.0750000 0.813098
0.100000 0.704157
0.125000 0.629813
0.150000 0.574935
0.200000 0.497904
0.275000 0.424609
0.350000 0.376373
0.500000 0.314893
0.750000 0.257106
1.00000 0.222658
1.50000 0.181797
2.00000 0.157440
2.75000 0.134264
3.50000 0.119011
5.00000 0.0995707
7.50000 0.0812981
10.0000 0.0704056
15.0000 0.0574852
20.0000 0.0497832
27.5000 0.0424548
35.0000 0.0376319
50.0000 0.0314848
75.0000 0.0257069
100.000 0.0222626
150.000 0.0181771
200.000 0.0157417
290.000 0.0130726
380.000 0.0114200
380.000 1.27749
400.000 1.23483
500.000 1.07549
600.000 0.966960
720.000 0.874234
800.000 0.826749
1000.00 0.737965
1250.00 0.661673
1500.00 0.606447
1700.00 0.571102
2000.00 0.527913
2500.00 0.472308
3000.00 0.429563
3500.00 0.395065
4000.00 0.366327
5000.00 0.320857
6000.00 0.286992
7000.00 0.259210
8000.00 0.236169
10000.0 0.201942
12500.0 0.171417
15000.0 0.149194
17000.0 0.135523
20000.0 0.119386
25000.0 0.100053
30000.0 0.0865650
35000.0 0.0763769
40000.0 0.0685772
50000.0 0.0577248
60000.0 0.0507862
70000.0 0.0457813
80000.0 0.0421454
99999.9 0.0373415
100000 0.0375264
150000 0.0325723
200000 0.0312984
250000 0.0311801
300000 0.0313780
500000 0.0320225
561765 0.0324588
660245 0.0258026
700000 0.0195999
750000 0.0177749
800000 0.0162219
850000 0.0156938
900000 0.0152116
936072 0.0150345
1.00000E+06 0.0118675
1.10004E+06 0.0108880
1.20007E+06 0.0100645
1.25000E+06 0.00928968
1.31988E+06 0.00871247
1.31989E+06 0.00871242
1.40497E+06 0.00786709
1.49005E+06 0.00714656
1.49005E+06 0.00714655
1.50000E+06 0.00707094
1.56305E+06 0.00681626
1.56305E+06 0.00681622
1.56518E+06 0.00679689
1.59743E+06 0.00650734
1.59743E+06 0.00650733
1.67372E+06 0.00591465
1.75000E+06 0.00539889
1.83607E+06 0.00536282
1.92213E+06 0.00532862
2.00000E+06 0.00529915
2.00237E+06 0.00530219
2.00238E+06 0.00530219
2.08953E+06 0.00534053
2.08953E+06 0.00534053
2.15272E+06 0.00535228
2.15272E+06 0.00535228
2.18700E+06 0.00532097
2.18700E+06 0.00532097
2.23118E+06 0.00526687
2.23119E+06 0.00526686
2.30469E+06 0.00516328
2.30469E+06 0.00516328
2.37183E+06 0.00511839
2.43896E+06 0.00507512
2.43897E+06 0.00507512
2.50145E+06 0.00507947
2.50145E+06 0.00507947
2.55807E+06 0.00508540
2.55807E+06 0.00508540
2.59852E+06 0.00508079
2.60064E+06 0.00507920
2.65974E+06 0.00506558
2.71884E+06 0.00505229
2.81085E+06 0.00506259
2.90185E+06 0.00509561
2.99284E+06 0.00512781
2.99284E+06 0.00512781
3.00000E+06 0.00513455
3.01306E+06 0.00514801
3.01307E+06 0.00514802
3.04593E+06 0.00518289
3.07879E+06 0.00521762
3.10660E+06 0.00525243
3.13440E+06 0.00528715
3.15867E+06 0.00531470
3.18293E+06 0.00534218
3.20720E+06 0.00536959
3.23146E+06 0.00539694
3.23146E+06 0.00539694
3.26281E+06 0.00543266
3.29163E+06 0.00545357
3.32044E+06 0.00547438
3.35684E+06 0.00549544
3.37694E+06 0.00543219
3.39704E+06 0.00537004
3.41714E+06 0.00530896
3.43724E+06 0.00524893
3.45733E+06 0.00518992
3.47743E+06 0.00513190
3.49753E+06 0.00507487
3.51763E+06 0.00501879
3.53773E+06 0.00496365
3.55783E+06 0.00490942
3.57793E+06 0.00485608
3.59803E+06 0.00480362
3.61812E+06 0.00475201
3.63822E+06 0.00470123
3.65832E+06 0.00465127
3.67842E+06 0.00460212
3.69852E+06 0.00455374
3.71862E+06 0.00450614
3.73872E+06 0.00445928
3.75882E+06 0.00441316
3.77891E+06 0.00436776
3.79901E+06 0.00432306
3.81911E+06 0.00427905
3.83921E+06 0.00423572
3.85931E+06 0.00419304
3.87941E+06 0.00415102
3.89951E+06 0.00410963
3.91961E+06 0.00406887
3.93970E+06 0.00402871
3.95980E+06 0.00398915
3.97990E+06 0.00395018
4.00000E+06 0.00391178
4.11102E+06 0.00362173
4.22203E+06 0.00336008
4.31928E+06 0.00315150
4.41652E+06 0.00296010
4.51377E+06 0.00278411
4.61102E+06 0.00262201
4.70826E+06 0.00247245
4.80551E+06 0.00233421
4.90275E+06 0.00220625
5.00000E+06 0.00208761
5.02863E+06 0.00204869
5.05727E+06 0.00201070
5.08591E+06 0.00197362
5.11455E+06 0.00193743
5.14319E+06 0.00190210
5.17183E+06 0.00186760
5.20047E+06 0.00183392
5.22911E+06 0.00180102
5.25774E+06 0.00176890
5.28638E+06 0.00173750
5.31502E+06 0.00170684
5.34366E+06 0.00167687
5.37230E+06 0.00164759
5.40094E+06 0.00161897
5.42958E+06 0.00159099
5.45822E+06 0.00156364
5.49208E+06 0.00153209
5.52594E+06 0.00150137
5.55980E+06 0.00147144
5.59366E+06 0.00144229
5.62752E+06 0.00141388
5.66138E+06 0.00138620
5.69524E+06 0.00135922
5.72911E+06 0.00133292
5.76297E+06 0.00130728
5.79683E+06 0.00128228
5.83069E+06 0.00125790
5.86455E+06 0.00123412
5.89841E+06 0.00121092
5.93227E+06 0.00118829
5.96613E+06 0.00116621
6.00000E+06 0.00114465
6.03125E+06 0.00112337
6.06250E+06 0.00110258
6.09375E+06 0.00108229
6.12500E+06 0.00106247
6.15625E+06 0.00104311
6.18750E+06 0.00102420
6.21875E+06 0.00100573
6.25000E+06 0.000987673
6.28125E+06 0.000970033
6.31250E+06 0.000952794
6.34375E+06 0.000935943
6.37500E+06 0.000919471
6.40625E+06 0.000903368
6.43750E+06 0.000887623
6.46875E+06 0.000872226
6.48074E+06 0.000866410
6.50000E+06 0.000857169
6.53125E+06 0.000842442
6.56250E+06 0.000828037
6.59375E+06 0.000813945
6.62500E+06 0.000800157
6.65625E+06 0.000786667
6.68750E+06 0.000773465
6.71875E+06 0.000760545
6.75000E+06 0.000747899
6.78125E+06 0.000735520
6.81250E+06 0.000723402
6.84375E+06 0.000711538
6.87500E+06 0.000699921
6.90625E+06 0.000688545
6.93750E+06 0.000677403
6.96875E+06 0.000666492
7.00000E+06 0.000655803
7.02472E+06 0.000647848
7.04944E+06 0.000640017
7.07416E+06 0.000632308
7.09888E+06 0.000624717
7.12060E+06 0.000618145
7.14232E+06 0.000611661
7.16404E+06 0.000605265
7.18576E+06 0.000598955
7.20748E+06 0.000592729
7.22920E+06 0.000586587
7.25092E+06 0.000580526
7.27265E+06 0.000574543
7.29437E+06 0.000568642
7.31609E+06 0.000562819
7.33781E+06 0.000557072
7.35953E+06 0.000551401
7.38125E+06 0.000545804
7.40297E+06 0.000540280
7.42469E+06 0.000534828
7.44642E+06 0.000529444
7.46814E+06 0.000524132
7.48331E+06 0.000520463
7.48986E+06 0.000519053
7.51158E+06 0.000514413
7.53330E+06 0.000509827
7.55502E+06 0.000505296
7.57674E+06 0.000500817
7.59846E+06 0.000496391
7.62019E+06 0.000492014
7.64191E+06 0.000487691
7.66363E+06 0.000483417
7.68535E+06 0.000479193
7.70708E+06 0.000475016
7.72880E+06 0.000470888
7.75052E+06 0.000466808
7.77224E+06 0.000462774
7.79397E+06 0.000458785
7.81972E+06 0.000454116
7.84547E+06 0.000449510
7.87122E+06 0.000444965
7.89698E+06 0.000440479
7.92273E+06 0.000436055
7.94849E+06 0.000431687
7.97424E+06 0.000427379
8.00000E+06 0.000423126
8.03306E+06 0.000416121
8.05881E+06 0.000410765
8.08456E+06 0.000405494
