Zr-94(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 2.50843
1.25000E-05 2.24361
1.50000E-05 2.04812
2.00000E-05 1.77373
2.75000E-05 1.51264
3.50000E-05 1.34081
4.25000E-05 1.21677
5.00000E-05 1.12180
6.25000E-05 1.00337
7.50000E-05 0.915948
0.000100000 0.793234
0.000125000 0.709490
0.000150000 0.647673
0.000200000 0.560901
0.000275000 0.478338
0.000350000 0.424002
0.000425000 0.384775
0.000500000 0.354745
0.000625000 0.317294
0.000750000 0.289648
0.00100000 0.250843
0.00125000 0.224361
0.00150000 0.204812
0.00200000 0.177373
0.00275000 0.151264
0.00350000 0.134081
0.00425000 0.121676
0.00500000 0.112180
0.00625000 0.100337
0.00750000 0.0915946
0.0100000 0.0793232
0.0125000 0.0709488
0.0150000 0.0647670
0.0200000 0.0560898
0.0253000 0.0498698
0.0314750 0.0447110
0.0376500 0.0408803
0.0500000 0.0354740
0.0625000 0.0317287
0.0750000 0.0289641
0.100000 0.0250835
0.125000 0.0224352
0.150000 0.0204802
0.200000 0.0177361
0.275000 0.0151251
0.350000 0.0134066
0.500000 0.0112162
0.750000 0.00915728
1.00000 0.00792981
1.50000 0.00647363
2.00000 0.00560543
2.75000 0.00477918
3.50000 0.00423527
5.00000 0.00354179
7.50000 0.00288956
10.0000 0.00250044
15.0000 0.00203836
20.0000 0.00176249
27.5000 0.00149951
35.0000 0.00132606
50.0000 0.00110430
75.0000 0.000894790
100.000 0.000769120
150.000 0.000618909
200.000 0.000528569
275.000 0.000441963
350.000 0.000384691
500.000 0.000311903
750.000 0.000246038
1000.00 0.000212376
1250.00 0.000199341
1500.00 0.000210847
1625.00 0.000233990
1750.00 0.000283714
1875.00 0.000399332
1937.50 0.000519102
2000.00 0.000743553
2030.29 0.000929943
2060.59 0.00121635
2090.88 0.00168955
2121.17 0.00255617
2136.32 0.00328962
2151.46 0.00441493
2166.61 0.00627131
2181.75 0.00966447
2189.33 0.0125305
2196.90 0.0169184
2204.47 0.0241345
2212.05 0.0372611
2215.83 0.0482943
2219.62 0.0650949
2223.41 0.0925332
2227.19 0.141898
2229.09 0.182954
2230.98 0.244779
2232.87 0.344208
2233.82 0.418372
2234.29 0.464722
2234.76 0.519213
2235.24 0.584014
2235.71 0.661544
2236.19 0.755781
2236.66 0.871348
2237.13 1.01583
2237.61 1.19885
2238.08 1.43586
2238.55 1.75021
2239.03 2.18027
2239.50 2.78690
2239.97 3.68189
2240.44 5.07617
2240.92 7.41253
2241.16 9.20667
2241.39 11.6837
2241.63 15.2370
2241.86 20.4470
2242.10 28.3448
2242.34 40.2192
2242.67 64.3538
2243.00 80.3549
2243.33 64.2527
2243.66 40.1358
2243.99 24.8627
2244.32 16.2402
2244.65 11.2384
2244.97 8.17483
2245.30 6.17976
2245.63 4.82243
2246.28 3.16018
2246.93 2.22276
2247.59 1.64657
2248.89 1.00532
2250.20 0.676012
2251.51 0.485255
2252.81 0.365059
2254.12 0.284558
2256.73 0.186689
2259.35 0.131815
2261.96 0.0979831
2264.57 0.0756842
2269.80 0.0490355
2275.03 0.0343328
2280.25 0.0253744
2285.48 0.0195176
2295.93 0.0125781
2306.39 0.00878246
2316.84 0.00648384
2327.29 0.00498779
2348.20 0.00322390
2369.11 0.00226404
2390.02 0.00168489
2410.92 0.00130904
2452.74 0.000867363
2494.55 0.000627852
2536.37 0.000483737
2578.18 0.000390417
2661.81 0.000281062
2745.44 0.000222028
2912.70 0.000164195
3247.22 0.000126525
3581.74 0.000120780
3916.26 0.000131260
4250.78 0.000163351
4418.04 0.000197577
4585.30 0.000269825
4668.93 0.000351191
4710.74 0.000425267
4752.55 0.000553762
4794.37 0.000818688
4836.18 0.00155148
4857.09 0.00256300
4878.00 0.00543038
4888.45 0.00942188
4893.68 0.0134195
4898.91 0.0207436
4904.13 0.0364566
4906.75 0.0521399
4909.36 0.0807438
4910.67 0.104858
4911.97 0.141683
4913.28 0.202018
4914.59 0.311009
4915.24 0.402159
4915.89 0.539892
4916.55 0.762668
4917.20 1.15803
4917.53 1.48262
4917.85 1.96516
4918.18 2.72710
4918.51 4.02756
4918.83 6.53849
4919.00 8.75884
4919.16 12.3111
4919.32 18.5311
4919.49 30.5709
4919.57 41.2839
4919.65 57.8517
4919.73 85.2608
4919.81 130.082
4919.91 208.270
4920.00 259.527
4920.09 207.377
4920.19 129.386
4920.27 86.1197
4920.34 59.4220
4920.42 42.7718
4920.50 31.9846
4920.66 19.5935
4920.81 13.1329
4920.97 9.38196
4921.12 7.02422
4921.44 4.34935
4921.75 2.95156
4922.06 2.13214
4922.37 1.61151
4922.68 1.26138
4923.31 0.831806
4923.93 0.589664
4924.55 0.439501
4925.18 0.340307
4926.42 0.221249
4927.67 0.155315
4930.17 0.0886292
4932.66 0.0572791
4935.15 0.0400835
4940.14 0.0228391
4950.12 0.0104041
4960.09 0.00602224
4980.05 0.00288371
5000.00 0.00178932
5023.40 0.00123229
5046.79 0.000963964
5093.58 0.000741366
5140.37 0.000678979
5187.16 0.000684615
5280.74 0.000817147
5374.32 0.00112444
5467.89 0.00177943
5514.68 0.00240027
5561.47 0.00346604
5608.26 0.00554399
5631.66 0.00743496
5655.05 0.0105908
5678.45 0.0165583
5690.14 0.0218597
5695.99 0.0256156
