Zr-94(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 11.1206
1.25000E-05 10.8558
1.50000E-05 10.6603
2.00000E-05 10.3859
2.75000E-05 10.1248
3.50000E-05 9.95301
4.25000E-05 9.82896
5.00000E-05 9.73400
6.25000E-05 9.61557
7.50000E-05 9.52814
0.000100000 9.40543
0.000125000 9.32168
0.000150000 9.25987
0.000200000 9.17310
0.000275000 9.09053
0.000350000 9.03620
0.000425000 8.99697
0.000500000 8.96694
0.000625000 8.92949
0.000750000 8.90184
0.00100000 8.86304
0.00125000 8.83655
0.00150000 8.81701
0.00200000 8.78957
0.00275000 8.76346
0.00350000 8.74627
0.00425000 8.73387
0.00500000 8.72437
0.00625000 8.71253
0.00750000 8.70378
0.0100000 8.69151
0.0125000 8.68313
0.0150000 8.67695
0.0200000 8.66827
0.0253000 8.66204
0.0314750 8.65688
0.0376500 8.65304
0.0500000 8.64763
0.0625000 8.64387
0.0750000 8.64110
0.100000 8.63720
0.125000 8.63453
0.150000 8.63255
0.200000 8.62977
0.275000 8.62709
0.350000 8.62531
0.500000 8.62300
0.750000 8.62074
1.00000 8.61930
1.50000 8.61744
2.00000 8.61616
2.75000 8.61472
3.50000 8.61356
5.00000 8.61164
7.50000 8.60894
10.0000 8.60651
15.0000 8.60197
20.0000 8.59762
27.5000 8.59127
35.0000 8.58502
50.0000 8.57270
75.0000 8.55248
100.000 8.53253
150.000 8.49328
200.000 8.45479
275.000 8.39834
350.000 8.34329
500.000 8.23698
750.000 8.06894
1000.00 7.90865
1250.00 7.75070
1500.00 7.58556
1625.00 7.49396
1750.00 7.38831
1875.00 7.25279
1937.50 7.16197
2000.00 7.03993
2030.29 6.96143
2060.59 6.86195
2090.88 6.72928
2121.17 6.53952
2136.32 6.40869
2151.46 6.23880
2166.61 6.00809
2181.75 5.67498
2189.33 5.44548
2196.90 5.14958
2204.47 4.75370
2212.05 4.19822
2215.83 3.82856
2219.62 3.36994
2223.41 2.79132
2227.19 2.05754
2229.09 1.62762
2230.98 1.17175
2232.87 0.747254
2233.82 0.595469
2234.29 0.553067
2234.76 0.545365
2235.24 0.586422
2235.71 0.695673
2236.19 0.901645
2236.66 1.24409
2237.13 1.78477
2237.61 2.61248
2238.08 3.86964
2238.55 5.78357
2239.03 8.74134
2239.50 13.3950
2239.97 20.9768
2240.44 33.9185
2240.92 57.5411
2241.16 76.7688
2241.39 104.395
2241.63 145.632
2241.86 208.585
2242.10 308.137
2242.34 464.987
2242.67 809.056
2243.00 1094.89
2243.33 946.358
2243.66 637.274
2243.99 424.038
2244.32 296.826
2244.65 219.645
2244.97 170.461
2245.30 137.244
2245.63 113.858
2246.28 83.8810
2246.93 65.9276
2247.59 54.2575
2248.89 40.2854
2250.20 32.3918
2251.51 27.4060
2252.81 24.0052
2254.12 21.5543
2256.73 18.2759
2259.35 16.2005
2261.96 14.7751
2264.57 13.7394
2269.80 12.3386
2275.03 11.4377
2280.25 10.8106
2285.48 10.3494
2295.93 9.71633
2306.39 9.30207
2316.84 9.00950
2327.29 8.79153
2348.20 8.48736
2369.11 8.28402
2390.02 8.13740
2410.92 8.02586
2452.74 7.86528
2494.55 7.75289
2536.37 7.66781
2578.18 7.59972
2661.81 7.49394
2745.44 7.41170
2912.70 7.28212
3247.22 7.07867
3581.74 6.89654
3916.26 6.71084
4250.78 6.50343
4418.04 6.38415
4585.30 6.24823
4668.93 6.17186
4710.74 6.13113
4752.55 6.08858
4794.37 6.04435
4836.18 5.99952
4857.09 5.97852
4878.00 5.96321
4888.45 5.96347
4893.68 5.96963
4898.91 5.98551
4904.13 6.02522
4906.75 6.06679
4909.36 6.14351
4910.67 6.20822
4911.97 6.30672
4913.28 6.46716
4914.59 6.75470
4915.24 6.99358
4915.89 7.35264
4916.55 7.93018
4917.20 8.94909
4917.53 9.78198
4917.85 11.0163
4918.18 12.9590
4918.51 16.2640
4918.83 22.6239
4919.00 28.2344
4919.16 37.1951
4919.32 52.8574
4919.49 83.1195
4919.57 110.011
4919.65 151.557
4919.73 220.214
4919.81 332.343
4919.91 527.558
4920.00 654.703
4920.09 523.323
4920.19 328.096
4920.27 220.003
4920.34 153.385
4920.42 111.882
4920.50 85.0202
4920.66 54.2040
4920.81 38.1649
4920.97 28.8689
4921.12 23.0355
4921.44 16.4328
4921.75 12.9939
4922.06 10.9844
4922.37 9.71179
4922.68 8.85863
4923.31 7.81649
4923.93 7.23262
4924.55 6.87264
4925.18 6.63616
4926.42 6.35436
4927.67 6.19967
4930.17 6.04452
4932.66 5.97178
4935.15 5.93141
4940.14 5.88898
4950.12 5.85142
4960.09 5.82991
4980.05 5.79629
5000.00 5.76472
5023.40 5.72703
5046.79 5.68777
5093.58 5.60330
5140.37 5.50928
5187.16 5.40360
5280.74 5.14495
5374.32 4.78928
5467.89 4.25543
5514.68 3.86749
5561.47 3.33739
5608.26 2.56991
5631.66 2.04745
5655.05 1.40038
5678.45 0.648065
5690.14 0.307650
5695.99 0.196660
5698.92 0.171605
5701.84 0.177152
5704.77 0.224614
5707.69 0.329530
5710.62 0.513721
5713.54 0.807869
5716.46 1.25658
5719.39 1.92472
5722.31 2.91027
5725.24 4.36394
5728.16 6.52570
5731.09 9.78669
5734.01 14.8178
5736.93 22.8164
5739.86 36.0363
5742.78 58.9046
5745.71 100.434
5748.63 177.766
5751.82 322.825
5755.00 454.657
5758.19 407.336
5761.37 283.650
5764.57 193.212
5767.77 138.505
5770.97 105.015
5774.17 83.4817
5780.58 58.7273
5786.98 45.9336
5793.38 39.3487
5796.58 37.9725
5799.78 38.3062
5802.98 41.7686
5804.58 45.8979
5806.18 53.3610
5807.78 67.6721
5808.58 79.8873
5809.38 98.4488
5810.18 128.177
5810.98 179.008
5811.78 272.558
5812.58 452.737
5813.29 710.416
5814.00 881.773
5814.71 708.085
5815.42 449.800
5816.02 303.200
5816.63 214.077
5817.23 158.978
5817.84 123.594
5819.04 83.1232
5820.25 62.0593
5821.46 49.7564
5822.67 41.9502
5825.09 32.8870
5827.50 27.9305
5829.92 24.8462
5832.34 22.7420
5834.75 21.2050
5839.59 19.0753
5844.42 17.6304
5849.26 16.5557
5854.09 15.7075
5863.76 14.4223
5873.43 13.4709
5883.10 12.7253
5892.76 12.1195
5912.10 11.1859
5931.44 10.4937
5950.77 9.95628
5970.11 9.52470
6008.78 8.86911
6047.46 8.38815
6086.13 8.01388
6124.80 7.70887
6202.15 7.22466
6279.50 6.83302
6434.19 6.13984
6588.88 5.36804
6666.23 4.86861
6743.58 4.21433
6782.25 3.79508
6820.92 3.28524
6859.60 2.65236
6898.27 1.85711
6917.61 1.39055
6936.94 0.887813
6956.28 0.391892
6965.95 0.183471
6970.78 0.102859
6975.61 0.0471611
6980.45 0.0264806
6985.28 0.0547943
6987.70 0.0931415
6990.12 0.151613
6992.53 0.233933
6994.95 0.344565
6999.79 0.673347
7004.62 1.19598
7009.45 1.99895
7014.29 3.21417
7019.12 5.04857
7023.96 7.83448
7028.79 12.1278
7033.62 18.8905
7038.46 29.8560
7043.29 48.2577
7048.13 80.2009
7052.96 136.368
7058.98 255.713
7065.00 370.047
7071.02 339.200
7077.04 240.889
7081.94 178.391
7086.85 136.070
7091.75 107.628
7096.65 87.9963
7106.46 63.6256
7116.26 49.6427
7126.07 40.8159
7135.87 34.8332
7155.48 27.3628
7175.09 22.9552
7194.70 20.0786
7214.31 18.0655
7233.92 16.5830
7273.14 14.5523
7312.36 13.2304
7351.58 12.3023
7390.80 11.6149
7469.24 10.6638
7508.46 10.3209
7547.68 10.0368
7586.90 9.79919
7606.51 9.69597
7626.12 9.60398
7635.92 9.56329
7645.73 9.52771
7655.53 9.50012
7665.34 9.48743
7670.24 9.49174
7675.14 9.50951
7680.04 9.55183
7684.95 9.64480
7687.40 9.72931
7689.85 9.86258
7692.30 10.0854
7694.75 10.4921
7695.98 10.8322
7697.20 11.3451
7698.43 12.1710
7699.65 13.6216
7700.27 14.7992
7700.88 16.5315
7701.49 19.2278
7702.10 23.7453
7702.72 32.1924
7703.02 39.4645
7703.33 50.6933
7703.64 69.3746
7703.94 103.067
7704.10 130.673
7704.25 170.839
7704.40 230.577
7704.55 319.291
7704.78 504.692
7705.00 627.828
7705.22 502.916
7705.45 317.515
7705.59 234.838
7705.73 177.748
7706.01 110.240
7706.29 75.2235
7706.57 55.3189
7706.85 43.0858
7707.13 35.0850
7707.69 25.6560
7708.25 20.5422
7708.81 17.4812
7709.93 14.1563
7711.05 12.4867
7712.17 11.5337
7713.29 10.9379
7714.41 10.5411
7716.65 10.0603
7718.89 9.78999
7721.13 9.62172
7723.37 9.50889
7727.86 9.36882
7732.34 9.28539
7736.82 9.22903
7741.30 9.18726
7750.26 9.12625
7759.23 9.08029
7777.15 9.00752
7795.08 8.94636
7813.01 8.89112
7848.86 8.79145
7884.71 8.70184
7920.56 8.61998
7992.27 8.47479
8135.68 8.23923
8279.09 8.05437
8565.91 7.77818
8852.72 7.57702
9139.54 7.42046
9426.36 7.29338
9569.77 7.23856
9713.18 7.18969
9784.89 7.16824
9856.59 7.15020
9892.44 7.14340
9928.30 7.13928
9964.15 7.14000
10000.0 7.15090
10016.1 7.16255
10032.2 7.18235
10048.3 7.21698
10064.4 7.28191
10072.5 7.33692
10080.5 7.42069
10088.6 7.55698
10096.6 7.80073
10100.6 8.00262
10104.7 8.30495
10108.7 8.79107
10112.7 9.64348
10114.7 10.3406
10116.7 11.3659
10118.7 12.9726
10120.8 15.7014
10122.8 20.9378
10123.8 25.5559
10124.8 32.8210
10125.8 45.4589
10126.8 69.4629
10127.3 90.8433
10127.8 123.326
10128.3 175.442
10128.8 259.981
10129.4 411.585
10130.0 512.050
10130.6 409.173
10131.2 257.024
10131.6 183.610
10132.0 134.797
10132.5 102.324
10132.9 80.1967
10133.7 53.4426
10134.6 38.9222
10135.4 30.0944
10136.2 24.4857
10137.9 17.9402
10139.6 14.4403
10141.2 12.3820
10142.9 11.0656
10144.6 10.1745
10147.9 9.08022
10151.3 8.46466
10154.6 8.08429
10158.0 7.83342
10164.6 7.53391
10171.3 7.36971
10178.0 7.26999
10184.7 7.20513
10198.1 7.12828
10211.4 7.08594
10224.8 7.05970
10238.2 7.04193
10264.9 7.01906
10291.7 7.00433
10318.4 6.99343
10345.2 6.98472
10398.7 6.97189
10425.4 6.96817
10452.1 6.96788
10478.9 6.97543
10492.3 6.98621
10505.6 7.00826
10512.3 7.02771
10519.0 7.05796
10525.7 7.10801
10532.4 7.19864
10535.7 7.27449
10539.1 7.38876
10542.4 7.57315
10545.8 7.89957
10547.4 8.16865
10549.1 8.56638
10550.8 9.19438
10552.4 10.2720
10554.1 12.3572
10555.0 14.2332
10555.8 17.2256
10556.6 22.5642
10557.5 33.0567
10557.9 42.6697
10558.3 58.1773
10558.7 84.5497
10559.1 129.000
10559.6 202.062
10560.0 250.512
10560.4 201.260
10560.9 128.016
10561.2 87.8642
10561.6 62.9337
10562.0 47.3065
10562.3 37.1448
10563.0 25.4336
10563.8 19.3748
10564.5 15.7919
10565.2 13.5413
10566.6 11.0042
10568.1 9.66981
10569.5 8.89446
10570.9 8.40208
10572.4 8.07042
10575.2 7.66480
10578.1 7.43759
10581.0 7.29698
10583.8 7.20460
10589.6 7.09388
10595.3 7.03284
10601.0 6.99546
10606.7 6.97078
10618.2 6.94082
10629.7 6.92352
10652.6 6.90388
10675.5 6.89206
10698.5 6.88325
10744.3 6.86913
10836.0 6.84532
10927.8 6.82331
11111.2 6.78158
11294.6 6.74244
