Nb-93(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 57.6221
1.25350E-05 51.4673
1.50700E-05 46.9398
2.00000E-05 40.7464
2.27100E-05 38.2384
2.78700E-05 34.5180
3.42100E-05 31.1562
4.20000E-05 28.1193
5.00000E-05 25.7723
5.15500E-05 25.3819
5.74150E-05 24.0509
6.32800E-05 22.9095
7.76800E-05 20.6779
9.53600E-05 18.6635
0.000100000 18.2255
0.000117100 16.8427
0.000143700 15.2048
0.000176400 13.7240
0.000200000 12.8892
0.000216500 12.3886
0.000265800 11.1815
0.000326200 10.0940
0.000400500 9.11043
0.000491600 8.22380
0.000500000 8.15448
0.000525850 7.95171
0.000551700 7.76337
0.000603400 7.42367
0.000740700 6.70115
0.000909300 6.04884
0.00100000 5.76838
0.00111600 5.46081
0.00137000 4.92947
0.00168200 4.44968
0.00200000 4.08135
0.00206400 4.01771
0.00229900 3.80730
0.00253400 3.62690
0.00311100 3.27421
0.00381900 2.95608
0.00468700 2.66929
0.00500000 2.58470
0.00575400 2.41008
0.00706300 2.17629
0.00867000 1.96528
0.0100000 1.83064
0.0106400 1.77506
0.0130600 1.60323
0.0160400 1.44772
0.0196900 1.30776
0.0200000 1.29767
0.0210400 1.26547
0.0220800 1.23558
0.0241600 1.18171
0.0253000 1.15504
0.0296600 1.06767
0.0364100 0.964796
0.0447000 0.871922
0.0500000 0.825083
0.0548700 0.788189
0.0673500 0.712647
0.0826700 0.644479
0.100000 0.587149
0.101500 0.582892
0.107275 0.567339
0.113050 0.552998
0.124600 0.527381
0.152900 0.477376
0.187700 0.432173
0.200000 0.419092
0.230400 0.391408
0.282900 0.354577
0.347200 0.321425
0.426200 0.291483
0.500000 0.270194
0.523200 0.264460
0.582700 0.251327
0.642200 0.240080
0.788300 0.218083
0.967700 0.198222
1.00000 0.195221
1.09400 0.187267
1.18800 0.180288
1.45800 0.164118
1.79000 0.149488
2.00000 0.142169
2.19700 0.136297
2.69700 0.124354
3.31100 0.113563
4.06400 0.103813
4.98900 0.0949856
5.00000 0.0948952
5.03513 0.0946083
5.07025 0.0943246
5.14050 0.0937660
5.28100 0.0926834
5.56200 0.0906463
6.12400 0.0870152
7.51700 0.0798120
9.22800 0.0733075
10.0000 0.0709312
11.3300 0.0674636
13.9000 0.0622767
17.0700 0.0576943
20.0000 0.0546437
20.9500 0.0538649
23.3350 0.0522751
25.7200 0.0513644
28.6450 0.0517428
31.5700 0.0579167
32.6264 0.0661490
33.1546 0.0744356
33.6828 0.0894469
34.2109 0.120766
34.4750 0.150976
34.7391 0.203939
35.0032 0.309648
35.1353 0.407078
35.2673 0.569625
35.3994 0.870145
35.4654 1.12547
35.5314 1.51637
35.5974 2.15369
35.6635 3.27768
35.7295 5.45276
35.7625 7.29824
35.7955 9.95416
35.8478 15.9067
35.9000 19.8835
35.9523 15.9238
36.0046 9.97366
36.0475 6.69309
36.0904 4.65405
36.1333 3.37496
36.1762 2.54277
