Nb-93(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 63.9682
1.25350E-05 57.8134
1.50700E-05 53.2859
2.00000E-05 47.0925
2.27100E-05 44.5845
2.78700E-05 40.8641
3.42100E-05 37.5023
4.20000E-05 34.4654
5.00000E-05 32.1184
5.15500E-05 31.7281
5.74150E-05 30.3971
6.32800E-05 29.2557
7.76800E-05 27.0240
9.53600E-05 25.0095
0.000100000 24.5716
0.000117100 23.1889
0.000143700 21.5509
0.000176400 20.0700
0.000200000 19.2353
0.000216500 18.7347
0.000265800 17.5276
0.000326200 16.4402
0.000400500 15.4565
0.000491600 14.5699
0.000500000 14.5006
0.000525850 14.2978
0.000551700 14.1095
0.000603400 13.7697
0.000740700 13.0473
0.000909300 12.3950
0.00100000 12.1145
0.00111600 11.8069
0.00137000 11.2756
0.00168200 10.7958
0.00200000 10.4275
0.00206400 10.3638
0.00229900 10.1534
0.00253400 9.97300
0.00311100 9.62032
0.00381900 9.30218
0.00468700 9.01538
0.00500000 8.93078
0.00575400 8.75614
0.00706300 8.52233
0.00867000 8.31128
0.0100000 8.17668
0.0106400 8.12111
0.0130600 7.94923
0.0160400 7.79366
0.0196900 7.65372
0.0200000 7.64363
0.0210400 7.61141
0.0220800 7.58150
0.0241600 7.52758
0.0253000 7.49370
0.0296600 7.37874
0.0364100 7.24534
0.0447000 7.12554
0.0500000 7.06632
0.0548700 7.01804
0.0673500 6.92172
0.0826700 6.83514
0.100000 6.76296
0.101500 6.75742
0.107275 6.73830
0.113050 6.72038
0.124600 6.68762
0.152900 6.62500
0.187700 6.56860
0.200000 6.55266
0.230400 6.51792
0.282900 6.47226
0.347200 6.43122
0.426200 6.39417
0.500000 6.36799
0.523200 6.36071
0.582700 6.34463
0.642200 6.33042
0.788300 6.30295
0.967700 6.27790
1.00000 6.27417
1.09400 6.26408
1.18800 6.25497
1.45800 6.23387
1.79000 6.21426
2.00000 6.20426
2.19700 6.19589
2.69700 6.17844
3.31100 6.16164
4.06400 6.14521
4.98900 6.12881
5.00000 6.12864
5.03513 6.12808
5.07025 6.12753
5.14050 6.12643
5.28100 6.12427
5.56200 6.12008
6.12400 6.11217
7.51700 6.09495
9.22800 6.07679
10.0000 6.06937
11.3300 6.05735
13.9000 6.03638
17.0700 6.01337
20.0000 5.99415
20.9500 5.98827
23.3350 5.97424
25.7200 5.96127
28.6450 5.94742
31.5700 5.93985
32.6264 5.94326
33.1546 5.94915
33.6828 5.96179
34.2109 5.99076
34.4750 6.01981
34.7391 6.07162
35.0032 6.17621
35.1353 6.27310
35.2673 6.43514
35.3994 6.73522
35.4654 6.99038
35.5314 7.38118
35.5974 8.01852
35.6635 9.14276
35.7295 11.3186
35.7625 13.1648
35.7955 15.8219
35.8478 21.7772
35.9000 25.7556
35.9523 21.7938
36.0046 15.8406
36.0475 12.5582
36.0904 10.5180
36.1333 9.23806
36.1762 8.40528
36.2620 7.44401
36.3478 6.94052
36.4336 6.64717
36.5194 6.46229
36.6910 6.25182
36.8625 6.14131
37.0341 6.07621
37.3773 6.00646
37.7205 5.97178
38.0637 5.95211
38.7500 5.93256
39.6098 5.92620
40.0396 5.92961
40.4695 5.94059
40.8994 5.96821
41.1143 5.99629
41.3293 6.04608
41.5442 6.14465
41.6517 6.23381
41.7591 6.37891
41.8666 6.63662
41.9741 7.15418
42.0278 7.62690
42.0815 8.39283
42.1353 9.70345
42.1890 12.0024
42.2445 15.6777
42.3000 18.1325
42.3556 15.6864
42.4111 12.0116
42.4514 10.1737
42.4917 8.96596
42.5320 8.17068
42.5723 7.63341
42.6529 6.98901
42.7335 6.63861
42.8142 6.42942
42.8948 6.29526
43.0560 6.13990
43.2172 6.05687
43.3784 6.00729
43.7008 5.95318
44.0233 5.92544
44.3457 5.90898
44.9906 5.89045
45.6354 5.87998
46.2803 5.87287
47.5700 5.86289
50.0000 5.84949
58.3900 5.81431
71.6800 5.76601
79.8350 5.73801
83.9125 5.72454
87.9900 5.71316
89.5450 5.71151
90.3224 5.71270
91.0999 5.71725
91.8774 5.73017
92.2661 5.74430
92.6549 5.77076
93.0436 5.82697
93.2380 5.88137
93.4323 5.97641
93.6267 6.16411
93.7239 6.33478
93.8211 6.61511
93.9183 7.12099
93.9669 7.54005
94.0154 8.16541
94.0640 9.14931
94.1126 10.7984
94.1612 13.7581
94.2098 19.2807
94.2549 27.4395
94.3000 32.8812
94.3452 27.4399
94.3903 19.2779
94.4341 14.1623
94.4780 11.2499
94.5218 9.54920
94.5656 8.50015
94.6094 7.81683
94.6533 7.35068
94.7409 6.77727
94.8286 6.45336
94.9162 6.25346
95.0915 6.03033
95.2668 5.91526
95.4421 5.84819
95.7927 5.77677
96.1433 5.74111
96.4939 5.72040
97.1952 5.69766
97.8964 5.68516
98.5976 5.67681
100.000 5.66520
101.429 5.65687
102.144 5.65427
102.858 5.65421
103.573 5.66122
103.930 5.67179
104.287 5.69457
104.644 5.74842
104.823 5.80390
105.002 5.90484
105.180 6.11209
105.270 6.30525
105.359 6.62800
105.448 7.21992
105.493 7.71629
105.537 8.46069
105.582 9.64241
105.627 11.6305
105.671 15.2258
105.716 21.9585
105.758 32.2082
105.800 39.4056
105.842 33.0320
105.884 22.9860
105.917 17.5523
105.950 14.0844
105.983 11.8588
106.016 10.3868
106.082 8.64790
106.149 7.71470
106.215 7.15981
106.281 6.80488
106.413 6.39252
106.545 6.17023
106.678 6.03631
106.942 5.88824
107.207 5.81124
107.471 5.76525
108.000 5.71371
108.696 5.67893
109.392 5.65829
110.784 5.63189
112.176 5.61218
113.568 5.59454
114.264 5.58654
114.960 5.58012
115.656 5.57795
116.352 5.58776
116.700 5.60362
117.048 5.63561
117.396 5.70028
117.744 5.83857
117.918 5.96612
118.092 6.17145
118.266 6.52258
118.440 7.17681
118.527 7.72891
118.614 8.56304
118.701 9.89560
118.788 12.1902
118.875 16.5814
118.919 20.4165
118.962 26.4232
119.006 36.4845
119.049 54.8552
119.071 70.0419
119.093 92.1182
119.114 125.212
119.136 174.298
119.152 223.019
119.168 279.177
119.200 352.488
119.232 288.162
119.264 185.564
119.290 128.061
119.316 91.8782
119.342 68.7901
119.368 53.6584
119.420 35.9270
119.472 26.4891
119.525 20.9132
119.577 17.3531
119.681 13.2315
119.785 11.0192
119.889 9.68936
