Mo-94(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 22.9452
1.25000E-05 21.1377
1.50000E-05 19.8034
2.00000E-05 17.9305
2.75000E-05 16.1485
3.50000E-05 14.9756
4.25000E-05 14.1290
5.00000E-05 13.4808
6.25000E-05 12.6724
7.50000E-05 12.0757
0.000100000 11.2381
0.000125000 10.6665
0.000150000 10.2446
0.000200000 9.65233
0.000275000 9.08880
0.000350000 8.71792
0.000425000 8.45017
0.000500000 8.24520
0.000625000 7.98957
0.000750000 7.80088
0.00100000 7.53601
0.00125000 7.35525
0.00150000 7.22182
0.00200000 7.03452
0.00275000 6.85631
0.00350000 6.73902
0.00425000 6.65435
0.00500000 6.58952
0.00625000 6.50868
0.00750000 6.44900
0.0100000 6.36522
0.0125000 6.30805
0.0150000 6.26584
0.0200000 6.20659
0.0253000 6.16411
0.0314750 6.12887
0.0376500 6.10269
0.0500000 6.06574
0.0625000 6.04013
0.0750000 6.02121
0.100000 5.99463
0.125000 5.97647
0.150000 5.96304
0.200000 5.94414
0.275000 5.92608
0.350000 5.91411
0.500000 5.89871
0.750000 5.88393
1.00000 5.87484
1.50000 5.86351
2.00000 5.85624
2.75000 5.84862
3.50000 5.84297
5.00000 5.83446
7.50000 5.82396
10.0000 5.81549
15.0000 5.80135
20.0000 5.78920
27.5000 5.77316
35.0000 5.75894
50.0000 5.73435
75.0000 5.70126
87.5000 5.68754
93.7500 5.68147
96.8750 5.67883
100.000 5.67685
102.177 5.67656
103.265 5.67732
104.353 5.67957
104.897 5.68181
105.441 5.68550
105.985 5.69185
106.530 5.70371
106.802 5.71375
107.074 5.72902
107.346 5.75377
107.618 5.79757
107.754 5.83332
107.890 5.88609
108.026 5.96860
108.162 6.10795
108.298 6.37059
108.366 6.59795
108.434 6.95301
108.502 7.54828
108.570 8.64320
108.604 9.55592
108.638 10.9057
108.672 12.9540
108.706 16.0657
108.753 22.3008
108.800 26.4571
108.847 22.3079
108.894 16.0745
108.939 12.2343
108.983 10.0158
109.028 8.70537
109.072 7.89025
109.161 6.99039
109.250 6.53876
109.339 6.28228
109.428 6.12360
109.606 5.94627
109.784 5.85475
109.962 5.80153
110.140 5.76783
110.318 5.74517
110.674 5.71745
111.029 5.70173
111.385 5.69190
111.741 5.68530
112.453 5.67715
113.165 5.67237
114.588 5.66692
116.012 5.66371
117.435 5.66141
120.282 5.65792
125.976 5.65247
131.671 5.64770
143.059 5.63899
154.447 5.63096
200.000 5.60341
275.000 5.56821
350.000 5.54015
500.000 5.49379
625.000 5.45838
750.000 5.42161
875.000 5.37975
937.500 5.35540
968.750 5.34200
1000.00 5.32767
1025.80 5.31560
1032.25 5.31308
1038.70 5.31208
1041.93 5.31373
1045.15 5.32156
1046.77 5.33391
1047.57 5.34661
1048.38 5.37000
1049.19 5.41989
1049.59 5.46892
1049.99 5.55663
1050.19 5.62925
1050.39 5.73730
1050.60 5.91011
1050.80 6.20796
1051.00 6.79483
1051.10 7.32632
1051.20 8.18534
1051.30 9.73893
1051.35 11.0346
1051.40 12.9204
1051.45 15.9281
1051.50 20.8209
1051.55 29.4257
1051.60 45.0610
1051.65 69.1644
1051.70 84.7917
1051.75 68.6449
1051.80 45.0671
1051.83 34.6072
1051.86 27.2782
1051.92 18.5510
1051.98 13.9924
1052.04 11.4225
1052.10 9.80520
1052.16 8.74583
1052.28 7.50283
1052.40 6.82126
1052.51 6.41486
1052.75 5.97003
1052.99 5.74628
1053.23 5.61822
1053.47 5.53816
1053.71 5.48480
1054.19 5.42027
1054.67 5.38418
1055.62 5.34718
1056.58 5.32941
1057.53 5.31938
1059.44 5.30874
1063.27 5.29962
1067.09 5.29494
1074.74 5.28863
1082.38 5.28334
1097.68 5.27318
1112.97 5.26276
1143.56 5.24024
1174.14 5.21475
1235.32 5.15111
1296.49 5.06020
1327.08 4.99743
1357.66 4.91570
1388.25 4.80412
1418.84 4.64153
1434.13 4.52830
1449.42 4.38067
1464.72 4.17988
1480.01 3.89077
1487.66 3.69274
1495.30 3.43942
1502.95 3.10478
1510.59 2.64570
1514.42 2.34845
1518.24 1.99116
1522.06 1.56394
1525.89 1.07742
1527.80 0.839021
1529.71 0.656898
1530.67 0.618909
1531.62 0.650431
1532.10 0.706057
1532.58 0.799175
1533.06 0.941366
1533.53 1.14768
1534.01 1.44012
1534.49 1.84756
1534.97 2.41105
1535.45 3.18928
1535.92 4.26798
1536.40 5.77555
1536.88 7.90993
1537.36 10.9789
1537.84 15.5181
1538.31 22.4341
1538.79 33.4135
1539.27 51.8139
1539.75 84.9694
1539.99 111.893
1540.23 150.870
1540.46 209.243
1540.70 299.909
1540.94 445.409
1541.18 679.685
1541.49 1152.89
1541.80 1525.41
1542.11 1289.93
1542.42 851.149
1542.65 614.119
1542.88 455.731
1543.11 349.590
1543.34 276.651
1543.80 186.983
1544.26 136.753
1544.72 105.744
1545.18 85.2908
1546.10 60.5845
1547.03 46.6495
1547.95 37.9124
1548.87 32.0118
1549.79 27.8023
1551.63 22.2622
1553.47 18.8239
1555.31 16.5054
1557.16 14.8465
1560.84 12.6461
1564.52 11.2621
1568.21 10.3160
1571.89 9.63036
1579.26 8.70540
1586.63 8.11197
1594.00 7.69960
1601.36 7.39667
1616.10 6.98156
1630.83 6.71089
1638.20 6.60852
1645.57 6.52297
1649.25 6.48708
1652.94 6.46012
1654.78 6.45606
1655.70 6.46081
1656.62 6.47647
1657.54 6.51896
1658.00 6.56473
1658.46 6.64975
1658.92 6.83037
1659.15 7.00510
1659.38 7.31132
1659.61 7.92007
1659.73 8.47804
1659.84 9.40297
1659.96 11.0959
1660.02 12.5346
1660.07 14.6765
1660.13 18.1809
1660.19 24.1286
1660.25 35.4916
1660.30 57.5941
1660.35 88.5977
1660.40 108.673
1660.45 87.8935
1660.50 57.5561
1660.54 39.9042
1660.58 29.4160
1660.62 22.7868
1660.66 18.6320
1660.75 13.8309
1660.83 11.3488
1660.91 9.91565
1661.00 9.01805
1661.16 8.00301
1661.33 7.47389
1661.49 7.16391
1661.66 6.96683
1661.82 6.83435
1662.16 6.67050
1662.49 6.57725
1663.15 6.47873
1663.81 6.42904
1664.48 6.39926
1665.80 6.36420
1668.46 6.32630
1671.11 6.30086
1676.41 6.26042
1681.72 6.22569
1692.33 6.16535
1702.94 6.11359
1724.15 6.02843
1745.37 5.96090
1787.81 5.85989
1830.25 5.78716
1872.69 5.73161
1915.13 5.68728
1957.56 5.65072
2000.00 5.61984
2022.27 5.60550
2044.54 5.59238
2066.82 5.58059
2089.09 5.57060
2111.36 5.56402
2122.50 5.56355
2133.63 5.56756
2139.20 5.57293
2144.77 5.58267
2150.34 5.60052
2155.90 5.63542
2158.69 5.66583
2161.47 5.71311
2164.26 5.79176
2167.04 5.93600
2168.43 6.05775
2169.82 6.24368
2171.22 6.54800
2172.61 7.09705
2173.30 7.55441
2174.00 8.24475
2174.70 9.35777
2175.39 11.3238
2175.74 12.9273
2176.09 15.2986
2176.44 19.0161
2176.78 25.3223
2177.13 37.2858
2177.31 47.7343
2177.48 64.1963
2177.65 92.1536
2177.83 144.607
2177.91 189.233
2178.00 256.544
2178.09 361.271
2178.17 522.658
2178.29 833.746
2178.40 1041.40
2178.51 833.518
2178.63 522.414
2178.75 313.181
2178.87 201.439
2178.99 138.767
2179.11 101.190
2179.23 77.0560
2179.35 60.9959
2179.59 41.5399
2179.83 30.6804
2180.07 24.0812
2180.55 16.7909
2181.03 13.0689
2181.51 10.9270
2181.99 9.57850
2182.47 8.67866
2183.43 7.58580
2184.39 6.97485
2185.36 6.59876
2186.32 6.35091
2188.24 6.05468
2190.16 5.89116
2192.08 5.79127
2194.01 5.72569
2197.85 5.64735
2201.69 5.60377
2205.54 5.57672
2209.38 5.55854
2217.07 5.53574
2224.76 5.52183
2240.14 5.50473
2255.52 5.49338
2270.90 5.48436
2301.65 5.46921
2332.41 5.45576
2363.17 5.44307
2424.68 5.41878
2547.71 5.37141
2670.74 5.32251
2793.76 5.26895
2916.79 5.20683
2978.31 5.17083
3009.06 5.15120
3039.82 5.13034
3070.58 5.10829
3101.33 5.08592
3116.71 5.07610
3132.09 5.07189
3139.78 5.07804
3143.62 5.08764
3147.47 5.10811
3151.31 5.15589
3153.23 5.20514
3155.16 5.29615
